"warning_id","candidate_model_id","window_id","grid_id","term","warning_type","severity","source_ledger","recommended_D12G_review_action","notes"
"D12F_WARN_011","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","trend","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_012","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_013","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_014","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","(Intercept)","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_015","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_016","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_017","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_018","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_019","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_020","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_021","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","(Intercept)","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_022","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","k_nrc_log","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_023","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_024","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","omega_nfc","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_025","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","k_nrc_log_x_omega","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_026","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_027","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_028","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_029","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_030","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_031","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_032","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_033","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","trend","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_034","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_035","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_036","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_037","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_038","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_039","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_040","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","k_nrc_log_x_omega","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_041","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_042","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_043","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","trend","p-value threshold crossing","INFO","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review preliminary significance pattern","Preliminary p-value below 0.10. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_044","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_045","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_046","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_047","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_048","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_049","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_050","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_051","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","k_nrc_log_x_omega","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_052","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_053","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_054","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_055","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_056","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_057","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","(Intercept)","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_058","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","omega_nfc","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_059","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","k_nrc_log_x_omega","large coefficient magnitude","WARN","D12F_RDOLS_COEFFICIENT_LEDGER.csv","Review magnitude stability across windows and grids","Large preliminary coefficient magnitude. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_060","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","","low degrees of freedom","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review low-df robustness candidate","Residual df below preferred threshold. DESIGN_STAGE_PRELIMINARY_ONLY"
"D12F_WARN_061","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","","condition number warning","WARN","D12F_RDOLS_DIAGNOSTIC_LEDGER.csv","Review collinearity diagnostics","High design condition number. DESIGN_STAGE_PRELIMINARY_ONLY"
