"run_id","candidate_model_id","window_id","grid_id","diagnostic_name","diagnostic_value","diagnostic_status","review_flag","notes"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","lead/lag sample loss","3","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","residual summary statistics","min=-0.0162432409257175; q1=-0.00820862306878666; median=0.000530927657018634; mean=-1.41951319593223e-19; q3=0.00895429750528514; max=0.0152118211746376; sd=0.0098530285021162","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","condition number warning","WARN_HIGH_CONDITION_NUMBER_1988338.27","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","effective sample size","28","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","design rank","10","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","df residual","18","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","lead/lag sample loss","1","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","residual summary statistics","min=-0.0613201824109682; q1=-0.0101705745875274; median=0.0040959505011662; mean=-1.24075201184411e-19; q3=0.0118469027039655; max=0.0412989749243095; sd=0.0209892455580844","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","condition number warning","WARN_HIGH_CONDITION_NUMBER_1409937.82","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
