year,r,mu,PyPK,B_real,B,pi,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label
1969,0.19343131350264767,0.7364261103668454,1.148162916465231,0.6389981152375848,0.7336739396069711,0.358009465855308,-0.07094172765070295,-0.004778054540165277,-0.001400599512049433,-0.026408485646901347,-0.03835458795158697,Fordist,reinforcing_crisis
1970,0.17091961954627266,0.7026239041132241,1.1431868642987528,0.6144271528864023,0.7024050502482166,0.346323028853707,-0.12372909561848688,-0.046987143884896665,-0.004343343849871922,-0.039211129815264256,-0.03318747806845401,Fordist,reinforcing_crisis
1971,0.17621641095423654,0.6974403428362662,1.1357132251140731,0.6196639583563296,0.7037605526318198,0.35901646505322,0.030519462527877295,-0.007404781563599028,-0.0065590115273340965,0.008486953443548273,0.03599630217526251,Fordist,demand_drag
1972,0.18265169475652618,0.7187222548466937,1.135344677726733,0.6240903565080107,0.7085576646819494,0.358663690740857,0.03586818452477547,0.030058009360284188,-3.2456010048378947e-4,0.007117831531263774,-9.830962662888965e-4,Fordist,profit_squeeze
1973,0.18104633032334685,0.7292549669434095,1.110340518871763,0.6279916837222306,0.6972846119512937,0.35604119463398,-0.008828064760317833,0.014548430340277418,-0.022269543611045287,0.006231763917204647,-0.00733871540675457,Fordist,profit_squeeze
1974,0.15499002330567455,0.6807277022231578,1.0324674728458962,0.6375425586854866,0.6582419543977109,0.345895378535974,-0.15539221807087888,-0.06886104345868155,-0.07271519997728101,0.015094109626657082,-0.02891008426157371,Post-Fordist,reinforcing_crisis
1975,0.1639874769967178,0.6623807865130263,1.0442344301777564,0.646813423830637,0.6754248470651089,0.3665438393374,0.05642931605469159,-0.02732177951329956,0.011332472171709199,0.01443684818270119,0.057981775213580944,Post-Fordist,demand_drag
1976,0.17282622980726473,0.6821514837306076,1.0306375983176246,0.6657425375127833,0.6861392899600561,0.369246628939966,0.05249657258416773,0.02941115330384758,-0.013106376015669805,0.028845133778471532,0.007346661517518505,Post-Fordist,broad_expansion
1977,0.17798201616859247,0.6963178652002847,1.018380157202782,0.6790960570716812,0.691577949356448,0.369596156879766,0.0293958747105163,0.020554508865172738,-0.011964354431008756,0.01985957050651499,9.461497698375343e-4,Post-Fordist,broad_expansion
1978,0.17717606784156129,0.7063896639283571,1.001462010094792,0.6883461380880161,0.6893525070906119,0.363847473524289,-0.004538540704829286,0.014360758193325218,-0.016752341386327578,0.013529233108837635,-0.01567619062066472,Post-Fordist,profit_squeeze
1979,0.16534385452587322,0.699694807199155,0.9846184498873476,0.6852935210943961,0.6747526444578066,0.350215055097957,-0.06911669944506738,-0.009522766887939904,-0.0169620157725355,-0.004444574671953916,-0.03818734211263797,Post-Fordist,reinforcing_crisis
1980,0.1526529670923926,0.6779426394922791,0.9728921032241764,0.6700835902837445,0.6519190334871596,0.345397062101825,-0.07986011606035626,-0.031581568414123296,-0.011981020399185275,-0.022444778210762684,-0.013852749036285417,Post-Fordist,reinforcing_crisis
1981,0.16078711031042714,0.6850589432007052,0.9780985582878806,0.6612678260564743,0.6467851073079985,0.362880205157213,0.051914037553912884,0.010442201185812738,0.005337255093826501,-0.01324352529188022,0.049378106566154045,Post-Fordist,broad_expansion
1982,0.1561952025969998,0.6639053242021123,1.0044849653771768,0.6468716741151905,0.6497728711770735,0.362076187919203,-0.028974670044377815,-0.03136532775105,0.026619776570066152,-0.02201100595250055,-0.002218112910893355,Post-Fordist,reinforcing_crisis
1983,0.1662200628319338,0.6837828456758538,1.0381279610926504,0.6320016593675702,0.6560985940464275,0.37050675789655,0.06220606640296644,0.029500834856546754,0.032944115837544606,-0.023255915251067683,0.023017030959942786,Post-Fordist,broad_expansion
1984,0.18065625607973793,0.7216440186738281,1.0523415595992667,0.6320649381282248,0.6651482027578701,0.376367026055705,0.08328349780691124,0.053891578242072136,0.013598684316413576,1.0011934629522434e-4,0.015693115902130406,Post-Fordist,broad_expansion
1985,0.1795241399519058,0.7279555414882273,1.0679852537366172,0.6223305672917911,0.6646398688171766,0.371049293738511,-0.0062864046385280314,0.008708008571552184,0.014756195035270828,-0.01552072883779193,-0.014229879407559487,Post-Fordist,profit_squeeze
1986,0.17228371910949478,0.7267981831322377,1.0728152768947234,0.6142060679739023,0.6589296528838414,0.359742172828427,-0.04116703575790881,-0.0015911402467354008,0.004512360011587752,-0.013140922800010335,-0.030947332722750742,Post-Fordist,reinforcing_crisis
1987,0.1780127949012944,0.7416652596169753,1.0690805724638284,0.6201403660463805,0.6629800175407925,0.362028568811409,0.03271278163674385,0.02024917208394339,-0.003487292079947399,0.00961536183073669,0.006335539802011292,Post-Fordist,broad_expansion
1988,0.18498250664656615,0.7597204267657041,1.065036857430151,0.6265781224519646,0.6673287944707248,0.364869021555318,0.038405832763479975,0.024052497299875963,-0.0037895945334199405,0.010327613949083714,0.007815316047940168,Post-Fordist,broad_expansion
1989,0.1800387286425299,0.7551392229262401,1.071069097569848,0.6194022462858781,0.6634226049621522,0.359375646684522,-0.02708927506819081,-0.006048372608639496,0.0056478997782450635,-0.01151856912949123,-0.015170233108304787,Post-Fordist,reinforcing_crisis
1990,0.17523375821236886,0.7501753426320616,1.0793926251371182,0.6089916895875473,0.6573411385105918,0.355356429293918,-0.02705114307027845,-0.0065951640942426,0.007741192550131573,-0.01695027246450087,-0.01124689906166676,Post-Fordist,reinforcing_crisis
1991,0.17387725801191548,0.741079651469541,1.1085245702260818,0.5895219327607403,0.6534995471524486,0.35903154117138403,-0.0077712072331177495,-0.012198858000794344,0.026631416313932524,-0.0324926966330184,0.010288931086762432,Post-Fordist,demand_drag
1992,0.1700772196321828,0.7476910126149463,1.1151168054644596,0.5798534748444715,0.6466043545060334,0.351791516474026,-0.022097069520465196,0.00888169651111681,0.005929242568915402,-0.01653648294057175,-0.020371525659925505,Post-Fordist,profit_squeeze
1993,0.17317056090015054,0.7495949168134927,1.1142647505436958,0.5798566797638752,0.6461138586281902,0.35755131068851,0.018024442925259176,0.0025431418104746584,-7.643868407851279e-4,5.527104149249951e-6,0.016240160851420216,Post-Fordist,broad_expansion
1994,0.18528871932697355,0.7667972749322653,1.1054418680121658,0.5883829720342494,0.6504231717120905,0.371511630191992,0.06763824357475978,0.022689507644483353,-0.007949635255831033,0.014597079719906203,0.03830129146620154,Post-Fordist,broad_expansion
1995,0.18966152747791673,0.766460797881199,1.0996876263000668,0.5995091049095098,0.6592727445232165,0.375339417234156,0.02332579564448589,-4.38904659866457e-4,-0.0052189722081602,0.018733112987881828,0.010250559524630498,Post-Fordist,demand_drag
1996,0.19544848340571205,0.7732379850400234,1.1024150308785996,0.6048472285699183,0.666792676160742,0.379077757988398,0.03005578351617766,0.008803320496712952,0.0024770924863575516,0.008864749525478222,0.00991062100762885,Post-Fordist,broad_expansion
1997,0.19934557717749954,0.7832893990151302,1.101159503745852,0.6098603700260451,0.6715535424121415,0.378969022333503,0.019743054654743908,0.012915357349631618,-0.0011395369195667249,0.008254117985584841,-2.8688376090613144e-4,Post-Fordist,profit_squeeze
1998,0.19197692332761115,0.7918105184236175,1.0990771441918152,0.6037290695435182,0.6635448216194719,0.365390705894515,-0.037664713561297525,0.010819888242758646,-0.001892851096473136,-0.010104492425631162,-0.03648725828195154,Post-Fordist,profit_squeeze
1999,0.18866300457645035,0.801904941276104,1.0977618734739378,0.5960520060421798,0.6543231668407622,0.359560155749955,-0.017412794827720735,0.012667954978181017,-0.00119742126250999,-0.012797615224524383,-0.016085713318867212,Post-Fordist,profit_squeeze
2000,0.1798621261564348,0.8144997099745309,1.0956606291637094,0.5804531828511119,0.6359796995227269,0.347220641988159,-0.047771787383578346,0.015583998209640348,-0.0019159509401258518,-0.02651877352962073,-0.03492106112347226,Post-Fordist,profit_squeeze
