"year","N_TOT_GPIM_2017","unit","support_status","baseline_window_eligible","warmup_observation"
1947,35289403.1955232,"millions_2017_dollars","fully_supported","no","no"
1948,34766440.1398034,"millions_2017_dollars","fully_supported","no","no"
1949,34009632.7155296,"millions_2017_dollars","fully_supported","no","no"
1950,33115627.73312,"millions_2017_dollars","fully_supported","no","no"
1951,32191919.24807,"millions_2017_dollars","fully_supported","no","no"
1952,31544066.0808203,"millions_2017_dollars","fully_supported","no","no"
1953,30952864.1257618,"millions_2017_dollars","fully_supported","no","no"
1954,30054462.9362647,"millions_2017_dollars","fully_supported","no","no"
1955,29107452.0423244,"millions_2017_dollars","fully_supported","no","no"
1956,28397955.1121478,"millions_2017_dollars","fully_supported","no","no"
1957,27569536.3571148,"millions_2017_dollars","fully_supported","no","no"
1958,26456743.1708055,"millions_2017_dollars","fully_supported","no","no"
1959,25370331.2034379,"millions_2017_dollars","fully_supported","no","no"
1960,24285806.2552785,"millions_2017_dollars","fully_supported","no","no"
1961,23318146.251897,"millions_2017_dollars","fully_supported","no","no"
1962,22927994.6074366,"millions_2017_dollars","fully_supported","no","no"
1963,22694880.1823959,"millions_2017_dollars","fully_supported","no","no"
1964,22631190.4145143,"millions_2017_dollars","fully_supported","no","no"
1965,22789449.2949396,"millions_2017_dollars","fully_supported","no","no"
1966,23066081.9622762,"millions_2017_dollars","fully_supported","no","no"
1967,23195950.1069782,"millions_2017_dollars","fully_supported","no","no"
1968,23228050.7116318,"millions_2017_dollars","fully_supported","no","no"
1969,23363246.4754288,"millions_2017_dollars","fully_supported","no","no"
1970,23379364.6379984,"millions_2017_dollars","fully_supported","no","no"
1971,23262766.7747136,"millions_2017_dollars","fully_supported","no","no"
1972,23223211.1267844,"millions_2017_dollars","fully_supported","no","no"
1973,23369932.5913516,"millions_2017_dollars","fully_supported","no","no"
1974,23394528.9950141,"millions_2017_dollars","fully_supported","no","no"
1975,23198457.0067372,"millions_2017_dollars","fully_supported","no","no"
1976,22956229.2673541,"millions_2017_dollars","fully_supported","no","no"
1977,22743428.7116389,"millions_2017_dollars","fully_supported","no","no"
1978,22706437.4779111,"millions_2017_dollars","fully_supported","no","no"
1979,22713016.1013402,"millions_2017_dollars","fully_supported","no","no"
1980,22660162.8571236,"millions_2017_dollars","fully_supported","no","no"
1981,22649938.9206586,"millions_2017_dollars","fully_supported","no","no"
1982,22517592.0651008,"millions_2017_dollars","fully_supported","no","no"
1983,22224881.8882373,"millions_2017_dollars","fully_supported","no","no"
1984,22104159.0022788,"millions_2017_dollars","fully_supported","no","no"
1985,22047989.3377233,"millions_2017_dollars","fully_supported","no","no"
1986,21794364.5010637,"millions_2017_dollars","fully_supported","no","no"
1987,21412968.7130602,"millions_2017_dollars","fully_supported","no","no"
1988,21029678.4843078,"millions_2017_dollars","fully_supported","no","no"
1989,20719263.1701253,"millions_2017_dollars","fully_supported","no","no"
1990,20512086.7405683,"millions_2017_dollars","fully_supported","no","no"
1991,20180315.696866,"millions_2017_dollars","fully_supported","no","no"
1992,19809698.6203401,"millions_2017_dollars","fully_supported","no","no"
1993,19480929.0433825,"millions_2017_dollars","fully_supported","no","no"
1994,19196370.2955287,"millions_2017_dollars","fully_supported","no","no"
1995,19021757.4721062,"millions_2017_dollars","fully_supported","no","no"
1996,18871704.3982304,"millions_2017_dollars","fully_supported","no","no"
1997,18754951.9150318,"millions_2017_dollars","fully_supported","no","no"
1998,18692468.4574539,"millions_2017_dollars","fully_supported","no","no"
1999,18643998.15386,"millions_2017_dollars","fully_supported","no","no"
2000,18663388.6779197,"millions_2017_dollars","fully_supported","no","no"
2001,18566266.0551953,"millions_2017_dollars","fully_supported","no","no"
2002,18207754.799235,"millions_2017_dollars","fully_supported","no","no"
2003,17831216.7379203,"millions_2017_dollars","fully_supported","no","no"
2004,17457077.0075131,"millions_2017_dollars","fully_supported","no","no"
2005,17187563.3684063,"millions_2017_dollars","fully_supported","no","no"
2006,17015243.9529679,"millions_2017_dollars","fully_supported","no","no"
2007,16910460.0602909,"millions_2017_dollars","fully_supported","no","no"
2008,16757557.050206,"millions_2017_dollars","fully_supported","no","no"
2009,16286909.9303613,"millions_2017_dollars","fully_supported","no","no"
2010,15831664.5114973,"millions_2017_dollars","fully_supported","no","no"
2011,15469207.2454368,"millions_2017_dollars","fully_supported","no","no"
2012,15214970.455589,"millions_2017_dollars","fully_supported","no","no"
2013,14947141.7816525,"millions_2017_dollars","fully_supported","no","no"
2014,14811591.9839552,"millions_2017_dollars","fully_supported","no","no"
2015,14626194.3539466,"millions_2017_dollars","fully_supported","no","no"
2016,14361131.2343658,"millions_2017_dollars","fully_supported","no","no"
2017,14157272,"millions_2017_dollars","fully_supported","no","no"
2018,14005047.0334166,"millions_2017_dollars","fully_supported","no","no"
2019,13806185.3563791,"millions_2017_dollars","fully_supported","no","no"
2020,13454541.4837025,"millions_2017_dollars","fully_supported","no","no"
2021,13072076.0139147,"millions_2017_dollars","fully_supported","no","no"
2022,12754402.0675458,"millions_2017_dollars","fully_supported","no","no"
2023,12547975.6401856,"millions_2017_dollars","fully_supported","no","no"
2024,12367724.0664224,"millions_2017_dollars","fully_supported","no","no"
