year,analysis_window_flag,price_base_year_used,price_base_rule,pY,pC,pG,pK,pX,pM,pTI,wp,pCPI,X_FOB,M_CIF,GDP_real,C_real,G_real,FBKF_ME,FBKF_NR,I_total,I_ME,I_NR,Kg_ME,Kg_NR,Kg_total,Kn_ME,Kn_NR,Kn_total,omega,pi,exploitation_rate
1994,TRUE,NA,NA,67.70963269935059,68.93188706548337,53.01359256766217,82.74119654974427,66.50811273778598,72.91662524445756,94.27800020180466,77.18739561062137,68.45911040128773,7179122.79379658,6894319.908071816,34416719.42753583,NA,NA,1994362.3500870198,4833130,6914100.410267169,11655802.796686018,21784750.4598562,82143615.9965848,232180106.9194031,314323722.9159879,47521010.813836426,139694762.69424844,187215773.50808486,0.4066280414062997,0.5933719585937003,1.459249973370153
1995,TRUE,NA,NA,74.58567984751008,74.00388795170592,61.79011387168338,84.41556724427105,75.96371936113067,72.68539008938602,107.13626923182025,80.94433215804946,74.07160552823852,8033832.5627497295,8540633.128295971,38028586.63929618,NA,NA,2829308.9758565985,5602626,8538895.700875174,17726542.7570479,24190557.738951124,96040210.34216161,250497088.08500004,346537298.42716163,56526567.221209504,152548697.6940451,209075264.9152546,0.3866670095911675,0.6133329904088325,1.5862046029148555
1996,TRUE,NA,NA,76.53059609353012,77.47245340404255,69.283352865921,89.72977037416793,69.799496583878,76.64560542420841,89.57528957528955,84.855628531661,78.98363913027073,9912071.178525032,10197693.090250194,40831592.66004995,NA,NA,2989790.9878385263,6194167,9300458.270126287,20474155.96338075,27754540.347622126,112460746.62353145,272074295.0316423,384535041.6551738,66389819.430842645,166978438.98458356,233368258.4154262,0.4024880657943085,0.5975119342056915,1.4845457169680403
1997,TRUE,NA,NA,79.83806379424607,80.99568365850702,73.52588011061475,92.14729347288299,69.28957559465009,75.91188821351986,89.54041204437398,86.95526877891395,83.75859857392571,10936175.691623196,11397788.273816163,43526542.29192956,NA,NA,3516812.8651727038,6635812,10281412.874037795,24384356.404917028,32038827.27433165,132493823.58826716,297558280.94137007,430052104.5296372,77827977.03915042,183249445.290599,261077422.3297494,0.39725743874928116,0.6027425612507189,1.5172593448429406
1998,TRUE,NA,NA,81.41760862487652,83.76829637545823,77.87878852156798,91.14224673248516,67.28677035886612,75.79516246126309,85.30721282279609,89.6509972439075,87.66584086822014,11782690.53264985,12225043.219600357,44944336.13576658,NA,NA,3543564.4530568495,6799409,10474176.07055266,25097277.376696788,34903722.376937754,152846616.93650264,325434783.1087558,478281400.04525846,87749501.98404689,200015647.3512404,287765149.3352873,0.40509583309046837,0.5949041669095316,1.4685516816379451
1999,TRUE,NA,NA,83.4405246313303,85.67007055621016,82.85461992965124,89.8210660552385,71.73545673527116,78.73241631283511,90.09433962264151,92.74351430368924,89.69051421672806,12427556.897985548,10413592.612986038,44616344.172736935,NA,NA,2563917.201206702,5892807,8563999.382340476,19787781.456042923,28135171.333796356,167381959.99924302,345956652.0550489,513338612.0542919,90869077.87184477,208371304.2795785,299240382.1514233,0.42510299621684927,0.5748970037831507,1.352371093357079
2000,TRUE,NA,NA,87.28627212530193,89.73899988700717,88.00518622545871,89.10310137146804,79.63475130404458,85.06718574995514,94.61467038068707,93.41054131729199,93.74992140243212,13036867.172339564,11856463.85893036,46605194.72946803,NA,NA,3194392.9354198454,6011184,9322351.45823651,23651217.792530462,32147881.37129189,185155799.81555665,369789505.4576496,554945305.2732062,96694855.56089509,219446679.94729537,316141535.50819045,0.4261650910860889,0.5738349089139111,1.3465084797337181
2001,TRUE,NA,NA,90.64058837672239,93.88312709903114,92.36321819732555,95.43034815269019,84.01289489068682,93.73940475108576,87.757100881488725,95.78809376042051,96.22102893648061,14102385.884285713,12055544.158664053,48165620.898592375,NA,NA,3322946.7528623226,6280820,9725592.390481297,24306312.48162847,33972459.44613522,202852625.5715644,394639587.25346506,597492212.8250295,102018741.92382264,231042977.05486953,333061718.9786922,0.4183546082112362,0.5816453917887638,1.390316684392965
2002,TRUE,NA,NA,94.46366492130697,96.9071481642947,96.80494596172932,97.56399614185905,89.95609197899654,97.13769022301507,91.17043121149898,97.40309043385923,98.93861844339091,14157710.954103602,12173510.840045176,49209326.070127815,NA,NA,3339033.4730295297,6412994,9875733.826541862,25854774.123761013,35664064.45738447,221259547.67457235,420269307.75739133,641528855.4319637,107662245.44721273,242951715.85419697,350613961.3014097,0.42689901838608074,0.5731009816139192,1.3424743485720918
2003,TRUE,NA,NA,100.00000015638312,100,100,100.00000000000003,99.99999999464798,100.00000000603102,99.99999999999999,100,100,14981564.678952001,13362126.704544002,51156415.26,NA,NA,3516258.421999999,6790743,10437747.727328643,28229885.78885198,39179082.44182935,241102814.1486742,448403286.2933806,689506100.4420547,114047226.8163416,256580066.09028825,370627292.90662986,0.4259551372862888,0.5740448627137111,1.3476650765873723
2004,TRUE,NA,NA,107.47765981251088,100.54936310337408,102.1028128349827,99.17697040032165,112.25395191076801,93.79256331775517,124.05325118274834,100.45667632189787,102.42835045712344,16936118.22449318,16017890.58681149,54246818.68,NA,NA,4319248.639,7019324,11482404.62461372,35127427.11235306,45978054.796061695,266810539.61554933,482232592.5132226,749043132.1287719,125061921.9714466,274564549.03707516,399626471.0085218,0.401823594993902,0.598176405006098,1.4886542563912302
2005,TRUE,NA,NA,115.59472280958983,104.2778320614751,106.00014419463142,99.73757515839064,123.87102905979705,94.40718609864959,141.84221420031668,101.72520321966954,106.18091273783625,17309026.032073915,19475394.057501387,57262644.8,NA,NA,6274944.301999999,7769619,14222721.30222801,50219480.77543795,62392943.152211115,306482598.9475602,531279590.09755707,837762189.0451173,147328178.77443883,304933676.8830528,452261855.6574917,0.38874700015954283,0.6112529998404572,1.5723671168898983
2006,TRUE,NA,NA,129.95377279170046,106.86855783185368,111.64695832485714,102.99909179904978,153.47557170904443,93.92421485866959,184.30830595576,104.55011846056279,108.90730517234877,18049337.441834994,21772956.543030042,59890971.18,NA,NA,6371339.289000001,8002756,14556433.466179948,54310906.54826359,67031026.502076074,349000294.28069437,583649957.4264994,932650251.7071937,168720430.1619096,334766111.4012177,503486541.5631273,0.3651752066024995,0.6348247933975004,1.7384115403226699
2007,TRUE,NA,NA,137.03923628032103,110.67266492221674,119.08582963633422,106.22825429791337,162.47602592996958,97.94110514008533,190.6834245250959,104.07664565751489,117.42728153020035,19299162.49272714,25534647.335270766,62646127,NA,NA,7446780.999999999,8540861,16190448.329099298,62757981.74002608,76229458.48074129,398561348.4071816,643745935.9390236,1042307284.3462052,193227146.5386936,368243817.6814666,561470964.2201602,0.3559182343457447,0.6440817656542552,1.8096340774397746
2008,TRUE,NA,NA,137.36509637016275,119.40406141157534,134.1048878568443,114.98345594389612,154.74275454603819,111.68287839858269,162.99765807962524,105.42438117575345,125.75610860297539,19565304.61553866,29852693.89511424,64940432,NA,NA,9600698.000000002,9485613,19328424.54432114,81117593.88484296,96787636.62889196,464891264.6410618,722739112.4836941,1187630377.1247559,229206935.7074177,415141757.3665158,644348693.0739335,0.3768038606709044,0.6231961393290957,1.6539006214519312
2009,TRUE,NA,NA,141.30315110184927,120.44278918567055,145.96509029930886,118.17936793898438,145.72982583031924,100.51730982612371,170.51173451591998,113.70478753422688,124.02067430425431,18018899.660440817,24219444.909465753,63848206,NA,NA,7431121.000000001,8615526,16250201.818929661,66292899.23761775,81776700.198886,514570738.31199193,784823092.8934385,1299393831.2054305,244887155.64470905,441289041.87046134,686176197.5151703,0.3918599767086992,0.6081400232913008,1.551931964063224
2010,TRUE,NA,NA,154.5493893709071,120.62585993734969,154.5316491338699,114.05998625287059,171.06482239895325,95.28537904066002,208.00037849218174,114.41838716286324,127.70976279727606,18446525.254632734,31847351.874271143,67167124,NA,NA,10294921,8766513,19303231.974767543,69008998.88608383,80985595.8000505,564867885.3634727,843941393.9018416,1408809279.2653143,261690399.40023297,464883448.91752607,726573848.317759,0.3749755558960666,0.6250244441039334,1.6668405027371271
2011,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101037945.68162715,118497578.54208548,644845569.3798926,938141952.0081334,1582987521.388026,303779958.6976566,518967819.62085485,822747778.3185115,0.3738098048186586,0.6261901951813413,1.6751572246349093
2012,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114887787.73778345,134302623.2625895,736051121.16796,1045437431.524154,1781488552.6921139,351037958.6526206,579854242.0033247,930892200.6559453,0.35305430146693795,0.646945698533062,1.8324254819867867
2013,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112553774.20811775,131806561.18326114,821943632.5656402,1147161090.7103944,1969104723.2760346,388072615.19053006,630004369.2474773,1018076984.4380074,0.33749975947798416,0.6625002405220158,1.9629650745432077
2014,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106956951.34997211,126917239.49308164,898855526.6085237,1240504549.2513802,2139360075.8599038,413832751.4684798,669272303.2889416,1083105054.7574215,0.3402362245219792,0.6597637754780208,1.9391344246338478
2015,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103221090.56960504,123515181.71360876,968251779.9586616,1326547007.4016533,2294798787.360315,431706730.65295607,700653285.461349,1132360016.114305,0.33483171428769876,0.6651682857123012,1.9865749190674515
2016,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100887659.13412131,120191124.42176256,1031183250.4947104,1405001206.4736917,2436184456.968402,444308687.5857216,725452930.9490976,1169761618.5348191,0.32936029513786924,0.6706397048621308,2.0361886807922702
2017,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102637391.49368596,120852379.84218843,1091444515.17212,1479548759.46316,2570993274.63528,456238557.6087524,748205549.9868093,1204444107.5955617,0.32983439287067107,0.6701656071293289,2.031824520471104
2018,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111717256.74449368,130580233.36105543,1156147951.7998362,1559022218.0737848,2715170169.873621,474220147.73602825,777382652.8933165,1251602800.6293447,0.31796797326268644,0.6820320267373136,2.144970827530038
2019,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114513618.93497816,133970236.60617912,1218853221.1614113,1636909725.2658093,2855762946.4272203,491692332.49641794,806348614.5158162,1298040947.0122342,0.30491389912844113,0.6950861008715589,2.2796143529644826
2020,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102905533.22871882,121408926.8630483,1265048119.469634,1697134499.6927671,2962182619.162401,495824458.3811147,820755436.669369,1316579895.0504837,0.3388187082985331,0.6611812917014669,1.9514308847399895
2021,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125679451.4104704,145597622.21888742,1329081335.2970011,1776395334.460847,3105476669.757848,520036472.57559395,856382744.5986178,1376419217.1742117,0.3678456619978876,0.6321543380021124,1.7185314475877729
2022,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133063628.58587427,154488366.0809493,1395603006.463909,1859416433.8604827,3255019440.3243914,546219473.5183883,895178738.7159766,1441398212.234365,0.34493381229653597,0.655066187703464,1.89910691370642
2023,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133700768.69743288,154475345.0409969,1457915208.3209856,1937325933.8326795,3395241142.153665,568005778.0416827,928609483.172063,1496615261.2137456,0.32695402044357935,0.6730459795564206,2.0585340368144043
2024,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129747813.1517172,151419022.997747,1511495955.9014487,2007132241.528461,3518628197.4299097,582354369.7880288,955218814.308714,1537573184.0967429,0.35876123872429855,0.6412387612757015,1.787369124813625
