year,analysis_window_flag,price_base_year_used,price_base_rule,pY,pC,pG,pK,pX,pM,pTI,wp,pCPI,X_FOB,M_CIF,GDP_real,C_real,G_real,FBKF_ME,FBKF_NR,I_total,I_ME,I_NR,Kg_ME,Kg_NR,Kg_total,Kn_ME,Kn_NR,Kn_total,omega,pi,exploitation_rate
1950,TRUE,NA,NA,1.9732531312036785e-6,1.6839862154349916e-6,1.1970772354252167e-6,1.74500643303491e-6,2.256840062790878e-6,2.392853808446025e-6,87.19595859769002,31.44794948458737,2.47789428309949e-6,825253.9703811486,596816.9958279894,6686124.62849127,NA,NA,177958.32990605346,795332,985636.7058729465,1304013.293887388,2561594.0213707117,12375629.28628244,45962209.38913034,58337838.67541278,7159441.49775327,27793095.896562334,34952537.3943156,0.5640614965956121,0.4359385034043879,0.7728563393096154
1951,TRUE,NA,NA,2.4847346878907033e-6,2.053353247880205e-6,1.475387504155788e-6,2.5552419224341026e-6,3.194762625707468e-6,3.5836103246208257e-6,94.50679680236979,30.682876178526257,3.057397531568061e-6,811843.8741175963,722268.2972900824,6977024.132144125,NA,NA,223595.01058570322,884079,1121725.0695176946,1562776.634972378,3152127.7353260983,13213910.81806212,47808587.782604575,61022498.600666694,7644396.843989766,28897367.71327704,36541764.5572668,0.5267448831360416,0.4732551168639584,0.8984522337386075
1952,TRUE,NA,NA,2.972789325835826e-6,2.5456005501097872e-6,1.8385565763882334e-6,2.5496288585020555e-6,4.293777930469399e-6,3.643478636491588e-6,103.8755290828187,35.61912087664677,3.424965128722114e-6,860422.5743024562,740648.9882724957,7426608.858644058,NA,NA,230257.73687772267,928673,1173631.997290391,1620042.765886357,3324024.7181176897,14103647.109458605,49801934.66472965,63905581.77418825,8159119.350564993,30090084.807280608,38249204.1578456,0.6375593229564251,0.36244067704357485,0.5684814949656792
1953,TRUE,NA,NA,3.720981687106757e-6,3.1636881542642585e-6,2.3017653962341046e-6,3.2186911565225248e-6,5.000186216703958e-6,3.818574045947572e-6,114.29495064327308,30.43695967711767,5.348852180988553e-6,663539.4656232869,735366.9174923102,7986500.879432823,NA,NA,187035.26231345176,983498,1185381.7030039812,1451645.2004623911,3117775.4271392664,14811615.532019809,51557491.768064335,66369107.300084144,8568687.089411363,31143230.50866421,39711917.59807557,0.43357146819180653,0.5664285318081934,1.3064248304217578
1954,TRUE,NA,NA,6.295629789620509e-6,5.494660779860028e-6,3.86472473138965e-6,4.946800386570976e-6,6.1731562131715605e-6,5.117131729476555e-6,102.95310336433468,28.35620649667388,9.15200825383853e-6,772167.5004948492,723020.8142910338,7727829.923252009,NA,NA,155607.7107846071,978429,1148422.1856643965,1283155.360195412,2769587.750956838,15330120.784610586,52926499.856935956,68256620.64154655,8868648.241796251,31965691.46708138,40834339.70887763,0.42522651626408575,0.5747734837359142,1.3516877752255523
1955,TRUE,NA,NA,1.0703748106413e-5,9.681992434903798e-6,6.094604102151855e-6,7.749220199578279e-6,1.2253775121650107e-5,1.0242824064333716e-5,121.32519476113244,25.746641289683726,1.6822060438702843e-5,864440.5839850277,845842.1178349766,8018659.212204488,NA,NA,204887.08428022778,1108181,1329724.6067386565,1608383.4678840644,3229682.809023759,16146174.587856436,54711126.82229864,70857301.41015507,9340744.595703175,33032823.213870887,42373567.80957406,0.41849944096052066,0.5815005590394793,1.3894894523750043
1956,TRUE,NA,NA,1.5852795042458104e-5,1.4521981010814067e-5,1.0562857756532872e-5,1.2942421755912315e-5,2.616456024359507e-5,1.728329734224864e-5,131.19112972559296,31.263360370559717,2.3164195039751707e-5,800682.9209600316,823209.1245422151,8153260.7928230055,NA,NA,287848.73590008373,963021,1266737.2602866883,1878798.3355063589,3713516.38943778,17199101.591474086,56929635.30638235,74128736.89785644,9949874.774817465,34358019.314789146,44307894.08960661,0.5117340439004434,0.4882659560995566,0.954140069278931
1957,TRUE,NA,NA,2.140439429056974e-5,1.926012525495192e-5,1.368421085795803e-5,2.026190061089095e-5,3.631721302167962e-5,3.4587393070140116e-5,101.13001690715224,38.09323980334206,2.7158571253075486e-5,815897.1730719275,955705.0146012476,8989939.162489288,NA,NA,463816.31385917775,966966,1448932.064073373,2498442.680541355,4776558.906871656,18832154.44047514,60155436.28772053,78987590.72819567,10894614.316112695,36281251.289858736,47175865.60597143,0.5364323677274111,0.4635676322725889,0.8641678991826822
1958,TRUE,NA,NA,2.6675715573672908e-5,2.4288049574675225e-5,1.715819992828575e-5,2.5823152837613974e-5,3.684268876169499e-5,3.2966433907003985e-5,89.85212037787947,36.54463730059427,3.598656759164385e-5,823985.4052797997,891160.8967501206,9483618.720824603,NA,NA,477406.7326300344,930758,1426027.5744544754,2505202.0520929694,4758005.738816583,20425669.214802947,63300136.3489272,83725805.56373015,11816480.6340745,38156076.230578974,49972556.864653476,0.44678003268653316,0.5532199673134668,1.2382378952499278
1959,TRUE,NA,NA,3.987382156705669e-5,3.383044965339636e-5,2.357261565662822e-5,3.9083807720865193e-5,6.029095476974156e-5,5.3002528144657516e-5,101.54636663114272,43.957472817743856,4.79484496624201e-5,956690.7570569782,904427.2186796457,8946686.907058401,NA,NA,257997.31696066033,956229,1229629.012495033,1750616.643700986,3576156.8433213504,21210306.579833347,65192249.447264895,86402556.02709824,12270402.223186186,39290366.9274163,51560769.15060249,0.5750776192763191,0.42492238072368094,0.7388957011723142
