year,Y,K,omega,theta,g_K,g_Yp,Y_star,mu,mu_ect,period
1955,2011937.4630823852,3196643.1647338127,0.622858846487424,0.9195032496747633,0.09924409830132422,0.08700593551841296,2764424.6195487394,0.7277961022539334,1.4058296016348657,Fordist
1956,2085043.8458412164,3483690.9155083224,0.635535528362412,0.7565964785674808,0.08979661976078349,0.06506055698380935,2950259.3333785497,0.7067323954377549,0.9370183045219109,Fordist
1957,2109077.2645143787,3683286.6088007237,0.638957571161781,0.71262014875707,0.0572943174734195,0.039702287713132896,3069747.663191767,0.6870523234868979,0.8260525227894485,Fordist
1958,2014899.346419098,3747278.901311894,0.640702916019947,0.6901908965192636,0.017373693472093426,0.011888190646619157,3106459.1931159375,0.6486160677353212,0.742821736702352,Fordist
1959,2228896.6664486164,3918692.362946371,0.628716570650273,0.8442262222304073,0.045743449086340114,0.03776060703071965,3226003.8124735896,0.6909156950870354,1.102097722096966,Fordist
1960,2286634.601613424,4015449.5433252687,0.638652100649948,0.7165457197575833,0.024691190687433338,0.017477474319250376,3282881.8052570717,0.696532722546301,0.8490612694195534,Fordist
1961,2326128.73844189,4140502.650882996,0.635335355670866,0.7591688778092696,0.031142990643625093,0.023282105080728654,3360210.9034803915,0.6922567675834174,0.9221537661723356,Fordist
1962,2507040.6198107256,4285268.6828734055,0.628948763920103,0.8412423297391491,0.03496339555767144,0.02891018394172822,3458773.0793505204,0.7248352413687374,1.1425908715349766,Fordist
1963,2643039.9084331337,4440617.791126049,0.621930029689577,0.9314393814622157,0.03625189451329274,0.03316879454785987,3575420.241787309,0.7392249664928647,1.397764891575897,Fordist
1964,2809129.4448267384,4671452.343422628,0.619047357779893,0.9684843099063745,0.05198253106985909,0.049079403586558885,3755277.271018639,0.748048477407035,1.5221694222611746,Fordist
1965,3032710.3986967537,4957138.183548689,0.61236559273945,1.0543510042646025,0.06115567903166229,0.06258477575252008,3997810.7497486784,0.758592787036606,1.8219530287883001,Fordist
1966,3239530.1508304477,5292156.172223473,0.620003181239775,0.956201118205775,0.06758294327695204,0.06253283916640187,4255787.14511723,0.7612058687068598,1.5214816220772658,Fordist
1967,3313586.992984657,5639434.034180697,0.628388720851657,0.848439387207442,0.06562124220368898,0.05392507248208697,4491581.24607801,0.7377328409406015,1.2138055672632913,Fordist
1968,3505836.10678337,6003475.791407042,0.627992500156573,0.8535311797378959,0.06455288864447786,0.0533925474742645,4737915.911257721,0.7399532141237846,1.2283074175150774,Fordist
