year,VAcorp,NOScorp,Pcorpnipa,NMINT,KGCcorp,INVcorp,KTCcorp,Rcorp,Profshcorp,rcorp,VAcorpnipa,KNCcorpbea,Rcorpnipa,Profshcorpnipa,rcorpnipa,uK,uFRB,Rcorpn,Profshcorpn,rcorpn,IGCcorpbea,DEPCcorp,pIGcorpbea,GOSRcorp,ECcorp,WEQ2,VAcorp_check,Pcorp,rcorp_sectoral,exploit_rate
1960,275.79999999999995,57.199999999999996,50,7.299999999999999,484.9322528829036,75.13160245469801,560.0638553376016,0.5096662412166673,0.20739666424945616,0.10570307830889546,269.9,419.9,0.6557337220602526,0.1852537977028529,0.12147716229348882,0.880931198596954,,0.5785539688325321,0.218167608504783,0.1262217357711443,35.6,24,36.59362072866615,221.89659941573032,190.7,32.21911092646448,275.79999999999995,50,0.12177301509985386,0.2999475616151023
1961,283.40000000000003,58.900000000000006,50.9,8.100000000000009,503.27763471608745,79.95142420211542,583.2290589182029,0.5060137291473112,0.207833450952717,0.10516657955813914,277.5,430.3,0.6608716361038343,0.1834234234234234,0.1212193379376042,0.882777214050293,,0.5732066042185848,0.218892950537896,0.12547088486521402,35.2,24.7,36.45789659811367,229.305604,195.6,34.41015659229209,283.40000000000003,50.9,0.12153772683858644,0.3011247443762782
1962,309.9,67.7,58.6,9.100000000000001,525.4492389980019,85.59891331410986,611.0481523121117,0.5313521253121632,0.21845756695708296,0.11607789249317023,303.5,444.2,0.7053218684638624,0.1930807248764415,0.13618405763420868,0.939095973968506,,0.5658123770531498,0.219750962514216,0.12433781445988616,38.3,25.6,36.37767004499661,256.4760191749348,211,34.86042433234423,309.9,58.6,0.13656490328594734,0.3208530805687204
1963,330,74.2,64.3,10.000000000000005,548.4317201515985,92.28682901402844,640.7185491656269,0.5400556384162706,0.22484848484848485,0.12143069203177961,322.8,458.3,0.7266996848266547,0.19919454770755884,0.14475461503827106,0.97143566608429,,0.5559355676049584,0.22042486233839,0.12254202095833767,40.4,26.7,36.43688138247444,276.91722280198024,222.7,34.9292543554007,330,64.3,0.1451794987581847,0.33318365514144593
1964,356.9,82.1,71.1,11.099999999999998,584.416740608418,98.7398099442203,683.1565505526382,0.5570308530395625,0.2300364247688428,0.12813738591915966,349.5,483.9,0.7626009164302858,0.20343347639484977,0.15513855553131134,1.00164115428925,,0.5561181773075443,0.220585358289919,0.12267152739292135,46.1,28.2,36.670274194378734,300.7885880954447,239.2,36.1899629390912,356.9,71.1,0.15557986870897153,0.34322742474916385
1965,392.1,94.4,81.8,12.600000000000001,629.5138499735924,110.67590041194181,740.1897503855342,0.5739533635194033,0.24075490946187197,0.13818209006945084,384,517.4,0.7935523868567886,0.21302083333333333,0.1690431907418888,1.0422728061676,,0.5506747946632219,0.219946910024922,0.12111921951478406,55.1,30.5,37.027469678467156,337.3171353176044,259.9,38.26191220368743,392.1,81.8,0.16956882255389719,0.36321662177760683
1966,429.40000000000003,102,88,13.999999999999996,689.3389442732511,124.34313597668942,813.6820802499404,0.5801215158360993,0.23754075454122028,0.13780250259730348,420.70000000000005,563.4,0.8131039814456901,0.20917518421678152,0.17008117510630075,1.06474781036377,,0.5448440562069824,0.218318123616617,0.118949332014775,63.8,33.5,37.528104903640994,361.0627297805643,288.5,41.55317928286852,429.40000000000003,88,0.17064184603451618,0.3535528596187175
1967,451.3,101.5,85.4,16.099999999999998,753.3311352268145,137.24580548411166,890.5769407109261,0.5546392269833118,0.22490582760912917,0.12474159436916939,442.5,610.8,0.7854100106496273,0.19299435028248588,0.15157969471068514,1.04273521900177,0.86997,0.531908021208182,0.215716136037976,0.11474114306263482,64.9,36.9,38.37954352589141,360.60877041602464,308.4,44.52220721178262,451.3,85.4,0.1520926090828139,0.329118028534371
1968,499.4,110.3,91.6,18.599999999999998,835.8512661760232,150.87303700128405,986.7243031773072,0.5607600839084617,0.2208650380456548,0.12385229726692695,488.5,672.6,0.7997707924034054,0.18751279426816786,0.14996725605762934,1.05709373950958,0.8734090000000001,0.5304733752075916,0.212349903025802,0.11264596978310197,71,40.7,39.64676984029342,380.8633101971832,341.3,48.1840341880342,499.4,91.6,0.15050936575747617,0.3231760914151772
1969,542.6,111,87.9,23.20000000000001,928.3262407092185,171.15395912880993,1099.4801998380285,0.5499003097955506,0.2045705860670844,0.11249342865334706,531.6,741.1,0.7903657448706513,0.16534988713318285,0.13068688670829617,1.04945170879364,0.874147,0.5239881980159612,0.20852021895652,0.10926213378092059,79.2,45.2,41.210638688722426,379.0283406666667,378.6,53.33211639871382,542.6,87.9,0.13115487914055507,0.2931854199683043
1970,559.8,102.60000000000001,75.4,27.20000000000001,1032.4109896184032,180.55257216240722,1212.9635617808103,0.5091496873545042,0.18327974276527334,0.09331682372735287,547.8,815.7,0.7391715018216164,0.1376414749908726,0.10174065578194576,0.984412431716919,0.8124809999999999,0.5172117609958394,0.204613379176295,0.10582844616708095,81.4,50.1,43.14452019222909,353.92675435872235,400.2,57.81271951219511,559.8,75.4,0.1020988490182803,0.25637181409295356
1971,604.1,116.00000000000001,88.2,27.800000000000008,1145.8564474489679,192.3602938159656,1338.2167412649335,0.4980363953498254,0.1920211885449429,0.09563354057371255,591.3000000000001,895.2,0.7248988598749541,0.1491628614916286,0.10812798823096727,0.973544180393219,0.7961499999999999,0.511570409828413,0.200976476841728,0.10281361862379335,84.6,54.9,45.08498231389687,379.0619209078014,425.3,61.12371918208375,604.1,88.2,0.10850043055726412,0.2727486480131672
1972,671.5,131.7,101.9,29.799999999999983,1256.3166880969834,217.69574074296509,1474.0124288399484,0.5017871763921236,0.19612807148175723,0.09841455120006355,657,972.2,0.7339142091152815,0.15509893455098936,0.11382931188561216,1.00391101837158,0.8466809999999999,0.4998323229941838,0.197743471317657,0.09883857862563825,96.2,59.8,46.482926840299186,411.9792212266112,472.5,69.20973781337047,671.5,101.9,0.11422486268355565,0.2787301587301587
1973,753.3000000000001,145.2,109.6,35.6,1429.5600183096158,255.48484004450162,1685.0448583541174,0.5110540354078623,0.19275189167662282,0.09850663207383724,735.7,1097.4,0.7567372968524995,0.14897376648090252,0.11273400534869367,1.00486552715302,0.883077,0.5085795279053686,0.194958557200502,0.09915193098214312,114.8,67,48.3830249758401,438.5835736933798,533.9,83.77466355866353,753.3000000000001,109.6,0.11309462387782478,0.2719610413935194
1974,808.5,142.4,97.7,44.70000000000001,1763.5896893717152,305.8594920722974,2069.4491814440125,0.47980918489594965,0.17612863327149042,0.08450813596683146,791.1,1346.4,0.720885729907053,0.12349892554670712,0.08902861308547476,0.884328484535217,0.851318,0.5425689585789227,0.192649494373508,0.10452563553299027,131.2,78.9,53.22099894873923,415.8133149908537,587.4,87.89350167858709,808.5,97.7,0.08929713920116993,0.24242424242424243
1975,865.4,166.10000000000002,118.7,47.40000000000003,1983.040821726274,319.4743310918299,2302.515152818104,0.41817890855195794,0.19193436561127805,0.08026290352493672,850,1495.4,0.6313131313131313,0.1396470588235294,0.08816102198455139,0.853546917438507,0.7581140000000001,0.4899307817863278,0.190822457147913,0.09348979561286505,134,94.5,60.488518638164734,430.8255613910449,614.9,88.95773091603053,865.4,118.7,0.0883776338321793,0.27012522361359576
1976,977.4000000000001,190.70000000000002,145.1,45.70000000000002,2204.9619793215516,356.5855886169328,2561.5475679384845,0.4244923204104592,0.195109474114999,0.08282247340114034,958.4000000000001,1643.8,0.640898756185636,0.15139816360601,0.09703089474388123,0.879995822906494,0.7977580000000001,0.4823799265414975,0.189318124891222,0.09132326317800171,148.6,104.7,63.922433301801696,462.1225831709288,695.2,96.24894097346184,977.4000000000001,145.1,0.09723245996113382,0.2743095512082854
1977,1105.5,220.70000000000002,172.7,47.99999999999999,2477.822211640864,402.9218074965217,2880.7440191373857,0.43157504230526494,0.19963817277250115,0.08615885286003798,1087.1,1829.9,0.6613334955590704,0.15886303008002944,0.10506144299793162,0.901091992855072,0.8341580000000001,0.478946706581908,0.187987952399458,0.09003621067879691,177.4,118.1,68.10955936324764,497.4338450687712,784.8,104.93653932114884,1105.5,172.7,0.10526636596367182,0.28121814475025486
1978,1263.6999999999998,253.10000000000002,195.6,57.500000000000014,2835.834184592631,448.6215129892695,3284.4556975819005,0.438671395863352,0.20028487773996997,0.08785924688851343,1241.8999999999999,2081.5,0.6786709656265368,0.15750060391335857,0.10689108694464178,0.911491215229034,0.85072,0.48126782632032866,0.186741213219735,0.08987253777068288,218.2,134.4,72.28603314312632,536.064829055912,901.8,121.55075451066158,1263.6999999999998,195.6,0.10710179050539342,0.2806609004213795
1979,1400.1000000000001,263.1,190.7,72.39999999999999,3283.947207948603,512.0243736088548,3795.971581557458,0.4262806775048874,0.18791514891793443,0.0801045969941689,1373.9,2399.7,0.6600528465049244,0.13880195065143022,0.09161662262791256,0.88534152507782,0.850005,0.48148727404084884,0.18560330137517,0.08936562763211274,259.5,155.3,77.99462855952306,536.4471986435453,1022,136.768343530964,1400.1000000000001,190.7,0.09179302045728038,0.25743639921722117
1980,1504.4,255.7,166,89.69999999999999,3800.071121600247,555.6651749830419,4355.736296583289,0.3963148742496002,0.16996809359212975,0.06736088363840917,1483.2,2761.2,0.6180772596574573,0.11192017259978425,0.06917531358086428,0.834066033363342,0.807607,0.4751600693430404,0.184735198756684,0.08777878985132632,284.6,180,84.5720031414428,515.182310712579,1120.1,137.08687193841848,1504.4,166,0.06929659778751826,0.22828318900098207
1981,1697.8,303.2999999999999,193.6,109.69999999999993,4326.983953050354,618.2344737387148,4945.218426789069,0.38978484563718474,0.1786429496996112,0.06963231457283431,1680.9,3125.3,0.6087570621468927,0.11517639359866737,0.07011444299579893,0.843342185020447,0.795681,0.46219061794914756,0.184320854241447,0.08519136952276915,324.4,208.3,92.6284286310064,552.3142382540075,1240,141.42489397321427,1697.8,193.6,0.070211068397766,0.2445967741935483
1982,1751.1999999999998,296.1,173.1,123,4638.957776099302,632.4657606176995,5271.423536717001,0.35411984848100114,0.16908405664687073,0.05987602052034288,1735.8999999999999,3318.6,0.5554346782708859,0.09971772567544214,0.055386682878443665,0.820055425167084,0.7360720000000001,0.43182428603389855,0.184396864719059,0.07962704445419704,327.1,231.6,97.67437988295008,540.2644998948334,1293.8,139.82551612243506,1751.1999999999998,173.1,0.055445227418321585,0.2288607203586335
1983,1888.6999999999996,344.0999999999999,224.8,119.29999999999988,4822.675106371553,673.2874813221468,5495.9625876937,0.35829031510077947,0.1821888071160057,0.06527648510942881,1876.2999999999997,3415.3,0.5653890194660398,0.11981026488301447,0.06773940818417405,0.858657002449036,0.749042,0.4172682620404591,0.18494261853671,0.07717068501402458,323.7,240.7,96.60380648721807,605.3591688205129,1367.1,145.716558326528,1888.6999999999996,224.8,0.06780478976895699,0.2517006802721088
1984,2133.2,423.69999999999993,282,141.59999999999994,5136.971843292613,745.4861043802233,5882.457947672836,0.38813946892152446,0.19862178886180384,0.0770929556450637,2118.4,3618.4,0.620267619242819,0.133119335347432,0.08256961321113811,0.924870848655701,0.804315,0.41966883212470674,0.185784535394395,0.077967978995797,383.6,253.2,96.12175770110433,704.2110092335765,1513.9,174.4225190712178,2133.2,282,0.08265916285613789,0.27987317524275046
1985,2276.8,445.29999999999995,294.4,150.79999999999993,5450.733993443455,816.6092674480941,6267.343260891549,0.38704909074628013,0.19558151791988754,0.07569964867766976,2254.8,3819.3,0.623148352863144,0.13056590384956535,0.08136192792394428,0.935598075389862,0.7922939999999999,0.41369162776975305,0.186721608806746,0.0772451662870498,412.5,272,96.45351576081312,743.6742915403637,1622.4,185.08357262103513,2276.8,294.4,0.08145422350109287,0.27446992110453644
1986,2372.3999999999996,432.3999999999999,274.7,157.7999999999999,5739.714132823804,863.7334582791135,6603.447591102918,0.3785335988861281,0.18226268757376496,0.06899255106995522,2350.7999999999997,3989.7,0.6155054591155447,0.11685383699166242,0.07192417458696619,0.929214417934418,0.78649,0.40736948499742737,0.187680986934448,0.07645550699129498,402.3,290.1,97.35662461954323,742.1169363907533,1720.4,204.5789705277931,2372.3999999999996,274.7,0.07199391969808155,0.2513368983957219
1987,2552.2999999999997,478.9,319.8,159.10000000000002,6092.1964278163705,1001.0835274673241,7093.279955283695,0.38651022284765507,0.18763468244328646,0.07252272292510364,2526.1,4197.6,0.633155375090859,0.12659831360595386,0.08015640273704791,0.948412120342255,0.812016,0.40753403985197334,0.188678601850119,0.076892952845601,403.3,306.7,97.92932200196461,802.2112110448794,1840,226.1087194184646,2552.2999999999997,319.8,0.08022275737507525,0.2602717391304348
1988,2780.8999999999996,548.5,369.6,178.90000000000006,6531.132870828345,1033.0372161461623,7564.170086974507,0.39204712312652235,0.19723830414613977,0.07732670971084812,2736.7,4462.9,0.6519677911187344,0.13505316622209232,0.0880503144654088,0.971393048763275,0.843358,0.40359267922048186,0.189676575757035,0.07655207739514845,433.2,329.1,100.28708590508437,875.0877464228994,1980.4,252.99116323404257,2780.8999999999996,369.6,0.08811328851380346,0.27696424964653604
1989,2930.2999999999997,574.4,358.4,216.00000000000009,6967.269512947614,1085.42604844515,8052.695561392764,0.38739213506660475,0.19602088523359384,0.07593694924828781,2878.7,4728.2,0.645029017006879,0.12450064265119672,0.08030652714602612,0.967775762081146,0.838114,0.40029121439613274,0.190626244839967,0.07630601104276492,471.5,351.1,102.17910430165576,905.762490604454,2088.3,270.9997701393715,2930.2999999999997,358.4,0.08035694266944686,0.2750562658621845
1990,3064.9,579.8,358.4,221.49999999999994,7416.819551621183,1117.8659765449588,8534.685528166141,0.3806054726188986,0.18917419817938594,0.07200073510536638,3004,4993.1,0.6353369146821201,0.11930758988015978,0.07580051605262045,0.960640132427216,0.8250419999999999,0.396199846093496,0.191554179526118,0.07589373644681385,502.1,373.4,103.8481778936454,917.8784060864369,2200.6,284.26448362641656,3064.9,358.4,0.07583740663154108,0.26347359810960647
1991,3149.4,592.1,380.8,211.29999999999998,7670.814119372146,1136.620520775428,8807.434640147574,0.36901183876152915,0.18800406426620944,0.06937572544951463,3075.3,5105.1,0.6159099557389197,0.12382531785516859,0.07626524603953455,0.958979725837708,0.798462,0.3847962879915759,0.19254068779429,0.07408894195058773,482.4,392.4,105.1480612868466,936.2987657131013,2249.4,282.91216029199296,3149.4,380.8,0.0762881641157144,0.2632257490886459
1992,3310,608.6,423.1,185.50000000000003,8013.034801142843,1197.2066482062226,9210.241449349065,0.37581885477886884,0.18386706948640483,0.06910071148592736,3240.2,5275.6,0.6346986346986346,0.1305783593605333,0.08287790640731817,0.975646138191223,0.8057510000000001,0.38519996140773916,0.193642535828026,0.07459109732785237,495.3,402.3,104.1045789241972,971.0427826004443,2375.5,317.9531645822911,3310,423.1,0.08288602437017592,0.2561986950115765
1993,3471.4,641.1999999999999,466.8,174.5,8456.67930893906,1248.1807153567675,9704.860024295827,0.3769065142418543,0.1847093391715158,0.0696181531750524,3403.1,5523.9,0.6450640685419667,0.1371690517469366,0.0884828265979225,0.979155540466309,0.814481,0.3849301757127962,0.194871082932923,0.07501176019471292,545.4,420.4,104.06628375820375,1020.119064178951,2488.2,340.64730030456855,3471.4,466.8,0.08848953594176524,0.2576963266618439
1994,3737,729.9000000000001,550.3,179.60000000000008,8977.803393596974,1497.3096862916916,10475.113079888666,0.38506480161944967,0.19531709927749535,0.07520974008617509,3665.6,5823.9,0.6635891308676841,0.15012549105194237,0.09962164412824273,1.01144421100616,0.835745,0.38070790007923083,0.1961402630563,0.07467214766915191,600.7,445.2,104.42405303811519,1125.31544774563,2634.8,357.413675551788,3737,550.3,0.09963246609816594,0.2770229239410961
1995,3980.2999999999997,825.2,623.2,202,9530.43269703201,1398.7712255896906,10929.203922621702,0.3799768049895175,0.20732105620179386,0.07877719254260983,3880.7,6154.2,0.66634042480125,0.16058958435333834,0.10700733185665964,1.01938092708588,0.8390529999999999,0.3727525156623865,0.197262299316146,0.07353001831544008,674.8,477.2,104.79843456111482,1242.7666552981625,2776,372.177239585785,3980.2999999999997,623.2,0.10701468189233279,0.2972622478386167
1996,4212.7,907.0999999999999,699.5,207.59999999999994,10053.447802744928,1462.14304339995,11515.590846144878,0.3854535087665795,0.21532508842310155,0.0829978108581585,4119,6469.9,0.6692990153066198,0.16982277251760136,0.1136622144226707,1.04219925403595,0.833554,0.3698462719810041,0.198041012199887,0.07324473006147277,735.2,506.3,103.11019505475652,1370.7664884635471,2914.9,415.624920318725,4212.7,699.5,0.11364190210062872,0.3111942090637757
1997,4521.5,990.8000000000001,777.3,213.50000000000006,10645.467618064265,1528.9685730887372,12174.436191153003,0.3926415987168979,0.21913081941833465,0.08603987526455877,4438,6830.5,0.6859456869503393,0.17514646237043713,0.12014096044761124,1.07182896137238,0.8405029999999999,0.3663285961354841,0.198380599201788,0.07267248640610713,800,541.2,101.36898458895945,1511.3103936199998,3123.9,442.57389795447557,4521.5,777.3,0.12010568929818596,0.3171676430103397
1998,4781.7,966.4,709.7,256.6999999999999,11273.091065707426,1584.0415359713077,12857.132601678733,0.392765621743929,0.20210385427776734,0.0793794459822517,4721,7217.6,0.6911646292365127,0.150328320271129,0.10390161774394262,1.09457731246948,0.826825,0.35882857909580546,0.198357847694114,0.07117646464058111,871,578.6,98.74132897521376,1564.6943544661312,3396.8,511.616931912821,4781.7,709.7,0.10387728516854261,0.28450306170513423
1999,5082.7,1012.6000000000004,734.8,277.9000000000004,11967.667396537861,1689.702679262337,13657.370075800198,0.3953214264381438,0.19922482145316472,0.0787578405987496,4998.7,7641.6,0.6925709377078253,0.14699821953707964,0.101806694746176,1.10842335224152,0.816545,0.3566520189589123,0.198256739057113,0.07070866625692959,946.3,624.9,97.20732787317762,1684.5437847405692,3628.6,560.3269442178117,5082.7,734.8,0.10178413120567376,0.27906079479689144
2000,5424.499999999999,1007.2999999999998,673.6,333.59999999999985,12840.566656941339,1816.0446863635439,14656.611343304883,0.39718481449161236,0.18569453405843855,0.07375504906210731,5331.299999999999,8175.4,0.6976680276381908,0.126348170239904,0.08814907872696817,1.11509871482849,0.813751,0.3561880300011844,0.198398676194093,0.07066723362841686,1037.8,682.1,97.14211528657755,1739.1015163877435,3950.7,641.5149170252795,5424.499999999999,673.6,0.08803732699018467,0.2549674741185106
2001,5414.999999999999,966.3,614.5,351.79999999999984,13620.733166343192,1786.6163472184146,15407.349513561607,0.36945784214122335,0.1784487534626039,0.0659292913870848,5304.4,8595.6,0.6488245223475304,0.1158472211748737,0.07516451794407614,1.06325256824493,0.760084,0.34747890875173065,0.199114494617789,0.06918808730644166,991.7,725.1,96.71208367018076,1748.9024492205303,3986.2,692.6827946834177,5414.999999999999,614.5,0.07493080027801827,0.242411319050725
2002,5482.400000000001,1009.5000000000001,714.3,295.3000000000001,14281.23387252014,1874.073582251186,16155.307454771326,0.35583018319759485,0.18413468553917992,0.06552067888843792,5366.8,8907.7,0.6243659546744846,0.13309607214727584,0.08310065614965796,1.03907012939453,0.7491030000000001,0.34245059417205886,0.200608043078997,0.0686983435480965,885.1,749.3,96.2999096232257,1826.377622659587,3980.7,679.8322276677316,5482.400000000001,714.3,0.08271956642579209,0.253598613309217
2003,5707.3,1084.5,812,272.4,14892.479153434093,1978.6162598011001,16871.095413235194,0.3532770896486034,0.19001979920452752,0.06712964163858748,5585.2,9185.8,0.6270080941208167,0.14538422975005372,0.09115708881080413,1.04768621921539,0.759452,0.3371974195796637,0.202876025382332,0.0684092722535007,891.8,768.3,96.10331842538598,1927.9251022309936,4105.5,688.8938135231316,5707.3,812,0.09066648801348832,0.2641578370478626
2004,6127.4,1307.8000000000002,1041.9,265.9000000000001,16199.660108377739,2187.029189209532,18386.68929758727,0.36318922096742573,0.2134347357770017,0.0775171954142376,5965,9909.5,0.6493718565612141,0.17466890192791285,0.11342506912843739,1.03787088394165,0.779868,0.34993680484425704,0.205750064901623,0.07199952030817247,960,803.1,97.21161957365193,2171.4482376262504,4265.9,715.3362120841025,6127.4,1041.9,0.11341766089001133,0.30657071192479907
2005,6606.5,1511.3000000000002,1216.6,294.70000000000016,17723.462355358093,2394.0856296596257,20117.547985017718,0.35930883983920453,0.22875955498372819,0.08219533030333609,6435,10768.3,0.6493768605883243,0.18905982905982904,0.12277107825823703,1.03080022335052,0.798989,0.3485727221432924,0.208933024756873,0.07282835318513513,1065.2,855.8,100,2367.1000000000004,4498.5,705.3272803275531,6606.5,1216.6,0.12277107825823703,0.3359564299210848
2006,7031.200000000001,1654.1,1351.5,302.6,19265.16196987102,2578.091141691955,21843.253111562975,0.34950581478599657,0.23525145067698255,0.08222174994844647,6897.400000000001,11679.9,0.6405282170816193,0.19594339896192767,0.12550727598599595,1.0236576795578,0.8019970000000001,0.3414284108501742,0.212204267419069,0.07245256580051813,1193,918.4,103.5913119382049,2483.316362992456,4743.4,723.7641857126449,7031.200000000001,1351.5,0.12550727598599595,0.3487161108065944
2007,7147.100000000001,1551.4000000000003,1159.8,391.7000000000003,20353.55816995345,2676.214530237791,23029.77270019124,0.3271994314902025,0.21706706216507396,0.07102421933566064,6992.200000000001,12317.8,0.5986523857224806,0.16587054146048452,0.09929879536639868,0.986203849315643,0.8054859999999999,0.33177667245697345,0.215541825111632,0.07151174951084019,1295.3,976.4,105.7331465364208,2390.735623411411,4944.1,734.7659385966354,7147.100000000001,1159.8,0.09929879536639868,0.31378815153415185
2008,6975.3,1288.4999999999998,841.8,446.69999999999976,21776.885775207476,2675.8930681927864,24452.77884340026,0.30288184303017796,0.18472323771020596,0.055949314688168855,6970.5,13138,0.5658883891604021,0.12076608564665375,0.06834012567179204,0.925367593765259,0.7761709999999999,0.32730975784203975,0.219154687383788,0.07173146765753557,1311.5,1028.5,107.97749489168886,2145.817517181853,5025.9,825.9123928626207,6975.3,841.8,0.06834012567179204,0.256371993075867
