spec,basis,window,det_tag,p,r,m,T_window,T_eff_common,logLik,k_total,k_longrun,k_rank,k_other,xi_val,IC_xi_eta
Q1,ortho,full,SR_none__LR_const,7,2,4,99,92,663.3173494333707,110,12,12,98,2,-386.1026748405411
Q1,ortho,full,SR_none__LR_const,7,3,4,99,92,670.3435228121614,114,15,15,99,4,517.7680595428328
Q1,ortho,full,SR_none__LR_none,1,0,4,99,92,554.0047751488084,0,0,0,0,1,-1108.009550297617
Q1,ortho,full,SR_none__LR_none,1,1,4,99,92,566.8275948353138,7,7,7,0,1.3333333333333333,-1102.0026696312843
Q1,ortho,full,SR_none__LR_none,1,2,4,99,92,570.5786869978166,12,12,12,0,2,-1086.8959110710448
Q1,ortho,full,SR_none__LR_none,1,3,4,99,92,573.5126275651014,15,15,15,0,4,-1079.1984264744672
Q1,ortho,full,SR_none__LR_none,2,0,4,99,92,562.4556934967286,16,0,0,16,1,-1052.5627697606726
Q1,ortho,full,SR_none__LR_none,2,1,4,99,92,575.8546187445874,23,7,7,16,1.3333333333333333,-1023.5918944727853
Q1,ortho,full,SR_none__LR_none,2,2,4,99,92,579.5259281751341,28,12,12,16,2,-960.0931589601105
Q1,ortho,full,SR_none__LR_none,2,3,4,99,92,581.2915450671345,31,15,15,16,4,-805.3617925473948
Q1,ortho,full,SR_none__LR_none,3,0,4,99,92,571.064825209353,32,0,0,32,1,-997.4324159531367
Q1,ortho,full,SR_none__LR_none,3,1,4,99,92,583.1879092060689,39,7,7,32,1.3333333333333333,-941.7936524187021
Q1,ortho,full,SR_none__LR_none,3,2,4,99,92,587.1827354971327,44,12,12,32,2,-830.7095391385384
Q1,ortho,full,SR_none__LR_none,3,3,4,99,92,589.506796047449,47,15,15,32,4,-532.3978255768852
Q1,ortho,full,SR_none__LR_none,4,0,4,99,92,581.6559723188923,48,0,0,48,1,-946.2660929394306
Q1,ortho,full,SR_none__LR_none,4,1,4,99,92,588.3218303610612,55,7,7,48,1.3333333333333333,-855.5966717516405
Q1,ortho,full,SR_none__LR_none,4,2,4,99,92,592.6635085078295,60,12,12,48,2,-696.9738506943627
Q1,ortho,full,SR_none__LR_none,4,3,4,99,92,594.6322005237907,63,15,15,48,4,-253.25416559843006
Q1,ortho,full,SR_none__LR_none,5,0,4,99,92,591.7925710869977,64,0,0,64,1,-894.1906732428567
Q1,ortho,full,SR_none__LR_none,5,1,4,99,92,599.9985250657207,71,7,7,64,1.3333333333333333,-782.4852381839135
Q1,ortho,full,SR_none__LR_none,5,2,4,99,92,606.6663483175253,76,12,12,64,2,-580.2822958481848
Q1,ortho,full,SR_none__LR_none,5,3,4,99,92,609.8573801294921,79,15,15,64,4,5.689944121305871
Q1,ortho,full,SR_none__LR_none,6,0,4,99,92,613.4894165013336,80,0,0,80,1,-865.235746838744
Q1,ortho,full,SR_none__LR_none,6,1,4,99,92,627.2843671556458,87,7,7,80,1.3333333333333333,-740.5920993867173
Q1,ortho,full,SR_none__LR_none,6,2,4,99,92,634.3494052520662,92,12,12,80,2,-490.95117525169735
Q1,ortho,full,SR_none__LR_none,6,3,4,99,92,637.110399263068,95,15,15,80,4,240.57837478529268
Q1,ortho,full,SR_none__LR_none,7,0,4,99,92,617.0140176151174,96,0,0,96,1,-799.9363318335269
Q1,ortho,full,SR_none__LR_none,7,1,4,99,92,651.0753144846847,103,7,7,96,1.3333333333333333,-691.7091710677489
Q1,ortho,full,SR_none__LR_none,7,2,4,99,92,658.7862839671277,108,12,12,96,2,-395.12769821625113
Q1,ortho,full,SR_none__LR_none,7,3,4,99,92,660.6547108077713,111,15,15,96,4,482.88422062702466
Q1,ortho,post_fordism,SR_const__LR_none,1,0,4,50,43,397.62135641078874,4,0,0,4,1,-780.1979123588033
Q1,ortho,post_fordism,SR_const__LR_none,1,1,4,50,43,412.6227424156213,11,7,7,4,1.3333333333333333,-778.857350071022
Q1,ortho,post_fordism,SR_const__LR_none,1,2,4,50,43,420.4552519786997,16,12,12,4,2,-765.6865016435282
Q1,ortho,post_fordism,SR_const__LR_none,1,3,4,50,43,425.5296000741045,19,15,15,4,4,-734.4619965617086
Q1,ortho,post_fordism,SR_const__LR_none,2,0,4,50,43,405.6447641238665,20,0,0,20,1,-736.0655259338617
Q1,ortho,post_fordism,SR_const__LR_none,2,1,4,50,43,414.5809580121642,27,7,7,20,1.3333333333333333,-702.5348454626452
Q1,ortho,post_fordism,SR_const__LR_none,2,2,4,50,43,421.5376699214967,32,12,12,20,2,-647.492933826928
Q1,ortho,post_fordism,SR_const__LR_none,2,3,4,50,43,425.5247833335267,35,15,15,20,4,-493.735555676165
Q1,ortho,post_fordism,SR_const__LR_none,3,0,4,50,43,407.1399315033902,36,0,0,36,1,-678.8766588418121
Q1,ortho,post_fordism,SR_const__LR_none,3,1,4,50,43,423.8827564097665,43,7,7,36,1.3333333333333333,-640.899506456387
Q1,ortho,post_fordism,SR_const__LR_none,3,2,4,50,43,434.12938378432665,48,12,12,36,2,-552.3179578503941
Q1,ortho,post_fordism,SR_const__LR_none,3,3,4,50,43,437.6960309477632,51,15,15,36,4,-277.3612435002499
Q1,ortho,post_fordism,SR_const__LR_none,4,0,4,50,43,414.5554589864753,52,0,0,52,1,-633.5285119568853
Q1,ortho,post_fordism,SR_const__LR_none,4,1,4,50,43,426.5332582966749,59,7,7,52,1.3333333333333333,-565.9615744287412
Q1,ortho,post_fordism,SR_const__LR_none,4,2,4,50,43,433.60692078613994,64,12,12,52,2,-430.91462815182666
Q1,ortho,post_fordism,SR_const__LR_none,4,3,4,50,43,437.2904767328406,67,15,15,52,4,-35.83332766601677
Q1,ortho,post_fordism,SR_const__LR_none,5,0,4,50,43,430.6027736190956,68,0,0,68,1,-605.443939371029
Q1,ortho,post_fordism,SR_const__LR_none,5,1,4,50,43,442.344318586901,75,7,7,68,1.3333333333333333,-517.3447592077308
Q1,ortho,post_fordism,SR_const__LR_none,5,2,4,50,43,452.4179573758348,80,12,12,68,2,-348.1782976290224
Q1,ortho,post_fordism,SR_const__LR_none,5,3,4,50,43,456.9310840262313,83,15,15,68,4,165.6022651515899
Q1,ortho,post_fordism,SR_const__LR_none,6,0,4,50,43,448.82990088719407,84,0,0,84,1,-581.7189920561289
Q1,ortho,post_fordism,SR_const__LR_none,6,1,4,50,43,469.03111082717766,91,7,7,84,1.3333333333333333,-490.4794078868214
Q1,ortho,post_fordism,SR_const__LR_none,6,2,4,50,43,482.3512174279901,96,12,12,84,2,-287.68641403113895
Q1,ortho,post_fordism,SR_const__LR_none,6,3,4,50,43,487.5805244859701,99,15,15,84,4,345.0201916365003
Q1,ortho,post_fordism,SR_const__LR_none,7,0,4,50,43,456.4149365991231,100,0,0,100,1,-536.7098616288899
Q1,ortho,post_fordism,SR_const__LR_none,7,1,4,50,43,502.70551428477734,107,7,7,100,1.3333333333333333,-477.5892790005581
Q1,ortho,post_fordism,SR_const__LR_none,7,2,4,50,43,520.8304873324128,112,12,12,100,2,-244.2865501377903
Q1,ortho,post_fordism,SR_const__LR_none,7,3,4,50,43,535.5582950109161,115,15,15,100,4,489.78145799099616
Q1,ortho,post_fordism,SR_none__LR_const,1,0,4,50,43,389.81770665181193,0,0,0,0,1,-779.6354133036239
Q1,ortho,post_fordism,SR_none__LR_const,1,1,4,50,43,406.5235532955237,8,7,7,1,1.3333333333333333,-781.703772293601
Q1,ortho,post_fordism,SR_none__LR_const,1,2,4,50,43,419.0958048136414,14,12,12,2,2,-778.0124077761858
Q1,ortho,post_fordism,SR_none__LR_const,1,3,4,50,43,424.913527250986,18,15,15,3,4,-748.2746513782458
Q1,ortho,post_fordism,SR_none__LR_const,2,0,4,50,43,399.7265618458531,16,0,0,16,1,-739.2739218406092
Q1,ortho,post_fordism,SR_none__LR_const,2,1,4,50,43,411.7852889626354,24,7,7,17,1.3333333333333333,-711.9883078263617
Q1,ortho,post_fordism,SR_none__LR_const,2,2,4,50,43,419.5828275383549,30,12,12,18,2,-658.6280495234188
Q1,ortho,post_fordism,SR_none__LR_const,2,3,4,50,43,423.9122357917129,34,15,15,19,4,-505.5552610553116
Q1,ortho,post_fordism,SR_none__LR_const,3,0,4,50,43,399.98681296138545,32,0,0,32,1,-679.6152222205769
Q1,ortho,post_fordism,SR_none__LR_const,3,1,4,50,43,422.3238058886813,40,7,7,33,1.3333333333333333,-652.826405876991
Q1,ortho,post_fordism,SR_none__LR_const,3,2,4,50,43,432.76984818783103,46,12,12,34,2,-564.643687120177
Q1,ortho,post_fordism,SR_none__LR_const,3,3,4,50,43,437.3152960825346,50,15,15,35,4,-291.64457423256704
Q1,ortho,post_fordism,SR_none__LR_const,4,0,4,50,43,410.49099097804503,48,0,0,48,1,-640.4443764027991
Q1,ortho,post_fordism,SR_none__LR_const,4,1,4,50,43,422.92474102319625,56,7,7,49,1.3333333333333333,-573.7893403445582
Q1,ortho,post_fordism,SR_none__LR_const,4,2,4,50,43,430.30501597872217,62,12,12,50,2,-439.35561899976534
Q1,ortho,post_fordism,SR_none__LR_const,4,3,4,50,43,434.8423985331812,66,15,15,51,4,-45.98197172947221
Q1,ortho,post_fordism,SR_none__LR_const,5,0,4,50,43,420.4781290473248,64,0,0,64,1,-600.2394506902616
Q1,ortho,post_fordism,SR_none__LR_const,5,1,4,50,43,435.1088107079828,72,7,7,65,1.3333333333333333,-517.9185439126686
Q1,ortho,post_fordism,SR_none__LR_const,5,2,4,50,43,445.3329540225737,78,12,12,66,2,-349.05309138527434
Q1,ortho,post_fordism,SR_none__LR_const,5,3,4,50,43,453.2749547463085,82,15,15,67,4,157.8697232486611
Q1,ortho,post_fordism,SR_none__LR_const,6,0,4,50,43,436.7855306049204,80,0,0,80,1,-572.6750519543557
Q1,ortho,post_fordism,SR_none__LR_const,6,1,4,50,43,456.9868752420036,88,7,7,81,1.3333333333333333,-481.4357371792475
Q1,ortho,post_fordism,SR_none__LR_const,6,2,4,50,43,474.9705684555905,94,12,12,82,2,-287.96991654911403
Q1,ortho,post_fordism,SR_none__LR_const,6,3,4,50,43,482.6478609726377,98,15,15,83,4,339.8407182003908
Q1,ortho,post_fordism,SR_none__LR_const,7,0,4,50,43,445.99197225172776,96,0,0,96,1,-530.9087333968735
Q1,ortho,post_fordism,SR_none__LR_const,7,1,4,50,43,492.8778856565564,104,7,7,97,1.3333333333333333,-472.9788222068905
Q1,ortho,post_fordism,SR_none__LR_const,7,2,4,50,43,515.6222470051797,110,12,12,98,2,-248.9148699460984
Q1,ortho,post_fordism,SR_none__LR_const,7,3,4,50,43,533.7247643998451,114,15,15,99,4,478.4037187503641
Q1,ortho,post_fordism,SR_none__LR_none,1,0,4,50,43,389.81770665181193,0,0,0,0,1,-779.6354133036239
Q1,ortho,post_fordism,SR_none__LR_none,1,1,4,50,43,404.4852157986501,7,7,7,0,1.3333333333333333,-782.6420307874453
Q1,ortho,post_fordism,SR_none__LR_none,1,2,4,50,43,413.6315068711382,12,12,12,0,2,-782.1286123539536
Q1,ortho,post_fordism,SR_none__LR_none,1,3,4,50,43,415.7244990247662,15,15,15,0,4,-775.030996314129
Q1,ortho,post_fordism,SR_none__LR_none,2,0,4,50,43,399.7265618458531,16,0,0,16,1,-739.2739218406092
