spec,basis,det_tag,p,T_window,T_eff,m,r_from,r_to,LR_step,df_step,pval_step,reject_step,ll_source
Q1,ortho,SR_none__LR_const,6,50,44,4,0,1,40.40268927416639,7,1.0539870566317333e-6,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,6,50,44,4,1,2,35.96738642717389,5,9.641853127018152e-7,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,6,50,44,4,2,3,15.354585034094384,3,0.0015373870755371888,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,7,50,43,4,0,1,93.77182680965723,7,0,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,7,50,43,4,1,2,45.48872269724666,5,1.1540879030214057e-8,TRUE,stats_logLik
Q1,ortho,SR_none__LR_const,7,50,43,4,2,3,36.20503478933074,3,6.776960659315989e-8,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,1,50,49,4,0,1,29.335018293676285,7,1.2568337270246754e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,1,50,49,4,1,2,18.292582144976222,5,0.0026012098972835185,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,1,50,49,4,2,3,4.185984307256035,3,0.24206887321676995,FALSE,stats_logLik
Q1,ortho,SR_none__LR_none,2,50,48,4,0,1,23.56610663784454,7,0.0013576052949429984,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,2,50,48,4,1,2,10.025052359454435,5,0.0745285027971122,FALSE,stats_logLik
Q1,ortho,SR_none__LR_none,2,50,48,4,2,3,8.094745471520923,3,0.044093652312238385,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,3,50,47,4,0,1,43.6645321376177,7,2.481675928089899e-7,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,3,50,47,4,1,2,10.086894992323892,5,0.07281022441379448,FALSE,stats_logLik
Q1,ortho,SR_none__LR_none,3,50,47,4,2,3,8.005618606672783,3,0.045895728634524846,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,4,50,46,4,0,1,24.06411104778806,7,0.001110160394447668,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,4,50,46,4,1,2,10.297162605150788,5,0.0672400440359815,FALSE,stats_logLik
Q1,ortho,SR_none__LR_none,4,50,46,4,2,3,7.952235474811459,3,0.047009237879882204,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,5,50,45,4,0,1,26.793134925312415,7,3.6308975263077414e-4,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,5,50,45,4,1,2,20.19854110147378,5,0.001146920661076356,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,5,50,45,4,2,3,9.579348140186653,3,0.02250204092423591,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,6,50,44,4,0,1,35.967715871209975,7,7.3516827536757035e-6,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,6,50,44,4,1,2,15.860354918939834,5,0.007254284943424172,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,6,50,44,4,2,3,11.738247988297758,3,0.008335775444189397,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,7,50,43,4,0,1,47.72421311725327,7,4.0310669247034525e-8,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,7,50,43,4,1,2,36.462086140983956,5,7.676438354975446e-7,TRUE,stats_logLik
Q1,ortho,SR_none__LR_none,7,50,43,4,2,3,16.250507416123583,3,0.0010074590587817456,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,1,50,49,4,0,1,30.002772009665136,7,9.484861622643947e-5,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,1,50,49,4,1,2,15.665019126156835,5,0.007868472493395062,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,1,50,49,4,2,3,10.148696190809574,3,0.017343545935313842,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,2,50,48,4,0,1,17.872387776595474,7,0.012559222818874005,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,2,50,48,4,1,2,13.91342381866491,5,0.016168813286707606,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,2,50,48,4,2,3,7.974226824060111,3,0.046547373432300976,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,3,50,47,4,0,1,33.48564981275263,7,2.149265745243767e-5,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,3,50,47,4,1,2,20.493254749120297,5,0.0010094757667844512,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,3,50,47,4,2,3,7.133294326873056,3,0.06776842417292894,FALSE,stats_logLik
Q1,raw,SR_const__LR_none,4,50,46,4,0,1,23.9555986203992,7,0.0011600064567767188,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,4,50,46,4,1,2,14.1473249789301,5,0.014700179875127506,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,4,50,46,4,2,3,7.367111893401329,3,0.06107304682713277,FALSE,stats_logLik
Q1,raw,SR_const__LR_none,5,50,45,4,0,1,23.483089935610792,7,0.0014037909365407497,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,5,50,45,4,1,2,20.147277577867612,5,0.0011726404207070829,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,5,50,45,4,2,3,9.026253300792973,3,0.028943863326750474,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,6,50,44,4,0,1,40.40241987996717,7,1.0541123494078875e-06,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,6,50,44,4,1,2,26.640213201624874,5,6.702105565603578e-5,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,6,50,44,4,2,3,10.458614115960017,3,0.015044285609589925,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,7,50,43,4,0,1,92.58115537130845,7,0,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,7,50,43,4,1,2,36.24994609527084,5,8.465003810131932e-7,TRUE,stats_logLik
Q1,raw,SR_const__LR_none,7,50,43,4,2,3,29.455615357006764,3,1.7962878094968104e-6,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,1,50,49,4,0,1,33.41169328742353,7,2.2186839579219075e-5,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,1,50,49,4,1,2,25.144503036235392,5,1.306610207295611e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,1,50,49,4,2,3,11.635444874689256,3,0.00874225417208363,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,2,50,48,4,0,1,24.11745423356456,7,0.0010864310408363886,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,2,50,48,4,1,2,15.595077151439,5,0.0081004571446881,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,2,50,48,4,2,3,8.658816506715993,3,0.0341884796982187,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,3,50,47,4,0,1,44.673985854591706,7,1.582037145730908e-7,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,3,50,47,4,1,2,20.892084598299448,5,8.489809654774749e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,3,50,47,4,2,3,9.090895789407114,3,0.028106472700820784,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,4,50,46,4,0,1,24.86750009030243,7,8.009463997818989e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,4,50,46,4,1,2,14.76054991105184,5,0.011436000678067937,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,4,50,46,4,2,3,9.074765108918086,3,0.028313183273389164,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,5,50,45,4,0,1,29.261363321316026,7,1.2963811492794353e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,5,50,45,4,1,2,20.44828662918178,5,0.0010293472364760747,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,5,50,45,4,2,3,15.884001447469586,3,0.0011977997007143193,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,6,50,44,4,0,1,40.40268927416639,7,1.0539870566317333e-6,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,6,50,44,4,1,2,35.96738642717389,5,9.641853127018152e-7,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,6,50,44,4,2,3,15.354585034094384,3,0.0015373870755371888,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,7,50,43,4,0,1,93.77182680965723,7,0,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,7,50,43,4,1,2,45.48872269724666,5,1.1540879030214057e-8,TRUE,stats_logLik
Q1,raw,SR_none__LR_const,7,50,43,4,2,3,36.20503478933074,3,6.776960659315989e-8,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,1,50,49,4,0,1,29.335018293676285,7,1.2568337270246754e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,1,50,49,4,1,2,18.292582144976222,5,0.0026012098972835185,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,1,50,49,4,2,3,4.185984307256035,3,0.24206887321676995,FALSE,stats_logLik
Q1,raw,SR_none__LR_none,2,50,48,4,0,1,23.56610663784454,7,0.0013576052949429984,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,2,50,48,4,1,2,10.025052359454435,5,0.0745285027971122,FALSE,stats_logLik
Q1,raw,SR_none__LR_none,2,50,48,4,2,3,8.094745471520923,3,0.044093652312238385,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,3,50,47,4,0,1,43.6645321376177,7,2.481675928089899e-7,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,3,50,47,4,1,2,10.086894992323892,5,0.07281022441379448,FALSE,stats_logLik
Q1,raw,SR_none__LR_none,3,50,47,4,2,3,8.005618606672783,3,0.045895728634524846,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,4,50,46,4,0,1,24.06411104778806,7,0.001110160394447668,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,4,50,46,4,1,2,10.297162605150788,5,0.0672400440359815,FALSE,stats_logLik
Q1,raw,SR_none__LR_none,4,50,46,4,2,3,7.952235474811459,3,0.047009237879882204,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,5,50,45,4,0,1,26.793134925312415,7,3.6308975263077414e-4,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,5,50,45,4,1,2,20.19854110147378,5,0.001146920661076356,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,5,50,45,4,2,3,9.579348140186653,3,0.02250204092423591,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,6,50,44,4,0,1,35.967715871209975,7,7.3516827536757035e-6,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,6,50,44,4,1,2,15.860354918939834,5,0.007254284943424172,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,6,50,44,4,2,3,11.738247988297758,3,0.008335775444189397,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,7,50,43,4,0,1,47.72421311725327,7,4.0310669247034525e-8,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,7,50,43,4,1,2,36.462086140983956,5,7.676438354975446e-7,TRUE,stats_logLik
Q1,raw,SR_none__LR_none,7,50,43,4,2,3,16.250507416123583,3,0.0010074590587817456,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,1,50,49,5,0,1,35.74444379428337,9,4.400667662807223e-5,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,1,50,49,5,1,2,17.959800648031205,7,0.012152696189815848,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,1,50,49,5,2,3,16.171281263249057,5,0.006371697211388305,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,1,50,49,5,3,4,11.216173348054326,3,0.010612573334546793,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,2,50,48,5,0,1,31.962486464700305,9,2.0212364812555172e-4,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,2,50,48,5,1,2,21.53813595025713,7,0.003050204306444315,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,2,50,48,5,2,3,15.277937428423456,5,0.009238482338050247,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,2,50,48,5,3,4,7.884484776426689,3,0.04846036882003235,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,3,50,47,5,0,1,66.33990563790508,9,7.911449273478866e-11,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,3,50,47,5,1,2,25.156268719820446,7,7.118810887027927e-4,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,3,50,47,5,2,3,20.470831987258407,5,0.0010193367508216644,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,3,50,47,5,3,4,7.997690105521315,3,0.046059468374174406,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,4,50,46,5,0,1,61.16918853472362,9,7.975544669136525e-10,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,4,50,46,5,1,2,24.811185418774812,7,8.195460503980234e-4,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,4,50,46,5,2,3,21.35819073584321,5,6.930552916529775e-4,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,4,50,46,5,3,4,9.04635254886216,3,0.028680910151732575,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,5,50,45,5,0,1,98.56464676113524,9,0,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,5,50,45,5,1,2,65.14137320471605,7,1.4085843602629211e-11,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,5,50,45,5,2,3,18.52180507895605,5,0.002358761536765397,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,5,50,45,5,3,4,7.0792296064894344,3,0.06941487473232555,FALSE,stats_logLik
Q2,ortho,SR_const__LR_none,6,50,44,5,0,1,130.50341425469514,9,0,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,6,50,44,5,1,2,67.16707812099025,7,5.509814826609727e-12,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,6,50,44,5,2,3,30.5416252724508,5,1.1535895128145235e-5,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,6,50,44,5,3,4,12.126125896007125,3,0.006963361091414821,TRUE,stats_logLik
Q2,ortho,SR_const__LR_none,7,50,43,5,2,3,1754.7027408378945,5,0,TRUE,resid_Sigma
Q2,ortho,SR_none__LR_const,1,50,49,5,0,1,36.583491251449914,9,3.122456008819441e-5,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,1,50,49,5,1,2,29.702267177876138,7,1.0767218758744868e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,1,50,49,5,2,3,16.995234720056487,5,0.004508843333623558,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,1,50,49,5,3,4,11.679215560970079,3,0.008566848758085999,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,2,50,48,5,0,1,32.63757909409901,9,1.5440721432657956e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,2,50,48,5,1,2,22.447186471018767,7,0.0021263417304148158,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,2,50,48,5,2,3,20.97918307289524,5,8.174281495432201e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,2,50,48,5,3,4,8.60007789023939,3,0.03510887924868433,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,3,50,47,5,0,1,75.66283364036428,9,1.1689538226278273e-12,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,3,50,47,5,1,2,25.21142405456544,7,6.960096115226078e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,3,50,47,5,2,3,22.60180238816065,5,4.021605136376172e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,3,50,47,5,3,4,8.048645311686641,3,0.04501697940584881,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,4,50,46,5,0,1,63.138587171830295,9,3.316332763958485e-10,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,4,50,46,5,1,2,25.644529621290303,7,5.828708348634137e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,4,50,46,5,2,3,21.8162527903703,5,5.674251479012016e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,4,50,46,5,3,4,12.704450533697354,3,0.005321360689465315,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,5,50,45,5,0,1,99.04575398973748,9,0,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,5,50,45,5,1,2,65.34674569125923,7,1.2808532012797968e-11,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,5,50,45,5,2,3,32.623936196785735,5,4.4690914657863345e-6,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,5,50,45,5,3,4,15.137500161063372,3,0.0017028369333498272,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,6,50,44,5,0,1,180.53004319393517,9,0,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,6,50,44,5,1,2,89.09837686559808,7,2.220446049250313e-16,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,6,50,44,5,2,3,33.8966023750163,5,2.4965588267811256e-6,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,6,50,44,5,3,4,26.695317635881565,3,6.8199731170226485e-6,TRUE,stats_logLik
Q2,ortho,SR_none__LR_const,7,50,43,5,2,3,1400.2074745988557,5,0,TRUE,resid_Sigma
Q2,ortho,SR_none__LR_none,1,50,49,5,0,1,31.393268502421734,9,2.5338034687216737e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,1,50,49,5,1,2,20.640053251056543,7,0.004341068067090448,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,1,50,49,5,2,3,13.19700701324382,5,0.021600909008134828,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,1,50,49,5,3,4,4.17742497764516,3,0.24293181405573172,FALSE,stats_logLik
Q2,ortho,SR_none__LR_none,2,50,48,5,0,1,28.737654250604237,9,7.174610881648391e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,2,50,48,5,1,2,21.574098221063196,7,0.0030071769937094484,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,2,50,48,5,2,3,8.914651642402532,5,0.11251722539084286,FALSE,stats_logLik
Q2,ortho,SR_none__LR_none,2,50,48,5,3,4,7.9335162324434805,3,0.04740589458917177,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,3,50,47,5,0,1,51.56555178176393,9,5.4610240662889e-8,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,3,50,47,5,1,2,24.10766889194815,7,0.001090746502087847,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,3,50,47,5,2,3,8.861318253656918,5,0.1147252108892639,FALSE,stats_logLik
Q2,ortho,SR_none__LR_none,3,50,47,5,3,4,6.990539904748857,3,0.07219990992277003,FALSE,stats_logLik
Q2,ortho,SR_none__LR_none,4,50,46,5,0,1,31.48015816702059,9,2.4480318812913904e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,4,50,46,5,1,2,23.398605590002717,7,0.00145236811837135,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,4,50,46,5,2,3,15.610786938347246,5,0.008047778391500171,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,4,50,46,5,3,4,11.063201700498894,3,0.011388983300020583,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,5,50,45,5,0,1,95.20074211335054,9,1.1102230246251565e-16,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,5,50,45,5,1,2,32.66281900919125,7,3.059287052176174e-5,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,5,50,45,5,2,3,22.062202273620187,5,5.095323555779352e-4,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,5,50,45,5,3,4,9.56498373914269,3,0.02264999740797069,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,6,50,44,5,0,1,120.12206956069599,9,0,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,6,50,44,5,1,2,77.93539584263294,7,3.630429290524262e-14,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,6,50,44,5,2,3,31.39096701184053,5,7.841040390310638e-6,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,6,50,44,5,3,4,10.600394675517464,3,0.014095100905873625,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,7,50,43,5,0,1,1313.0542787705904,9,0,TRUE,stats_logLik
Q2,ortho,SR_none__LR_none,7,50,43,5,3,4,169.9323308508001,3,0,TRUE,resid_Sigma
Q2,raw,SR_const__LR_none,1,50,49,5,0,1,35.7444437942745,9,4.400667662829427e-5,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,1,50,49,5,1,2,17.959800647934117,7,0.012152696190260381,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,1,50,49,5,2,3,16.171281263341825,5,0.006371697211141281,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,1,50,49,5,3,4,11.216173348061147,3,0.010612573334513375,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,2,50,48,5,0,1,31.962486464662106,9,2.0212364812866035e-4,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,2,50,48,5,1,2,21.538135950411288,7,0.003050204306258686,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,2,50,48,5,2,3,15.277937428430505,5,0.009238482338023268,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,2,50,48,5,3,4,7.884484776426916,3,0.048460368820027466,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,3,50,47,5,0,1,66.33990563841917,9,7.911449273478866e-11,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,3,50,47,5,1,2,25.156268719720856,7,7.118810887317695e-4,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,3,50,47,5,2,3,20.470831987132442,5,0.0010193367508772866,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,3,50,47,5,3,4,7.99769010551563,3,0.04605946837429209,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,4,50,46,5,0,1,61.169188534454406,9,7.975544669136525e-10,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,4,50,46,5,1,2,24.811185419463072,7,8.195460501680962e-4,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,4,50,46,5,2,3,21.358190735982134,5,6.930552916110111e-4,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,4,50,46,5,3,4,9.046352548856476,3,0.028680910151806627,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,5,50,45,5,0,1,98.56464675739744,9,0,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,5,50,45,5,1,2,65.14137320702707,7,1.4085843602629211e-11,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,5,50,45,5,2,3,18.521805078801663,5,0.00235876153692105,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,5,50,45,5,3,4,7.079229606323452,3,0.06941487473743913,FALSE,stats_logLik
Q2,raw,SR_const__LR_none,6,50,44,5,0,1,130.50341426143746,9,0,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,6,50,44,5,1,2,67.16707812203254,7,5.509814826609727e-12,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,6,50,44,5,2,3,30.54162527214885,5,1.1535895129699547e-5,TRUE,stats_logLik
Q2,raw,SR_const__LR_none,6,50,44,5,3,4,12.126125895788618,3,0.006963361092121256,TRUE,stats_logLik
