spec,basis,window,det_tag,p,share_computed,n_r_computed,min_r_computed,max_r_computed,r0_ok,r1_ok,r1_fail,T_window,T_eff,m
Q2,raw,full,SR_none__LR_none,3,1,5,0,4,TRUE,TRUE,FALSE,99,96,5
Q2,raw,full,SR_none__LR_none,4,1,5,0,4,TRUE,TRUE,FALSE,99,95,5
Q2,raw,full,SR_none__LR_none,5,1,5,0,4,TRUE,TRUE,FALSE,99,94,5
Q2,raw,full,SR_none__LR_none,6,1,5,0,4,TRUE,TRUE,FALSE,99,93,5
Q2,raw,full,SR_none__LR_none,7,1,5,0,4,TRUE,TRUE,FALSE,99,92,5
Q2,ortho,post_fordism,SR_const__LR_none,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,ortho,post_fordism,SR_const__LR_none,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,ortho,post_fordism,SR_const__LR_none,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,ortho,post_fordism,SR_const__LR_none,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,ortho,post_fordism,SR_const__LR_none,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,ortho,post_fordism,SR_const__LR_none,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,ortho,post_fordism,SR_const__LR_none,7,0.6,3,0,3,TRUE,FALSE,TRUE,50,43,5
Q2,ortho,post_fordism,SR_none__LR_const,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,ortho,post_fordism,SR_none__LR_const,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,ortho,post_fordism,SR_none__LR_const,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,ortho,post_fordism,SR_none__LR_const,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,ortho,post_fordism,SR_none__LR_const,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,ortho,post_fordism,SR_none__LR_const,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,ortho,post_fordism,SR_none__LR_const,7,0.6,3,0,3,TRUE,FALSE,TRUE,50,43,5
Q2,ortho,post_fordism,SR_none__LR_none,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,ortho,post_fordism,SR_none__LR_none,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,ortho,post_fordism,SR_none__LR_none,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,ortho,post_fordism,SR_none__LR_none,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,ortho,post_fordism,SR_none__LR_none,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,ortho,post_fordism,SR_none__LR_none,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,ortho,post_fordism,SR_none__LR_none,7,0.8,4,0,4,TRUE,TRUE,FALSE,50,43,5
Q2,raw,post_fordism,SR_const__LR_none,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,raw,post_fordism,SR_const__LR_none,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,raw,post_fordism,SR_const__LR_none,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,raw,post_fordism,SR_const__LR_none,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,raw,post_fordism,SR_const__LR_none,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,raw,post_fordism,SR_const__LR_none,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,raw,post_fordism,SR_const__LR_none,7,0.4,2,0,1,TRUE,TRUE,FALSE,50,43,5
Q2,raw,post_fordism,SR_none__LR_const,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,raw,post_fordism,SR_none__LR_const,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,raw,post_fordism,SR_none__LR_const,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,raw,post_fordism,SR_none__LR_const,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,raw,post_fordism,SR_none__LR_const,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,raw,post_fordism,SR_none__LR_const,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,raw,post_fordism,SR_none__LR_const,7,0.4,2,0,1,TRUE,TRUE,FALSE,50,43,5
Q2,raw,post_fordism,SR_none__LR_none,1,1,5,0,4,TRUE,TRUE,FALSE,50,49,5
Q2,raw,post_fordism,SR_none__LR_none,2,1,5,0,4,TRUE,TRUE,FALSE,50,48,5
Q2,raw,post_fordism,SR_none__LR_none,3,1,5,0,4,TRUE,TRUE,FALSE,50,47,5
Q2,raw,post_fordism,SR_none__LR_none,4,1,5,0,4,TRUE,TRUE,FALSE,50,46,5
Q2,raw,post_fordism,SR_none__LR_none,5,1,5,0,4,TRUE,TRUE,FALSE,50,45,5
Q2,raw,post_fordism,SR_none__LR_none,6,1,5,0,4,TRUE,TRUE,FALSE,50,44,5
Q2,raw,post_fordism,SR_none__LR_none,7,0.4,2,0,2,TRUE,FALSE,TRUE,50,43,5
Q3,ortho,fordism,SR_const__LR_none,1,1,6,0,5,TRUE,TRUE,FALSE,49,48,6
Q3,ortho,fordism,SR_const__LR_none,2,1,6,0,5,TRUE,TRUE,FALSE,49,47,6
Q3,ortho,fordism,SR_const__LR_none,3,1,6,0,5,TRUE,TRUE,FALSE,49,46,6
Q3,ortho,fordism,SR_const__LR_none,4,1,6,0,5,TRUE,TRUE,FALSE,49,45,6
Q3,ortho,fordism,SR_const__LR_none,5,1,6,0,5,TRUE,TRUE,FALSE,49,44,6
Q3,ortho,fordism,SR_const__LR_none,6,0.16666666666666666,1,0,0,TRUE,FALSE,TRUE,49,43,6
Q3,ortho,fordism,SR_const__LR_none,7,0,0,NA,NA,FALSE,FALSE,TRUE,49,42,6
Q3,ortho,fordism,SR_none__LR_const,1,1,6,0,5,TRUE,TRUE,FALSE,49,48,6
