spec,basis,window,det_tag,p,r,k_longrun,k_total,T_window,T_eff,m,logLik,ll_source,status
Q1,ortho,full,SR_none__LR_none,6,0,0,80,99,93,4,613.4894165013336,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,6,1,7,87,99,93,4,627.2843671556458,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,6,2,12,92,99,93,4,634.3494052520662,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,6,3,15,95,99,93,4,637.110399263068,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,7,0,0,96,99,92,4,617.0140176151174,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,7,1,7,103,99,92,4,651.0753144846847,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,7,2,12,108,99,92,4,658.7862839671277,stats_logLik,computed
Q1,ortho,full,SR_none__LR_none,7,3,15,111,99,92,4,660.6547108077713,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,1,0,0,4,50,49,4,397.62135641078874,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,1,1,7,11,50,49,4,412.6227424156213,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,1,2,12,16,50,49,4,420.4552519786997,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,1,3,15,19,50,49,4,425.5296000741045,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,2,0,0,20,50,48,4,405.6447641238665,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,2,1,7,27,50,48,4,414.5809580121642,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,2,2,12,32,50,48,4,421.5376699214967,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,2,3,15,35,50,48,4,425.5247833335267,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,3,0,0,36,50,47,4,407.13993150339013,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,3,1,7,43,50,47,4,423.8827564097665,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,3,2,12,48,50,47,4,434.12938378432665,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,3,3,15,51,50,47,4,437.6960309477632,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,4,0,0,52,50,46,4,414.5554589864753,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,4,1,7,59,50,46,4,426.5332582966749,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,4,2,12,64,50,46,4,433.60692078613994,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,4,3,15,67,50,46,4,437.2904767328406,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,5,0,0,68,50,45,4,430.6027736190956,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,5,1,7,75,50,45,4,442.344318586901,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,5,2,12,80,50,45,4,452.4179573758348,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,5,3,15,83,50,45,4,456.9310840262313,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,6,0,0,84,50,44,4,448.82990088719407,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,6,1,7,91,50,44,4,469.03111082717766,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,6,2,12,96,50,44,4,482.3512174279901,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,6,3,15,99,50,44,4,487.5805244859701,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,7,0,0,100,50,43,4,456.4149365991231,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,7,1,7,107,50,43,4,502.70551428477734,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,7,2,12,112,50,43,4,520.8304873324128,stats_logLik,computed
Q1,ortho,post_fordism,SR_const__LR_none,7,3,15,115,50,43,4,535.5582950109161,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,1,0,0,0,50,49,4,389.81770665181193,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,1,1,7,8,50,49,4,406.52355329552364,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,1,2,12,14,50,49,4,419.0958048136414,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,1,3,15,18,50,49,4,424.913527250986,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,2,0,0,16,50,48,4,399.7265618458531,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,2,1,7,24,50,48,4,411.7852889626354,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,2,2,12,30,50,48,4,419.5828275383549,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,2,3,15,34,50,48,4,423.9122357917129,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,3,0,0,32,50,47,4,399.98681296138545,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,3,1,7,40,50,47,4,422.32380588868125,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,3,2,12,46,50,47,4,432.76984818783103,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,3,3,15,50,50,47,4,437.31529608253453,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,4,0,0,48,50,46,4,410.49099097804503,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,4,1,7,56,50,46,4,422.92474102319625,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,4,2,12,62,50,46,4,430.30501597872217,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,4,3,15,66,50,46,4,434.8423985331812,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,5,0,0,64,50,45,4,420.47812904732484,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,5,1,7,72,50,45,4,435.1088107079828,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,5,2,12,78,50,45,4,445.3329540225737,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,5,3,15,82,50,45,4,453.2749547463085,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,6,0,0,80,50,44,4,436.7855306049204,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,6,1,7,88,50,44,4,456.9868752420036,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,6,2,12,94,50,44,4,474.9705684555905,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,6,3,15,98,50,44,4,482.6478609726377,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,7,0,0,96,50,43,4,445.99197225172776,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,7,1,7,104,50,43,4,492.87788565655643,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,7,2,12,110,50,43,4,515.6222470051797,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_const,7,3,15,114,50,43,4,533.7247643998451,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,1,0,0,0,50,49,4,389.81770665181193,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,1,1,7,7,50,49,4,404.4852157986501,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,1,2,12,12,50,49,4,413.6315068711382,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,1,3,15,15,50,49,4,415.7244990247662,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,2,0,0,16,50,48,4,399.7265618458531,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,2,1,7,23,50,48,4,411.50961516477537,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,2,2,12,28,50,48,4,416.5221413445026,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,2,3,15,31,50,48,4,420.56951408026305,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,3,0,0,32,50,47,4,399.98681296138545,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,3,1,7,39,50,47,4,421.8190790301943,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,3,2,12,44,50,47,4,426.86252652635625,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,3,3,15,47,50,47,4,430.86533582969264,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,4,0,0,48,50,46,4,410.49099097804503,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,4,1,7,55,50,46,4,422.52304650193906,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,4,2,12,60,50,46,4,427.67162780451446,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,4,3,15,63,50,46,4,431.6477455419202,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,5,0,0,64,50,45,4,420.47812904732484,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,5,1,7,71,50,45,4,433.874696509981,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,5,2,12,76,50,45,4,443.9739670607179,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,5,3,15,79,50,45,4,448.7636411308112,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,6,0,0,80,50,44,4,436.7855306049204,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,6,1,7,87,50,44,4,454.76938854052537,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,6,2,12,92,50,44,4,462.6995659999953,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,6,3,15,95,50,44,4,468.56868999414417,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,7,0,0,96,50,43,4,445.99197225172776,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,7,1,7,103,50,43,4,469.8540788103544,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,7,2,12,108,50,43,4,488.08512188084643,stats_logLik,computed
Q1,ortho,post_fordism,SR_none__LR_none,7,3,15,111,50,43,4,496.21037558890816,stats_logLik,computed
Q1,raw,fordism,SR_const__LR_none,1,0,0,4,49,48,4,312.391443491386,stats_logLik,computed
Q1,raw,fordism,SR_const__LR_none,1,1,7,11,49,48,4,330.7630171856451,stats_logLik,computed
Q1,raw,fordism,SR_const__LR_none,1,2,12,16,49,48,4,339.07516065823427,stats_logLik,computed
Q1,raw,fordism,SR_const__LR_none,1,3,15,19,49,48,4,341.9650445028389,stats_logLik,computed
Q1,raw,fordism,SR_const__LR_none,2,0,0,20,49,47,4,317.94939199356054,stats_logLik,computed
