year,y,k,k_NR,k_ME,pi,s_ME,phi_ME,log_phi_ME,pi_kME,pi_kNR,K_NR,K_ME,K_total,GDP_real,omega,exploitation_rate,FBKF_ME,FBKF_NR,M_CIF,I_total
1940,15.403585026344988,17.215269849471532,16.97012133359104,15.689307348605688,0.3925292199125293,0.2174116971801757,0.2778110743500731,-1.2808139849853553,6.158511574516104,6.661268488895463,23443910.374054376,6512977.92798287,29956888.302037247,4894315.689626395,0.6074707800874707,0.6461697134733104,85435.38731761066,596470.0,582012.7645909144,690555.4889645526
1941,15.40519050826264,17.220461580560436,16.981132201544213,15.67326783827331,0.3837399025721505,0.21284443285778393,0.2703969097627295,-1.307864363270905,6.01445827324622,6.516338016585384,23703474.566572443,6409346.273440642,30112820.840013087,4902179.736068375,0.6162600974278495,0.6226914644868403,81536.57192469586,590749.0,578138.0746753257,680813.6443539177
1942,15.43758890881989,17.21463774459649,16.980861609395166,15.64663446883326,0.4324351563139126,0.20846100621961414,0.26336163834962256,-1.3342271405619066,6.766154822316564,7.343121544403716,23697061.46015685,6240896.930218607,29937958.390375458,5063603.332230072,0.5675648436860874,0.7619132177134755,67028.2419176009,467716.0,538340.2364646503,541527.5759896482
1943,15.465807547201381,17.20812313980782,16.978886878629247,15.622691504763013,0.3969008023426503,0.2048593495559751,0.2576391352166147,-1.356195373866235,6.200658792992146,6.738933825013046,23650312.31750648,6093246.01308522,29743558.3305917,5208526.473803688,0.6030991976573497,0.6581020234885957,67266.70795273315,506838.0,473842.0720374444,581387.3371446126
1944,15.484557595714834,17.20273952148874,16.97972454234691,15.592787154993298,0.3745632789412643,0.19989713564949152,0.24983929511583491,-1.3869373873536133,5.840485484607517,6.359981300100917,23670131.62584511,5913729.000700173,29583860.62654528,5307107.913129927,0.6254367210587357,0.5988827747549036,52088.1369046341,593541.0,486883.6704635191,653819.067303074
1945,15.567324070535784,17.208855130205425,16.992105226545007,15.573425826470492,0.3955444366604547,0.1948686954805055,0.242033435275261,-1.4186794000745144,6.159981945404647,6.721132689508913,23965005.65500108,5800332.645070968,29765338.30007205,5765048.188974463,0.6044555633395453,0.6543813319793412,64565.38731761066,617340.0,519109.13972343673,690555.4889645526
1946,15.649521142658346,17.22512411808342,17.0096204728248,15.584529168753797,0.4280564498174862,0.19386466831900726,0.24048650480900174,-1.4250913040710016,6.671058228053809,7.281077752340215,24388456.22607037,5865094.5954950005,30253550.82156537,6258938.391410903,0.5719435501825137,0.7484242976092458,97988.8837273088,846442.0,541096.3116515432,956411.1720410414
1947,15.535723871028182,17.264582067983152,17.046314096792216,15.63540058728422,0.3181139436169278,0.19609001191673853,0.24392035778068896,-1.4109135095079979,4.9738389408514125,5.422670201463401,25299978.32029935,6171179.763731091,31471158.084030442,5585719.844217188,0.6818860563830722,0.4665206754692996,166934.85797132712,871124.0,582855.646741784,1051226.8352361529
1948,15.689274583530272,17.294218778450105,17.073129000226366,15.676523332124308,0.4052710173753241,0.1983552931784278,0.24743541807303063,-1.396605668102059,6.353240559718024,6.91924435970189,25987572.481264614,6430245.861604895,32417818.34286951,6512764.533265854,0.5947289826246759,0.6814381495026017,159160.3024981656,762653.0,580107.239655693,933506.682422144
1949,15.667443486609544,17.337604460160986,17.112476367717242,15.736065561134811,0.4095584148592532,0.2015860585838371,0.2524831395432297,-1.37641080658243,6.444838067339658,7.008558695478705,27030498.693628725,6824745.17358655,33855243.867215276,6372124.488415103,0.5904415851407467,0.6936476446888893,194642.2731350009,859572.0,624738.0881728947,1067587.1849639367
1950,15.715544986005515,17.369501624704515,17.140298198772616,15.783942532787343,0.4359385034043879,0.2048332404879316,0.25759784100334093,-1.3563556659852716,6.880828285564178,7.472115944677859,27793095.89656233,7159441.49775327,34952537.3943156,6686124.62849127,0.5640614965956121,0.7728563393096154,177958.32990605346,795332.0,596816.9958279894,985636.7058729464
1951,15.758133041729227,17.413966398861096,17.179261066348822,15.849483498744302,0.4732551168639584,0.20919616051955486,0.2645360961537514,-1.3297775676045187,7.500849165431615,8.130173203591362,28897367.71327704,7644396.843989766,36541764.5572668,6977024.132144125,0.5267448831360416,0.8984522337386075,223595.0105857032,884079.0,722268.2972900824,1121725.0695176946
1952,15.820579900479899,17.45963331168953,17.219706267056246,15.914646798391335,0.3624406770435748,0.2133147481159137,0.27115640925647405,-1.3050594686649126,5.7681153605183155,6.241121997923353,30090084.807280608,8159119.350564993,38249204.1578456,7426608.858644058,0.6375593229564251,0.5684814949656792,230257.73687772267,928673.0,740648.9882724957,1173631.997290391
1953,15.893263284327064,17.497161891996292,17.254107460436504,15.963625080402803,0.5664285318081934,0.2157711741884406,0.27513802998142756,-1.2904823800336997,9.042252716629013,9.773218756475845,31143230.50866421,8568687.089411363,39711917.59807557,7986500.879432823,0.4335714681918065,1.3064248304217578,187035.26231345176,983498.0,735366.9174923102,1185381.7030039812
1954,15.860338646771549,17.525033944908937,17.280173743955295,15.998032946031431,0.5747734837359142,0.2171860327612486,0.27744271544788207,-1.282140797923865,9.195245129312417,9.93218566237506,31965691.46708138,8868648.241796251,40834339.70887763,7727829.923252009,0.4252265162640857,1.3516877752255525,155607.7107846071,978429.0,723020.8142910338,1148422.1856643965
1955,15.897281785343345,17.56203532508957,17.313012267945894,16.049896528194825,0.5815005590394793,0.22043800129553143,0.2827716097781458,-1.2631157397510675,9.333023803671088,10.0675263124679,33032823.213870887,9340744.595703175,42373567.80957406,8018659.212204488,0.4184994409605206,1.3894894523750043,204887.08428022775,1108181.0,845842.1178349766,1329724.6067386563
1956,15.913928502478369,17.606673415293965,17.35234600833116,16.113070523610098,0.4882659560995566,0.22456212327977523,0.28959395719690445,-1.239275484721063,7.8674637849100675,8.472559814328138,34358019.314789146,9949874.774817465,44307894.08960661,8153260.792823005,0.5117340439004434,0.954140069278931,287848.73590008373,963021.0,823209.1245422151,1266737.2602866883
1957,16.011616639182336,17.669392997878774,17.4068116724141,16.20377912565282,0.4635676322725889,0.2309361826470371,0.30028220992361243,-1.2030325467612821,7.511547523146878,8.069234472395868,36281251.289858736,10894614.316112695,47175865.60597143,8989939.162489288,0.5364323677274111,0.8641678991826822,463816.31385917775,966966.0,955705.0146012476,1448932.064073373
1958,16.06507652300002,17.726984550005216,17.457195575111342,16.285005778912673,0.5532199673134668,0.23645939642589145,0.30968804451136295,-1.1721897961986678,9.009190364709687,9.657669165447894,38156076.230578974,11816480.6340745,49972556.864653476,9483618.720824605,0.4467800326865331,1.2382378952499278,477406.7326300344,930758.0,891160.8967501206,1426027.5744544754
1959,16.006793843735952,17.758271653507443,17.486489930442836,16.322700597175576,0.4249223807236809,0.2379794255463081,0.31230052510973266,-1.1637893332672598,6.935880797591693,7.430400931744443,39290366.9274163,12270402.223186186,51560769.15060249,8946686.907058401,0.5750776192763191,0.7388957011723142,257997.31696066036,956229.0,904427.2186796456,1229629.012495033
1960,16.0864941939034,17.804186530841484,17.529891450814574,16.37662111793064,0.3906873342548224,0.23989225044970172,0.31560295312293407,-1.1532703328839358,6.39813844866555,6.848706560695147,41033175.2866967,12950191.296492476,53983366.583189175,9688926.504720556,0.6093126657451776,0.6411935221747267,313580.96729950694,1259369.0,1217845.9497959046,1592903.141677872
1961,16.133210487830446,17.85490661321788,17.575031007066535,16.444820408870882,0.3411037387456055,0.2441222378482496,0.3229652333643327,-1.1302105981956525,5.609389724465895,5.994908785080339,42927834.96014376,13864198.235728389,56792033.19587215,10152296.43718576,0.6588962612543945,0.5176895951666481,397303.1144293477,1195868.0,1448198.9616012543,1613380.797967699
1962,16.17950836250323,17.902716261687925,17.620314887880212,16.500410399571066,0.4058094806227487,0.24602900041876208,0.3263109596462049,-1.1199044883091425,6.696022974312136,7.150490833059956,44916460.44551279,14656733.31188608,59573193.757398866,10633376.753748316,0.5941905193772513,0.6829618908225973,361904.5845985093,1426754.0,1277257.926280826,1811348.0644826824
1963,16.240849479811228,17.950732460521472,17.671518770239988,16.538593977504213,0.4423185577929475,0.2436217447379116,0.3220898314342677,-1.1329247927357768,7.315327036052791,7.816440696463553,47276257.424464405,15227201.784688788,62503459.20915319,11306060.64095473,0.5576814422070525,0.7931383838817541,302885.753904942,1749825.0,1201729.335228026,2078749.7865966992
1964,16.262856465148943,17.996415589252692,17.718577498618217,16.579994151511734,0.3232257260268422,0.24258055511111193,0.3202724154338261,-1.1385833471064806,5.359080647143178,5.727100076153742,49554196.0656108,15870842.068814576,65425038.13442538,11557630.950735234,0.6767742739731578,0.4775975365157895,339476.494051527,1596262.0,1263576.2182765342,1960293.711016905
1965,16.27090691739565,18.030554944015677,17.755347876938004,16.60587371634326,0.3618911308274272,0.24058514287199104,0.31680331325337413,-1.1494741605947438,6.009518417584913,6.425502921419453,51410237.15006076,16286933.464280952,67697170.6143417,11651050.637611322,0.6381088691725728,0.5671307018451045,292369.8038919817,1526405.0,1283471.1189187055,1841846.313839204
1966,16.376627828568118,18.067428020945595,17.79132273452902,16.645576770810386,0.4465043432389359,0.2412669577274257,0.3179866228110713,-1.145745963718637,7.432322323883979,7.94390287293283,53293382.970220126,16946582.86887736,70239965.83909748,12950278.200823154,0.553495656761064,0.8066989104337007,374517.2499430633,1502754.0,1649240.5779394894,1901084.7986155064
1967,16.408577693072512,18.10481726389435,17.828125961899108,16.684806672639425,0.4208083749961733,0.2417114568558215,0.3187592098564296,-1.143319289259685,7.021106383038705,7.502224715253853,55291290.68187879,17624608.12969785,72915898.81157663,13370718.576514369,0.5791916250038267,0.726544302144205,392800.3952703527,1524602.0,1514470.433940269,1941725.0152784176
1968,16.44375368102013,18.14573710666638,17.866935578673235,16.73231789000144,0.4605920902878909,0.24330992989062497,0.3215450281453488,-1.1346176886717962,7.7067732723172355,8.229369205220193,57479307.91611951,18482185.68166382,75961493.59778333,13849416.79463108,0.5394079097121091,0.8538845686073023,453511.934198182,1645258.0,1655307.560991126,2125393.2364949626
1969,16.480286233867023,18.184149808898685,17.904431062240413,16.773577763072606,0.4994685477009487,0.24400366194601605,0.32275772998333263,-1.1308532991678062,8.377874525070801,8.942700180068973,59675437.54176207,19260708.756741274,78936146.29850334,14364726.830165416,0.5005314522990513,0.9978764479370468,439353.3054571149,1765306.0,1932609.3144010664,2232625.834896188
1970,16.500640555722857,18.22577512332102,17.945872572351018,16.815772343841342,0.4907232338076646,0.24414260456308637,0.323000880902889,-1.1301002285096733,8.251890183543315,8.806456622204363,62200436.312238365,20090795.721397035,82291232.03363541,14660107.037449896,0.5092767661923354,0.9635688615379248,463040.939347318,1883912.0,1882748.6799049375,2376724.491036919
1971,16.586407474257214,18.257833724950842,17.978731469100005,16.84534918964607,0.4376829945785254,0.24353745346129343,0.3219425133149433,-1.133382279453936,7.372922878045227,7.868985028118861,64278223.98526099,20693892.981235795,84972116.9664968,15972953.989602089,0.5623170054214746,0.7783563192268533,413042.03750658507,1879489.0,1828785.044966112,2321612.236851861
1972,16.57420161976761,18.273581580124123,17.997078991646582,16.85297873235214,0.3096522614921518,0.24156834405417868,0.31851036564781143,-1.1441002592944434,5.2185629773519775,5.572836210016259,65468455.66139735,20852381.7511092,86320837.41250655,15779175.459507676,0.6903477385078481,0.4485453405865421,314937.2104567951,1516974.0,1966210.8920168497,1855149.358260492
1973,16.516943008225347,18.289431334228194,18.01399167234976,16.865483944933818,0.4549713277689885,0.24076175827867208,0.31710963048018026,-1.1485077274159432,7.673311623893097,8.195849709588472,66585119.01622471,21114782.48671384,87699901.50293855,14901061.473721752,0.5450286722310115,0.8347658590264918,363762.5149791797,1357787.0,2197100.2870430625,1743387.7033433928
1974,16.526640932623458,18.309942952777075,18.037529921545367,16.876390695827602,0.6055290191679406,0.23846034353876172,0.31312925271265785,-1.1611392257177655,10.219144305139446,10.922247801605746,68171007.4377743,21346336.615659308,89517344.05343361,15046273.832487073,0.3944709808320595,1.5350407218566378,319294.3896845518,1731299.0,2215248.768228875,2076605.5632018975
1975,16.388409597099926,18.321485268241183,18.04958195266447,16.8863034570389,0.5072800581286633,0.23807207590932397,0.31246010072862396,-1.1632784956255715,8.566084999264941,9.156192982145704,68997577.45963056,21558990.0030672,90556567.46269776,13103757.735814266,0.4927199418713367,1.029550491100538,340804.3957237621,1268978.0,1518019.9843459616,1630202.7965762084
1976,16.422987171700672,18.326128081977956,18.05580579720955,16.885869458845093,0.514418717098972,0.23686649160579262,0.3103867003615256,-1.169936338364458,8.686407304119806,9.28824445438872,69428346.78585592,21549635.47041755,90977982.25627348,13564778.453149129,0.485581282901028,1.0593874500797464,312904.26017669257,1062192.0,1562866.4789979763,1392539.6220360966
1977,16.517011773888736,18.342186793953022,18.070319573696874,16.906889454217595,0.4955816870877308,0.23804457338030538,0.3124127279155367,-1.1634301194792789,8.37874479912692,8.955319460547141,70443362.32969253,22007402.9889618,92450765.31865433,14902086.19033145,0.5044183129122691,0.9824815523181152,461772.1124494333,1180690.0,1922839.6209153216,1663297.0618253667
1978,16.5959837015192,18.37017956977187,18.095528402570935,16.943741596002926,0.5544339327928663,0.24016286688581376,0.316071505878514,-1.1517868065680068,9.39418528929798,10.032774978202418,72241729.12106404,22833552.11056241,95075281.23162645,16126649.363426292,0.4455660672071336,1.2443360785262008,570520.7199694905,1353878.0,2507780.64606889,1948810.0897087175
1979,16.67554930097866,18.40390121315962,18.124771077996005,16.991503270075413,0.5700004156741824,0.24355854282325334,0.3219793686774951,-1.133267807920594,9.685163926872214,10.331127048457121,74385462.03809945,23950584.10581104,98336046.1439105,17462203.461874485,0.4299995843258176,1.3255836434536732,639090.9943282104,1570815.0,2907185.893682064,2237939.0790297715
1980,16.752000091985142,18.450497779269586,18.165193996152787,17.057034423077138,0.5359836793237787,0.2482141602186772,0.3301660487391955,-1.1081595730756475,9.14229206843323,9.736247513688184,77453940.08438815,25572661.356944826,103026601.44133298,18849559.294542957,0.4640163206762214,1.1550966107025666,817640.1894494977,1982988.0,3255273.058376353,2836154.6993797463
1981,16.8122688938105,18.511376320693977,18.220144127647927,17.135657321886402,0.4584837707650881,0.25265786977508325,0.3380752396483314,-1.0844868057615245,7.856420783476869,8.353640383527399,81829152.66655028,27664410.39796388,109493563.06451416,20020531.77748469,0.5415162292349118,0.8466667220904217,963184.9234732096,2355052.0,3776090.426400716,3360329.400245666
1982,16.66622576458749,18.529329766887123,18.239077106983167,17.15070775682951,0.3935823250283417,0.2519254647411029,0.33676519232661134,-1.088369350153656,6.7502154348145735,7.1785783741376346,83393181.46590629,28083920.79509393,111477102.26100022,17300150.599222537,0.6064176749716583,0.6490284522903067,369350.46739886457,1596046.0,2407704.251138973,1990327.901488888
1983,16.63780534237784,18.535254675065193,18.249776760916916,17.14231853836611,0.4297521152859404,0.24834505806538917,0.3303976920928614,-1.107458222550808,7.366947652768225,7.842880166500242,84290250.25259805,27849304.149388123,112139554.40198617,16815394.135125805,0.5702478847140596,0.7536233396138448,293666.5699350881,1346925.0,2066446.9820286797,1661402.7911176605
1984,16.69499388609253,18.55142366087938,18.272122682606383,17.139556134436752,0.4352389520272787,0.2436877645952251,0.3222052390370288,-1.1325665481696312,7.459802450164968,7.95273952769147,86194995.974277,27772479.28168766,113967475.25596467,17805071.42309382,0.5647610479727213,0.7706603590839383,482836.496631524,1586158.0,2376495.7271630587,2095240.091747332
1985,16.71448548695257,18.571316742787815,18.297066674183554,17.143608696085174,0.5185956372187042,0.23985803614851423,0.3155437372950731,-1.1534579780983802,8.890600675974408,9.488778951131337,88372082.9663679,27885257.331758,116257340.2981259,18155525.125029195,0.4814043627812959,1.0772557901688655,456385.2694100285,1865311.0,2115726.339861316,2351147.43535949
1986,16.768937942973665,18.588783542330376,18.31989839386672,17.143880674877337,0.5224672093546492,0.2357689762848522,0.30850484862379846,-1.1760177189893801,8.957115493712262,9.571546189504264,90412979.52449308,27892842.561830327,118305822.08632341,19171549.534458723,0.4775327906453508,1.0940970328939563,430451.8327201429,1947381.0,2441012.277356758,2407996.101826103
1987,16.831647050468604,18.619120712072302,18.353073725882933,17.16496234365964,0.5534141651801234,0.23359688370694456,0.3047963646557281,-1.188111382223292,9.499333305764655,10.156850974498761,93462769.3212386,28487112.319770444,121949881.64100905,20412276.161992937,0.4465858348198765,1.239211193080798,618617.7969831679,2275501.0,2841760.720296128,2930831.2533412366
1988,16.902500133513435,18.657395755349626,18.392022911039,17.20102241204609,0.5843663000459314,0.23308004507854474,0.30391704321009066,-1.1910004989929106,10.051697823934516,10.74767837888386,97174890.80805472,29533105.48864741,126707996.29670212,21911017.12835289,0.4156336999540685,1.4059646754113282,766876.8591373282,2536838.0,3229339.901199308,3345623.120716643
1989,17.003031323349642,18.715954058265726,18.447785626206695,17.268724460014795,0.5837560092087968,0.23522104304031413,0.307567357730939,-1.1790611661919013,10.08072167490457,10.769005715893824,102747556.10655376,31601794.34500415,134349350.4515579,24228285.317068763,0.4162439907912031,1.4024370852758357,1152396.6129360646,3142369.0,4168721.185974847,4349245.54489235
