"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE","Y_NFC_real","NFC_GVA_nominal","NFC_NVA_nominal","NFC_GOS","NFC_TAX_PROD_IMPORTS_NET_SUBSIDIES","NFC_NET_INTEREST","NFC_CURRENT_TRANSFERS_NET","NFC_RETAINED_EARNINGS_OR_NET_SAVING_IF_AVAILABLE","Y_CORP_GVA_raw_nominal","Y_CORP_NVA_raw_nominal","CORP_GVA_nominal_raw","CORP_NVA_nominal_raw","CORP_GOS_raw","CORP_NOS_raw","CORP_TAX_PROD_IMPORTS_NET_SUBSIDIES","CORP_NET_INTEREST","CORP_CURRENT_TRANSFERS_NET","CORP_PROFITS_BEFORE_TAX","CORP_TAXES_ON_CORPORATE_INCOME_OR_PROFITS","CORP_PROFITS_AFTER_TAX","CORP_UNDISTRIBUTED_PROFITS_OR_RETAINED_EARNINGS","omega_NFC_GVA","omega_NFC_NVA","omega_CORP_raw_GVA","omega_CORP_raw_NVA","NFC_GOS_share_GVA","NFC_NOS_share_GVA","NFC_NOS_share_NVA","CORP_GOS_raw_share_GVA","CORP_NOS_raw_share_GVA","CORP_NOS_raw_share_NVA","CORP_PBT_share_GVA","CORP_profit_share_GVA","ln_Y_NFC","ln_K_ME","ln_K_NRC","ln_K_capacity","c_ME_NRC","ME_share_capacity","NRC_share_capacity","d_ln_Y_NFC","d_ln_K_ME","d_ln_K_NRC","d_ln_K_capacity","d_c_ME_NRC","omega_NFC","d_omega_NFC","omega_c_NFC","d_omega_c_NFC","omega_c_CORP_raw","s_ME_lag","s_NRC_lag","growth_contribution_ME","growth_contribution_NRC","growth_contribution_capacity_sum","growth_weight_guard_status","w_growth_ME_capacity","w_growth_NRC_capacity"
"1935","4184","23056","0.620669233047083","0.699450899493371","2685","37147","1525","5752","32963","2768","3631","951","368","223","115","30","4.7700265243766","21776.6568507313","883.492883607732","656.940918885182","226.55196472255","164478.728739063","27.2489183307013","164451.479820732","4020","21537","0.616558357905585","0.69674226003688","3170","34931","1670","5298","30911","3261","4212","576","863","312","-717","10.6590217659965","0.537147198534923","2410.88806136208","0.137762192817914","327713","327713","34931","30911","12531","863","1670","312","576","37147","32963","37147","32963","13140","5752","951","1525","368","3631","951","2768","223","0.616558357905585","0.69674226003688","0.620669233047083","0.699450899493371","0.358735793421316","0.151670436002405","0.171395296172883","0.353729776294183","0.154844267370178","0.174498680338561","0.0977467897811398","0.0745147656607532","12.6998935043303","3.30501382603522","12.0103708501826","12.0105365322494","-8.70535702414734","0.000165668342281088","0.999834331657717","0.0843106099833797","0.152947627059875","0.131824829126796","0.131828291812234","0.0211227979330797","0.616558357905585","-0.00550364184031737","-5.36736063179014","0.061050857075478","-5.40314726757857","0.000162206224515427","0.999837793775491","2.48090571339758E-05","0.131803446318966","0.1318282553761","OK","0.000188192258656512","0.999811807741343"
"1936","4248","26274","0.614970508379365","0.682867241917039","4419","42724","1359","7838","38476","4851","6108","1409","353","298","132","43","5.99027955185279","28285.7861368216","998.938088826904","708.769305392811","290.168783434092","190907.796030181","32.1645930081474","190875.631437173","4080","24641","0.61320426040215","0.68250055395524","4298","40184","1600","7181","36104","5594","7003","1175","1257","318","-292","10.7303838841298","0.523256833717245","2203.56994790289","0.152019815860885","374488","374488","40184","36104","14286","1257","1600","318","1175","42724","38476","42724","38476","15041","7838","1409","1359","353","6108","1409","4851","298","0.61320426040215","0.68250055395524","0.614970508379365","0.682867241917039","0.355514632689628","0.178702966354768","0.198897629071571","0.35205036981556","0.18345660518678","0.203711404511904","0.142964141934276","0.113542739443872","12.8333150387024","3.47086625153085","12.1593773506342","12.1595458471732","-8.6885110991034","0.000168482344236285","0.999831517655765","0.133421534372074","0.165852425495625","0.14900650045168","0.149009314923862","0.0168459250439454","0.61320426040215","-0.00335409750343518","-5.32783202252157","0.0395286092685678","-5.34317808767537","0.000165668342281088","0.999834331657717","2.74764963951578E-05","0.148981814791761","0.149009291288156","OK","0.000184394517668186","0.999815605482332"
"1937","4744","30548","0.63195349510747","0.700722559926597","4538","48339","1304","8426","43595","5129","6488","1502","342","740","153","65","7.67167072272289","38299.1450028451","1154.12887238452","769.091050670536","385.037821713986","226909.630645653","38.5634855982832","226871.067160055","4556","28781","0.629079145811021","0.698652749120039","4424","45751","1590","7885","41195","5855","7357","1317","1359","326","186","11.277218790517","0.508629302820043","1994.3504554598","0.169716582433293","405694","405694","45751","41195","15611","1359","1590","326","1317","48339","43595","48339","43595","16289","8426","1502","1304","342","6488","1502","5129","740","0.629079145811021","0.698652749120039","0.63195349510747","0.700722559926597","0.341216585429827","0.172345959651155","0.191406724117004","0.336974285773392","0.174310598067813","0.193279045762129","0.13421874676762","0.10610480150603","12.913354459832","3.65230585980339","12.3321371490193","12.332307114317","-8.6798312892159","0.00016995085439324","0.999830049145608","0.0800394211296336","0.181439608272541","0.172759798385043","0.172761267143736","0.0086798098874965","0.629079145811021","0.0158748854088704","-5.46030085320371","-0.132468830682137","-5.48524972016317","0.000168482344236285","0.999831517655765","3.05693705390709E-05","0.172730691409221","0.17276126077976","OK","0.000176945748144553","0.999823054251855"
"1938","4820","27266","0.634093023255814","0.714143530644316","2918","43000","1321","6339","38180","2419","3331","1029","311","760","126","38","7.18453787996893","21842.8069450577","1203.57666672306","775.80256998376","427.774096739301","245933.368245604","44.2363726303617","245889.131872974","4632","25513","0.633989364345709","0.716456051670879","2745","40242","1524","5613","35610","3273","4302","355","912","297","135","10.696770660833","0.489391364542731","1753.76624224222","0.173970314784099","376207","376207","40242","35610","13817","912","1524","297","355","43000","38180","43000","38180","14705","6339","1029","1321","311","3331","1029","2419","760","0.633989364345709","0.716456051670879","0.634093023255814","0.714143530644316","0.343347746135878","0.139481139108394","0.157624262847515","0.341976744186047","0.147418604651163","0.166029334730225","0.0774651162790698","0.0562558139534884","12.8378948027998","3.78954736086788","12.412636029883","12.4128159174349","-8.62308866901512","0.000179871373071199","0.99982012862693","-0.0754596570322068","0.137241501064491","0.0804988808637095","0.0805088031178993","0.056742620200783","0.633989364345709","0.00491021853468798","-5.46694650396558","-0.00664565076186818","-5.46784036393875","0.00016995085439324","0.999830049145608","2.3324310364121E-05","0.0804852000101291","0.0805085243204932","OK","0.000289712307621863","0.999710287692378"
"1939","4824","29816","0.630053039748114","0.70156944869291","3582","47323","1336","7932","42499","5143","6473","1441","328","1245","136","40","8.85524606841754","23479.8884526785","1241.19718767192","788.0205316581","453.176656013822","266064.742988433","51.3096743735124","266013.433314059","4636","28023","0.630537992484756","0.703971663275303","3425","44443","1476","7132","39807","6013","7454","2431","1330","306","595","10.5770580913554","0.466501939990555","1535.81277074894","0.170358560606522","420183","420183","44443","39807","15090","1330","1476","306","2431","47323","42499","47323","42499","16066","7932","1441","1336","328","6473","1441","5143","1245","0.630537992484756","0.703971663275303","0.630053039748114","0.70156944869291","0.339536034921135","0.160475215444502","0.179164468560806","0.339496650677261","0.167614056589819","0.186639685639662","0.136783382287683","0.108678655199375","12.9484456096494","3.93787931867594","12.4913020876694","12.4914949528415","-8.55342276899343","0.000192846574849427","0.999807153425149","0.110550806849533","0.148331957808058","0.0786660577863696","0.0786790354066476","0.0696659000216879","0.630537992484756","-0.00345137186095279","-5.39325802163452","0.0736884823310584","-5.38911001585504","0.000179871373071199","0.99982012862693","2.66806729212747E-05","0.0786519080145416","0.0786785886874628","OK","0.000339109704004212","0.999660890295996"
"1940","5040","32856","0.607263654006099","0.66964231121981","3782","54105","1120","11073","49065","6577","9252","2834","347","2990","158","68","11.4658835849172","33170.8919831564","1441.64857488439","836.285953535867","605.36262134852","295360.954858365","60.688337892049","295300.266520473","4844","31010","0.607110693449235","0.67071851883895","3710","51078","1335","10197","46234","7536","10370","3754","2675","317","2160","10.7731310796332","0.488097208236513","1378.00108321212","0.204999009476529","474124","474124","51078","46234","17393","2675","1335","317","3754","54105","49065","54105","49065","18415","11073","2834","1120","347","9252","2834","6577","2990","0.607110693449235","0.67071851883895","0.607263654006099","0.66964231121981","0.340518422804338","0.199635851051333","0.220551974737206","0.340356713797246","0.204657610202384","0.225680220116172","0.171000831716108","0.121559929766195","13.0692241698405","4.10575155262233","12.595747970273","12.5959534631542","-8.48999641765067","0.000205471769012769","0.999794528230987","0.120778560191185","0.167872233946395","0.104445882603631","0.104458510312718","0.0634263513427644","0.607110693449235","-0.0234272990355212","-5.15436761250141","0.238890409133105","-5.15566624708124","0.000192846574849427","0.999807153425149","3.2373585328884E-05","0.104425740572914","0.104458114158243","OK","0.000309919297220334","0.99969008070278"
"1941","5584","41598","0.594639411049961","0.646222677913967","4200","69955","1000","16721","64371","9787","17139","7610","419","3492","187","117","12.1564224967303","46835.7164212816","1926.44737435723","1082.88844459691","843.558929760319","337751.479908532","70.395986360145","337681.083922172","5364","39642","0.594511097780444","0.646519668601996","4144","66680","1237","15756","61316","10761","18371","6561","7352","367","2656","11.6850845188402","0.570374221566382","1538.28151374549","0.249809352647879","570642","570642","66680","61316","19686","7352","1237","367","6561","69955","64371","69955","64371","20747","16721","7610","1000","419","17139","7610","9787","3492","0.594511097780444","0.646519668601996","0.594639411049961","0.646222677913967","0.295230953809238","0.23629274145171","0.256963924587383","0.296576370523908","0.239025087556286","0.259759829736993","0.245000357372597","0.139904224144093","13.2545173217825","4.254136249609","12.7298571903605","12.7300656374813","-8.47572094075153","0.000208425397215755","0.999791574602785","0.185293151941908","0.148384696986663","0.134109220087529","0.134112174327107","0.0142754768991331","0.594511097780444","-0.0125995956687907","-5.03891016096689","0.115457451534523","-5.03999770843231","0.000205471769012769","0.999794528230987","3.04888661842734E-05","0.134081664428837","0.134112153295021","OK","0.000227338577714159","0.999772661422286"
"1942","6388","52849","0.604140469603786","0.651732642742632","4029","87478","981","21820","81090","9627","20739","11415","428","4967","103","49","6.95978026031379","19500.6515672362","1987.02033162596","1102.3759334593","884.644398166665","352138.614203094","74.4882937974273","352064.125909297","6124","50790","0.604405412159509","0.651914412968977","3761","84033","1220","20842","77909","10683","22098","6654","11112","419","4330","12.9750035898853","0.564272207443845","1479.9317815726","0.251273655298404","647653","647653","84033","77909","22131","11112","1220","419","6654","87478","81090","87478","81090","23214","21820","11415","981","428","20739","11415","9627","4967","0.604405412159509","0.651914412968977","0.604140469603786","0.651732642742632","0.263360822534005","0.248021610557757","0.267517231642044","0.265369578636914","0.24943414344178","0.26908373412258","0.237076750725897","0.110050526989643","13.3811103380792","4.31064198280339","12.7715686138669","12.7717801674149","-8.46092663106352","0.000211531172081192","0.99978846882792","0.126593016296773","0.0565057331943937","0.0417114235063796","0.0417145299335271","0.0147943096880141","0.604405412159509","0.00989431437906485","-5.11382984769931","-0.0749196867324198","-5.11158818817389","0.000208425397215755","0.999791574602785","1.1777229886009E-05","0.0417027297863668","0.0417145070162529","OK","0.000282329355622502","0.999717670644377"
"1943","6552","64141","0.619827602868132","0.661724956153925","4208","103482","925","25979","96930","10258","23990","14074","526","6246","98","9","6.52386801931266","3280.87649818173","2126.62678578665","1167.66060180009","958.966183986563","349661.021883204","77.7312618111732","349583.290621392","6304","61991","0.621900080256822","0.663885795065113","3943","99680","1060","24744","93376","11400","25474","7192","13732","494","5515","13.836507669906","0.608196696999016","1502.1763118121","0.274316939543071","720413","720413","99680","93376","23957","13732","1060","494","7192","103482","96930","103482","96930","25267","25979","14074","925","526","23990","14074","10258","6246","0.621900080256822","0.663885795065113","0.619827602868132","0.661724956153925","0.240339085072231","0.248234349919743","0.264993145990404","0.244168067876539","0.251048491525096","0.268018157433199","0.231827757484393","0.0991283508242979","13.4875799376514","4.35325751636874","12.7644971259159","12.7647194552527","-8.41123960954712","0.000222304623467975","0.99977769537653","0.106469599572154","0.0426155335653515","-0.00707148795104118","-0.00706071216218973","0.0496870215163945","0.621900080256822","0.0174946680973131","-5.23095058823672","-0.117120740537406","-5.21351848433507","0.000211531172081192","0.99978846882792","9.0145137639442E-06","-0.00706999211090655","-0.0070609775971426","NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS","-0.00127666652951741","1.00127666652952"
"1944","6748","67074","0.62530531575709","0.667283471617024","4324","107266","692","25913","100518","10059","22616","12949","672","7276","89","9","6.33762360014213","3041.76877044257","2153.86429509275","1129.1698398296","1024.69445526315","346400.806593537","80.4073418592451","346320.399251678","6496","64833","0.627959009724536","0.670122379790797","4055","103244","990","24577","96748","11414","24363","7090","12557","630","6345","14.0875319802149","0.621783856762225","1404.31186222552","0.295880478735092","732875","732875","103244","96748","25854","12557","990","630","7090","107266","100518","107266","100518","27243","25913","12949","692","672","22616","12949","10059","7276","0.627959009724536","0.670122379790797","0.62530531575709","0.667283471617024","0.250416489093797","0.238047731587308","0.254031091081986","0.253976096806071","0.241577014151735","0.257794623848465","0.210840340834934","0.0937762198646356","13.5047304342665","4.38710548867309","12.7551196349556","12.755351784171","-8.36801414628249","0.000232122270874485","0.999767877729126","0.0171504966151357","0.0338479723043443","-0.00937749096029528","-0.00936767108168368","0.0432254632646387","0.627959009724536","0.00605892946771414","-5.25476987666046","-0.0238192884237423","-5.23256372800096","0.000222304623467975","0.99977769537653","7.52456073827173E-06","-0.00937540630069825","-0.00936788173995998","NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS","-0.000803229689180926","1.00080322968918"
"1945","6968","64069","0.63547276857004","0.682652658945372","4372","100821","603","21462","93853","8094","18278","10689","749","5049","99","29","7.76201149495209","9164.03827111259","2176.91351734479","1073.37262372953","1103.54089361526","348804.535593398","84.1568751894496","348720.378718208","6736","61658","0.638440192180252","0.686308993766696","4068","96576","942","20084","89840","9362","20051","4990","10184","667","4223","14.2161091173518","0.624106998391336","1275.44258423713","0.316454374611414","679342","679342","96576","89840","24734","10184","942","667","4990","100821","93853","100821","93853","26063","21462","10689","603","749","18278","10689","8094","5049","0.638440192180252","0.686308993766696","0.63547276857004","0.682652658945372","0.256109178263751","0.20796056991385","0.223552983081033","0.258507652175638","0.212872318267028","0.228676760465835","0.181291595996866","0.0802808938613979","13.4288799616208","4.43268261889716","12.7620256729355","12.7622669743539","-8.32934305403829","0.000241272307558384","0.99975872769244","-0.0758504726457012","0.0455771302240722","0.00690603797987954","0.0069151901828679","0.0386710922441917","0.638440192180252","0.0104811824557158","-5.31778738015545","-0.0630175034949962","-5.29307069091935","0.000232122270874485","0.999767877729126","1.05794669675538E-05","0.00690443493466091","0.00691501440162847","OK","0.00152992696082633","0.998470073039174"
"1946","8000","69854","0.660202066025877","0.71420245994663","5149","105807","54","18179","97807","14105","22678","9104","572","3299","227","176","18.321066927647","42208.7477424602","2815.95840678821","1215.84223412468","1600.11617266354","383841.879452978","98.1300746469518","383743.749378331","7752","66853","0.663415069811751","0.718702630645352","4856","100771","660","16641","93019","15768","24872","10619","8573","475","2077","15.301416851283","0.733624588020803","1239.01081141432","0.416975175558102","658573","658573","100771","93019","25345","8573","660","475","10619","105807","97807","105807","97807","26849","18179","9104","54","572","22678","9104","14105","3299","0.663415069811751","0.718702630645352","0.660202066025877","0.71420245994663","0.251510851336198","0.165136795308174","0.178898934626259","0.253754477492037","0.171812829018874","0.18586604230781","0.214333645221961","0.133308760289962","13.3978306520318","4.58629389091262","12.857730289486","12.8579859745105","-8.27143639857334","0.000255652339934348","0.999744347660065","-0.0310493095890081","0.15361127201546","0.0957046165505027","0.0957190001566612","0.0579066554649579","0.663415069811751","0.0249748776314995","-5.48739555580299","-0.169608175647537","-5.46081939933976","0.000241272307558384","0.99975872769244","3.70621460661486E-05","0.0956815256768234","0.0957185878228895","OK","0.000387199047845603","0.999612800952154"
"1947","9796","82136","0.644188764185941","0.697800470660199","5707","127503","277","24046","117707","18932","29709","11193","591","6278","285","190","22.4075379165395","37261.9476837628","3579.92229542368","1472.45705761851","2107.46523780517","413422.397515847","115.768902979168","413306.628612868","9476","78763","0.644483720777999","0.698656140506497","5359","122211","768","22780","112735","20457","31650","14750","10777","572","5305","17.3618845751693","0.865923645388964","1271.8934184627","0.509903565998494","703904","703904","122211","112735","32671","10777","768","572","14750","127503","117707","127503","117707","34174","24046","11193","277","591","29709","11193","18932","6278","0.644483720777999","0.698656140506497","0.644188764185941","0.697800470660199","0.267332727823191","0.186398932992938","0.202066793808489","0.268025066076877","0.188591640980997","0.204286915816392","0.233006282205125","0.148482780797315","13.4643972622055","4.75159598830825","12.9319450386312","12.932225103562","-8.18034905032298","0.000280025716252421","0.999719974283748","0.0665666101736431","0.165302097395633","0.0742147491452823","0.0742391290514917","0.0910873482503511","0.644483720777999","-0.0189313490337526","-5.27210179321493","0.215293762588065","-5.2696889453372","0.000255652339934348","0.999744347660065","4.22598679952492E-05","0.0741957759710056","0.0742380358390009","OK","0.000569248196260171","0.99943075180374"
