"variable_id","status","source_stage","baseline_regressor_status","notes"
"NFC_GVA_nominal","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_NVA_nominal","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_GOS","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_TAX_PROD_IMPORTS_NET_SUBSIDIES","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_NET_INTEREST","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_CURRENT_TRANSFERS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_RETAINED_EARNINGS_OR_NET_SAVING_IF_AVAILABLE","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"Y_CORP_GVA_raw_nominal","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"Y_CORP_NVA_raw_nominal","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_GVA_nominal_raw","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_NVA_nominal_raw","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_GOS_raw","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_NOS_raw","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_TAX_PROD_IMPORTS_NET_SUBSIDIES","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_NET_INTEREST","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_CURRENT_TRANSFERS_NET","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_PROFITS_BEFORE_TAX","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_TAXES_ON_CORPORATE_INCOME_OR_PROFITS","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_PROFITS_AFTER_TAX","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_UNDISTRIBUTED_PROFITS_OR_RETAINED_EARNINGS","AUTHORIZED_ACCOUNTING_INGREDIENT;AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_NFC_GVA","AUTHORIZED_BASELINE_ACCOUNTING","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_NFC_NVA","AUTHORIZED_BASELINE_ACCOUNTING","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_CORP_raw_GVA","AUTHORIZED_BASELINE_ACCOUNTING","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_CORP_raw_NVA","AUTHORIZED_BASELINE_ACCOUNTING","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_GOS_share_GVA","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_NOS_share_GVA","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NFC_NOS_share_NVA","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_GOS_raw_share_GVA","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_NOS_raw_share_GVA","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_NOS_raw_share_NVA","AUTHORIZED_COMPARISON_RAW;NOT_CLEANED;NOT_BASELINE_PRODUCTIVE_ORIGIN","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_PBT_share_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"CORP_profit_share_GVA","AUTHORIZED_SURPLUS_BRIDGE;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"ln_Y_NFC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"ln_K_ME","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"ln_K_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"ln_K_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"c_ME_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"ME_share_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"NRC_share_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_ln_Y_NFC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_ln_K_ME","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_ln_K_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_ln_K_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_c_ME_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_NFC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_omega_NFC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_c_NFC","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"d_omega_c_NFC","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"omega_c_CORP_raw","INTERACTION_INTEGRATION_REVIEW_REQUIRED;NOT_BASELINE_REGRESSOR","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"s_ME_lag","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"s_NRC_lag","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"growth_contribution_ME","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"growth_contribution_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"growth_contribution_capacity_sum","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"w_growth_ME_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"w_growth_NRC_capacity","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
"growth_weight_guard_status","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW","D10_DETERMINISTIC_CONSTRUCTION","NOT_BASELINE_REGRESSOR",""
