year,s_ME,phi,omega,theta_CL
1963,0.3353490137748875,0.5045490350951006,0.5576814422070525,0.824745237961993
1964,0.3334935870646295,0.5003606575905039,0.6767742739731578,0.826546804281046
1965,0.32995079233232943,0.49242770315456846,0.6381088691725728,0.8323002514158788
1966,0.33115940617394435,0.4951245621614712,0.553495656761064,0.8311800539081532
1967,0.331948420734035,0.4968904064245619,0.5791916250038267,0.8297533914895324
1968,0.33479285907285955,0.5032911381652301,0.5394079097121091,0.8257536548141438
1969,0.3360307783177435,0.5060939081880377,0.5005314522990513,0.824203090246213
1970,0.3362789634727919,0.5066570817648125,0.5092767661923354,0.8237479731466587
1971,0.3351986297944737,0.5042086927270404,0.5623170054214746,0.8249345356915954
1972,0.33169429343652457,0.4963212047704117,0.6903477385078481,0.829183423345501
1973,0.33026367661519607,0.49312492854809487,0.5450286722310115,0.8326206808662686
1974,0.32619705697070606,0.4841134345661719,0.3944709808320595,0.8401066899980932
1975,0.3255132134967449,0.48260873305510393,0.4927199418713367,0.8403170361528615
1976,0.3233939376852392,0.4779648834047762,0.485581282901028,0.8436102291376392
1977,0.32546479848754173,0.4825023182745342,0.5044183129122691,0.8402919450149647
1978,0.3292032487883183,0.4907645247143309,0.4455660672071336,0.8350909179744689
1979,0.33523625241227323,0.5042938241273963,0.4299995843258176,0.8260299139450472
1980,0.3435891915684156,0.5234362188358552,0.4640163206762214,0.8129964213154136
1981,0.35165112622255423,0.5423794818578844,0.5415162292349118,0.7999947522549572
1982,0.35031631366805627,0.539210574373371,0.6064176749716583,0.8014419470018805
1983,0.3438254184877059,0.5239846653238024,0.5702478847140596,0.8116869275284977
1984,0.33546682126432203,0.5048157593915361,0.5647610479727213,0.8245035855176353
1985,0.32866409026169835,0.48956727249971904,0.4814043627812959,0.8356066767370934
1986,0.3214699862812783,0.47377415852166016,0.4775327906453508,0.8466123205098173
1987,0.31767724987071266,0.46558208679179913,0.4465858348198765,0.8526525775844018
1988,0.31677770044810044,0.4636524607815977,0.4156336999540685,0.8542786908967445
1989,0.3205113581622714,0.4716949459161299,0.4162439907912031,0.8485849736357954
1990,0.3233585545173051,0.4778875971551382,0.4656652389700015,0.8438315783014722
1991,0.3250316157867352,0.4815508746614676,0.4341830271623798,0.8415462579438056
1992,0.33267730495968123,0.4985253872409972,0.4150036428256035,0.8300593620952352
1993,0.3432361647733514,0.5226173342125345,0.4061028796031479,0.8140513643073901
1994,0.3537926529816759,0.5474909169852625,0.4066280414062997,0.7979651926280085
1995,0.38339851004404774,0.6217930321112852,0.3866670095911675,0.7530632799372717
1996,0.41334572459501273,0.7045814578094843,0.4024880657943085,0.7072880256523619
1997,0.44527016075339326,0.8026793030606145,0.3972574387492811,0.6587191140060955
1998,0.4696689624766495,0.8856146995846323,0.4050958330904683,0.6214608591207403
1999,0.4838235050690951,0.9373218459586364,0.4251029962168492,0.5996471715805983
2000,0.5007059342757954,1.002827729485513,0.4261650910860889,0.5739069787424872
2001,0.5140199618171558,1.0576976859773048,0.4183546082112362,0.5537223081310656
2002,0.5264708690131101,1.1118024944228562,0.4268990183860807,0.5346342046718229
2003,0.5376918981609026,1.1630596479315871,0.4259551372862888,0.5175476515133169
2004,0.5532818473032457,1.2385479389256675,0.401823594993902,0.49413749029865445
2005,0.576876290111732,1.3633750050642723,0.3887470001595428,0.45839331542023487
2006,0.5979616546526426,1.4873249319937665,0.3651752066024995,0.4266485303070988
2007,0.6191283333320087,1.6255562897297555,0.3559182343457447,0.39457550572598243
2008,0.6432352374613601,1.8029674031826337,0.3768038606709044,0.35753427335370996
2009,0.6556518825343227,1.9040379467144104,0.3918599767086992,0.3383721351268894
2010,0.6693212223563143,2.0240827885166706,0.3749755558960666,0.31784756846712964
2011,0.687364601912933,2.1986141240522814,0.3738098048186586,0.2903964095310543
2012,0.7040604238695216,2.3790681634250386,0.3530543014669379,0.2653564493986015
2013,0.7165023632876545,2.527366265189225,0.3374997594779841,0.24670969015606836
2014,0.724588658019001,2.630932527350279,0.3402362245219792,0.2343542287077703
2015,0.729903859083897,2.7023853676999376,0.3348317142876987,0.22636888112858
2016,0.7339376263475249,2.7585171712636827,0.3293602951378692,0.2203358356999168
2017,0.7376874254337796,2.8122457592956493,0.329834392870671,0.21462192737677563
2018,0.7415852951911679,2.869748823851837,0.3179679732626864,0.20892049983801528
2019,0.7446062555242541,2.915522684601114,0.3049138991284411,0.20457803076547243
2020,0.7454023942702512,2.927766709092642,0.3388187082985331,0.2027104853754656
2021,0.7481900619269471,2.971249139936205,0.3678456619978876,0.1979042983652439
2022,0.7505596815482511,3.008974997333632,0.3449338122965359,0.1947438068598346
2023,0.7525399742297064,3.041056719715428,0.3269540204435793,0.19208190928637708
2024,0.7530624662530571,3.0496071408276904,0.3587612387242985,0.1906645116975066
