year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1937,15.306588664102334,17.045816607487442,16.283458892728817,0.46656510178837,0.3181345998342851,0.5328311331485793,8.676333853391005,17.428739608565085,-0.7623577147586253,-0.39011656493991254,-0.48787423110789874,0.048286259614861216,0.8512422899453302,0.09246736679937051,0.01286512024403308,0.010951334416952745,0.08151603238241777,0.6855146278781196
1938,15.330013245552612,17.084851618088745,16.26864359316751,0.4421049308699078,0.30656918328628213,0.5531664074120999,8.999267129900348,17.450955421897625,-0.8162080249212345,-0.11516523248430131,-0.39011656493991254,0.025311209596513784,0.868736662571295,0.02342458145027848,0.02221581333254008,0.019299691530817748,0.004124889919460733,0.6883481402018911
1939,15.35284334092288,17.109188485217132,16.25168223111278,0.4242186578916733,0.29786062381717504,0.5785353553129456,9.402172754009918,17.46281183830925,-0.8575062541043508,-0.15147941115817076,-0.11516523248430131,0.023092981894304643,0.8818398387603269,0.022830095370267145,0.011856416411625048,0.010455460336702726,0.012374635033564419,0.6969191192077686
1940,15.403585026344988,17.131855963208245,16.236604532361245,0.4085048750007193,0.29002730643762237,0.6074707800874707,9.863262821245248,17.474384732665918,-0.8952514308470008,0.1209394269664461,-0.15147941115817076,0.05286169452348588,0.8935898062916159,0.05074168542210877,0.011572894356667973,0.010341420426408269,0.040400264995700506,0.7256513227143871
1941,15.40519050826264,17.15308073089666,16.220565022028868,0.3935623755812888,0.2824146105531333,0.6162600974278495,9.996086980810276,17.484944059644068,-0.9325157088677933,0.17469041087843973,0.1209394269664461,0.02672227555203399,0.9051620190404819,0.0016054819176520851,0.010559326978150096,0.009557901727250972,-0.007952419809598887,0.7199035235082456
1942,15.43758890881989,17.162406546480355,16.19393165258882,0.3796616210484708,0.2751845925524464,0.5675648436860874,9.191106287064756,17.48424481344372,-0.9684748938915355,-0.2036082066002134,0.17469041087843973,0.021047159857919162,0.9165637043892958,0.032398400557250184,-6.992462003481137e-4,-6.409036876712068e-4,0.033039304244921394,0.7440859200841754
1943,15.46580754720138,17.16817019932847,16.169988688518572,0.36854903459815425,0.2692991082386546,0.6030991976573497,9.75210720417397,17.48192127909356,-0.9981815108098964,-0.12362847597380532,-0.2036082066002134,0.05192936912365198,0.9253054137412652,0.02821863838148886,-0.002323534350161083,-0.0021499789132178424,0.0303686172947067,0.767029398198357
1944,15.484557595714834,17.179459854181655,16.140084338748856,0.35367547788751724,0.26127050660579837,0.6254367210587357,10.094601426438537,17.482283323347605,-1.0393755154327984,0.06679736601977737,-0.12362847597380532,0.05922770104121433,0.9374252983539896,0.018750048513455297,3.620442540466229e-4,3.3938944286700305e-4,0.018410659070588295,0.7812817095998458
1945,15.567324070535784,17.20219235643141,16.12072301022605,0.3390969086581734,0.25322805725685765,0.6044555633395453,9.74426070858696,17.494187794426118,-1.0814693462053597,-0.01128471534838659,0.06679736601977737,0.09909195349459665,0.9498607819280456,0.08276647482095001,0.011904471078512557,0.011307590207075741,0.07145888461387427,0.8391543622272308
1946,15.649521142658346,17.221746418301567,16.131826352509357,0.3362433699799561,0.2516333308243092,0.5719435501825137,9.226494034982034,17.511608639984978,-1.0899200657922101,-0.14324879569574378,-0.01128471534838659,0.1436429779168149,0.9525109721658724,0.08219707212256111,0.01742084555885981,0.016593546539221078,0.06560352558334004,0.8960517775163523
1947,15.535723871028182,17.25390866935282,16.182697771039777,0.3425934203544924,0.25517287300874425,0.6818860563830722,11.034755964733446,17.548511801188884,-1.0712108983130442,0.698925468909203,-0.14324879569574378,0.04279093282950264,0.9463745894730615,-0.11379727163016362,0.03690316120390591,0.03492421403460467,-0.14872148566476828,0.7722255828051663
1948,15.689274583530272,17.276063671404287,16.22382051587987,0.34915366405717035,0.2587945860868041,0.5947289826246759,9.648776269694578,17.575541151747718,-1.052243155524419,-0.06555591629071955,0.698925468909203,0.13793356873610652,0.9414176736591966,0.1535507125020903,0.027029350558834153,0.025445908323616553,0.12810480417847375,0.8777672937563198
1949,15.667443486609544,17.308681083601435,16.28336274489037,0.35868226477982357,0.2639927480307167,0.5904415851407467,9.61437451051485,17.615196390684105,-1.0253183387110667,-0.01876963641118223,-0.06555591629071955,0.08207381705857131,0.9335029293964265,-0.021831096920728044,0.039655238936386894,0.0370182817130324,-0.05884937863376044,0.8276018146974777
1950,15.715544986005517,17.329637143450373,16.331239716542903,0.36846946751905457,0.2692566230118866,0.5640614965956121,9.21182351577489,17.64333008178963,-0.99839742690747,-0.31191698621127895,-0.01876963641118223,0.10011717307163881,0.9256435342436855,0.048101499395972525,0.028133691105526992,0.026041769266240144,0.02205973012973238,0.8460613449356349
1951,15.758133041729227,17.359210383237183,16.39678068249986,0.3819637001266297,0.27639199212803484,0.5267448831360416,8.636920324410694,17.682715842048573,-0.9624297007373244,-0.3827253966615291,-0.31191698621127895,0.09975396508596024,0.9150125569107945,0.04258805572371038,0.03938576025894136,0.03603846520040949,0.00654959052330089,0.8516208867898566
1952,15.8205799004799,17.39061327795992,16.461943982146895,0.3950790941336379,0.2831947635047797,0.6375593229564251,10.495465859804172,17.723564389929642,-0.9286692958130232,0.17693867905545346,-0.3827253966615291,0.17998180402712816,0.9038125374181025,0.062446858750673684,0.04084854788106895,0.036919429710233785,0.0255274290404399,0.8736404340219729
1953,15.893263284327064,17.41953656606287,16.510922264158364,0.4030823877181324,0.2872834776108021,0.4335714681918065,7.1586648072719274,17.758208087995182,-0.9086143019045068,-1.025456689746596,0.17693867905545346,0.1358886764749636,0.8990824154793456,0.07268338384716344,0.03464369806554046,0.031147539737903254,0.04153584410926019,0.9106919838907288
1954,15.860338646771549,17.442418302454914,16.54533012978699,0.40775524566127863,0.2896492461441621,0.4252265162640857,7.035513091528535,17.784414713873893,-0.8970881726679245,-1.1010571074257367,-1.025456689746596,0.0752239553338514,0.8955396270593571,-0.032924637555515446,0.02620662587871081,0.023469071965904774,-0.05639370952142022,0.8607559569740348
1955,15.897281785343344,17.467854448776727,16.597193711950386,0.41867482396195865,0.29511683501418495,0.4184994409605206,6.945916289964704,17.817577662104615,-0.8706607368263413,-1.0241115732836352,-1.1010571074257367,0.08495419900834644,0.8872593945121183,0.036943138571794876,0.03316294823072141,0.029424137367426606,0.00751900120436827,0.8672523747312355
1956,15.913928502478369,17.497630561249714,16.660367707365655,0.43289379686889007,0.3021115715727396,0.5117340439004434,8.525677339758586,17.857326594906084,-0.8372628538840594,-0.6533337933390158,-1.0241115732836352,0.11396135129932361,0.8758695713084937,0.016646717135024858,0.039748932801469294,0.034814880732793034,-0.018168163597768176,0.8516382610848248
1957,16.011616639182336,17.53693662421285,16.751076309408376,0.4557274640017607,0.31305823052137516,0.5364323677274111,8.985819526638478,17.91244237514926,-0.7858603148044736,-0.4923938585127008,-0.6533337933390158,0.18701332150887584,0.8589628521214165,0.09768813670396703,0.055115780243177426,0.0473424077945769,0.05034572890939013,0.8956122739817161
