year,y,k_nr,k_me,s_me,wsh,k_nr_sme,k_nr_wsme,s_me_c,wsh_c,k_nr_sme_c,k_nr_wsme_c,wsme,wsh_kme
1973,16.516943008225347,18.52064505221152,17.412781128689378,0.3302636766151955,0.5450286722310115,6.116696328228406,3.3337748782146313,-0.10877840428154884,0.05472732088536297,-2.014646215044532,-0.11025618988122408,0.18000317315171216,9.490464978418785
1974,16.526640932623458,18.543941490581236,17.42368787958316,0.32619705697070606,0.3944709808320595,6.048979138864567,2.3861467339405724,-0.11284502392603829,-0.095830370513589,-2.092591521187694,0.20053382080901153,0.1286752730077656,6.873139247570836
1975,16.388409597099926,18.55595286449186,17.43360064079446,0.3255132134967445,0.4927199418713367,6.040207846414867,2.976130858976325,-0.11352886739999984,0.0024185905256882134,-2.106636312233544,-0.005095090625838806,0.16038685163246796,8.589882694340345
1976,16.422987171700672,18.562050720177513,17.433166642600654,0.3233939376852392,0.485581282901028,6.002854673911337,2.914873873626299,-0.11564814321150513,-0.004720068444620529,-2.146666699986311,0.01013241375172307,0.15703404314361355,8.465219423341432
1977,16.517011773888736,18.57668760712248,17.454186637973155,0.3254647984875414,0.5044183129122691,6.046057888618125,3.0497423199466707,-0.11357728240920295,0.014116961566620623,-2.1098896945816903,-0.02978523172821865,0.16417040456541726,8.80421137718229
1978,16.5959837015192,18.602118721249106,17.491038779758487,0.3292032487883183,0.44556606720713365,6.123877917381203,2.7285921997041545,-0.10983883210842604,-0.04473528413851485,-2.0432349950842896,0.09140469806685268,0.14668179687442257,7.793413360464451
1979,16.67554930097866,18.63172021846521,17.53880045383097,0.33523625241227367,0.42999958432581764,6.246028062032266,2.6857894703612666,-0.10380582848447067,-0.060301767019830865,-1.9340811533686442,0.11662851110788175,0.14415144918822256,7.541676904720779
1980,16.752000091985142,18.672640152636006,17.604331606832698,0.34358919156841555,0.4640163206762214,6.415717334492141,2.976997552049698,-0.0954528893283288,-0.026285030669427112,-1.7823574539572733,0.04684932034114894,0.15943099249569356,8.168697180166621
1981,16.8122688938105,18.728070219194823,17.682954505641963,0.35165112622255407,0.5415162292349118,6.585746984554935,3.566288873771379,-0.08739095467419028,0.05121487788926332,-1.6366639356607076,-0.08382154361062426,0.1904247918782475,9.57560684562773
1982,16.66622576458749,18.746923719885604,17.69800494058507,0.3503163136680564,0.6064176749716583,6.567353210166572,3.982559064426869,-0.08872576722868797,0.11611632362600982,-1.6633351902245392,-0.1931403672466432,0.21243800443922492,10.732383007706519
1983,16.63780534237784,18.75723697695055,17.689615722121665,0.34382541848770565,0.5702478847140596,6.44921485327309,3.677651128145474,-0.0952166624090387,0.07994653336841112,-1.7860015009606383,-0.142784628592582,0.19606571760354047,10.087465946944452
1984,16.69499388609253,18.779085539052918,17.68685331819231,0.33546682126432237,0.5647610479727213,6.299760132036886,3.5578591341459207,-0.10357525963242198,0.0744596966270728,-1.945048660366867,-0.1448277331758113,0.18945859353731628,9.988845815322092
1985,16.71448548695257,18.803624931879423,17.690905879840734,0.328664090261698,0.4814043627812959,6.180076281858334,2.9751156844078115,-0.11037799063504633,-0.008896988564352615,-2.0755063366359106,0.018465756142291085,0.15822032694152705,8.51647927210861
1986,16.768937942973665,18.82602895356342,17.691177858632898,0.32146998628127804,0.47753279064535087,6.0520032694329755,2.890030010247116,-0.1175720946154663,-0.012768560700297638,-2.2134156573618666,0.028262132176014188,0.15351245965762136,8.44811753263621
1987,16.831647050468604,18.85897887652848,17.7122595274152,0.31767724987071283,0.4465858348198765,5.991068544865433,2.6755263475718323,-0.12136483102603152,-0.04371551652577199,-2.2888167846733767,0.1000568079748533,0.1418701598367948,7.9100442075970285
1988,16.902500133513435,18.897874607320688,17.748319595801647,0.31677770044810016,0.41563369995406857,5.986425261463592,2.488160080920615,-0.12226438044864418,-0.07466765139157994,-2.310536930660229,0.17252236606590907,0.1316634877001855,7.376799741570337
1989,17.003031323349642,18.953859208135864,17.816021643770352,0.3205113581622718,0.41624399079120317,6.0749271572161065,2.528651923685491,-0.11853072273447257,-0.07405736055444534,-2.246614630547782,0.16637834972136908,0.13341092681537267,7.415811949025422
1990,17.040067286980953,19.00812688353401,17.87913338800083,0.32335855451730466,0.4656652389700015,6.146440433141077,2.862183653113519,-0.11568352637943968,-0.024636112375647,-2.198927147755043,0.05417301631795419,0.15057683856229492,8.32569092169994
1991,17.116396175818338,19.05581576834229,17.931982946302362,0.3250316157867352,0.4341830271623798,6.19374258931864,2.689217906894924,-0.11401046511000917,-0.05611832418326873,-2.1725624187993513,0.12192056212656845,0.14112321086576424,7.78576263864973
1992,17.23120802859673,19.118339818750215,18.017757505736835,0.33267730495968095,0.41500364282560354,6.360237766205176,2.6395218422121274,-0.1063647759370634,-0.07529770852004497,-2.033517931110004,0.15311924044700595,0.13806229344367182,7.477435000429146
1993,17.29857322468766,19.190861914083005,18.121525372376826,0.3432361647733514,0.4061028796031479,6.586997842084828,2.67499879161037,-0.09580591612339295,-0.08419847174250061,-1.8385981068762527,0.1548071507476353,0.13938919489839854,7.359203636523736
1994,17.354053034139593,19.26302395137627,18.22397968788293,0.35379265298167595,0.4066280414062997,6.815116348206977,2.7712174126274562,-0.0852494279150684,-0.0836733099393488,-1.6421617717690873,0.137405110899785,0.14386201354587755,7.410381167112026
1995,17.453848714851386,19.338957854010452,18.38027751946655,0.3833985100440478,0.3866670095911675,7.4145276270322436,2.866953225075653,-0.055643570852696556,-0.103634341754481,-1.076088671566943,0.11151974114729404,0.14824755536044115,7.107046943907893
1996,17.524966669638847,19.421585730462063,18.53811479982044,0.4133457245950127,0.4024880657943085,8.027829426542,3.2311055384155227,-0.02569635630173167,-0.08781328555133999,-0.4990639868745807,0.04382444838780775,0.1663667211965936,7.461369969252575
1997,17.588881477612897,19.511120666087535,18.70204658787589,0.4452701607533931,0.39725743874928116,8.687719835467647,3.4512613304092037,0.006228079856648749,-0.09304391259636735,0.1215168176011029,-0.011306400155865733,0.17688688361237362,7.42952712686931
1998,17.620935307289084,19.600672640425444,18.84494547283081,0.46966896247664897,0.40509583309046837,9.205827582873058,3.729242393971174,0.03062688157990462,-0.08520551825518013,0.6003074798447865,-0.05114950993263614,0.19026093963121404,7.634008885860847
1999,17.61361081113189,19.661824042095525,18.935788944377627,0.48382350506909483,0.42510299621684927,9.512852624098455,4.04394215307357,0.04478142417235048,-0.06519835512879923,0.8804844824311984,-0.05740613997094626,0.20567482164501016,8.049660615984818
2000,17.6572225677643,19.72844449754665,19.036708189789028,0.500705934275795,0.4261650910860889,9.878149233952263,4.2097223680492455,0.06166385337905067,-0.0641362602595596,1.2165319088934556,-0.07802380712284951,0.21338339008798943,8.112780479680735
2001,17.690156065165045,19.793483469008066,19.127990290947135,0.5140199618171563,0.4183546082112362,10.17424561696804,4.256442538931552,0.07497788092041191,-0.0719467431344123,1.4840734465394285,-0.1067742510507742,0.215042619738771,8.00228288403752
2002,17.711593717770285,19.856406272701236,19.214846994252635,0.5264708690131109,0.42689901838608074,10.453819465866406,4.462725268363672,0.08742878811636656,-0.06340233295956776,1.7360215367684884,-0.1100678154991762,0.22474989719056393,8.202799320285184
2003,17.75039846302527,19.921203578068027,19.30073401520553,0.537691898160902,0.4259551372862888,10.711469765541151,4.562605574519012,0.09864981726415767,-0.0643462140593597,1.9652230926584948,-0.12645466579460038,0.22903262629885224,8.221246807173017
2004,17.809054906822023,19.993937112703023,19.402049375031893,0.5532818473032461,0.401823594993902,11.06228246058126,4.44508610714875,0.1142397664065018,-0.08847775635174648,2.28410270530148,-0.20209228264202936,0.2223217009282575,7.796201230124505
2005,17.86315904587946,20.090798975658934,19.540671538311447,0.5768762901117316,0.38874700015954283,11.589905578458703,4.505541025758172,0.13783420921498724,-0.10155435118610567,2.7691993893072246,-0.2812242472860553,0.2242589272441018,7.596377441621534
2006,17.90803632017195,20.1848119731194,19.670583323377503,0.5979616546526433,0.3651752066024995,12.06974356629896,4.4075711004624125,0.15891957375589894,-0.12512614474314898,3.2077617151111,-0.40137485666652334,0.21836077077815147,7.183209329106061
2007,17.953012417762558,20.282814696817862,19.803371992669888,0.6191283333320086,0.3559182343457447,12.557665258522812,4.469502046318339,0.18008625243526422,-0.1343831169999038,3.6526560875888285,-0.4908553103788604,0.22035906323295218,7.0483811937230385
2008,17.98898097691127,20.398558874733006,19.957314096725327,0.6432352374613604,0.3768038606709044,13.121071861658425,4.9440705336132655,0.204193156564616,-0.11349749067474413,4.165246126000894,-0.4727449833438006,0.24237352079500651,7.519993000267966
2009,17.972019042945508,20.480968890978026,20.05884359321807,0.6556518825343219,0.3918599767086992,13.428385809496627,5.262046950544775,0.2166098016375776,-0.0984413746369493,4.436378608820148,-0.43672320866221215,0.25692373141891417,7.8602579832418735
2010,18.022694459592724,20.553593611644338,20.15210243055284,0.6693212223563146,0.3749755558960666,13.756956399960728,5.158522373513225,0.2302791414595703,-0.11532579544958188,4.733063890798367,-0.5458443581200146,0.2509790974260939,7.556545811371027
