sample,year,ECT_m_lag1,gamma_hat,ect_side,regime_code,theta_r1,theta_r2,theta_active
FULL,1956,-4.900006898128074,-4.641735370471549,below_gamma,low_ect_side,1.0439727229629683,1.1297917546872625,1.0439727229629683
FULL,1957,-4.865816513999914,-4.641735370471549,below_gamma,low_ect_side,1.044669928968992,1.1287480589773984,1.044669928968992
FULL,1958,-4.777503585141545,-4.641735370471549,below_gamma,low_ect_side,1.0387903106345973,1.1260722201378515,1.0387903106345973
FULL,1959,-5.072233033623809,-4.641735370471549,below_gamma,low_ect_side,1.046220222793881,1.1277839580533098,1.046220222793881
FULL,1960,-4.883657725103104,-4.641735370471549,below_gamma,low_ect_side,1.048097094866688,1.1279123680029088,1.048097094866688
FULL,1961,-4.541647012507985,-4.641735370471549,above_gamma,high_ect_side,1.0507887984177853,1.127794937512157,1.127794937512157
FULL,1962,-4.328195074828931,-4.641735370471549,above_gamma,high_ect_side,1.0466361377852116,1.1262857487543625,1.1262857487543625
FULL,1963,-4.642786972420793,-4.641735370471549,below_gamma,low_ect_side,1.0446135449574112,1.1262229627136249,1.0446135449574112
FULL,1964,-4.806677730845584,-4.641735370471549,below_gamma,low_ect_side,1.0519857232657945,1.12842865000768,1.0519857232657945
FULL,1965,-4.533616977191744,-4.641735370471549,above_gamma,high_ect_side,1.0497768996948311,1.1282292836664023,1.1282292836664023
FULL,1966,-4.681229028202961,-4.641735370471549,below_gamma,low_ect_side,1.0445992858685305,1.1266908282906585,1.0445992858685305
FULL,1967,-4.703646119564484,-4.641735370471549,below_gamma,low_ect_side,1.0461141257920583,1.1270122882387397,1.0461141257920583
FULL,1968,-4.788802698118959,-4.641735370471549,below_gamma,low_ect_side,1.0435260539554374,1.125991032679683,1.0435260539554374
FULL,1969,-4.803489093048969,-4.641735370471549,below_gamma,low_ect_side,1.0410611908229586,1.125184034125152,1.0410611908229586
FULL,1970,-4.75133398598447,-4.641735370471549,below_gamma,low_ect_side,1.0415824501126782,1.1252972743894953,1.0415824501126782
FULL,1971,-4.79259753680361,-4.641735370471549,below_gamma,low_ect_side,1.0449064104974275,1.126319218643296,1.0449064104974275
FULL,1972,-4.825625039496437,-4.641735370471549,below_gamma,low_ect_side,1.0528729949050273,1.128871561086169,1.0528729949050273
FULL,1973,-4.5411049226840206,-4.641735370471549,above_gamma,high_ect_side,1.0441395512554694,1.1266671622453701,1.1266671622453701
FULL,1974,-4.6934652509674955,-4.641735370471549,below_gamma,low_ect_side,1.035396316991557,1.1247569115867146,1.035396316991557
FULL,1975,-4.860344739761738,-4.641735370471549,below_gamma,low_ect_side,1.041306798486548,1.1264347799403336,1.041306798486548
FULL,1976,-5.075090019315471,-4.641735370471549,below_gamma,low_ect_side,1.0410306944066938,1.1265986156089323,1.0410306944066938
FULL,1977,-5.099601034644348,-4.641735370471549,below_gamma,low_ect_side,1.0420067063071456,1.1266298032937787,1.0420067063071456
FULL,1978,-4.918381185527929,-4.641735370471549,below_gamma,low_ect_side,1.0382121662673072,1.1251811112691883,1.0382121662673072
FULL,1979,-4.77795117282697,-4.641735370471549,below_gamma,low_ect_side,1.036789055411659,1.1241163731829351,1.036789055411659
FULL,1980,-4.711269035569575,-4.641735370471549,below_gamma,low_ect_side,1.0382550409177926,1.1235729428005212,1.0382550409177926
FULL,1981,-4.611525577424055,-4.641735370471549,above_gamma,high_ect_side,1.0426422698823232,1.1238535053179959,1.1238535053179959
FULL,1982,-4.403582754868757,-4.641735370471549,above_gamma,high_ect_side,1.0468820369267011,1.1251521514601879,1.1251521514601879
FULL,1983,-4.768835657691779,-4.641735370471549,below_gamma,low_ect_side,1.0449197799488767,1.125351508944596,1.0449197799488767
FULL,1984,-4.98846026878296,-4.641735370471549,below_gamma,low_ect_side,1.0450413170768935,1.126325561541342,1.0450413170768935
FULL,1985,-4.8548188289180345,-4.641735370471549,below_gamma,low_ect_side,1.0404089541573267,1.1258368240935877,1.0404089541573267
FULL,1986,-5.08558503694839,-4.641735370471549,below_gamma,low_ect_side,1.0406926260205984,1.1267236755671692,1.0406926260205984
FULL,1987,-4.980039152810504,-4.641735370471549,below_gamma,low_ect_side,1.0391662962804264,1.1267373067880853,1.0391662962804264
FULL,1988,-4.889660509259805,-4.641735370471549,below_gamma,low_ect_side,1.0374421498679753,1.126371601207518,1.0374421498679753
FULL,1989,-4.847392713791418,-4.641735370471549,below_gamma,low_ect_side,1.0371676140632806,1.1258768522390423,1.0371676140632806
FULL,1990,-4.654464945384868,-4.641735370471549,below_gamma,low_ect_side,1.0398549779859891,1.1262841533375998,1.0398549779859891
FULL,1991,-4.631152315859442,-4.641735370471549,above_gamma,high_ect_side,1.0378591573882567,1.1255552016304038,1.1255552016304038
FULL,1992,-4.6823727905862444,-4.641735370471549,below_gamma,low_ect_side,1.0360823115997964,1.124213073526477,1.0360823115997964
FULL,1993,-4.570122627233058,-4.641735370471549,above_gamma,high_ect_side,1.034644573048357,1.1226347859775665,1.1226347859775665
FULL,1994,-4.541681233745864,-4.641735370471549,above_gamma,high_ect_side,1.033782758597244,1.121212756184912,1.121212756184912
FULL,1995,-4.58332667269719,-4.641735370471549,above_gamma,high_ect_side,1.0298731739749691,1.1168203705885649,1.1168203705885649
FULL,1996,-4.518199819222243,-4.641735370471549,above_gamma,high_ect_side,1.0284218318955713,1.1130553721197738,1.1130553721197738
FULL,1997,-4.455985197965699,-4.641735370471549,above_gamma,high_ect_side,1.0252655647291988,1.1086059649952122,1.1086059649952122
FULL,1998,-4.481138993828946,-4.641735370471549,above_gamma,high_ect_side,1.0238291609561774,1.1054697345967626,1.1054697345967626
FULL,1999,-4.515455401611206,-4.641735370471549,above_gamma,high_ect_side,1.0243963694148395,1.1040296379119212,1.1040296379119212
FULL,2000,-4.760834971418946,-4.641735370471549,below_gamma,low_ect_side,1.0231197311968248,1.1017829843367302,1.0231197311968248
FULL,2001,-4.707745378504191,-4.641735370471549,below_gamma,low_ect_side,1.0213042934063314,1.0997921785072275,1.0213042934063314
FULL,2002,-4.776044252627706,-4.641735370471549,below_gamma,low_ect_side,1.0210986187106526,1.0983345645105889,1.0210986187106526
FULL,2003,-4.824886166428394,-4.641735370471549,below_gamma,low_ect_side,1.0200962622798546,1.096799644711206,1.0200962622798546
FULL,2004,-4.804902004965642,-4.641735370471549,below_gamma,low_ect_side,1.01638727734207,1.0940397093475367,1.01638727734207
FULL,2005,-4.742167010662895,-4.641735370471549,below_gamma,low_ect_side,1.0129865193528702,1.0904619944342095,1.0129865193528702
FULL,2006,-4.634103620225789,-4.641735370471549,above_gamma,high_ect_side,1.0085516077748606,1.0868866849624068,1.0868866849624068
FULL,2007,-4.669750279955293,-4.641735370471549,below_gamma,low_ect_side,1.005548412726401,1.0836900045549682,1.005548412726401
FULL,2008,-4.61307425242822,-4.641735370471549,above_gamma,high_ect_side,1.005739230398553,1.0810273779690915,1.0810273779690915
FULL,2009,-4.491880954089455,-4.641735370471549,above_gamma,high_ect_side,1.0064250250046287,1.0798150787727554,1.0798150787727554
FULL,2010,-4.801325051512171,-4.641735370471549,below_gamma,low_ect_side,1.0031619079728633,1.0773921585025457,1.0031619079728633
