year,ECT_m_lag1,regime_code,theta_r1,theta_r2,theta_active
1967,-4.703646119564484,low_ect_side,1.0461141257920583,1.1270122882387397,1.0461141257920583
1968,-4.788802698118959,low_ect_side,1.0435260539554374,1.125991032679683,1.0435260539554374
1969,-4.803489093048969,low_ect_side,1.0410611908229586,1.125184034125152,1.0410611908229586
1970,-4.75133398598447,low_ect_side,1.0415824501126782,1.1252972743894953,1.0415824501126782
1971,-4.79259753680361,low_ect_side,1.0449064104974275,1.126319218643296,1.0449064104974275
1972,-4.825625039496437,low_ect_side,1.0528729949050273,1.128871561086169,1.0528729949050273
1973,-4.5411049226840206,high_ect_side,1.0441395512554694,1.1266671622453701,1.1266671622453701
1974,-4.6934652509674955,low_ect_side,1.035396316991557,1.1247569115867146,1.035396316991557
1975,-4.860344739761738,low_ect_side,1.041306798486548,1.1264347799403336,1.041306798486548
1976,-5.075090019315471,low_ect_side,1.0410306944066938,1.1265986156089323,1.0410306944066938
1977,-5.099601034644348,low_ect_side,1.0420067063071456,1.1266298032937787,1.0420067063071456
1978,-4.918381185527929,low_ect_side,1.0382121662673072,1.1251811112691883,1.0382121662673072
1979,-4.77795117282697,low_ect_side,1.036789055411659,1.1241163731829351,1.036789055411659
1980,-4.711269035569575,low_ect_side,1.0382550409177926,1.1235729428005212,1.0382550409177926
1981,-4.611525577424055,high_ect_side,1.0426422698823232,1.1238535053179959,1.1238535053179959
1982,-4.403582754868757,high_ect_side,1.0468820369267011,1.1251521514601879,1.1251521514601879
1983,-4.768835657691779,low_ect_side,1.0449197799488767,1.125351508944596,1.0449197799488767
1984,-4.98846026878296,low_ect_side,1.0450413170768935,1.126325561541342,1.0450413170768935
1985,-4.8548188289180345,low_ect_side,1.0404089541573267,1.1258368240935877,1.0404089541573267
1986,-5.08558503694839,low_ect_side,1.0406926260205984,1.1267236755671692,1.0406926260205984
1987,-4.980039152810504,low_ect_side,1.0391662962804264,1.1267373067880853,1.0391662962804264
1988,-4.889660509259805,low_ect_side,1.0374421498679753,1.126371601207518,1.0374421498679753
1989,-4.847392713791418,low_ect_side,1.0371676140632806,1.1258768522390423,1.0371676140632806
1990,-4.654464945384868,low_ect_side,1.0398549779859891,1.1262841533375998,1.0398549779859891
1991,-4.631152315859442,high_ect_side,1.0378591573882567,1.1255552016304038,1.1255552016304038
1992,-4.6823727905862444,low_ect_side,1.0360823115997964,1.124213073526477,1.0360823115997964
1993,-4.570122627233058,high_ect_side,1.034644573048357,1.1226347859775665,1.1226347859775665
1994,-4.541681233745864,high_ect_side,1.033782758597244,1.121212756184912,1.121212756184912
1995,-4.58332667269719,high_ect_side,1.0298731739749691,1.1168203705885649,1.1168203705885649
1996,-4.518199819222243,high_ect_side,1.0284218318955713,1.1130553721197738,1.1130553721197738
1997,-4.455985197965699,high_ect_side,1.0252655647291988,1.1086059649952122,1.1086059649952122
1998,-4.481138993828946,high_ect_side,1.0238291609561774,1.1054697345967626,1.1054697345967626
1999,-4.515455401611206,high_ect_side,1.0243963694148395,1.1040296379119212,1.1040296379119212
2000,-4.760834971418946,low_ect_side,1.0231197311968248,1.1017829843367302,1.0231197311968248
2001,-4.707745378504191,low_ect_side,1.0213042934063314,1.0997921785072275,1.0213042934063314
2002,-4.776044252627706,low_ect_side,1.0210986187106526,1.0983345645105889,1.0210986187106526
2003,-4.824886166428394,low_ect_side,1.0200962622798546,1.096799644711206,1.0200962622798546
2004,-4.804902004965642,low_ect_side,1.01638727734207,1.0940397093475367,1.01638727734207
2005,-4.742167010662895,low_ect_side,1.0129865193528702,1.0904619944342095,1.0129865193528702
2006,-4.634103620225789,high_ect_side,1.0085516077748606,1.0868866849624068,1.0868866849624068
2007,-4.669750279955293,low_ect_side,1.005548412726401,1.0836900045549682,1.005548412726401
2008,-4.61307425242822,high_ect_side,1.005739230398553,1.0810273779690915,1.0810273779690915
2009,-4.491880954089455,high_ect_side,1.0064250250046287,1.0798150787727554,1.0798150787727554
2010,-4.801325051512171,low_ect_side,1.0031619079728633,1.0773921585025457,1.0031619079728633
