gamma,ok,ssr,n_r1,n_r2,msg
-4.704586620123573,TRUE,0.08106056620453012,38,32,NA
-4.703745199850287,TRUE,0.08106056620453012,38,32,NA
-4.7028619000353356,TRUE,0.07515656176314205,39,31,NA
-4.7019730105485,TRUE,0.07515656176314205,39,31,NA
-4.701084121061663,TRUE,0.07515656176314205,39,31,NA
-4.699905235330823,TRUE,0.07892326031141732,40,30,NA
-4.697970084885228,TRUE,0.07892326031141732,40,30,NA
-4.696034934439634,TRUE,0.07892326031141732,40,30,NA
-4.694099783994039,TRUE,0.07892326031141732,40,30,NA
-4.6933997325592545,TRUE,0.07746735070773673,41,29,NA
-4.6933022496445655,TRUE,0.07746735070773673,41,29,NA
-4.693204766729878,TRUE,0.07746735070773673,41,29,NA
-4.693042029641047,TRUE,0.0835099494863546,42,28,NA
-4.6919710249931965,TRUE,0.0835099494863546,42,28,NA
-4.690900020345346,TRUE,0.0835099494863546,42,28,NA
-4.689829015697495,TRUE,0.0835099494863546,42,28,NA
-4.688371163404624,TRUE,0.07716754194296294,43,27,NA
-4.686462747384021,TRUE,0.07716754194296294,43,27,NA
-4.684554331363419,TRUE,0.07716754194296294,43,27,NA
-4.682645915342816,TRUE,0.07716754194296294,43,27,NA
-4.682100931487103,TRUE,0.07709180682197761,44,26,NA
-4.681783666745608,TRUE,0.07709180682197761,44,26,NA
-4.681466402004115,TRUE,0.07709180682197761,44,26,NA
-4.680427246290185,TRUE,0.07390239130162278,45,25,NA
-4.677243191499876,TRUE,0.07390239130162278,45,25,NA
-4.674059136709568,TRUE,0.07390239130162278,45,25,NA
-4.670875081919261,TRUE,0.07390239130162278,45,25,NA
-4.667008137019795,TRUE,0.06494650251664813,46,24,NA
-4.662768184917848,TRUE,0.06494650251664813,46,24,NA
-4.6585282328159,TRUE,0.06494650251664813,46,24,NA
-4.654329973838047,TRUE,0.06225122373737894,47,23,NA
-4.651090656714343,TRUE,0.06225122373737894,47,23,NA
-4.647851339590641,TRUE,0.06225122373737894,47,23,NA
-4.644612022466937,TRUE,0.06225122373737894,47,23,NA
-4.641735370471549,TRUE,0.05991661410882225,48,22,NA
-4.639326722023487,TRUE,0.05991661410882225,48,22,NA
-4.636918073575425,TRUE,0.05991661410882225,48,22,NA
-4.634509425127364,TRUE,0.05991661410882225,48,22,NA
-4.633422892233751,TRUE,0.06606389985874642,49,21,NA
-4.6326042389622835,TRUE,0.06606389985874642,49,21,NA
-4.631785585690814,TRUE,0.06606389985874642,49,21,NA
-4.63001675911125,TRUE,0.06473625358802271,50,20,NA
-4.625002140511232,TRUE,0.06473625358802271,50,20,NA
-4.619987521911215,TRUE,0.06473625358802271,50,20,NA
-4.614972903311197,TRUE,0.06473625358802271,50,20,NA
-4.6128073200028785,TRUE,0.06376286122483889,51,19,NA
-4.612377737790668,TRUE,0.06376286122483889,51,19,NA
-4.611948155578458,TRUE,0.06376286122483889,51,19,NA
-4.611508576381029,TRUE,0.061734554947323425,52,18,NA
-4.610465845742102,TRUE,0.061734554947323425,52,18,NA
-4.609423115103174,TRUE,0.061734554947323425,52,18,NA
-4.608380384464246,TRUE,0.061734554947323425,52,18,NA
-4.6049786030143345,TRUE,0.0749750483150958,53,17,NA
-4.598199325909931,TRUE,0.0749750483150958,53,17,NA
-4.591420048805527,TRUE,0.0749750483150958,53,17,NA
-4.584640771701123,TRUE,0.0749750483150958,53,17,NA
-4.580374009264256,TRUE,0.07482435996428374,54,16,NA
-4.576711379567673,TRUE,0.07482435996428374,54,16,NA
-4.57304874987109,TRUE,0.07482435996428374,54,16,NA
-4.5688911924877775,TRUE,0.07483855183050397,55,15,NA
-4.5627673007815215,TRUE,0.07483855183050397,55,15,NA
-4.5566434090752646,TRUE,0.07483855183050397,55,15,NA
-4.550519517369008,TRUE,0.07483855183050397,55,15,NA
-4.546993362252935,TRUE,0.07024311880387635,56,14,NA
-4.54522798300194,TRUE,0.07024311880387635,56,14,NA
-4.543462603750944,TRUE,0.07024311880387635,56,14,NA
-4.5416972244999485,TRUE,0.07024311880387635,56,14,NA
-4.541671827204597,TRUE,0.0694357211591276,57,13,NA
-4.541662334680322,TRUE,0.0694357211591276,57,13,NA
-4.541652842156046,TRUE,0.0694357211591276,57,13,NA
-4.541588989828334,TRUE,0.06557540340268798,58,12,NA
-4.541438621193747,TRUE,0.06557540340268798,58,12,NA
-4.54128825255916,TRUE,0.06557540340268798,58,12,NA
-4.5411378839245735,TRUE,0.06557540340268798,58,12,NA
-4.539616054979296,TRUE,0.07006428323594271,59,11,NA
-4.537709198893432,TRUE,0.07006428323594271,59,11,NA
-4.5358023428075676,TRUE,0.07006428323594271,59,11,NA
-4.5342006596033855,TRUE,0.06922336738720429,60,10,NA
-4.534030457442146,TRUE,0.06922336738720429,60,10,NA
-4.533860255280906,TRUE,0.06922336738720429,60,10,NA
-4.533690053119667,TRUE,0.06922336738720429,60,10,NA
-4.531176572789536,TRUE,0.0703320636596708,61,9,NA
-4.526900054599001,TRUE,0.0703320636596708,61,9,NA
-4.522623536408466,TRUE,0.0703320636596708,61,9,NA
-4.5183470182179315,TRUE,0.0703320636596708,61,9,NA
-4.518084799415053,TRUE,0.06964267769696394,62,8,NA
-4.517965679464643,TRUE,0.06964267769696394,62,8,NA
-4.517846559514232,TRUE,0.06964267769696394,62,8,NA
-4.51753888501334,FALSE,NA,NA,NA,"Regime split too small: n_r1=63, n_r2=7"
