"variable","family","window_id","start_year","end_year","n_obs","level_stationarity_flag","first_difference_stationarity_flag","i2_risk_flag","unstable_classification_flag","notes"
"omega_CORP","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_CORP","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"omega_CORP","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_CORP","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_CORP","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"omega_CORP","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_NFC","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_NFC","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_NFC","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_NFC","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_NFC","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_NFC","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_NFC","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_CORP","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_CORP","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_CORP","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"pi_res_CORP","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_CORP","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_CORP","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"pi_res_CORP","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_NFC","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_NFC","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_NFC","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_NFC","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_NFC","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_NFC","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_NFC","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_CORP","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_CORP","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_CORP","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"e_CORP","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_CORP","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_CORP","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"e_CORP","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_NFC","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_NFC","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_NFC","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_NFC","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_NFC","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_NFC","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_NFC","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_CORP","distribution_states","full_long_sample",1929,2024,96,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_CORP","distribution_states","pre_1974_full",1929,1973,45,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_CORP","distribution_states","post_1973_full",1974,2024,51,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"ln_e_CORP","distribution_states","fordist_core",1945,1973,29,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_CORP","distribution_states","bridge_1940_1978",1940,1978,39,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_CORP","distribution_states","pre_1974_alt_1940_1973",1940,1973,34,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
"ln_e_CORP","distribution_states","pre_1974_alt_1947_1973",1947,1973,27,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h1_Kcap","aggregate_q_indexes","full_long_sample",1929,2024,95,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h1_Kcap","aggregate_q_indexes","pre_1974_full",1929,1973,44,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
