"variable","family","role","preferred_status","sample_start","sample_end","n_obs","level_result_summary","first_difference_result_summary","second_difference_result_summary","i_order_recommendation","i2_risk_flag","rolling_instability_flag","s32_recommendation","notes"
"y_t","effective_output_proxy","effective_output_proxy","preliminary_baseline",1929,2024,96,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_baseline_cointegration_candidate_with_rolling_warning","Actual log output; productive capacity is latent and non-observable."
"ln_e_CORP","distribution_states","distribution_robustness_or_diagnostic","robustness_candidate",1929,2025,97,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",""
"q_omega_h1_Kcap","aggregate_q_indexes","preferred_A00_q_candidate","preferred_baseline",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_baseline_cointegration_candidate_with_rolling_warning",""
"q_omega_h3_Kcap","aggregate_q_indexes","memory_state_robustness_candidate","robustness_candidate",1932,2024,93,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",""
"q_omega_h5_Kcap","aggregate_q_indexes","memory_state_robustness_candidate","robustness_candidate",1934,2024,91,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",""
"q_e_h1_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",""
"q_e_h3_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate",1932,2024,93,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",""
"q_e_h5_Kcap","aggregate_q_indexes","alternative_distribution_proxy_candidate","robustness_candidate",1934,2024,91,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_aggregate_q_cointegration_candidate_with_rolling_warning",""
"q_omega_h1_Kcap__full_long_sample","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__pre_1974_full","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1930,1973,44,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__post_1973_full","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1974,2024,51,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,FALSE,"audit_only_high_i2_risk","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__fordist_core","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1945,1973,29,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__bridge_1940_1978","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1940,1978,39,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__pre_1974_alt_1940_1973","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1940,1973,34,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","Period-reset q; interpret within its governed window."
"q_omega_h1_Kcap__pre_1974_alt_1947_1973","periodized_q_indexes","periodized_A00_q_candidate","periodized_baseline_candidate",1947,1973,27,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=fail_to_reject_unit_root_5pct | ADF_first_difference/trend=fail_to_reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,FALSE,"audit_only_high_i2_risk","Period-reset q; interpret within its governed window."
"q_omega_h1_ME","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning",""
"q_omega_h1_NRC","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning",""
"q_omega_h1_ME_minus_NRC","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,TRUE,"audit_only_high_i2_risk",""
"q_omega_h1_ME_share","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,TRUE,"audit_only_high_i2_risk",""
"q_omega_h1_NRC_share","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,TRUE,"audit_only_high_i2_risk",""
"q_omega_h1_ME_NRC_gap","mechanization_bias_q_candidates","mechanization_bias_candidate","candidate_only",1930,2024,95,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,TRUE,"audit_only_high_i2_risk",""
"IPP_stock","frontier_conditioners","frontier_conditioner","candidate_only",1925,2024,100,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=fail_to_reject_unit_root_5pct | ADF_first_difference/drift=fail_to_reject_unit_root_5pct | ADF_first_difference/trend=fail_to_reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","ambiguous_or_higher_order_risk",TRUE,TRUE,"audit_only_high_i2_risk","Not an additive K_cap component."
"IPP_growth","frontier_conditioners","frontier_conditioner","candidate_only",1926,2024,99,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=reject_unit_root_5pct | ADF_level/trend=reject_unit_root_5pct | KPSS_level/drift=fail_to_reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I0_recommended",FALSE,TRUE,"carry_to_S32_stationary_frontier_conditioner_candidate_with_rolling_warning","Not an additive K_cap component."
"IPP_share_total_fixed_assets","frontier_conditioners","frontier_conditioner","candidate_only",1925,2024,100,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning","Not an additive K_cap component."
"IPP_share_capital_plus_IPP","frontier_conditioners","frontier_conditioner","candidate_only",1925,2024,100,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning","Not an additive K_cap component."
"IPP_to_Kcap","frontier_conditioners","frontier_conditioner","candidate_only",1925,2024,100,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I1_recommended",FALSE,TRUE,"carry_to_S32_frontier_cointegrating_conditioner_candidate_with_rolling_warning","Not an additive K_cap component."
"GOV_TRANS_stock","frontier_conditioners","frontier_conditioner","candidate_only",1925,2024,100,"ADF_level/none=fail_to_reject_unit_root_5pct | ADF_level/drift=fail_to_reject_unit_root_5pct | ADF_level/trend=fail_to_reject_unit_root_5pct | KPSS_level/drift=reject_stationarity_5pct | KPSS_level/trend=reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=reject_stationarity_5pct | KPSS_first_difference/trend=reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I2_risk",TRUE,TRUE,"audit_only_high_i2_risk","Not an additive K_cap component."
"GOV_TRANS_growth","frontier_conditioners","frontier_conditioner","candidate_only",1926,2024,99,"ADF_level/none=reject_unit_root_5pct | ADF_level/drift=reject_unit_root_5pct | ADF_level/trend=reject_unit_root_5pct | KPSS_level/drift=fail_to_reject_stationarity_5pct | KPSS_level/trend=fail_to_reject_stationarity_5pct","ADF_first_difference/none=reject_unit_root_5pct | ADF_first_difference/drift=reject_unit_root_5pct | ADF_first_difference/trend=reject_unit_root_5pct | KPSS_first_difference/drift=fail_to_reject_stationarity_5pct | KPSS_first_difference/trend=fail_to_reject_stationarity_5pct","ADF_second_difference/none=reject_unit_root_5pct | ADF_second_difference/drift=reject_unit_root_5pct | ADF_second_difference/trend=reject_unit_root_5pct | KPSS_second_difference/drift=fail_to_reject_stationarity_5pct | KPSS_second_difference/trend=fail_to_reject_stationarity_5pct","I0_recommended",FALSE,FALSE,"carry_to_S32_stationary_frontier_conditioner_candidate","Not an additive K_cap component."
