year,omega,theta,Y,K,Y_star,mu,mu_ect,period
1996,0.620922242011602,0.9444363476451301,7905688.345284901,18183387.370483194,10225171.921265023,0.7731594545460548,1.1329492293053922,Post-Fordist
1997,0.621030977666497,0.9430389969611843,8337783.791231612,18977312.39333568,10645678.42484581,0.7832083084317264,1.1467580452300334,Post-Fordist
1998,0.63460929410548494,0.7685454531353013,8720654.53483364,19837744.025430374,11014725.163251938,0.7917269296857329,1.057045255041916,Post-Fordist
1999,0.640439844250045,0.6936176547038606,9115995.0718173,20764528.203956936,11369148.907762613,0.8018186010030259,1.0323533548848154,Post-Fordist
2000,0.652779358011841,0.5350438362883789,9504785.234674515,21805941.068273567,11670759.409858933,0.8144101768257942,0.9780783496566621,Post-Fordist
2001,0.654881386402621,0.5080308862825422,9226880.744970413,22573331.640775017,11877640.076451141,0.7768277777050864,0.9231686268070748,Post-Fordist
2002,0.638661211919941,0.7164746752953093,9207660.926014699,23200479.25538691,12113151.157170083,0.7601375403100167,0.9727779718657378,Post-Fordist
2003,0.626869045229268,0.8680145929638066,9339167.298703996,23679297.365057766,12329856.90733689,0.7574432833155361,1.0187144894560658,Post-Fordist
2004,0.613230053731544,1.043287865710301,9728875.948101217,25144205.771912795,13126701.917351495,0.7411515862366866,1.0519984401984654,Post-Fordist
2005,0.597479837743853,1.2456922665846202,10112750.152189905,26690625.195005774,14139856.241656104,0.7151946935922644,1.0672952264791755,Post-Fordist
2006,0.587831471357126,1.3696824277003543,10475689.986035613,28020465.509088833,15113603.659654185,0.6931298598229423,1.0587321047157077,Post-Fordist
2007,0.593479839175833,1.2970958355446243,10541836.362621455,28812095.07638435,15669755.90453856,0.6727505155053587,1.0172764248736355,Post-Fordist
2008,0.595584591788177,1.2700478768484977,10442765.635576563,30175595.22561887,16617514.663323378,0.6284192219565093,0.9473863280170202,Post-Fordist
2009,0.593114751011546,1.3017875458815853,9778663.241112968,29403083.277530868,16065863.56826523,0.608660916331238,0.9194958058183759,Post-Fordist
2010,0.57177005128177,1.5760860802016152,10197448.091306675,30084989.21958352,16657013.665253203,0.6122014603721383,0.9482162342200806,Post-Fordist
2011,0.57077261993538,1.588903967539613,10503949.562903771,31018959.87933228,17486126.233222928,0.6007019177836367,0.9312170195072923,Post-Fordist
2012,0.568162965987683,1.6224403612110212,10917416.79489188,31574486.17202664,17997040.7712961,0.6066228850414299,0.9415787398062142,Post-Fordist
2013,0.567108862532718,1.6359865359700523,11140783.336294858,32275918.869457413,18655728.51188667,0.59717760843252,0.9271659423117032,Post-Fordist
2014,0.568582031539934,1.6170549930296119,11514617.170242997,33249832.43187986,19574458.6795175,0.5882470293950844,0.913339184733852,Post-Fordist
2015,0.575109869197914,1.533166424695004,11886415.463438693,33576999.639394976,19870529.31453755,0.5981931973368434,0.9312759572910948,Post-Fordist
2016,0.582943530383766,1.4324968529117381,11932888.300119095,34270144.49174247,20460746.942664802,0.5832088307214536,0.9117728073413167,Post-Fordist
2017,0.586156566953376,1.3912064514107403,12256133.051719999,35066114.692431815,21124877.348371286,0.5801753472743802,0.9093624600742692,Post-Fordist
2018,0.584943959084541,1.4067895500411884,12676091.543850388,35863601.676888645,21803853.700396325,0.5813693174624437,0.910025551826595,Post-Fordist
2019,0.587441985101222,1.3746876753957906,13027619.22634378,36921325.757170826,22692715.626243282,0.5740881541421964,0.901738734701671,Post-Fordist
2020,0.60484793205077,1.15100564673493,12496333.899579605,37349669.4394324,22996005.57328732,0.5434132401713987,0.8800602478066669,Post-Fordist
2021,0.579714486970795,1.4739929567055112,13742740.691848328,39656275.964686066,25119634.507464066,0.5470915863749849,0.8445948002846766,Post-Fordist
2022,0.56475673366441,1.6662135014123747,14289021.149979241,41220094.349135354,26791732.18203113,0.5333369657809099,0.7910653894059853,Post-Fordist
2023,0.565941031361275,1.6509942138814528,14514925.996012745,41158791.436694905,26725980.305906687,0.5431017246093238,0.8085807845797227,Post-Fordist
2024,0.56912875490843,1.6100291074207478,14849197,41512608.2513652,27096848.167661246,0.5480045837110231,0.8241219557016861,Post-Fordist
