"year","Y_real","Yp","mu_t","mu_formula","anchor_check_mu_t","anchor_tolerance","candidate_spec_id","reconstruction_estimator","robustness_estimator","stress_diagnostic_estimator","reconstruction_window_id","reconstruction_window_role","reconstruction_year_start","reconstruction_year_end","anchor_type","anchor_year","anchor_variable","anchor_value","anchor_source","anchor_status","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","a00_baseline_available","omega_k_formula","a03_composition_status","a03_composition_basis","a03_composition_tier","fragility_flag"
1958,2014899.3464191,2218900.42009627,0.908062087045656,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1959,2228896.66644862,2335760.96665169,0.954248614593359,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1960,2286634.60161342,2391967.64911616,0.955963849451869,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1961,2326128.73844189,2488125.79954699,0.934891933062791,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1962,2507040.61981073,2604983.09961755,0.962401875151819,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1963,2643039.90843313,2732159.28281047,0.967381340122431,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1964,2809129.44482674,2859162.83597242,0.982500684985065,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1965,3032710.39869675,3032355.43680431,1.00011705814171,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1966,3239530.15083045,3167593.42870096,1.02271021321035,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1967,3313586.99298466,3286481.02988306,1.00824771628229,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
