"year","value_me","value_nrc","me_share_productive_capital","me_annual_log_growth","nrc_annual_log_growth"
1931,22495682.7944317,69242413.1782558,0.24521636901129,-3.79629358900537,0.278931205039257
1932,20989611.6160036,68073709.9643176,0.235670658174075,-6.92957846225788,-1.70224939046868
1933,19215061.6483186,66536964.085714,0.224077058050101,-8.83331980191748,-2.28334440213516
1934,17602308.1926553,64955230.4256767,0.21321260889368,-8.7664391600061,-2.40593742391546
1935,16031185.0363927,63487359.7995218,0.201603098616465,-9.34941507029627,-2.2857442099081
1936,14960704.231211,62118987.0529229,0.194093982240566,-6.91088443348633,-2.17891359566451
1937,14047927.2373986,60987996.488155,0.187216023204823,-6.295218840798,-1.8374625924924
1938,12562579.1010872,59459320.3582958,0.17442721165903,-11.1752374905777,-2.53846786563159
1939,11534502.5862678,58059054.3213444,0.165740955036689,-8.53797138342571,-2.38317167617517
1940,10648937.0563507,56618674.7902599,0.158307047983706,-7.98826883102031,-2.51217964284045
1941,9997552.96338202,55092055.658643,0.153596759529432,-6.31197208715442,-2.73333487406617
1942,9313207.8611307,53290137.790998,0.148765337764564,-7.09067666370053,-3.32542433525411
1943,8556324.12740433,51348565.0163581,0.142831816395995,-8.47629191944677,-3.7114291157021
1944,7882401.61701257,49590286.6272044,0.13715039017347,-8.20380423876816,-3.48420104064751
1945,7486972.38597557,48250782.530313,0.134324972314011,-5.14681361894329,-2.73829345256225
1946,7397325.63887662,47406279.5587913,0.134978814116255,-1.20459602412915,-1.76573458287201
1947,7657408.91061663,46305863.276813,0.1419003815043,3.45551294697639,-2.34861103469157
1948,7887697.79467491,45279293.5471844,0.14835704627252,2.96306403249886,-2.24187578225923
1949,7944806.73752248,44161468.2031397,0.152473128170646,0.721417011615522,-2.4997183130214
1950,7935775.05871149,42862341.5245753,0.156221836408054,-0.11374494839842,-2.98590282854114
1951,7944485.68670741,41142212.2498652,0.161845999439051,0.109703851960141,-4.09589640091106
1952,7907981.11846311,40014313.5905779,0.165016745681237,-0.460554602863539,-2.7797426606341
1953,7996275.93013864,38868376.5338172,0.170624884848739,1.11034069089069,-2.90562524370053
1954,8019985.67645097,37283221.0553934,0.177029094737649,0.296071133380771,-4.16375896465517
1955,7996645.43040685,35635533.4937376,0.183274033696763,-0.291450335717336,-4.52001158832722
1956,7994626.67154822,34218666.6200445,0.189386471610365,-0.0252482586310165,-4.05719691287665
1957,8088893.40679817,32518028.1583608,0.199199867781617,1.17222864443427,-5.09766546689114
1958,8073202.04506067,30703231.4886487,0.208198674023036,-0.194174904045674,-5.74267388342413
1959,8031729.13535845,28908516.0390059,0.217424900604945,-0.515034816525883,-6.02316849293594
1960,7964935.50637833,26988622.7733093,0.227871950622176,-0.835099299170317,-6.87208259078709
1961,7825656.03834822,25426301.0777124,0.235344223831218,-1.76412745230969,-5.96312846430074
1962,7646841.38883696,24992186.9021683,0.234285203611417,-2.31148994508459,-1.72208616808618
1963,7516263.18992813,24846787.1792822,0.232248292549054,-1.72235740026441,-0.583479648507534
1964,7489160.16600958,24843630.3984157,0.231627398541024,-0.361243435116343,-0.0127057932882479
1965,7579525.00504259,24942154.6147229,0.233060687321821,1.19938695745549,0.39579307586699
1966,7718151.01111355,25087576.8326289,0.235268397271233,1.81242955696295,0.581344825400265
1967,7805549.72174426,25139672.9745616,0.236925086034386,1.12601544671413,0.207441820185039
1968,7904658.89690983,25021400.0539655,0.240073034817296,1.26173359492352,-0.471573403980585
1969,8049746.33362641,25060955.9788709,0.243116145880968,1.81882601488255,0.157963547500017
1970,8123169.47743945,25061694.502739,0.244785378125747,0.90798281654525,0.00294686678010692
1971,8145706.13789296,24955778.4450665,0.246082803853648,0.277052642136866,-0.423516862189288
1972,8216986.61672307,24856115.0761223,0.248449229015029,0.871261604737406,-0.400159459476157
1973,8431166.08082013,24931200.6100101,0.252714867591737,2.57315373572506,0.301625383007931
1974,8551866.84652835,25010668.8116794,0.254803955625355,1.42145161634808,0.3182430680301
1975,8549137.48659481,24943294.7540785,0.255255797045779,-0.0319204638927317,-0.269744755547308
1976,8566361.4850625,24763104.532533,0.257020663953635,0.201267918751036,-0.725021379331992
1977,8641545.38216349,24455769.2608638,0.261095060894435,0.873835221136154,-1.24886752778046
1978,8762309.41077586,24283433.9190607,0.265156977203309,1.38780710726696,-0.707176353997951
1979,8872760.4067231,24119718.2821567,0.268932822246959,1.2526453407224,-0.676469418933934
1980,8849766.98107973,24029351.0186442,0.269160717180857,-0.259482612628581,-0.37536496937598
1981,8790827.46255186,24007183.184396,0.26802928864132,-0.668228477612232,-0.0922957336101149
1982,8678578.60908131,23901271.8239056,0.266378712417117,-1.28510835267228,-0.442141300568011
1983,8548667.78207895,23647394.0922524,0.265519050604585,-1.50823047021262,-1.0678749418112
1984,8487882.29430143,23465762.9543899,0.26563111120003,-0.713592193781842,-0.771045920487268
1985,8445884.44339546,23377253.0887163,0.265400746072664,-0.496025930517163,-0.377900393626618
1986,8370977.48452515,23151017.7095133,0.265559887088248,-0.890861262897857,-0.972471825171795
1987,8230403.80370179,22804173.8598944,0.26520108934352,-1.69355836410894,-1.50951578633389
1988,8061997.60360857,22455216.0657675,0.264178692424294,-2.06737108840205,-1.54206545759337
1989,7934628.78609267,22199252.2489825,0.263312541018428,-1.59247964064573,-1.14643228280435
1990,7831178.96163185,22063008.0713645,0.261963269079304,-1.31235025624825,-0.615624267393855
1991,7689829.76450744,21820655.6103988,0.260579575930878,-1.82144224634015,-1.10453368991301
1992,7536675.86458698,21526177.5004138,0.259323328302757,-2.01174279734229,-1.3587273590062
1993,7404152.05660868,21225518.7797549,0.258618134275033,-1.77402864542877,-1.40655788507189
1994,7319028.99597616,20919257.3122288,0.259188143221337,-1.1563263238207,-1.45340365798106
1995,7327897.79902282,20643845.5558809,0.261975011927105,0.121101228328158,-1.32528982883855
1996,7371020.41708833,20338699.3895719,0.266008478920695,0.586747148972755,-1.48917938569184
1997,7494769.35093852,20004324.3367135,0.27254604955595,1.66492052326248,-1.65769780755625
1998,7650509.38880383,19719640.2002313,0.279520189099322,2.05668750363586,-1.43333634345097
1999,7822897.42106379,19426748.4775073,0.287082534950445,2.22827677429276,-1.49641996686753
2000,8047391.70503648,19166001.6680563,0.295714378383746,2.82930269942838,-1.35129409613697
2001,8196405.74187423,18907318.1096971,0.302408841927418,1.83477068858142,-1.35889142599304
2002,8250183.48609365,18518120.1418134,0.308207184167341,0.653970682148142,-2.07993288492965
2003,8299834.5119213,18093236.9982776,0.314470201344851,0.600013544315381,-2.32114978998581
2004,8357784.52082873,17643263.8010104,0.321440290305863,0.695780622410069,-2.51841657474685
2005,8481419.26715673,17240294.8004604,0.329737716734616,1.46844197044604,-2.31046913130299
2006,8649196.69225951,16912189.0612202,0.338369632056512,1.95886464748067,-1.92147567020235
2007,8805272.83271646,16662988.5061841,0.345735137375364,1.78842788957283,-1.48446054064699
2008,8872747.85848918,16440411.8052064,0.350519175652914,0.763381315445066,-1.34475644827354
2009,8733248.09306133,16063593.7287323,0.352191950725991,-1.58471790197741,-2.31869858943732
2010,8652070.05202872,15584637.6700907,0.356982068324919,-0.933875702840758,-3.02697880800764
2011,8623679.07363742,15116529.361142,0.363252037037877,-0.328680438039974,-3.0496859522227
2012,8624781.50524168,14698168.4979562,0.369798053164763,0.0127829564929627,-2.8065910749433
2013,8609305.28660244,14281984.8167983,0.376095241802184,-0.179600149241388,-2.87239540208688
2014,8630191.26942709,13984400.1132421,0.381620482253811,0.242303978836489,-2.10565093050015
2015,8636426.7387863,13626718.8076889,0.387924820450795,0.0722257204893495,-2.59099471048501
2016,8642552.54965636,13220268.5025594,0.395308205149511,0.070904780015546,-3.02813390689316
2017,8709633.20303765,12887939.6303996,0.403269074270857,0.773170464013084,-2.54591828546964
2018,8790127.45449172,12606680.7753896,0.410814891644261,0.91995337220645,-2.20650679830001
2019,8817594.73444754,12335337.7901251,0.416849754718616,0.311991544861279,-2.17587594150928
2020,8710905.38851304,12020876.1464403,0.420171579264746,-1.21733933560471,-2.58233171247646
2021,8595906.29515612,11637435.066658,0.424838692801326,-1.32896558881583,-3.24177542460617
2022,8486889.5926842,11321220.7152624,0.428455287291057,-1.27635058277047,-2.75481589250717
2023,8419077.76493541,11105287.4067676,0.431208784044734,-0.80222787604125,-1.92575661433203
2024,8430919.8539027,10891222.783388,0.436334624589277,0.14055896249765,-1.94641222377143
