"year","sector_boundary_gap_gva_pp","sector_boundary_gap_nva_pp","gross_net_gap_corporate_pp","gross_net_gap_nfc_pp"
1958,-0.224026937682398,-0.446957988422603,7.31349839251499,7.5364294432552
1959,-0.150659034092793,-0.332867854811902,6.6673618714617,6.84957069218081
1960,-0.276562643868306,-0.506151540389099,6.6749206411895,6.90450953771029
1961,-0.191899374827398,-0.424298942026602,6.6979404628867,6.9303400300859
1962,-0.088804059818004,-0.277551695003897,6.3474243936217,6.5361720288076
1963,0.115524518575905,-0.0282331986907969,6.21578116682739,6.3595388840941
1964,0.0618844270980023,-0.0865785920330042,6.065350668423,6.213813687554
1965,0.0843713098290011,-0.0375422731135,5.8904330467114,6.0123466296539
1966,0.0367069679401921,-0.0834623107472066,5.9751381214336,6.095307400121
1967,-0.0466119400433951,-0.203808558683805,6.3479760478134,6.50517266645381
1968,-0.0478946659226986,-0.198356217261297,6.37460808593849,6.52506963727709
1969,-0.294527406813294,-0.4917866825212,6.65434969825249,6.8516089739604
1970,-0.346876271895702,-0.586506143157406,7.3021603882889,7.54179025955061
1971,-0.301112670495995,-0.528145229504406,7.27111896560469,7.49815152461311
1972,-0.254694860792393,-0.451234785449006,7.11378224161909,7.31032216627571
1973,-0.258003315214306,-0.424893034693097,7.12249220377631,7.2893819232551
1974,-0.512122594772002,-0.750001378160503,7.85448041058929,8.09235919397779
1975,-0.394950897883606,-0.6397219133077,8.3869301482149,8.63170116363899
1976,-0.279330822595203,-0.442598541925998,8.1590172024795,8.3222849218103
1977,-0.429097995139005,-0.610755441100497,8.0527687788381,8.23442622479959
1978,-0.732013730527092,-0.982902280243203,8.02795637252469,8.2788449222408
1979,-0.770498223372296,-1.0143115575179,8.5247204615169,8.7685337956625
1980,-0.727252243888599,-0.977536349458008,9.21235040048699,9.4626345060564
1981,-0.637870768068405,-0.855945982488504,9.1380492485878,9.3561244630079
1982,-0.623050520189994,-0.879732881459094,9.8593713215087,10.1160536827778
1983,-0.670445117853302,-0.910548296429303,9.4372121584399,9.6773153370159
1984,-0.711983947653894,-0.878367924922208,8.7683554512259,8.93473942849421
1985,-0.779546963390598,-0.936836301104405,8.9259956355536,9.0832849732674
1986,-0.357583105220993,-0.385548391077395,9.4511552705706,9.479120556427
1987,0.0216866205690947,0.155683181500799,9.3886345976675,9.2546380367358
1988,0.203224349988096,0.449103865129896,9.2892150882244,9.0433355730826
1989,-0.229960444140698,-0.0299738843848041,9.42479205254,9.2248054927841
1990,-0.00776432719000741,0.309919282890703,9.72820222260341,9.4105186125227
1991,-0.0176852680468964,0.307534500350304,9.9946243961883,9.6694046277911
1992,-0.1429775409582,0.0833483474730001,9.843968205829,9.6176423173978
1993,-0.0492591331029968,0.199863082958096,9.76025018269879,9.5111279666377
1994,0.0718403926963984,0.387191217332705,9.4073301819956,9.09197935735929
1995,-0.156146765513898,0.0753306959404898,9.47254712999379,9.2410696685394
1996,-0.172516347933793,-0.008519607589208,9.35894861139019,9.19495187104561
1997,-0.339868433053991,-0.285846272333301,9.25193733612629,9.1979151754056
1998,-0.48686774293869,-0.51483525876399,9.4602575342825,9.4882250501078
1999,-0.543928151897399,-0.520419835498198,9.71134919331881,9.68784087691961
2000,-0.7862294665965,-0.814113273949801,10.0571708373458,10.0850546446991
2001,-0.776315697824992,-0.87034048055501,10.8208116466274,10.9148364293574
2002,-0.792107214151594,-0.927690762472799,10.7145573562683,10.8501409045895
2003,-0.757311192709698,-0.864677923860802,10.3268349818037,10.4342017129548
2004,-0.40060413453511,-0.391011733431801,9.90118736026691,9.8915949591636
2005,-0.392860296558406,-0.434480342945998,9.5993436367941,9.64096368318169
2006,-0.481418819128698,-0.623026274883709,9.44387505637649,9.5854825121315
2007,0.3432466791365,0.458967465412508,10.1235879691818,10.0078671829058
2008,1.36714400626989,1.9231537972652,11.1744276524125,10.6184178614172
2009,-0.372337642963894,-0.427030714729404,11.364453899212,11.4191469709775
2010,-0.108113960139,-0.120224724683005,10.4098973615039,10.4220081260479
2011,0.0718193496196062,0.119282774664298,10.3714746296077,10.324011204563
2012,-0.323355792397606,-0.420963429840704,10.1053926479689,10.203000285412
2013,-0.0675065388377027,-0.0250989011332026,10.2384507497781,10.1960431120736
2014,-0.637556625128499,-0.837876204555499,10.0558158220627,10.2561354014897
2015,-0.7891883693533,-1.04076996828699,10.1131356440368,10.3647172429705
2016,-1.11081302334161,-1.44323936875089,10.2936759522705,10.6261022976798
2017,-0.839005328639009,-1.0675201180304,10.480133081361,10.7086478707524
2018,-1.0134922831036,-1.2767238500615,10.3067043046018,10.5699358715597
2019,-1.10639009473771,-1.367555629415,10.443814268864,10.7049798035413
2020,-1.2224023332545,-1.6224470898628,11.517647310898,11.9176920675063
2021,-0.922067431902795,-1.1296190564364,10.0529268870886,10.2604785116222
2022,-0.975587806537903,-1.1635164220223,9.7415970999764,9.9295257154608
2023,-1.02757077904391,-1.2380205980951,9.941892314346,10.1523421333972
2024,-1.23645891380799,-1.52640344242201,10.0036361098889,10.2935806385029
2025,-1.34023170249561,-1.69075254007239,10.017627444282,10.3681482818588
