year,r_level,ln_r,ect,dlog_r,dlog_r_smoothed,ect_smoothed,dlog_r_z,dlog_r_smoothed_z,ect_z,ect_smoothed_z
1966,0.10850043927688323,-2.22100105737495,-6.26497762493587,0.27985175812683316,0.09999980236368107,-6.329984780961124,1.2778174362602466,1.2233938344166688,0.21139352375380346,-0.06647439155118792
1967,0.10176124100785724,-2.28512598402584,-6.376049528985654,-0.06412492665089031,0.10080948449280906,-6.337606855570686,-0.35615188976559675,1.23406500306172,-0.21399887626955652,-0.10011926475473718
1968,0.11097788164075029,-2.198424362023356,-6.371793412790535,0.08670162200248432,0.0342151928532742,-6.348280803344701,0.36030932681136724,0.35638857756307046,-0.19769844909574893,-0.14723552087055564
1969,0.12022918546617364,-2.1183554788151273,-6.296999468257914,0.08006888320822858,0.0426729928946988,-6.342514026625282,0.3288022735226864,0.46785776696627984,0.08875360954263894,-0.1217801846980899
1970,0.11565923906499084,-2.157107005341744,-6.358749198827397,-0.03875152652661651,-0.006720006711153766,-6.355038335578037,-0.23562233257530457,-0.1831150157066537,-0.14774063544639723,-0.17706418652993502
1971,0.10876296669362093,-2.218584382156817,-6.409366339648799,-0.06147737681507337,-0.15894241376895138,-6.33363139986464,-0.34357541173004297,-2.1893232779771847,-0.3415983639200703,-0.0825710629845179
1972,0.07463223801686555,-2.5951827201219815,-6.232778661117724,-0.3765983379651643,-0.04248751223059122,-6.302574633447236,-1.8404733332846834,-0.6545112213037486,0.33471178874660856,0.054517724747220865
1973,0.10181788099251637,-2.2845695420335175,-6.265578899575184,0.310613178088464,0.06868086735203945,-6.449126555179286,1.4239413419394462,0.8106273606739935,0.20909071221852857,-0.592382374895637
1974,0.1336485373820318,-2.012541780100699,-6.84902210484495,0.27202776193281863,0.0851061065186595,-6.695031813365769,1.2406516330133674,1.027103050178305,-2.0254285164766586,-1.6778416042490853
1975,0.09634070108935348,-2.339864400566003,-6.970494435677169,-0.32732262046530414,-0.004322267974260718,-6.94794235066869,-1.6064022044094375,-0.1515141275214177,-2.4906533345007453,-2.7942230876739327
1976,0.10050615134368027,-2.2975363459562996,-7.02431051148395,0.04232805460970335,-0.08092970020352401,-6.947350548075303,0.14952455210200818,-1.161158282151838,-2.696762609777279,-2.791610790597876
1977,0.10483884884379384,-2.255330880711271,-6.847246697064788,0.04220546524502877,0.08350402429037758,-6.8762617043351755,0.14894222408258243,1.0059884806130266,-2.018628912354587,-2.477814973009995
1978,0.12376727049752988,-2.0893523276948702,-6.757227904456791,0.16597855301640063,NA,NA,0.736893203773586,NA,-1.6738674664937345,NA
