"year","unadjusted_nos_share_gva","after_interest_surplus_share_gva","difference_gva","unadjusted_nos_share_nva","after_interest_surplus_share_nva","difference_nva","selected_interest_value"
1971,0.157999472574693,0.12739747968361,-0.0306019928910834,0.176482068797268,0.142300290043642,-0.0341817787536255,18915
1972,0.163528192329167,0.134406493777234,-0.0291216985519332,0.182168081447185,0.149726923270555,-0.0324411581766302,19976
1973,0.163211235656926,0.132342574118345,-0.0308686615385816,0.181686160154519,0.147323277222591,-0.0343628829319287,23733
1974,0.146129102211942,0.109815189629415,-0.0363139125825261,0.164207696140016,0.123401150197115,-0.0408065459429017,30142
1975,0.157346261744668,0.121327425746983,-0.0360188359976845,0.178786828510567,0.137859936550984,-0.0409268919595829,32355
1976,0.167268835262047,0.13772512334108,-0.0295437119209671,0.189338616724342,0.15589684893027,-0.0334417677940727,29977
1977,0.171591274541333,0.142794890365269,-0.028796384176064,0.194004775132262,0.161446965583771,-0.0325578095484909,33041
1978,0.169912364994773,0.14184416199937,-0.0280682029954039,0.19202464250086,0.16030366300652,-0.0317209794943399,36599
1979,0.156326922360904,0.126219898147037,-0.0301070242138664,0.177422485018179,0.143252663391456,-0.034169821626723,43665
1980,0.141909919613954,0.104980098785222,-0.0369298208287314,0.162423755167493,0.120155531825653,-0.0422682233418407,58147
1981,0.152862916816419,0.112107595746833,-0.0407553210695854,0.175310884798104,0.12857063185945,-0.0467402529386538,72914
1982,0.142763258271105,0.0977933117360277,-0.0449699465350773,0.165402337691703,0.113301157227975,-0.0521011804637282,83413
1983,0.152653785514772,0.11103233346711,-0.041621452047662,0.176121532600973,0.128101538213065,-0.0480199943879072,82656
1984,0.167941599281222,0.125717430368374,-0.0422241689128482,0.192002457052933,0.143728865441427,-0.0482735916115062,93991
1985,0.161880662596316,0.120898713259735,-0.0409819493365806,0.185259413512486,0.138358864818623,-0.0469005486938632,97093
1986,0.147792188508532,0.104313874722251,-0.0434783137862808,0.16967306075588,0.119757712380096,-0.0499153483757833,107170
1987,0.153265336867151,0.109395049475719,-0.0438702873914324,0.175498545862752,0.125264280234569,-0.050234265628183,115901
1988,0.158864166841806,0.111692162727547,-0.0471720041142584,0.181484099108482,0.127595492004636,-0.0538886071038451,135568
1989,0.151338663862449,0.0985069596084779,-0.0528317042539715,0.173130993961106,0.112691677023151,-0.0604393169379554,159563
1990,0.144595321854642,0.0909112768481129,-0.0536840450065286,0.165703373333483,0.10418252163739,-0.0615208516960936,169679
1991,0.139522727673643,0.0910320103415503,-0.048490717332093,0.160570591887041,0.104764750696393,-0.0558058411906481,156685
1992,0.132998785427619,0.0941069990584917,-0.0388917863691275,0.152732170278327,0.108069905739148,-0.0446622645391796,131318
1993,0.138264172250926,0.105013782427744,-0.0332503898231821,0.158733483767292,0.120560541874033,-0.0381729418932594,117538
1994,0.153229269698617,0.12258111002666,-0.0306481596719572,0.175396065839469,0.140314213382336,-0.0350818524571333,116971
1995,0.157720699762414,0.126429486579936,-0.0312912131824779,0.181053498643716,0.145133143027566,-0.0359203556161504,126463
1996,0.163582347459103,0.135661011331463,-0.0279213361276393,0.187806504850633,0.155750426488005,-0.0320560783626281,119960
1997,0.165596125963883,0.137838434157679,-0.0277576918062036,0.190122102521682,0.158253297037094,-0.0318688054845879,127945
