"year","NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","NFC_FINANCIAL_CLAIMS_BURDEN_NOS","NFC_FINANCIAL_CLAIMS_BURDEN_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA"
1949,999,0.0378036781957163,0.00803810657933909,25427,0.204589525518373,0.186564043113632
1950,932,0.0280149092220753,0.00656254840935656,32336,0.227689447816474,0.208799865690339
1951,1096,0.0289686525347571,0.00672363763519358,36738,0.225376824308159,0.206808036342552
1952,1258,0.0352025968211328,0.00738683405459681,34478,0.202450925703012,0.18548226572629
1953,1334,0.036818282181497,0.00731700628033897,34898,0.191415955900502,0.175328949021066
1954,1650,0.0469043151969981,0.00924680564895763,33528,0.187895090786819,0.170918211292592
1955,1700,0.0374300937954115,0.00839655444918603,43718,0.215929745535009,0.197483015322347
1956,1832,0.0413506681112315,0.00848631396582313,42472,0.196741663076659,0.179030741928821
1957,2262,0.0517560919803226,0.0100907813440992,41443,0.184877210982981,0.167162120191513
1958,2846,0.0725335780003568,0.0131302133313649,36391,0.167892337786964,0.150222086456854
1959,3018,0.0606316297010608,0.0123200267791172,46758,0.190874689243857,0.172122729196959
1960,3313,0.06914327454868,0.0129960301893898,44602,0.174961949443756,0.157892128403733
1961,3818,0.0767853910665085,0.0145803657693644,45905,0.175304266800072,0.158062550142379
1962,4470,0.0772567794120189,0.0155757812282218,53389,0.186034761519806,0.168521628241711
1963,4828,0.0746028802769022,0.0157526044980407,59888,0.195400161180336,0.177273117464753
1964,5299,0.0738680718188915,0.0159959670481268,66437,0.200551814073674,0.182257360989567
1965,5966,0.0714568037273479,0.0163491023887886,77525,0.2124478985402,0.193454126231157
1966,7184,0.079063215354816,0.0179291618416324,83680,0.208840793834604,0.190147245955281
1967,8594,0.0961684794771944,0.0204746282809079,80770,0.192429104753192,0.17437730871282
1968,10148,0.105217319177173,0.0219249349684132,86300,0.186452688980495,0.168903050040709
1969,13544,0.142724667003878,0.0270263259242409,81352,0.162333554827883,0.146679287807077
1970,17851,0.210269035054655,0.0347545898798746,67045,0.130531705702549,0.117029447188815
1971,18915,0.193684145854453,0.0341817787536255,78744,0.142300290043642,0.12739747968361
1972,19976,0.178083657240666,0.0324411581766302,92196,0.149726923270555,0.134406493777234
1973,23733,0.189133189356327,0.0343628829319287,101750,0.147323277222591,0.132342574118345
1974,30142,0.248505684581963,0.0408065459429017,91151,0.123401150197115,0.109815189629415
1975,32355,0.228914469262281,0.0409268919595829,108986,0.137859936550984,0.121327425746983
1976,29977,0.176624126512768,0.0334417677940727,139745,0.15589684893027,0.13772512334108
1977,33041,0.167819629832795,0.0325578095484909,163843,0.161446965583771,0.142794890365269
1978,36599,0.165192233044766,0.0317209794943399,184955,0.16030366300652,0.14184416199937
1979,43665,0.192590142242805,0.034169821626723,183060,0.143252663391456,0.126219898147037
1980,58147,0.260234245281752,0.0422682233418407,165294,0.120155531825653,0.104980098785222
1981,72914,0.266613524838929,0.0467402529386538,200568,0.12857063185945,0.112107595746833
1982,83413,0.314996639048964,0.0521011804637282,181393,0.113301157227975,0.0977933117360277
1983,82656,0.272652603453679,0.0480199943879072,220499,0.128101538213065,0.11103233346711
1984,93991,0.251421738828049,0.0482735916115062,279847,0.143728865441427,0.125717430368374
1985,97093,0.253161487476599,0.0469005486938632,286429,0.138358864818623,0.120898713259735
1986,107170,0.294185465585489,0.0499153483757833,257124,0.119757712380096,0.104313874722251
1987,115901,0.286237503457541,0.050234265628183,289011,0.125264280234569,0.109395049475719
1988,135568,0.29693293995764,0.0538886071038451,320993,0.127595492004636,0.111692162727547
1989,159563,0.349095881419898,0.0604393169379554,297512,0.112691677023151,0.0985069596084779
1990,169679,0.37127096726197,0.0615208516960936,287343,0.10418252163739,0.0909112768481129
1991,156685,0.347547085271421,0.0558058411906481,294146,0.104764750696393,0.0910320103415503
1992,131318,0.292422116819204,0.0446622645391796,317752,0.108069905739148,0.0941069990584917
1993,117538,0.240484496322288,0.0381729418932594,371217,0.120560541874033,0.105013782427744
1994,116971,0.200015047596574,0.0350818524571333,467840,0.140314213382336,0.12258111002666
1995,126463,0.198396362871926,0.0359203556161504,510963,0.145133143027566,0.126429486579936
1996,119960,0.170686730942163,0.0320560783626281,582848,0.155750426488005,0.135661011331463
1997,127945,0.167622833231363,0.0318688054845879,635346,0.158253297037094,0.137838434157679
