"variable_id","display_name","family_id","concept","definition","unit","reference_year","transformation","contract_status","analytical_role","authoritative_variable_id","baseline_or_robustness","coverage_start","coverage_end","source_stage","source_commit","notes"
"CORP_COMPENSATION_SHARE_NVA","CORP_COMPENSATION_SHARE_NVA","distribution","robustness_distribution_interface","distribution robustness_distribution_interface","ratio","","ratio","ROBUSTNESS_AUTHORIZED","robustness_distribution_interface","CORP_COMPENSATION_SHARE_NVA","ROBUSTNESS_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","distribution diagnostic_distribution_catalog","ratio","","ratio","DIAGNOSTIC_ONLY","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY",1929,2025,"","","value-bearing canonical object"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","distribution diagnostic_distribution_catalog","ratio","","ratio","DIAGNOSTIC_ONLY","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY",1929,2025,"","","value-bearing canonical object"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","baseline_distribution_interface","distribution baseline_distribution_interface","ratio","","ratio","BASELINE_AUTHORIZED","baseline_distribution_interface","NFC_COMPENSATION_SHARE_GVA","BASELINE_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"NFC_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_NVA","distribution","robustness_distribution_interface","distribution robustness_distribution_interface","ratio","","ratio","ROBUSTNESS_AUTHORIZED","robustness_distribution_interface","NFC_COMPENSATION_SHARE_NVA","ROBUSTNESS_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","distribution diagnostic_distribution_catalog","ratio","","ratio","DIAGNOSTIC_ONLY","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY",1929,2025,"","","value-bearing canonical object"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","distribution diagnostic_distribution_catalog","ratio","","ratio","DIAGNOSTIC_ONLY","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY",1929,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_baseline","y_real_nfc_gva_baseline","output","baseline_representation","output baseline_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","BASELINE_AUTHORIZED","baseline_representation","Y_REAL_NFC_GVA_BASELINE","BASELINE_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","baseline_representation","output baseline_representation","Millions of 2017-price-equivalent dollars","2017","level","BASELINE_AUTHORIZED","baseline_representation","Y_REAL_NFC_GVA_BASELINE","BASELINE_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_gdp_implicit","y_real_nfc_gva_proxy_gdp_implicit","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","ROBUSTNESS_AUTHORIZED",1929,2024,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","ROBUSTNESS_AUTHORIZED",1929,2024,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_nonfarm_business_output","y_real_nfc_gva_proxy_nonfarm_business_output","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED",1929,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_business_output","y_real_nfc_gva_proxy_business_output","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED",1947,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","ROBUSTNESS_AUTHORIZED",1947,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","ROBUSTNESS_AUTHORIZED",1947,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","ROBUSTNESS_AUTHORIZED",1947,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","ROBUSTNESS_AUTHORIZED",1997,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","ROBUSTNESS_AUTHORIZED",1997,2025,"","","value-bearing canonical object"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","robustness_representation","output robustness_representation","natural_log_of_millions_2017_price_equivalent_dollars","2017","log_level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","ROBUSTNESS_AUTHORIZED",1997,2025,"","","value-bearing canonical object"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","robustness_representation","output robustness_representation","Millions of 2017-price-equivalent dollars","2017","level","ROBUSTNESS_AUTHORIZED","robustness_representation","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","ROBUSTNESS_AUTHORIZED",1997,2025,"","","value-bearing canonical object"
"ADD_PROFITS_TO_NOS","ADD_PROFITS_TO_NOS","contextual","Violates account ladder.","BLOCKED",,"","reference_only","BLOCKED","blocked_reference_only","ADD_PROFITS_TO_NOS","BLOCKED",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"OLD_APPENDIX_6_7_LINE_REPLICATION","OLD_APPENDIX_6_7_LINE_REPLICATION","contextual","Historical line numbers cannot be mechanically reused.","BLOCKED",,"","reference_only","BLOCKED","blocked_reference_only","OLD_APPENDIX_6_7_LINE_REPLICATION","BLOCKED",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","contextual","Financial corporate components are claims/appropriation channels, not productive capital.","BLOCKED",,"","reference_only","BLOCKED","blocked_reference_only","PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","BLOCKED",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"QWEN_HOUSING_PROXY_PATHS","QWEN_HOUSING_PROXY_PATHS","contextual","Qwen proxy paths are subordinate hypotheses and outside corporate Appendix correction.","BLOCKED",,"","reference_only","BLOCKED","blocked_reference_only","QWEN_HOUSING_PROXY_PATHS","BLOCKED",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"INVENTORIES_MENU","INVENTORIES_MENU","contextual","Optional circulation stock-flow diagnostic.","DIAGNOSTIC_ONLY",,"","reference_only","DIAGNOSTIC_ONLY","diagnostic_reference_only","INVENTORIES_MENU","DIAGNOSTIC_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP_GOS_SHAIKH_RECONCILIATION","CORP_GOS_SHAIKH_RECONCILIATION","contextual","Potential future robustness candidate after human review.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","CORP_GOS_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP_GVA_SHAIKH_RECONCILIATION","CORP_GVA_SHAIKH_RECONCILIATION","contextual","Must flow through GOS/NOS under stock-flow law.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","CORP_GVA_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP_IMPUTED_INTEREST_ADJ","CORP_IMPUTED_INTEREST_ADJ","contextual","Expected current status for Shaikh corporate adjustment.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","CORP_IMPUTED_INTEREST_ADJ","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","CORP_NOS_EBIT_SHAIKH_RECONCILIATION","contextual","EBIT-like NOS, not corporate profit.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","CORP_NOS_EBIT_SHAIKH_RECONCILIATION","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","contextual","Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_CFC","FIN_CFC","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_CFC","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_COMP","FIN_COMP","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_COMP","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_DIVIDENDS","FIN_DIVIDENDS","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_DIVIDENDS","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_GVA","FIN_GVA","contextual","Direct NIPA Table 1.14 line; no adjusted share is constructed here.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_GVA","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_NET_INT","FIN_NET_INT","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_NET_INT","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_NOS","FIN_NOS","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_NOS","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_NVA","FIN_NVA","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_NVA","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_PBT","FIN_PBT","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_PBT","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN_TRANSFERS","FIN_TRANSFERS","contextual","Do not silently substitute total financial business. Downstream derivation must cite inputs.","METADATA_REFERENCE_ONLY",,"","reference_only","METADATA_REFERENCE_ONLY","metadata_reference_only","FIN_TRANSFERS","METADATA_REFERENCE_ONLY",,,"S22","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__ME__cfc_current_cost","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__ME__gross_investment_current_cost","PARKED_FOR_FUTURE_RESEARCH",1901,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__ME__net_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Chain-type quantity index","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__ME__net_stock_quantity_index","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__NRC__cfc_current_cost","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__NRC__gross_investment_current_cost","PARKED_FOR_FUTURE_RESEARCH",1901,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Millions of current dollars","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__NRC__net_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","contextual","Financial fixed assets require a separate boundary decision before any analytical capital use.","PARKED_FOR_FUTURE_RESEARCH","Chain-type quantity index","","reference_only","PARKED_FOR_FUTURE_RESEARCH","future_review_only","FIN__NRC__net_stock_quantity_index","PARKED_FOR_FUTURE_RESEARCH",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","contextual","Highways and streets condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","contextual","Highways and streets condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED",1901,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","contextual","Highways and streets condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","contextual","Highways and streets condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Chain-type quantity index","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","contextual","Government transportation structures condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","contextual","Government transportation structures condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED",1901,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","contextual","Government transportation structures condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","contextual","Government transportation structures condition the frontier but are not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Chain-type quantity index","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","contextual","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","CONTEXTUAL_AUTHORIZED","Millions of current dollars","","reference_only","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","CORP__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED",1925,2024,"S24B","","contextual classification; excluded from value rows unless separately value-authorized"
