"provenance_id","variable_id","family_id","source_stage","source_commit","source_file","authoritative_variable_id"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION::NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","","output/US/S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION/csv/S29A_income_distribution_variables_long.csv","NFC_COMPENSATION_SHARE_GVA"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION::NFC_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_NVA","distribution","S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","","output/US/S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION/csv/S29A_income_distribution_variables_long.csv","NFC_COMPENSATION_SHARE_NVA"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION::NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","","output/US/S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION/csv/S29A_income_distribution_variables_long.csv","NFC_NET_OPERATING_SURPLUS_SHARE_GVA"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION::NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","","output/US/S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION/csv/S29A_income_distribution_variables_long.csv","NFC_NET_OPERATING_SURPLUS_SHARE_NVA"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_baseline","y_real_nfc_gva_baseline","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_BASELINE"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_gdp_implicit","y_real_nfc_gva_proxy_gdp_implicit","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_nonfarm_business_output","y_real_nfc_gva_proxy_nonfarm_business_output","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_business_output","y_real_nfc_gva_proxy_business_output","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_nonfarm_business_output_bls","y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING"
"S12B_OUTPUT_PRICE_REAL_OUTPUT::Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","S12B_OUTPUT_PRICE_REAL_OUTPUT","","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING"
