"year","growth_contribution_ME","growth_contribution_NRC","growth_contribution_capacity_sum","w_growth_ME_capacity","w_growth_NRC_capacity","growth_weight_guard_status"
2015,0.019686603607952,-0.0212444914391599,-0.00155788783120786,-12.6367272492838,13.6367272492838,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2016,0.0206194694764045,-0.020090588430643,0.000528881045761494,38.9869700221836,-37.9869700221836,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2017,0.0198085718760977,-0.020173173843952,-0.000364601967854206,-54.3293059899739,55.3293059899739,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2018,0.0213002527615175,-0.0195849419567239,0.00171531080479358,12.4177220256481,-11.4177220256481,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2019,0.0228075775027326,-0.0180957264729391,0.00471185102979348,4.8404708380036,-3.8404708380036,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2020,0.0144825895678317,-0.0187100322721338,-0.00422744270430206,-3.42585117785121,4.42585117785121,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2021,0.0135181234595552,-0.0204424229786831,-0.00692429951912784,-1.95227306707523,2.95227306707523,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2022,0.00757756971642705,-0.020035972632874,-0.012458402916447,-0.608229623591923,1.60822962359192,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2023,0.0116303141787988,-0.019543385363281,-0.00791307118448214,-1.46975983251691,2.46975983251691,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2024,0.0167389144319741,-0.0194846561539341,-0.00274574172196003,-6.09631790859963,7.09631790859963,"NEGATIVE_OR_OPPOSITE_SIGN_CONTRIBUTIONS"
2025,,,,,,"MISSING_INPUT"
