year,u_shaikh,u_2011_with_dummy,u_2011_no_dummy,u_1947_with_dummy,u_1947_no_dummy
1973,1.00486552715302,0.651004041169963,0.608500593812723,0.651004041170067,0.608500593812823
1974,0.884328484535217,0.642769456082271,0.550485775405312,0.642769456082345,0.5504857754054
1975,0.853546917438507,0.633865149146288,0.533368626247488,0.633865149146369,0.533368626247574
1976,0.879995822906494,0.638250387138288,0.547880006770792,0.638250387138391,0.547880006770881
1977,0.901091992855072,0.652974094780374,0.559225313965055,0.652974094780451,0.559225313965146
1978,0.911491215229034,0.67471707616263,0.567743660466699,0.674717076162715,0.56774366046679
1979,0.88534152507782,0.646193922617646,0.554698810738509,0.646193922617749,0.554698810738597
1980,0.834066033363342,0.669918585852204,0.526902113335692,0.669918585852285,0.526902113335775
1981,0.843342185020447,0.672447216311906,0.528890923261553,0.672447216311985,0.528890923261636
1982,0.820055425167084,0.654046441857542,0.514418408016011,0.65404644185762,0.514418408016092
1983,0.858657002449036,0.675701507113216,0.531450477119038,0.675701507113296,0.531450477119121
1984,0.924870848655701,0.715887013521577,0.563057046483128,0.715887013521661,0.563057046483216
1985,0.935598075389862,0.725708827899053,0.570782066898406,0.725708827899138,0.570782066898495
1986,0.929214417934418,0.725652242861151,0.57073756182468,0.725652242861237,0.57073756182477
1987,0.948412120342255,0.740689450316637,0.582564575665301,0.740689450316724,0.582564575665391
1988,0.971393048763275,0.758156233848806,0.596302491511552,0.758156233848895,0.596302491511644
1989,0.967775762081146,0.754814214338849,0.593673937565156,0.754814214338937,0.593673937565248
1990,0.960640132427216,0.747746546283169,0.588115099053226,0.747746546283254,0.588115099053316
1991,0.958979725837708,0.744881077428853,0.585861360125956,0.744881077428939,0.585861360126047
1992,0.975646138191223,0.751368300005726,0.590963668611822,0.751368300005812,0.590963668611913
1993,0.979155540466309,0.752103823904499,0.591542170395259,0.752103823904586,0.59154217039535
1994,1.01144421100616,0.768750816337401,0.604635306902915,0.768750816337487,0.604635306903007
1995,1.01938092708588,0.779418509559924,0.613025625102871,0.779418509560012,0.613025625102964
1996,1.04219925403595,0.789204948500278,0.620722822148305,0.789204948500368,0.6207228221484
1997,1.07182896137238,0.807682122767301,0.635255427117582,0.807682122767391,0.635255427117677
1998,1.09457731246948,0.816997742559697,0.64258231707004,0.816997742559788,0.642582317070136
1999,1.10842335224152,0.829114919582258,0.652112678394063,0.829114919582349,0.652112678394159
2000,1.11509871482849,0.837034237568225,0.658341353745226,0.837034237568317,0.658341353745323
2001,1.06325256824493,0.800947931827176,0.629958873905158,0.800947931827265,0.629958873905252
2002,1.03907012939453,0.781814312355999,0.614909963861411,0.781814312356084,0.614909963861501
2003,1.04768621921539,0.783441739252531,0.616189962191344,0.783441739252618,0.616189962191436
2004,1.03787088394165,0.781901712794532,0.614978705760415,0.781901712794619,0.614978705760507
2005,1.03080022335052,0.781088676565168,0.614339239239382,0.781088676565251,0.614339239239471
2006,1.0236576795578,0.77571073459412,0.610109398405309,0.775710734594203,0.610109398405398
2007,0.986203849315643,0.754636473459095,0.593534141406121,0.754636473459175,0.593534141406206
2008,0.925367593765259,0.703775018117034,0.553530760587884,0.703775018117108,0.553530760587963
2009,0.899437546730042,0.695704241762918,0.54718296071033,0.695704241762992,0.547182960710409
2010,0.929295063018799,0.715446766488628,0.56271078486724,0.715446766488704,0.562710784867321
2011,0.941526174545288,0.724626553236036,0.569930839869934,0.724626553236112,0.569930839870015
