p,r,PIC_hat,status,gate_ok,runtime_ok,comparable_p,PIC_obs,BIC_obs,window,ecdet
3,1,346.7623448690431,computed,TRUE,TRUE,TRUE,347.95363521100023,290.98603124730835,post_fordism,none
3,2,369.69416396783413,computed,TRUE,TRUE,TRUE,369.3334768956973,300.972352139267,post_fordism,none
3,3,406.588815569972,computed,TRUE,TRUE,TRUE,406.7420946666207,326.98744911745206,post_fordism,none
4,0,408.4046919733173,missing,TRUE,TRUE,FALSE,NA,NA,post_fordism,none
4,1,404.10292673448356,computed,TRUE,TRUE,FALSE,404.013464488619,324.2588189394503,post_fordism,none
4,2,421.35976037336644,computed,TRUE,TRUE,FALSE,420.285859555494,329.137693213587,post_fordism,none
4,3,456.76142731608604,computed,TRUE,TRUE,FALSE,456.6905701707409,354.1488830360955,post_fordism,none
5,0,467.9796696289235,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
5,1,457.6641458083682,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
5,2,471.0222017167625,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
5,3,504.2863648421313,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
6,0,521.5861354580542,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
6,1,508.25913517930314,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
6,2,517.7976125748584,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
6,3,548.8732464745686,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
7,0,569.1203549521215,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
7,1,555.5043608088763,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
7,2,561.5388280344416,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
7,3,590.1246052807705,gate_fail,FALSE,FALSE,FALSE,NA,NA,post_fordism,none
