"variable_name","transformation_tested","sample_start","sample_end","observations_used","test_name","deterministic_specification","lag_bandwidth_rule","statistic","p_value","diagnostic_interpretation","D11_integration_class"
"K_NRC","first_difference",1932,2024,93,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.69670634390883,,"Variable-level readiness class: POSSIBLE_I2_OR_HIGHER","POSSIBLE_I2_OR_HIGHER"
"LOG_G_TOT_GPIM_2017","level",1901,2024,124,"ADF/KPSS readiness","trend","base R readiness diagnostic; no final estimation",,,"NOT_TESTED_BOUNDARY_BLOCKED","NOT_TESTED_BOUNDARY_BLOCKED"
"NFC_COMPENSATION_SHARE_GVA","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-2.56973694494894,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"NFC_COMPENSATION_SHARE_GVA","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-7.71378152736524,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"NFC_COMPENSATION_SHARE_GVA","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.17324035612008,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"NFC_COMPENSATION_SHARE_GVA","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0251056172399928,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"omega_NFC_productive_origin_GVA","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-2.56973694494894,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"omega_NFC_productive_origin_GVA","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-7.71378152736524,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"omega_NFC_productive_origin_GVA","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.17324035612008,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"omega_NFC_productive_origin_GVA","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0251056172399928,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"pi_NFC_productive_origin_GVA","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-3.18563150322802,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"pi_NFC_productive_origin_GVA","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-6.79592374987833,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"pi_NFC_productive_origin_GVA","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.489739932353033,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"pi_NFC_productive_origin_GVA","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0304981820048896,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"y_real_nfc_gva_baseline","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-1.00376744721455,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"y_real_nfc_gva_baseline","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-6.92901108323094,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"y_real_nfc_gva_baseline","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",1.79966003151053,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"y_real_nfc_gva_baseline","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0947973527260949,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-0.405373462878254,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-9.74499240694966,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",2.25685982695032,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0298303473713538,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE_D09","level",1929,2025,97,"ADF","trend","zero augmentation lag readiness screen",-0.405373462878254,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE_D09","first_difference",1930,2025,96,"ADF","trend","zero augmentation lag readiness screen",-9.74499240694966,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE_D09","level",1929,2025,97,"KPSS","trend","readiness screen statistic without fragile external dependencies",2.25685982695032,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
"Y_REAL_NFC_GVA_BASELINE_D09","first_difference",1930,2025,96,"KPSS","trend","readiness screen statistic without fragile external dependencies",0.0298303473713538,,"Variable-level readiness class: LIKELY_I1","LIKELY_I1"
