"variable_name","total_rows","non_missing_observations","missing_observations","percent_missing","first_non_missing_year","last_non_missing_year","leading_missing_count","trailing_missing_count","internal_missing_count","longest_missing_run","D11_missingness_status"
"CORP_IMPUTED_INTEREST_ADJ",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"D09_S_sensitivity_stocks",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DELTA_G_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"DLOG_G_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"DLOG_N_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"DOWNSTREAM__e_adj_CORP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__e_adj_NFC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__e_x_Kcap",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__e_x_ME",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__e_x_ME_NRC_gap",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__e_x_NRC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__GOV_TRANS_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__IPP_NFC_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_G_NFC_ME_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_G_NFC_NRC_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_N_NFC_ME_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__K_N_NFC_NRC_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__ln_e_adj_CORP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__ln_e_adj_NFC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__omega_adj_CORP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__omega_adj_NFC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__P_K_NFC_ME_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__P_K_NFC_NRC_GPIM",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__pi_adj_CORP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"DOWNSTREAM__pi_adj_NFC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__current_transfer_payments",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__current_transfer_receipts",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__dividends_paid",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__dividends_received",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__IPP__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__ME__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__NRC__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN__TOTAL__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_AFTER_TAX_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_CFC",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_CFC_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_COMP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_COMP_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_DIVIDENDS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_DIVIDENDS_NET_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_GVA",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_GVA_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_NET_INT",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_NET_INT_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_NOS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_NOS_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_NVA",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_NVA_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_PAT_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_PBT",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_PBT_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_PROFITS_IVA_CC_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_TAX_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_TRANSFERS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"FIN_TRANSFERS_NET_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"FIN_UNDISTRIBUTED_IMPLIED",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"G_TOT_GPIM_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"GOV_TRANS__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"government_transportation",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GPIM_RECONSTRUCTION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"GROWTH_ARITH_G_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"GROWTH_ARITH_N_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"I_TOT_REAL_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"INVENTORIES_MENU",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"IPP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"K_capacity",101,94,7,6.931,1931,2024,6,1,0,6,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"K_ME",101,94,7,6.931,1931,2024,6,1,0,6,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"K_NRC",101,94,7,6.931,1931,2024,6,1,0,6,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"L1_DLOG_G_TOT",122,122,0,0,1903,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"L1_DLOG_N_TOT",122,122,0,0,1903,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"L1_LOG_G_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"L1_LOG_N_TOT",123,123,0,0,1902,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"LOG_G_TOT_GPIM_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"LOG_I_TOT_REAL_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"LOG_N_TOT_GPIM_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"N_TOT_GPIM_2017",124,124,0,0,1901,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC__current_transfer_payments",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__current_transfer_receipts",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__dividends_paid",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__dividends_received",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__IPP__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__ME__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__ME__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__ME__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__ME__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__NRC__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__NRC__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__NRC__retirements",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__NRC__revaluation_holding_gains",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__cfc_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__gross_investment_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__gross_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__net_stock_current_cost",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__net_stock_quantity_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC__TOTAL__official_price_index",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"NFC_COMPENSATION_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_COMPENSATION_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"OLD_APPENDIX_6_7_LINE_REPLICATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"omega_CORP_raw_GVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"omega_CORP_raw_NVA",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"omega_NFC_productive_origin_GVA",101,97,4,3.96,1929,2025,4,0,0,4,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"pi_NFC_productive_origin_GVA",101,97,4,3.96,1929,2025,4,0,0,4,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"POST_S20_CHAPTER2_STAGES",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"PRODUCTIVE_CAPACITY",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"q_omega",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"q_omega_family_columns",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"QWEN_HOUSING_PROXY_PATHS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"residential_capital",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"RESIDENTIAL_CAPITAL_MENU",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"SHINY_APP",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L28",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L4",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L44",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L52",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L53",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L73",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L74",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"T711_L91",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"THETA_ECONOMETRICS",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"total_capital",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"total_fixed_assets",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"UTILIZATION",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE",0,0,0,,,,,,,,"UNKNOWN_REQUIRES_REVIEW"
"y_real_nfc_gva_baseline",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"Y_REAL_NFC_GVA_BASELINE",97,97,0,0,1929,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"Y_REAL_NFC_GVA_BASELINE_D09",101,97,4,3.96,1929,2025,4,0,0,4,"LEADING_OR_TRAILING_MISSINGNESS_ONLY"
"y_real_nfc_gva_proxy_business_output",79,79,0,0,1947,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT",79,79,0,0,1947,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"y_real_nfc_gva_proxy_gdp_implicit",96,96,0,0,1929,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT",96,96,0,0,1929,2024,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance",29,29,0,0,1997,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE",29,29,0,0,1997,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing",29,29,0,0,1997,2025,0,0,0,0,"NO_MISSINGNESS_IN_OBSERVED_WINDOW"
