"variable_name","source_file","observed_frequency","first_observed_period_year","last_observed_period_year","number_of_observations","number_of_non_missing_observations","percent_missing","accounting_layer","D10_status","D11_availability_status"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"D09_S_sensitivity_stocks","metadata_or_ledger","metadata_only",,,0,0,,"blocked_or_parked","REPORT_ONLY_NOT_BASELINE","D10_BLOCKED_OR_PARKED"
"DELTA_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","annual",1902,2024,123,123,0,"capital","CONDITIONAL_SECONDARY","AVAILABLE_NONMISSING"
"DLOG_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","annual",1902,2024,123,123,0,"capital","CONDITIONAL_SECONDARY","AVAILABLE_NONMISSING"
"DLOG_N_TOT","D10_clean_us_source_of_truth_panel_long.csv","annual",1902,2024,123,123,0,"capital","CONDITIONAL_SECONDARY","AVAILABLE_NONMISSING"
"DOWNSTREAM__e_adj_CORP","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__e_adj_NFC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__e_x_Kcap","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__e_x_ME","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__e_x_ME_NRC_gap","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__e_x_NRC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__GOV_TRANS_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__IPP_NFC_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_ME_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_ME_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__ln_e_adj_CORP","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__ln_e_adj_NFC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__omega_adj_CORP","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__omega_adj_NFC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__P_K_NFC_ME_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__pi_adj_CORP","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"DOWNSTREAM__pi_adj_NFC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN__current_transfer_payments","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__current_transfer_receipts","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__dividends_paid","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__dividends_received","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__IPP__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"FIN__IPP__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"FIN__IPP__gross_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__IPP__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"FIN__IPP__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"FIN__IPP__official_price_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__ME__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__ME__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__ME__gross_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__ME__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__ME__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__ME__official_price_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__NRC__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__NRC__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__NRC__gross_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__NRC__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__NRC__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__NRC__official_price_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__TOTAL__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__TOTAL__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__TOTAL__gross_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"FIN__TOTAL__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__TOTAL__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN__TOTAL__official_price_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","D10_METADATA_ONLY"
"FIN_AFTER_TAX_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_CFC","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_CFC_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_COMP","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_COMP_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_DIVIDENDS","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_DIVIDENDS_NET_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_GVA","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_GVA_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_NET_INT","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_NET_INT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_NOS","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_NOS_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_NVA","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_NVA_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_PAT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_PBT","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_PBT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_PROFITS_IVA_CC_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_TAX_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_TRANSFERS","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","D10_METADATA_ONLY"
"FIN_TRANSFERS_NET_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"FIN_UNDISTRIBUTED_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","annual",1929,2025,97,97,0,"financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","AVAILABLE_NONMISSING"
"G_TOT_GPIM_2017","D10_clean_us_source_of_truth_panel_long.csv","annual",1901,2024,124,124,0,"nfc_productive_origin_baseline","BASELINE_AUTHORIZED","AVAILABLE_NONMISSING"
"GOV_TRANS__gross_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"contextual","CONTEXTUAL_AUTHORIZED","D10_METADATA_ONLY"
"government_transportation","metadata_or_ledger","metadata_only",,,0,0,,"blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","D10_BLOCKED_OR_PARKED"
"GPIM_RECONSTRUCTION","D10_clean_variable_dictionary.csv","metadata_only",,,0,0,,"blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","D10_METADATA_ONLY"
