"variable_id","window_id","window_type","start_year","end_year","n_expected","n_observed","coverage_percent","initial_year","initial_value","terminal_year","terminal_value","mean","median","standard_deviation","minimum","maximum","initial_to_terminal_change","mean_annual_change","annual_change_volatility","descriptive_eligible","testing_eligible","estimation_eligible"
"CORP_COMPENSATION_SHARE_NVA","post_1974","structural",1974,2025,52,52,100,1974,72.7528199622199,2025,65.3234005539838,70.6113751503906,71.0283429840169,2.8729188205563,65.2416826598795,75.5326345890645,-7.42941940823609,-0.114172478291927,1.33655216638407,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","pre_fordist","nested",1929,1946,18,18,100,1929,69.0669248456977,1946,71.420245994663,70.4018928833397,70.0086729709984,4.40549348394927,64.6222677913967,80.491935142458,2.3533211489653,0.138430655821489,2.98532005175085,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,69.7800470660199,1973,71.260369425164,69.3038526588766,69.3856513061216,1.47620403827079,66.2881485761896,72.3229812310225,1.4803223591441,-0.00592135442588873,1.22985254948469,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,66.964231121981,1978,70.9111952895687,69.1582263793229,69.3856513061216,1.95658368751281,64.6222677913967,72.7528199622199,3.9469641675877,0.0193397543660946,1.39019086216077,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,72.7528199622199,2008,72.1000308375001,72.2473678159965,72.3280075554928,1.67591606591756,67.7456033729604,75.5326345890645,-0.652789124719799,0.0239903260667454,1.24995612214667,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,71.7160912509316,2008,72.1000308375001,72.3122390677279,72.3811633786925,1.83967467643231,67.7456033729604,75.5326345890645,0.383939586568494,-0.0357181219960888,1.26690972957404,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","post_gfc_2009_2025","structural",2009,2025,17,17,100,2009,70.3035913574027,2025,65.3234005539838,67.243154956496,67.1023081522653,1.55927122100046,65.2416826598795,70.7800381827205,-4.98019080341889,-0.398625310795076,1.49875040167686,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,70.3035913574027,2019,68.0816226842485,67.5907024866573,67.4787885295419,1.09083631869977,66.2764623509276,70.3035913574027,-2.2219686731542,-0.365309832113781,1.12590127395457,"yes","not_decided","not_decided"
"CORP_COMPENSATION_SHARE_NVA","post_covid_configuration_2022_2025","nested",2022,2025,4,4,100,2022,65.2416826598795,2025,65.3234005539838,65.4383901430542,65.4159126127067,0.19597794077042,65.2416826598795,65.6800526869239,0.0817178941043051,-0.444726899570375,0.982955981121743,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","global_available","global",1929,2025,97,97,100,1929,63.2503689129365,2025,56.6460048121974,62.2197675339835,62.8948763920103,2.63185385724117,56.475673366441,67.7734147194899,-6.6043641007391,-0.068795459382699,1.16505817593651,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","pre_1974","structural",1929,1973,45,45,100,1929,63.2503689129365,1973,64.395880536602,63.1969722102237,63.0537992484756,1.65600278407737,59.4511097780444,67.7734147194899,1.1455116236655,0.0260343550833067,1.37213585990174,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","post_1974","structural",1974,2025,52,52,100,1974,65.4104621464026,2025,56.6460048121974,61.3741096410833,62.5764813997556,3.01673996800933,56.475673366441,65.4881386402621,-8.7644573342052,-0.149036071623165,0.962637573180049,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","pre_fordist","nested",1929,1946,18,18,100,1929,63.2503689129365,1946,66.3415069811751,63.2108279415243,62.9808569147888,2.27787926381873,59.4511097780444,67.7734147194899,3.0911380682386,0.181831651072859,1.78661460260895,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,64.4483720777999,1973,64.395880536602,63.1877350560233,63.357057934292,1.11715561361072,60.9475288313768,65.3676971146293,-0.0524915411978966,-0.0720602386878926,1.06001141094829,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,60.7110693449235,1978,63.6152526475711,63.0853860083883,63.0753371060034,1.4178585541189,59.4511097780444,66.3415069811751,2.9041833026476,0.0143962410024488,1.1905621527574,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,65.4104621464026,2008,59.5584591788177,63.1645166665023,63.5130978444682,1.7149847357867,58.7831471357126,65.4881386402621,-5.8520029675849,-0.138212038793837,0.939773318673357,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,62.949324210345,2008,59.5584591788177,62.8587646952669,63.2051268104467,1.82220359470626,58.7831471357126,65.4881386402621,-3.3908650315273,-0.162843154971615,0.875344492051571,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","post_gfc_2009_2025","structural",2009,2025,17,17,100,2009,59.3114751011546,2025,56.6460048121974,57.6879775299265,57.177005128177,1.1443791108528,56.475673366441,60.484793205077,-2.66547028895719,-0.171320845095312,1.03741778913148,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,59.3114751011546,2019,58.7441985101222,57.7827926637259,57.5109869197914,0.927334948713646,56.7108862532718,59.3114751011546,-0.567276591032395,-0.0740236971541363,0.767312487466337,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_GVA","post_covid_configuration_2022_2025","nested",2022,2025,4,4,100,2022,56.475673366441,2025,56.6460048121974,56.6571642014022,56.6200539741625,0.184777719294823,56.475673366441,56.912875490843,0.1703314457564,-0.331360971220523,0.81342994993494,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","global_available","global",1929,2025,97,97,100,1929,70.1761662555393,2025,67.0141530940562,70.605181464362,70.5811477247254,2.87145871831537,64.6519668601996,80.5359205359205,-3.1620131614831,-0.0329376370987823,1.73209400273317,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","pre_1974","structural",1929,1973,45,45,100,1929,70.1761662555393,1973,71.6852624598571,69.9651770552325,69.8406963224429,2.97962328913388,64.6519668601996,80.5359205359205,1.50909620431781,0.0342976410072229,2.12083591037229,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","post_1974","structural",1974,2025,52,52,100,1974,73.5028213403804,2025,67.0141530940562,71.159031433801,71.5523749864687,2.68081183142899,66.4051990819018,76.4029750696195,-6.4886682463242,-0.0898290262654021,1.33750845062373,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","pre_fordist","nested",1929,1946,18,18,100,1929,70.1761662555393,1946,71.8702630645352,70.475435590438,70.0207205837716,4.31057406841116,64.6519668601996,80.5359205359205,1.6940968089959,0.0996527534703473,3.0345809758835,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","fordist_core_1947_1973","nested",1947,1973,27,27,100,1947,69.8656140506497,1973,71.6852624598571,69.6250046984289,69.7212277572081,1.60468155020356,66.4612936388345,72.9094873741799,1.8196484092074,-0.00685187424733697,1.32946483543878,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","extended_fordist_bridge_1940_1978","bridge",1940,1978,39,39,100,1940,67.071851883895,1978,71.8940975698119,69.5061291161563,69.7212277572081,2.12886928053215,64.6519668601996,73.5028213403804,4.8222456859169,0.0383828523661948,1.49035283017806,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","post_fordist_pre_gfc_1974_2008","structural",1974,2008,35,35,100,1974,73.5028213403804,2008,70.1768770402349,72.5959291718139,72.9491544606563,1.75104615977544,68.3686296478441,76.4029750696195,-3.3259443001455,-0.0430967262749201,1.20499189434914,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,26,26,100,1983,72.6266395473609,2008,70.1768770402349,72.5063214188029,72.7878970040086,1.90237947180465,68.3686296478441,76.4029750696195,-2.44976250712601,-0.143521455793177,1.15878699438073,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","post_gfc_2009_2025","structural",2009,2025,17,17,100,2009,70.7306220721321,2025,67.0141530940562,68.2007125614215,67.5990132542249,1.60532585152499,66.4051990819018,72.4024852725833,-3.7164689780759,-0.186042585069335,1.61309832307148,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","post_gfc_pre_covid_2009_2019","nested",2009,2019,11,11,100,2009,70.7306220721321,2019,69.4491783136635,68.3095861352775,67.8757041627619,1.25346120494655,66.9069293653454,70.7306220721321,-1.2814437584686,-0.0661544296883093,1.11157943606146,"yes","not_decided","not_decided"
"NFC_COMPENSATION_SHARE_NVA","post_covid_configuration_2022_2025","nested",2022,2025,4,4,100,2022,66.4051990819018,2025,67.0141530940562,66.8430633937072,66.8802991817904,0.347556318387806,66.4051990819018,67.2064561293459,0.608954012154395,-0.304443528661377,1.05376018931712,"yes","not_decided","not_decided"
