"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","spec_idx"
2,3,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,FALSE,TRUE,"The length of 'order' is not correct",12
3,3,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,FALSE,TRUE,"The length of 'order' is not correct",13
4,3,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428571428571429,FALSE,TRUE,"The length of 'order' is not correct",14
5,3,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,FALSE,TRUE,"The length of 'order' is not correct",15
1,4,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,FALSE,TRUE,"The length of 'order' is not correct",16
2,4,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,FALSE,TRUE,"The length of 'order' is not correct",17
3,4,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571,FALSE,TRUE,"The length of 'order' is not correct",18
4,4,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,FALSE,TRUE,"The length of 'order' is not correct",19
5,4,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,FALSE,TRUE,"The length of 'order' is not correct",20
1,5,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,FALSE,TRUE,"The length of 'order' is not correct",21
2,5,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714285714285714,FALSE,TRUE,"The length of 'order' is not correct",22
3,5,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625,FALSE,TRUE,"The length of 'order' is not correct",23
4,5,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,FALSE,TRUE,"The length of 'order' is not correct",24
5,5,1,"s0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,FALSE,TRUE,"The length of 'order' is not correct",25
1,1,2,"s0",-267.387399605075,4,64,133.693699802538,-259.387399605075,-250.751867271637,-255.985427215904,-258.709433503381,-252.558682344421,-250.425522644655,1.59674673658323,0.58084751497561,NA,NA,0.734406148815031,0.0535505521474528,1.74858653982768,0.116098875322904,0.5,FALSE,FALSE,"",26
2,1,2,"s0",-263.40621874757,5,63,131.703109373785,-253.40621874757,-242.690545115613,-249.191691931484,-252.353587168623,-248.096813598391,-245.927285417659,1.37385091575416,0.675593351422668,NA,NA,0.740423416870181,0.0613697425436506,1.70209720198912,0.108795940910199,0.333333333333333,FALSE,FALSE,"",27
3,1,2,"s0",-266.314932068204,6,62,133.157466034102,-254.314932068204,-241.552125757934,-249.303932316462,-252.787659340932,-250.35598469603,-247.620814141985,2.03012198059994,0.414007046998508,NA,NA,0.572993937196982,0.402939707152062,3.47719129311026,0.0457326859141468,0.25,FALSE,FALSE,"",28
4,1,2,"s0",-262.999630531667,7,61,131.499815265834,-248.999630531667,-234.223513482454,-243.208731782672,-246.886422984497,-246.08620021794,-242.767972268775,2.35487741535293,0.311726331093034,NA,NA,-0.111830090409522,6.36018413301341,11.2207302492527,0.0121085941501343,0.2,FALSE,FALSE,"",29
5,1,2,"s0",-258.930901496938,8,60,129.465450748469,-242.930901496938,-226.176144999162,-236.377195154075,-240.107372085174,-241.355611425313,-237.394878507153,2.09642491561618,0.391347505178118,NA,NA,1.941334109205,10.4086576885298,-12.0604302585886,-0.00978423643326098,0.166666666666667,FALSE,FALSE,"",30
1,2,2,"s0",-273.307891670712,5,63,136.653945835356,-263.307891670712,-252.592218038754,-259.093364854625,-262.255260091765,-256.569163449084,-254.537764820064,3.52652052807363,0.0975595482452619,NA,NA,0.664031437437075,0.129885501225002,2.64435225510905,0.0748710880441702,0.666666666666667,TRUE,FALSE,"",31
2,2,2,"s0",-273.980050178366,6,63,136.990025089183,-261.980050178366,-249.121241820017,-256.922617999062,-260.480050178366,-256.544767759215,-254.488972422849,3.54101151236135,0.0960908786084935,NA,NA,0.69597933284284,0.0901171127249405,2.27147832238612,0.0951396309307231,0.5,TRUE,FALSE,"",32
3,2,2,"s0",-277.489248260976,7,62,138.744624130488,-263.489248260976,-248.59930756566,-257.643081883943,-261.415174186902,-259.588908874988,-257.302865015138,4.85074550794584,0.022202937530738,NA,NA,0.457802510989195,0.633804044654608,4.91463415830629,0.039788301311819,0.4,TRUE,FALSE,"",33
4,2,2,"s0",-272.679666167265,8,61,136.339833083632,-256.679666167265,-239.792675253878,-250.061496168414,-253.910435398034,-253.445354028825,-250.690717825989,4.19165616380718,0.0467888532656154,NA,NA,0.493014719111528,0.601833228589533,4.56694783630436,0.0412265382565118,0.333333333333333,TRUE,FALSE,"",34
5,2,2,"s0",-272.909803552652,9,60,136.454901776326,-254.909803552652,-236.060702492653,-247.536883916931,-251.309803552652,-252.768521746214,-249.85420672059,3.96280641606128,0.0606676981918946,NA,NA,0.404220489760001,1.17073550142751,5.84575743592436,0.0281525342793097,0.285714285714286,TRUE,FALSE,"",35
1,3,2,"s0",-279.418416068802,6,62,139.709208034401,-267.418416068802,-254.655609758532,-262.40741631706,-265.891143341529,-261.363642524714,-258.853582463627,6.75381572075761,0.00239621620471499,NA,NA,0.592152999229195,0.175834713261784,3.45995603609705,0.075454006429941,0.75,TRUE,FALSE,"",36
2,3,2,"s0",-279.419823680792,7,62,139.709911840396,-265.419823680792,-250.529882985477,-259.573657303759,-263.345749606718,-259.989993219771,-257.930343212141,6.36956900840289,0.00368886478984449,NA,NA,0.594777620194915,0.188380472285543,3.42918568032268,0.0762877894710412,0.6,TRUE,FALSE,"",37
3,3,2,"s0",-281.1898071261,8,62,140.59490356305,-265.1898071261,-248.172732045739,-258.508474123776,-262.472825994024,-260.863501153022,-259.034143077095,6.14082494209717,0.00476628719750611,NA,NA,0.450577344196386,0.554146215363445,5.07985730406429,0.0454935694792776,0.5,TRUE,FALSE,"",38
4,3,2,"s0",-275.924759957367,9,61,137.962379978683,-257.924759957367,-238.926895179807,-250.479318708659,-254.395348192661,-254.442168781901,-250.992048799852,5.2692420863637,0.0143389615259071,NA,NA,0.491430976806205,0.499369141275836,4.63037652181653,0.0490853703980436,0.428571428571429,TRUE,FALSE,"",39
5,3,2,"s0",-276.427194710897,10,60,138.213597355448,-256.427194710897,-235.483749088676,-248.235061782318,-251.937398792529,-253.79310708233,-250.503321741945,5.04272739203216,0.0181312752179181,NA,NA,0.57438291158695,0.344144936754978,3.78311521855209,0.0561537674908791,0.375,TRUE,FALSE,"",40
1,4,2,"s0",-274.207448157942,7,61,137.103724078971,-260.207448157942,-245.431331108729,-254.416549408947,-258.094240610772,-254.715138228204,-252.338232243249,5.53148914904965,0.0104097995312427,NA,NA,0.601516737842855,0.164598656342906,3.37354546652391,0.0807450353143199,0.8,TRUE,FALSE,"",41
2,4,2,"s0",-274.207474006665,8,61,137.103737003333,-258.207474006665,-241.320483093279,-251.589304007814,-255.438243237435,-253.493032200198,-251.107650788311,4.85726754868501,0.0220519992895323,NA,NA,0.601795943119931,0.175904108475526,3.37026817455016,0.0808235423438727,0.666666666666667,TRUE,FALSE,"",42
3,4,2,"s0",-276.904896445924,9,61,138.452448222962,-258.904896445924,-239.907031668364,-251.459455197216,-255.375484681218,-254.963393311386,-252.565423716302,5.4628330321354,0.0114013084405604,NA,NA,0.440220662683202,0.550954801868341,5.27065537217505,0.0476236570407075,0.571428571428571,TRUE,FALSE,"",43
4,4,2,"s0",-277.256318441478,10,61,138.628159220739,-257.256318441478,-236.147579799745,-248.983605942914,-252.856318441478,-254.133713919264,-251.020034579949,5.24438632653391,0.0147107884260431,NA,NA,0.533597711216588,0.339226294440733,4.1773192190766,0.0630446487004086,0.5,TRUE,FALSE,"",44
5,4,2,"s0",-277.206307856933,11,60,138.603153928467,-255.206307856933,-232.16851767249,-246.194961635496,-249.706307856933,-252.969466863062,-250.29212826157,4.63726018960975,0.0282692409675898,NA,NA,0.589045954769777,0.275515873946062,3.61615647935471,0.0663601857880176,0.444444444444444,TRUE,FALSE,"",45
1,5,2,"s0",-277.086447159015,8,60,138.543223579507,-261.086447159015,-244.331690661238,-254.532740816152,-258.26291774725,-256.148401439194,-254.007843727372,5.7432155952484,0.00790346704396196,NA,NA,0.626086353600178,0.13161325360008,3.18971737238804,0.0857160883510736,0.833333333333333,TRUE,FALSE,"",46
2,5,2,"s0",-277.189994565783,9,60,138.594997282891,-259.189994565783,-240.340893505784,-251.817074930062,-255.589994565783,-255.178196404406,-252.650012132742,5.43690556289518,0.0118455913513703,NA,NA,0.610220091869025,0.163925012245128,3.38409979466875,0.0803220491484897,0.714285714285714,TRUE,FALSE,"",47
3,5,2,"s0",-278.992737872891,10,60,139.496368936446,-258.992737872891,-238.04929225067,-250.800604944312,-254.502941954524,-255.879537817807,-252.557421652945,5.99797300284388,0.00569722538608895,NA,NA,0.525024231475908,0.315694849680588,4.41187632891428,0.0616749009709748,0.625,TRUE,FALSE,"",48
4,5,2,"s0",-279.003512475657,11,60,139.501756237829,-257.003512475657,-233.965722291214,-247.99216625422,-251.503512475657,-254.448632588039,-249.971056815147,5.56074649862301,0.0100280794292674,NA,NA,0.51257550861118,0.371891723374724,4.56390932809219,0.0594191229813187,0.555555555555556,TRUE,FALSE,"",49
5,5,2,"s0",-279.847101288971,12,60,139.923550644485,-255.847101288971,-230.714966542306,-246.016541774676,-249.208803416631,-254.050620197436,-248.692032646418,5.38674811123704,0.0125953010886971,NA,NA,0.604627658256399,0.197769974740888,3.43354954678755,0.0853850816747738,0.5,TRUE,FALSE,"",50
1,1,3,"s0",-267.387399605075,4,64,133.693699802538,-259.387399605075,-250.751867271637,-255.985427215904,-258.709433503381,-252.558682344421,-250.425522644655,1.9281450983871,0.571808679880395,-1.63591706499264,0.584620148515893,0.734406148815031,0.0535505521474528,1.74858653982768,0.116098875322904,0.5,FALSE,FALSE,"",51
2,1,3,"s0",-263.40621874757,5,63,131.703109373785,-253.40621874757,-242.690545115613,-249.191691931484,-252.353587168623,-248.096813598391,-245.927285417659,1.44307862941614,0.702969253848808,-1.3973500441237,0.687300444244693,0.740423416870181,0.0613697425436506,1.70209720198912,0.108795940910199,0.333333333333333,FALSE,FALSE,"",52
3,1,3,"s0",-266.314932068204,6,62,133.157466034102,-254.314932068204,-241.552125757934,-249.303932316462,-252.787659340932,-250.35598469603,-247.620814141985,1.88242086103457,0.583317156730603,-0.576174554829353,0.909019407878178,0.572993937196982,0.402939707152062,3.47719129311026,0.0457326859141468,0.25,FALSE,FALSE,"",53
4,1,3,"s0",-262.999630531667,7,61,131.499815265834,-248.999630531667,-234.223513482454,-243.208731782672,-246.886422984497,-246.08620021794,-242.767972268775,1.83313996648627,0.596514340367375,-0.143741482510536,0.96099622189916,-0.111830090409522,6.36018413301341,11.2207302492527,0.0121085941501343,0.2,FALSE,FALSE,"",54
5,1,3,"s0",-258.930901496938,8,60,129.465450748469,-242.930901496938,-226.176144999162,-236.377195154075,-240.107372085174,-241.355611425313,-237.394878507153,1.61943150999342,0.655474807083968,0.109370708831247,0.977167144494595,1.941334109205,10.4086576885298,-12.0604302585886,-0.00978423643326098,0.166666666666667,FALSE,FALSE,"",55
1,2,3,"s0",-273.307891670712,5,63,136.653945835356,-263.307891670712,-252.592218038754,-259.093364854625,-262.255260091765,-256.569163449084,-254.537764820064,2.20423779904893,0.499868837412213,-1.11232589888616,0.786152839317892,0.664031437437075,0.129885501225002,2.64435225510905,0.0748710880441702,0.666666666666667,FALSE,FALSE,"",56
2,2,3,"s0",-273.980050178366,6,63,136.990025089183,-261.980050178366,-249.121241820017,-256.922617999062,-260.480050178366,-256.544767759215,-254.488972422849,2.34055346358061,0.466690459219412,-1.31516099973927,0.718055821007021,0.69597933284284,0.0901171127249405,2.27147832238612,0.0951396309307231,0.5,FALSE,FALSE,"",57
3,2,3,"s0",-277.489248260976,7,62,138.744624130488,-263.489248260976,-248.59930756566,-257.643081883943,-261.415174186902,-259.588908874988,-257.302865015138,3.55199470471462,0.230359974887146,-0.543469163541956,0.913934995276815,0.457802510989195,0.633804044654608,4.91463415830629,0.039788301311819,0.4,FALSE,FALSE,"",58
4,2,3,"s0",-272.679666167265,8,61,136.339833083632,-256.679666167265,-239.792675253878,-250.061496168414,-253.910435398034,-253.445354028825,-250.690717825989,2.84758476226234,0.353095031751149,-0.52097320832854,0.917214295232115,0.493014719111528,0.601833228589533,4.56694783630436,0.0412265382565118,0.333333333333333,FALSE,FALSE,"",59
5,2,3,"s0",-272.909803552652,9,60,136.454901776326,-254.909803552652,-236.060702492653,-247.536883916931,-251.309803552652,-252.768521746214,-249.85420672059,2.11717254872962,0.522214548771484,-0.347282370708733,0.940661990637556,0.404220489760001,1.17073550142751,5.84575743592436,0.0281525342793097,0.285714285714286,FALSE,FALSE,"",60
1,3,3,"s0",-279.418416068802,6,62,139.709208034401,-267.418416068802,-254.655609758532,-262.40741631706,-265.891143341529,-261.363642524714,-258.853582463627,4.94270124018744,0.0897610483102321,-1.19840751746192,0.759795108416929,0.592152999229195,0.175834713261784,3.45995603609705,0.075454006429941,0.75,TRUE,FALSE,"",61
2,3,3,"s0",-279.419823680792,7,62,139.709911840396,-265.419823680792,-250.529882985477,-259.573657303759,-263.345749606718,-259.989993219771,-257.930343212141,4.8385817182754,0.0963704855452877,-1.12566893389548,0.782439321699068,0.594777620194915,0.188380472285543,3.42918568032268,0.0762877894710412,0.6,TRUE,FALSE,"",62
3,3,3,"s0",-281.1898071261,8,62,140.59490356305,-265.1898071261,-248.172732045739,-258.508474123776,-262.472825994024,-260.863501153022,-259.034143077095,4.74588881559163,0.10303309728273,-0.633771029984442,0.899150756324726,0.450577344196386,0.554146215363445,5.07985730406429,0.0454935694792776,0.5,FALSE,FALSE,"",63
4,3,3,"s0",-275.924759957367,9,61,137.962379978683,-257.924759957367,-238.926895179807,-250.479318708659,-254.395348192661,-254.442168781901,-250.992048799852,3.90546488223633,0.182753445166951,-0.629836200268584,0.899810673772355,0.491430976806205,0.499369141275836,4.63037652181653,0.0490853703980436,0.428571428571429,FALSE,FALSE,"",64
5,3,3,"s0",-276.427194710897,10,60,138.213597355448,-256.427194710897,-235.483749088676,-248.235061782318,-251.937398792529,-253.79310708233,-250.503321741945,2.91943400137124,0.338619709784238,-0.692197839932222,0.889195873923602,0.57438291158695,0.344144936754978,3.78311521855209,0.0561537674908791,0.375,FALSE,FALSE,"",65
1,4,3,"s0",-274.207448157942,7,61,137.103724078971,-260.207448157942,-245.431331108729,-254.416549408947,-258.094240610772,-254.715138228204,-252.338232243249,4.45384852936849,0.126421116592664,-1.18473090532622,0.764506421519353,0.601516737842855,0.164598656342906,3.37354546652391,0.0807450353143199,0.8,FALSE,FALSE,"",66
2,4,3,"s0",-274.207474006665,8,61,137.103737003333,-258.207474006665,-241.320483093279,-251.589304007814,-255.438243237435,-253.493032200198,-251.107650788311,4.19782433003505,0.150174160247316,-1.14220219252979,0.777738764743726,0.601795943119931,0.175904108475526,3.37026817455016,0.0808235423438727,0.666666666666667,FALSE,FALSE,"",67
3,4,3,"s0",-276.904896445924,9,61,138.452448222962,-258.904896445924,-239.907031668364,-251.459455197216,-255.375484681218,-254.963393311386,-252.565423716302,4.61982720010409,0.112812836578346,-0.651005848162731,0.896260273624362,0.440220662683202,0.550954801868341,5.27065537217505,0.0476236570407075,0.571428571428571,FALSE,FALSE,"",68
4,4,3,"s0",-277.256318441478,10,61,138.628159220739,-257.256318441478,-236.147579799745,-248.983605942914,-252.856318441478,-254.133713919264,-251.020034579949,4.45951565681487,0.1259568320407,-0.798600244337769,0.866772607801721,0.533597711216588,0.339226294440733,4.1773192190766,0.0630446487004086,0.5,FALSE,FALSE,"",69
5,4,3,"s0",-277.206307856933,11,60,138.603153928467,-255.206307856933,-232.16851767249,-246.194961635496,-249.706307856933,-252.969466863062,-250.29212826157,3.21859206406085,0.283925372170486,-0.805244095881972,0.865275688860848,0.589045954769777,0.275515873946062,3.61615647935471,0.0663601857880176,0.444444444444444,FALSE,FALSE,"",70
1,5,3,"s0",-277.086447159015,8,60,138.543223579507,-261.086447159015,-244.331690661238,-254.532740816152,-258.26291774725,-256.148401439194,-254.007843727372,3.81025625038526,0.194587935059912,-1.27747536369988,0.731776726661908,0.626086353600178,0.13161325360008,3.18971737238804,0.0857160883510736,0.833333333333333,FALSE,FALSE,"",71
2,5,3,"s0",-277.189994565783,9,60,138.594997282891,-259.189994565783,-240.340893505784,-251.817074930062,-255.589994565783,-255.178196404406,-252.650012132742,3.78374555544484,0.197861451914273,-1.14596223601563,0.776644305794072,0.610220091869025,0.163925012245128,3.38409979466875,0.0803220491484897,0.714285714285714,FALSE,FALSE,"",72
3,5,3,"s0",-278.992737872891,10,60,139.496368936446,-258.992737872891,-238.04929225067,-250.800604944312,-254.502941954524,-255.879537817807,-252.557421652945,4.36298337221013,0.134400199783432,-0.864407196956559,0.851588795401763,0.525024231475908,0.315694849680588,4.41187632891428,0.0616749009709748,0.625,FALSE,FALSE,"",73
4,5,3,"s0",-279.003512475657,11,60,139.501756237829,-257.003512475657,-233.965722291214,-247.99216625422,-251.503512475657,-254.448632588039,-249.971056815147,4.21257856665135,0.148734435592209,-0.782106143515316,0.870453127210644,0.51257550861118,0.371891723374724,4.56390932809219,0.0594191229813187,0.555555555555556,FALSE,FALSE,"",74
5,5,3,"s0",-279.847101288971,12,60,139.923550644485,-255.847101288971,-230.714966542306,-246.016541774676,-249.208803416631,-254.050620197436,-248.692032646418,4.23118800398155,0.146935626785121,-1.0352969812908,0.808361096968063,0.604627658256399,0.197769974740888,3.43354954678755,0.0853850816747738,0.5,FALSE,FALSE,"",75
1,1,4,"s0",-270.317679494592,5,64,135.158839747296,-260.317679494592,-249.523264077794,-256.065214008128,-259.283196735971,-243.017197299563,-242.471183814353,2.24460755799737,0.604266205217138,NA,NA,0.344920392627879,0.235997124087297,4.54385993918056,0.174925849263484,0.5,FALSE,FALSE,"",76
2,1,4,"s0",-265.583394297023,6,63,132.791697148512,-253.583394297023,-240.724585938674,-248.525962117719,-252.083394297023,-237.378546605121,-236.64318932792,1.64679613955092,0.809321122779302,NA,NA,0.380157145261688,0.245459292909078,4.27457418352909,0.172515395482233,0.333333333333333,FALSE,FALSE,"",77
3,1,4,"s0",-268.609398364724,7,62,134.304699182362,-254.609398364724,-239.719457669409,-248.763231987691,-252.53532429065,-239.248643477253,-238.641304991862,1.97018694479537,0.701239716962154,NA,NA,0.158675038783245,0.419632831187471,6.04455128881728,0.123895509216379,0.25,FALSE,FALSE,"",78
4,1,4,"s0",-263.976278843496,8,61,131.988139421748,-247.976278843496,-231.08928793011,-241.358108844645,-245.207048074266,-232.94462887408,-231.1474671749,1.50395155217522,0.853810085922718,NA,NA,0.0372389766903209,0.805207372836829,7.15173539774653,0.0802449725292189,0.2,FALSE,FALSE,"",79
5,1,4,"s0",-259.330966702016,9,60,129.665483351008,-241.330966702016,-222.481865642017,-233.958047066295,-237.730966702016,-227.042386133177,-224.396686573887,1.17967341602472,0.933459703369817,NA,NA,-0.263941357983068,2.41234454683673,9.88081114744377,0.0428111534065225,0.166666666666667,FALSE,FALSE,"",80
1,2,4,"s0",-273.721705898591,6,63,136.860852949295,-261.721705898591,-248.862897540242,-256.664273719287,-260.221705898591,-244.953432497336,-243.022637082824,1.57888482195549,0.831351023025957,NA,NA,0.425027376826399,0.385128597467146,4.24623100438487,0.0998211624637531,0.666666666666667,FALSE,FALSE,"",81
2,2,4,"s0",-274.568421386916,7,63,137.284210693458,-260.568421386916,-245.566478302176,-254.668083844395,-258.532057750553,-245.002549280125,-242.753270264428,1.72252693625166,0.785049113951544,NA,NA,0.467199647514528,0.30142129655846,3.82999998878211,0.127596570229091,0.5,FALSE,FALSE,"",82
3,2,4,"s0",-278.212884286578,8,62,139.106442143289,-262.212884286578,-245.195809206218,-255.531551284255,-259.495903154503,-247.552843748286,-246.171945077607,2.56355532566575,0.495284624563954,NA,NA,0.186208243966175,0.575858184720273,6.20603235105013,0.081650529120407,0.4,FALSE,FALSE,"",83
4,2,4,"s0",-273.214492235477,9,61,136.607246117738,-255.214492235477,-236.216627457917,-247.769050986769,-251.685080470771,-240.897518017894,-238.648304884141,2.03161392443601,0.6800791818409,NA,NA,0.260711311815748,0.519381774811332,5.58764881651786,0.0874530512126491,0.333333333333333,FALSE,FALSE,"",84
5,2,4,"s0",-272.913898507723,10,60,136.456949253862,-252.913898507723,-231.970452885502,-244.721765579144,-248.424102589356,-239.143107849753,-236.217639008568,1.38500487869128,0.885772217740011,NA,NA,0.459495558148299,1.6749482603361,5.83145823199266,0.0234375960395008,0.285714285714286,FALSE,FALSE,"",85
1,3,4,"s0",-280.018257384208,7,62,140.009128692104,-266.018257384208,-251.128316688893,-260.172091007175,-263.944183310134,-250.236790684478,-247.949156235159,3.44598834044868,0.253612702588079,NA,NA,0.341472799256386,0.376443124674117,5.05955549011601,0.102479555260668,0.75,FALSE,FALSE,"",86
2,3,4,"s0",-280.079261133678,8,62,140.039630566839,-264.079261133678,-247.062186053317,-257.397928131354,-261.362280001602,-248.883477707012,-246.699269959159,3.3934080391153,0.264749421378914,NA,NA,0.352012221233367,0.352936810991606,4.92662114922349,0.110434901036587,0.6,FALSE,FALSE,"",87
3,3,4,"s0",-281.46721157941,9,62,140.733605789705,-263.46721157941,-244.323002114004,-255.950711951796,-260.005673117871,-249.162272330072,-247.117090164066,3.19848233174839,0.3106983122653,NA,NA,0.261715512408649,0.602242107536618,5.92684066815001,0.070841365492925,0.5,FALSE,FALSE,"",88
4,3,4,"s0",-276.181812409281,10,61,138.090906204641,-256.181812409281,-235.073073767548,-247.909099910717,-251.781812409281,-242.302802243709,-238.874105837321,2.63614530963664,0.471936696037498,NA,NA,0.319546052595509,0.524143386814041,5.36233862248405,0.0803201999368575,0.428571428571429,FALSE,FALSE,"",89
5,3,4,"s0",-276.443642508958,11,60,138.221821254479,-254.443642508958,-231.405852324515,-245.432296287521,-248.943642508958,-241.024398067205,-237.402509806492,1.91236455463834,0.721453449186319,NA,NA,0.661455665637469,0.937553852113881,3.36390056909684,0.0470346239938693,0.375,FALSE,FALSE,"",90
1,4,4,"s0",-274.774394179378,8,61,137.387197089689,-258.774394179378,-241.887403265992,-252.156224180527,-256.005163410147,-243.573037853501,-241.729303257439,3.1064213037035,0.334121285197482,NA,NA,0.367759149130506,0.348388997029583,4.84007175304397,0.112887497223722,0.8,FALSE,FALSE,"",91
2,4,4,"s0",-274.792334432398,9,61,137.396167216199,-256.792334432398,-237.794469654838,-249.346893183691,-253.262922667692,-242.429682872823,-240.373507176013,2.93918832317122,0.379478827321559,NA,NA,0.372217906136677,0.343498362458843,4.78381112343787,0.115948822490441,0.666666666666667,FALSE,FALSE,"",92
3,4,4,"s0",-277.011494294497,10,61,138.505747147249,-257.011494294497,-235.902755652764,-248.738781795933,-252.611494294497,-243.268148836081,-241.296878826381,3.05567304453271,0.347700104538416,NA,NA,0.311003691285141,0.637560290137236,5.78745712576642,0.0648485088893416,0.571428571428571,FALSE,FALSE,"",93
4,4,4,"s0",-277.492806481641,11,61,138.746403240821,-255.492806481641,-232.273193975735,-246.392822733221,-250.1050513796,-242.358236236267,-238.953923937126,2.99077760478957,0.365266800473206,NA,NA,0.37831400559851,0.435429457277574,4.92755952812065,0.0925563006555318,0.5,FALSE,FALSE,"",94
5,4,4,"s0",-277.219995781056,12,60,138.609997890528,-253.219995781056,-228.087861034391,-243.389436266761,-246.581697908716,-240.547824462355,-237.111278503745,2.10606777806442,0.65384906258265,NA,NA,0.655028682113248,0.756367524602117,3.28493317833448,0.0580757755732434,0.444444444444444,FALSE,FALSE,"",95
1,5,4,"s0",-277.086981758124,9,60,138.543490879062,-259.086981758124,-240.237880698125,-251.714062122403,-255.486981758124,-244.454757562544,-243.18399707439,2.49149506264223,0.519635349031419,NA,NA,0.635832862305829,0.479962445945014,3.12843690550574,0.084703831909938,0.833333333333333,FALSE,FALSE,"",96
2,5,4,"s0",-277.199811486281,10,60,138.59990574314,-257.199811486281,-236.25636586406,-249.007678557702,-252.710015567913,-243.454404202517,-241.68321272217,2.47616811598673,0.524984236562449,NA,NA,0.656077457204277,0.556913741520402,3.10909065391862,0.0754828547791716,0.714285714285714,FALSE,FALSE,"",97
