year,GVA,EC,GOS,omega,pi,e,KNC,KNR,KGC,KGR,IGC,Py,pK,GVA_real,EC_real,GOS_real,theta,mu,mu_ect,r,B,B_real,PyPK,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label,CCA_NF,NVA_NF,NOS_NF,TPI_NF,NetInt_NF,Profits_IVA_CC_NF,CorpTax_NF,PBT_NF,PAT_NF,Dividends_NF,Retained_NF,Retained_IVA_CC_NF,chi,r_net,tax_rate,ret_rate,div_payout,cash_flow,int_share,cca_rate,g_K,g_Kn,g_Y,g_Yp
1956,237233,150770,65660,0.635535528362412,0.364464471637588,0.573476155733899,368854,3533739.17165835,396368.857473764,3797340.29746323,35341,11.377842268074115,10.4380652357797,2085043.8458412164,1325119.442225492,577086.572769953,0.7565964785674808,0.7067323954377549,0.9370183045219108,0.17801081186594153,0.6910925042688295,0.6340102519928353,1.090033642352899,-0.08388385324576642,-0.02936884256114813,-0.0311904525192755,0.01086589651175901,-0.03419045467710169,Fordist,reinforcing_crisis,21356,215877,44304,20803,1832,41437,19919,49804,28213,9007,18344,12511,0.5382424611635699,0.12011256486306235,0.39994779535780256,0.6501967178251161,0.31924999113883673,0.12400841525373182,0.0279013097776424,0.0538791067898506,0.05480063893675435,0.03966877456467799,0.03569171442266139,0.04146197044279632
1957,247921,158411,67461,0.638957571161781,0.361042428838219,0.565049144314473,396424,3669883.83968388,432968.537807809,4008193.85302715,38305,11.754951047612971,10.8020857693999,2109077.2645143787,1347610.8863266413,573894.3507867607,0.71262014875707,0.6870523234868979,0.8260525227894485,0.1701738542570581,0.6860326422884372,0.6304223141884181,1.0882112305488578,-0.04502370268959121,-0.02824163548154645,-0.00167328499373416,-0.00567518985248433,-0.00943359236182606,Fordist,reinforcing_crisis,23756,224165,43705,22049,2262,40345,18981,48102,27222,9226,16823,12138,0.5678095492210314,0.11024811817649789,0.3945989771735063,0.617992799941224,0.3389170523841011,0.1222933021209614,0.03353048427980611,0.054867728080845175,0.05403982918410577,0.03780344449594608,0.011460652231587432,0.03850987111198411
1958,242248,155209,64733,0.640702916019947,0.359297083980053,0.560785779175177,404910,3748387.47922467,450529.114964628,4170698.90484202,33954,12.022833817010556,10.8022450252062,2014899.346419098,1290951.8867374004,538417.1567639257,0.6901908965192636,0.6486160677353212,0.742821736702352,0.159870094588921,0.6860027180127478,0.6163579702354819,1.1129939923558674,-0.06245900993963449,-0.05756948508663517,0.02251839926025525,-0.02256201952917813,-0.00484590458407652,Fordist,reinforcing_crisis,25496,216752,39237,22306,2846,35217,16064,42507,24067,9115,13711,10038,0.5245238132019218,0.09690301548492257,0.37791422589220597,0.5697012506751984,0.37873436656001996,0.12019708083277765,0.04396521094341371,0.056591237176762135,0.039742895709823145,0.021165731710066638,-0.04568129444001556,0.027430184820234432
1959,271655,170794,76464,0.628716570650273,0.371283429349727,0.590541822312259,422056,3841086.29742217,477605.081420107,4346632.51753789,36860,12.187868737442995,10.9879332907269,2228896.6664486164,1401344.2684634002,627377.9415189376,0.8442262222304073,0.6909156950870354,1.102097722096966,0.18117027124362645,0.7062465013233564,0.6367142287568145,1.1092048354287665,0.12507573752607493,0.063176845592674,-0.00341028044120274,0.0324930191754052,0.03281615319919839,Fordist,broad_expansion,26688,244967,49776,24397,3018,45503,20682,53236,30420,9816,18801,15005,0.4820569156727349,0.11793695623329606,0.3884965061236757,0.6180473372781065,0.32268244575936883,0.13216729533521618,0.03946955430006278,0.0558788024630017,0.04131778655837515,0.024429474584168887,0.10093745262339304,0.03488155885709936
1960,282484,180409,75475,0.638652100649948,0.361347899350052,0.565797715191593,431682,3956153.27592716,496056.627498047,4546115.08453393,40047,12.353700928022452,10.9116601378098,2286634.601613424,1460363.9917392707,610950.5195224265,0.7165457197575833,0.696532722546301,0.8490612694195534,0.1748393493358537,0.6946597300188125,0.6135724775556278,1.1321559480409276,-0.03556976565932768,0.00809696140902138,0.02048033944552529,-0.0370225394377055,-0.02712452707616863,Fordist,profit_squeeze,27560,254924,47915,26600,3313,43335,19142,50716,28831,10455,16524,13738,0.5305995362702882,0.11099605728290733,0.3774351289533875,0.5731330859144671,0.36263050189032636,0.13049652290343355,0.043895329579330906,0.05555817314447332,0.04487162926463739,0.029516941641139383,0.025574435728271894,0.032152573888125036
1961,290423,184516,78287,0.635335355670866,0.364664644329134,0.573971904875458,443252,4063047.27278136,516952.128016294,4738615.80747549,40201,12.485250502280191,10.9093488271568,2326128.73844189,1477871.8293742018,627035.8771392081,0.7591688778092696,0.6922567675834174,0.9221537661723356,0.17661962044164492,0.6996455531719402,0.6113355429695074,1.1444542382951837,0.01013083452231033,-0.00615783530175501,0.01080414201686966,-0.00365241640252073,0.00913694420971622,Fordist,demand_drag,28564,261859,49723,27620,3818,44484,19419,50588,28385,10576,16192,14489,0.5135079898322837,0.11217772283035383,0.38386573891041353,0.570442134930421,0.3725911573013916,0.13280932742548257,0.04876927203750303,0.055254632783134,0.04147202865088495,0.02666109369421399,0.017124269778971524,0.0314842734513662
1962,316808,199256,87683,0.628948763920103,0.371051236079897,0.589954631228169,457910,4187362.62525965,541517.911658828,4951916.01884395,43511,12.63673183021335,10.9355229288652,2507040.6198107256,1576800.0989274448,693874.0267507887,0.8412423297391491,0.7248352413687374,1.1425908715349766,0.1914852263545238,0.7119706475261878,0.6161222256918133,1.1555672200053342,0.08081227564378946,0.04598743752799594,0.00966344739913735,0.00779938358636567,0.01736200713029045,Fordist,broad_expansion,29824,286984,57859,29869,4470,51810,20591,55432,32136,11590,18981,19629,0.496230740280328,0.12635452381472342,0.37146413623899555,0.5906460044809559,0.36065471745083394,0.14651787469153327,0.05097909514957289,0.05507481720898271,0.04402950688011309,0.03013783882205523,0.07489762146972367,0.03703948494509223
1963,337829,210106,96056,0.621930029689577,0.378069970310423,0.607897918193674,473397,4320281.11631778,567592.438907842,5179920.64921895,46201,12.781834996970373,10.9575508457533,2643039.9084331337,1643785.888722555,751503.9900199601,0.9314393814622156,0.7392249664928647,1.397764891575897,0.2029079187236083,0.7260226784311062,0.6224012761833092,1.166486487436569,0.05794161511541107,0.01965791903028069,0.00940490556464521,0.01013966110306235,0.01873912941742295,Fordist,broad_expansion,31340,306489,64716,31667,4828,58293,22754,60335,34844,12444,20402,23095,0.48097984509036396,0.13670555580200128,0.3771277036545952,0.5855240500516589,0.35713465732981287,0.1548425528678889,0.05026234696427084,0.05521567563568014,0.045015161269944315,0.031249382655641256,0.05282671357814195,0.041928893969698816
1964,364523,225657,104988,0.619047357779893,0.380952642220107,0.615385297154531,499570,4484385.98472772,606184.889670143,5441413.66253079,51757,12.976368912842428,11.1402096452305,2809129.4448267384,1738984.160481691,809070.7092651756,0.9684843099063744,0.748048477407035,1.5221694222611746,0.21015673479192104,0.7374669786061792,0.6331152268626407,1.164822685217423,0.03510133469786369,0.01186549046761975,-0.00142735465646506,0.01706741525141125,0.00759578363529767,Fordist,broad_expansion,33252,331271,71736,33878,5299,64566,23888,66977,40404,13996,23831,26682,0.4929801501123938,0.14359549212322598,0.35665974886901475,0.5898178398178399,0.3464013464013464,0.1623396120663771,0.05047243494494609,0.05485455108934529,0.04924915407428543,0.03728110859239919,0.06094489405417747,0.04769703299710703
1965,400741,245400,119319,0.61236559273945,0.38763440726055,0.63301140994295,534604,4709573.13705432,655034.029516025,5770496.79625502,61567,13.21395541665338,11.3514321668307,3032710.3986967537,1857127.500905032,902977.1649571616,1.0543510042646025,0.758592787036606,1.8219530287883,0.2231913715572648,0.7590080343452471,0.6520249194341279,1.164078261002611,0.06017596337813247,0.01399733571094286,-6.39292316295198e-4,0.02943034265073574,0.01738757733274909,Fordist,broad_expansion,35828,364913,83491,36022,5966,75423,27137,78404,48636,16195,30465,32091,0.5159865570445612,0.1561735415372874,0.3461175450232131,0.6263878608438194,0.33298379800970473,0.17243043448982798,0.0500004190447456,0.0546963949742759,0.05871928513976954,0.04899569289279171,0.07658211146346261,0.06191073725681556
