"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1944,126747,1232786.95096,116453.536847345,1132669.02268729,231086.285484587,2247628.4037588,6745,65604.2982021286,6760,0.0533707687523306,0.0539591315453384,10.2813385476947,89528,10.328
1945,138239,1250930.2136,127907.105404116,1157436.48814104,250438.423357889,2266227.26166083,9152,82816.8122951352,6982,0.0512500524678157,0.0550861164366809,11.0508962448167,93320,10.48
1946,167109,1287097.37531,156226.644420876,1203279.91902051,299194.682068595,2304440.15580967,13368,102962.244482009,8015,0.0493494150113385,0.0579792967252367,12.9833999513635,100744,10.783
1947,199192,1340214.16396,186971.10575091,1257988.89603314,350024.237219684,2355051.61076306,17308,116452.602262238,9816,0.0513127696005001,0.0587401037646087,14.862699213045,111165,11.228
1948,218012,1392137.31691,205659.959629461,1313262.13416865,377725.325220627,2412002.64564153,19456,124238.223757412,11506,0.0548216171377721,0.0577633639905217,15.6602367706011,122684,11.663
1949,222118,1426155.93436,210569.616191588,1352007.07609262,382688.492960271,2457132.98898142,17762,114044.704643938,12432,0.0573379531479729,0.0570243839788636,15.5745942395617,131600,11.948
1950,249086,1465068.45818,236789.544013995,1392743.43865865,425358.653588441,2501865.00560585,19541,114935.816309609,13307,0.0548809655331227,0.059909597601275,17.0016628649169,141463,12.274
1951,270446,1512694.52261,258150.926390534,1443924.08228504,458074.299550595,2562162.07257122,23560,131778.9242684,15158,0.0578701564156298,0.0608544839934802,17.8784279282887,154413,12.673
1952,286492,1562946.58558,274447.638961526,1497239.01622178,481411.095217601,2626320.55181533,25179,137363.109888998,16140,0.05820816827104,0.0596791965863795,18.330248944092,167991,13.094
1953,301404,1620241.09918,289836.829230676,1558060.08803983,502507.260418012,2701300.96470389,27907,150018.142940426,17321,0.0595743699943508,0.0604589307903886,18.6024166497529,183088,13.574
1954,310857,1668702.7086,299965.449366751,1610236.08232954,516215.639712636,2771082.63996036,27377,146961.702819439,18362,0.060835720815478,0.0609215537949065,18.628662756879,196432,13.98
1955,342231,1724684.22293,330854.131781186,1667350.12659348,564390.453750952,2844263.99466025,30232,152355.144413042,19585,0.0591472897634431,0.0630032458654623,19.8431107242691,211395,14.449
1956,380295,1795705.54708,368482.06235102,1739926.32920024,621899.731072451,2936532.94630316,36751,173533.637204636,22116,0.0605496308109834,0.0646230177862321,21.1780266880836,231426,15.044
1957,408618,1865771.96267,396943.787638635,1812466.8754979,664463.722622506,3033977.41626753,39716,181345.411287319,24593,0.0625341792716445,0.0646682180938482,21.9007471532186,252721,15.631
1958,417497,1906594.30361,406527.383131776,1856499.07170716,680696.133773083,3108552.56718278,35312,161260.219951464,26425,0.0646787123819831,0.064669202042005,21.897526873415,267741,15.973
1959,435207,1954936.54946,424706.472617307,1907768.50122311,710592.296362352,3191958.88835307,38340,172222.108804078,27653,0.0651509505883584,0.0662352064805256,22.2619501446333,284556,16.378
1960,445400,2015095.78874,435542.414779246,1970497.72303392,727064.194383787,3289411.75627842,41698,188651.693306871,28521,0.0660051109006831,0.0655343319385947,22.1031676255202,303783,16.882
1961,457811,2071077.30307,448536.114094198,2029118.92791503,748211.499786969,3384811.31974713,41863,189382.756505238,29559,0.0663596562917081,0.0663650651100135,22.1049692023266,321524,17.351
1962,473530,2136488.53943,464882.209040304,2097471.14607208,774173.990131264,3492944.17975681,45401,204841.75485959,30877,0.0672654198947274,0.0674448626179799,22.1639382220292,341020,17.899
1963,489979,2205600.04646,482165.664612021,2170428.96179161,801866.948531764,3609537.91680133,48072,216392.14218043,32457,0.0683844098306236,0.0685426477731084,22.2152244141642,361026,18.478
1964,517915,2292616.08899,510626.694241687,2260353.48403941,846339.548050617,3746428.78582271,54222,240020.523787138,34457,0.0691549938660245,0.0703234220242092,22.5905681499498,385111,19.207
1965,554788,2410427.93258,547988.960060933,2380887.64731093,902055.432695214,3919226.10385243,64408,279838.140481792,37189,0.0704774621912579,0.0718052190031183,23.0161620889525,416673,20.194
1966,604733,2554380.398,597601.100865007,2524255.39514595,975693.333776146,4121309.61309712,74352,314061.397926186,40912,0.0716932822445272,0.0737434839974909,23.6743517321651,455354,21.4
1967,657407,2684844.78001,649993.850270931,2654569.53749886,1056835.08670275,4316105.80031136,76530,312547.890445592,45154,0.0721930706548607,0.0746676632497317,24.4858475579192,492603,22.493
1968,724564,2819844.97768,716510.629946946,2788503.01879507,1161249.18904902,4519328.44244932,83905,326539.950718281,50055,0.0725565733733027,0.0761400471853814,25.695171391873,533547,23.624
1969,799646,2962365.08026,790778.461277051,2929514.43502359,1278287.89872241,4735539.76846529,93218,345334.995800237,55774,0.0732735730227067,0.0769759469142823,26.9934993944034,579602,24.818
1970,879918,3083638.46738,870379.915715346,3050212.62132926,1408323.72428348,4935415.81229659,95643,335177.180073172,61888,0.073213154782003,0.0773942469542773,28.5350571835232,623832,25.834
1971,963210,3191185.04395,953049.736935575,3157523.35072236,1546494.90099076,5123650.50050006,99378,329246.568554794,67722,0.0727607766126734,0.0769639898263247,30.1834580801292,667732,26.735
1972,1045186,3316397.42888,1035044.74621615,3284219.01472752,1681340.68641791,5334929.79192957,112722,357669.305729517,73569,0.0731502560928061,0.0763789827763416,31.5157040859538,719930,27.784
1973,1179246,3471092.6156,1167364.82028736,3436120.54432297,1893621.29828001,5573845.41071383,132952,391342.184267957,82143,0.0729064211609466,0.0785917530468261,33.9733372339349,785915,29.08
1974,1440265,3621848.80451,1422285.91968193,3576636.63136394,2304316.83055913,5794688.58715088,151149,380095.902457452,96241,0.0697239262494158,0.0816123183797104,39.76601668757,863557,30.343
1975,1596037,3720920.56761,1576669.50317933,3675768.15744459,2569396.1398763,5990161.22007413,154861,361035.163984702,113760,0.0732262359579354,0.0789854644804949,42.8936057892028,937537,31.173
1976,1753560,3828467.14418,1732812.64920159,3783170.40448448,2838280.80527966,6196688.34198427,172987,377674.58534083,125314,0.0735281243877041,0.0785157236329734,45.8031879068296,1021367,32.074
1977,1950421,3963347.97828,1927963.87560613,3917714.03639543,3167696.16663476,6436908.85087742,205344,417268.74723556,140799,0.0747323237117394,0.0802932320536509,49.2114497815667,1126985,33.204
1978,2214151,4137618.79048,2187717.76017429,4088222.5795639,3595244.81457174,6718490.51900608,249098,465493.349582295,159693,0.075295134783557,0.0818761692988334,53.5126871787804,1263357,34.664
1979,2554540,4334926.77169,2523164.87255017,4281684.74770625,4141694.57820704,7028248.8069214,295657,501715.159886927,183846,0.0754002468665631,0.0830322773830692,58.9292538153787,1430289,36.317
1980,2934852,4517194.94308,2896689.24057087,4458456.50451231,4760723.88762233,7327496.53834938,324889,500054.840197161,212651,0.0755037099740441,0.0832443414469924,64.9706739908573,1609046,37.844
1981,3322949,4703879.56656,3279604.84692043,4642522.71877184,5400792.15222668,7645219.90800843,372344,527080.41361189,245507,0.0769356388259484,0.0836522591258435,70.6427312387615,1815774,39.408
1982,3544276,4851412.93908,3502681.86672028,4794478.79614557,5806428.59001205,7947852.47859605,380674,521067.425102148,273224,0.0795066325116577,0.0822233504035121,73.0565722709253,2008764,40.644
1983,3662057,4983309.68393,3623095.66762711,4930291.28882784,6056789.91770463,8242050.80653499,383070,521279.827327392,286630,0.080398172780535,0.0808712414044504,73.48644239007,2183887,41.749
1984,3891586,5182408.11869,3853328.62449998,5131460.93844239,6464086.45599333,8608195.76631582,451779,601632.12568183,303950,0.0812249119995682,0.0829998003854118,75.0922333956151,2405253,43.417
1985,4116228,5392368.63832,4079461.22252147,5344203.1776586,6870117.73079353,9000037.75133379,486853,637790.435484139,327679,0.0828318097646762,0.0842019166478654,76.334321261879,2634781,45.176
1986,4316632,5562819.81628,4281162.74772151,5517110.78677658,7266064.00878923,9363736.55536344,481761,620842.73978205,350721,0.0838170099027414,0.0852044638926707,77.5979115370061,2835100,46.604
1987,4552033,5706891.64527,4516523.35056855,5662373.13636051,7740293.73572863,9704019.64405035,484819,607818.418840144,372009,0.0838402720432719,0.0861803832246993,79.7637888179081,3015500,47.811
1988,4847374,5852873.29138,4811230.17368338,5809232.08777227,8325647.4413018,10052651.0936935,518364,625889.153758902,399854,0.0845988405940756,0.0878407515938483,82.8204158654711,3207720,49.034
1989,5142230,6013417.29303,5108837.87899217,5974367.93936059,8915851.07506373,10426358.4158757,565175,660925.924859104,427148,0.0853451998095174,0.0881194642707577,85.5126087118589,3421488,50.379
1990,5441062,6183987.83456,5407482.80956432,6145823.72153415,9514250.22218162,10813331.5938931,602591,684869.132756683,454686,0.0859360112725276,0.0884219492321425,87.986298575685,3650282,51.808
1991,5585582,6309200.21949,5554845.56378164,6274481.84454981,9890175.28900639,11171458.248074,590570,667078.985435038,479628,0.0876075993739992,0.0881497031278085,88.5307456679748,3845134,52.857
1992,5786950,6432741.51444,5761183.54193394,6404099.66260412,10371033.4692083,11528383.2666643,608234,676109.539963867,494349,0.0870975062879896,0.0885044745560982,89.9608664052434,4034508,53.892
1993,6069009,6588988.42757,6044506.77661585,6562386.90723481,10975895.7459503,11916286.5061299,660680,717285.618513162,517187,0.0872875819136082,0.0893712577437165,92.1083572495852,4253635,55.201
1994,6415484,6767914.419,6395881.81654859,6747235.40241689,11693622.2117073,12336003.7024412,720597,760182.525057836,547585,0.0876714582679464,0.09022642741179,94.7926289077977,4500346,56.7
1995,6794677,6993153.47559,6775234.45284783,6973143.00030302,12451544.9327929,12815261.8179239,808110,831715.364123863,590418,0.0897860723846595,0.0920301570388142,97.1618458499046,4802523,58.587
1996,7152908,7255872.69316,7132642.62497227,7235315.60207476,13155451.9662605,13344822.0902838,883000,895710.610014875,626340,0.0908540106255681,0.0921809822600839,98.5809468066183,5138771,60.788
1997,7573981,7550581.34749,7552976.56661247,7529641.80685074,13967097.1624414,13923946.1141123,963381,960404.654979497,670041,0.092059349838522,0.0936739295402653,100.309905309712,5507829,63.257
1998,8001999,7874175.98576,7979404.75050417,7851942.65421418,14786225.1765788,14550031.7115082,1040534,1023912.62922762,714984,0.0931799679004424,0.0944000255611943,101.62331924599,5900897,65.968
1999,8487993,8225224.24513,8464555.41747579,8202512.23629289,15715092.2609209,15228589.123363,1129231,1094272.60361223,769635,0.0947157989156189,0.0961803419370585,103.194669799131,6323924,68.909
2000,9087285,8600145.2185,9062220.4621233,8576424.30894625,16862833.0575419,15958871.4440213,1231396,1165384.86704005,838620,0.096491510355173,0.0988007412352956,105.664320416963,6788298,72.05
2001,9528266,8867400.25173,9516892.18689432,8856815.30865679,17845706.3501595,16607955.8423016,1187409,1105052.15382384,888572,0.0961544257148147,0.0977819007547359,107.452756495807,7146035,74.289
2002,9830512,9011113.99001,9818808.37636687,9000385.89297352,18670608.9531888,17114366.5294427,1070121,980923.711206852,914587,0.0945433654997497,0.0959867199341412,109.093193259994,7368836,75.493
2003,10127063,9151724.27547,10114717.0613259,9140567.37571858,19483775.5684988,17607290.6673968,1086552,981906.038795303,932541,0.0935209407751471,0.0948618952909065,110.657431268382,7587313,76.671
2004,10967477,9309642.27858,10960360.9222931,9303601.86127368,21313992.1881722,18092186.8174724,1163895,987961.597715488,973014,0.0902490051494792,0.0960805714351733,117.807716685682,7850102,77.994
2005,11936357,9497759.2649,11946062.8312017,9505482.19478717,23382912.9496243,18605783.834016,1295107,1030516.6399,1042069,0.0890661830484935,0.0950144686877392,125.675505843911,8201254,79.57
2006,12896598,9740425.40271,12897568.4243781,9741158.33602031,25362992.4267397,19155930.5579779,1432255,1081740.54779085,1119303,0.0890080470637985,0.0937725806961035,132.402820891292,8659315,81.603
2007,13605165,10007561.07237,13601523.0581043,10004882.1665322,26845767.0247802,19746960.2930287,1547563,1138342.03670739,1188944,0.0897858525675974,0.0921905141185295,135.94885808454,9178361,83.841
2008,14481024,10231606.49326,14479112.3490044,10230255.8111025,28725176.9583462,20295851.1143313,1575381,1113089.68681762,1256741,0.08872828559809,0.0923723453556058,141.532260936142,9671317,85.718
2009,14051422,10268251.10925,14049752.7659335,10267031.2957283,28293816.4954237,20676057.7409212,1313817,960088.086999416,1263659,0.0902531294839721,0.0872630968638682,136.843381122049,9880093,86.025
2010,14428541,10352641.15324,14425568.9579249,10350508.6794787,29379933.209724,21080433.9556184,1386906,995120.721580614,1270714,0.0887932754436505,0.0904331248467237,139.370628097975,10145838,86.732
2011,15124608,10505665.24998,15118639.8001279,10501519.693943,31023264.8647335,21548990.6006395,1541669,1070854.75803878,1324537,0.088869423915195,0.0917997876569779,143.966209089223,10530284,88.014
2012,15641553,10712999.77107,15643658.066848,10714441.5448287,32266102.8268093,22099260.3609711,1702357,1165955.20606422,1392029,0.090751946666175,0.092037360571593,146.005351761879,11015445,89.751
2013,16233055,10920334.29216,16231424.0113485,10919237.0901052,33664237.26661,22646675.2340808,1752317,1178822.31199457,1447694,0.0909078427132945,0.0925543646465284,148.649799225049,11495888,91.488
2014,17005192,11195109.2303,16999684.780608,11191483.6362668,35354778.3762056,23275280.0282802,1937696,1275652.65803029,1524311,0.0918934265817881,0.093901671620037,151.89840179473,12095570,93.79
2015,17324832,11448159.9987,17321359.2585651,11445865.2289971,36188449.3247768,23913141.4362282,1971670,1302869.40875599,1587221,0.0936862216040728,0.0933374348257873,151.33289543444,12660015,95.91
2016,17832363,11694526.40718,17827068.4721111,11691054.2371591,37425511.7702911,24543782.3186919,2003456,1313873.49492735,1629907,0.0933686065128543,0.09407923840185,152.484695652588,13188533,97.974
2017,18522028,11936357,18534474.3396826,11944377.9334418,39099116.6842204,25197079.6679235,2101896,1354548.27262285,1709313,0.0941937787646193,0.0958545426649289,155.173207369719,13730555,100
2018,19387389,12241330.92135,19401059.0794373,12249962.3036426,41044814.2943512,25915978.3910309,2278745,1438815.28504801,1793566,0.0948756746615029,0.0968342127546724,158.376479849806,14375106,102.555
2019,20271382,12527803.48935,20278356.0689941,12532113.4947497,43086516.6488951,26627657.3357438,2349717,1452135.47017095,1891831,0.0955092146459845,0.0975804942068269,161.811142849047,15008331,104.955
2020,20683088,12702193.66512,20687175.9077549,12704704.1894666,44369145.7130886,27248614.0175771,2249910,1381746.89142599,1968202,0.096484619072084,0.0970926402551143,162.830834935192,15469482,106.416
2021,22973076,12919674.08966,22983778.800637,12925693.1659072,49531318.6044473,27855585.973797,2463629,1385503.78529349,2070269,0.0916601277358665,0.10009477308224,177.814671179562,16051391,108.238
2022,25624438,13170337.58666,25629444.6595191,13172910.8878207,55417805.7355637,28483403.6106203,2769959,1423691.52178897,2287902,0.0910182366837052,0.099590581600827,194.561740208957,16846557,110.338
2023,26507748,13482473.32221,26508293.3976519,13482750.7244733,57457895.9254988,29224457.2781459,3057004,1554865.19925756,2447353,0.0945140655096995,0.0955085532022205,196.608940856075,17813914,112.953
2024,27370152,13788879.6064,27375293.2016355,13791469.7056579,59547670.8754329,29999674.9942374,3196161,1610202.20975284,2583318,0.0965295031529326,0.0974552044179687,198.494386645427,18784391,115.52
