"stage_id","relative_path","file_name","file_exists","s29j_sha256","current_sha256","s29j_file_size_bytes","current_file_size_bytes","s29j_row_count_if_csv","current_row_count_if_csv","s29j_column_count_if_csv","current_column_count_if_csv","integrity_status"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_capacity_utilization_audit.csv","S29I_no_capacity_utilization_audit.csv","yes","af79fba0cf1d40bbc2afffaac3ec0d186e2e8158754b693994b94b49d81d5aa1","af79fba0cf1d40bbc2afffaac3ec0d186e2e8158754b693994b94b49d81d5aa1",569,569,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_complete_case_sample_audit.csv","S29I_no_complete_case_sample_audit.csv","yes","4aba15e4dc7fafbbc9b83c6457303e2c9e58f1f8621d47060f63133cf57b884b","4aba15e4dc7fafbbc9b83c6457303e2c9e58f1f8621d47060f63133cf57b884b",647,647,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_diagnostic_promotion_audit.csv","S29I_no_diagnostic_promotion_audit.csv","yes","c1fa2fa7d08411b6a6af63167a2e01792f395a8ccdba385c2dc9f1394bdfaf93","c1fa2fa7d08411b6a6af63167a2e01792f395a8ccdba385c2dc9f1394bdfaf93",421,421,2,2,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_modeling_audit.csv","S29I_no_modeling_audit.csv","yes","dbaff1bedc70434ce3f3c28314b74d07b22df7c6600e079a8b6dd69d4a5e91da","dbaff1bedc70434ce3f3c28314b74d07b22df7c6600e079a8b6dd69d4a5e91da",850,850,5,5,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_new_variable_construction_audit.csv","S29I_no_new_variable_construction_audit.csv","yes","fc6f8614323f85f09af57a1ec0178c75590e5e17d0f2d7883c6239515ace381b","fc6f8614323f85f09af57a1ec0178c75590e5e17d0f2d7883c6239515ace381b",1943,1943,12,12,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_provider_total_promotion_audit.csv","S29I_no_provider_total_promotion_audit.csv","yes","5c0fc80ab2fb5829c34796c86b90499f7cbf96b7670b046a837090a6e211c677","5c0fc80ab2fb5829c34796c86b90499f7cbf96b7670b046a837090a6e211c677",562,562,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_q_audit.csv","S29I_no_q_audit.csv","yes","795a6871daddd177d54c0698632f35924e05a741986f22d0f7440c94d1acb1b2","795a6871daddd177d54c0698632f35924e05a741986f22d0f7440c94d1acb1b2",482,482,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_silent_growth_selection_audit.csv","S29I_no_silent_growth_selection_audit.csv","yes","42db5d73b8a1a62ab6ca6d042abe9e94ce98799cefa75054f39b707e7b4d616e","42db5d73b8a1a62ab6ca6d042abe9e94ce98799cefa75054f39b707e7b4d616e",578,578,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_silent_lag_activation_audit.csv","S29I_no_silent_lag_activation_audit.csv","yes","44e6d956bb16858877cf79acda0a8eb1c37543763aeab2aff47ad31c3a0deba2","44e6d956bb16858877cf79acda0a8eb1c37543763aeab2aff47ad31c3a0deba2",542,542,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_theta_audit.csv","S29I_no_theta_audit.csv","yes","bbd78836beb39035d90088415b645f73c484d7a797d2f35807c918220dc2754d","bbd78836beb39035d90088415b645f73c484d7a797d2f35807c918220dc2754d",576,576,3,3,5,5,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_primary_level_interface.csv","S29I_primary_level_interface.csv","yes","dc1ae63cf1ad8e0e4f9b8ae7f56297820f00fa13b75b4f24624385e820e7a83c","dc1ae63cf1ad8e0e4f9b8ae7f56297820f00fa13b75b4f24624385e820e7a83c",9720,9720,124,124,6,6,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_primary_log_interface.csv","S29I_primary_log_interface.csv","yes","91fa81ca42a5b290abfa61d35adb361e02f81a43e9396041b7d6e9db21c8e95a","91fa81ca42a5b290abfa61d35adb361e02f81a43e9396041b7d6e9db21c8e95a",11579,11579,124,124,6,6,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_review_needed_ledger.csv","S29I_review_needed_ledger.csv","yes","a323bc1385b086f526dc6ba2795852e1d659d40232d9eb465098b17b97c44e2c","a323bc1385b086f526dc6ba2795852e1d659d40232d9eb465098b17b97c44e2c",37,37,0,0,3,3,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_source_value_copy_audit.csv","S29I_source_value_copy_audit.csv","yes","3d1a7988b56b747998d9273270926bb27f4301bf80b8900ab75f372e2a79ab5d","3d1a7988b56b747998d9273270926bb27f4301bf80b8900ab75f372e2a79ab5d",1389,1389,15,15,6,6,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_support_eligibility_audit.csv","S29I_support_eligibility_audit.csv","yes","3fa0ce9681112eca7ba5767c93502fbaead33cbdea5fb36383d760bc004bb22f","3fa0ce9681112eca7ba5767c93502fbaead33cbdea5fb36383d760bc004bb22f",1709,1709,15,15,9,9,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_validation_checks.csv","S29I_validation_checks.csv","yes","dc5cb3363036aca620a4bf67f21bea171ef4b50b15678f52f55284350aee57e2","dc5cb3363036aca620a4bf67f21bea171ef4b50b15678f52f55284350aee57e2",5740,5740,87,87,3,3,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/md/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY.md","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY.md","yes","d1b431d67b2486850e614bc6cb837956b85b412fa33787cf2dc30b48157c47d4","d1b431d67b2486850e614bc6cb837956b85b412fa33787cf2dc30b48157c47d4",726,726,NA,NA,NA,NA,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/md/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY_DECISION.md","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY_DECISION.md","yes","32b4da19000d953434d34aaeba0c84d0006b84cf60fbe0646f6af73df025ac37","32b4da19000d953434d34aaeba0c84d0006b84cf60fbe0646f6af73df025ac37",670,670,NA,NA,NA,NA,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/md/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY_VALIDATION.md","S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY_VALIDATION.md","yes","dab61407a6f4e0cfa77d9887ad73a3c95b84f6332cd632d1b9cdbb08a48995fa","dab61407a6f4e0cfa77d9887ad73a3c95b84f6332cd632d1b9cdbb08a48995fa",6218,6218,NA,NA,NA,NA,"MATCH"
