"year","asset","nominal_investment","real_or_quantity_input","recovered_implicit_price","S12D_B_price","S29C_deflator","D03_deflator","absolute_difference_vs_S12D_B","relative_difference_vs_S12D_B","absolute_difference_vs_S29C","relative_difference_vs_S29C","recovery_status","notes"
1927,"ME",2915,1590939.18186412,0.183225105851279,0.183225105851279,0.183225105851279,0.183225105851279,-0.000000000000000388578058618805,-0.00000000000000212076864037512,-0.000000000000000388578058618805,-0.00000000000000212076864037512,"PASS","Recovered SFC span."
1928,"ME",3083,1612305.71958188,0.191216837015223,0.191216837015222,0.191216837015222,0.191216837015222,0.000000000000000915933995315754,0.00000000000000479002795785624,0.000000000000000915933995315754,0.00000000000000479002795785624,"PASS","Recovered SFC span."
1929,"ME",3407,1768765.68542665,0.19262019995476,0.19262019995476,0.19262019995476,0.19262019995476,0.000000000000000277555756156289,0.00000000000000144094833367153,0.000000000000000277555756156289,0.00000000000000144094833367153,"PASS","Recovered SFC span."
1930,"ME",2778,1467294.24202991,0.189328078883265,0.189328078883266,0.189328078883266,0.189328078883266,-0.000000000000000527355936696949,-0.00000000000000278540795326034,-0.000000000000000527355936696949,-0.00000000000000278540795326034,"PASS","Recovered SFC span."
1931,"ME",1850,989748.757718044,0.186916122457718,0.186916122457718,0.186916122457718,0.186916122457718,-0.000000000000000166533453693773,-0.000000000000000890952858983284,-0.000000000000000166533453693773,-0.000000000000000890952858983284,"PASS","Recovered SFC span."
1932,"ME",1175,623868.773501062,0.188340889928834,0.188340889928834,0.188340889928834,0.188340889928834,-0.000000000000000277555756156289,-0.0000000000000014736882482671,-0.000000000000000277555756156289,-0.0000000000000014736882482671,"PASS","Recovered SFC span."
1933,"ME",1167,543835.045414787,0.214587127078197,0.214587127078197,0.214587127078197,0.214587127078197,0.000000000000000111022302462516,0.000000000000000517376340203569,0.000000000000000111022302462516,0.000000000000000517376340203569,"PASS","Recovered SFC span."
1934,"ME",1566,637240.124604496,0.245747237114414,0.245747237114414,0.245747237114414,0.245747237114414,0.000000000000000277555756156289,0.00000000000000112943591722688,0.000000000000000277555756156289,0.00000000000000112943591722688,"PASS","Recovered SFC span."
1935,"ME",1864,703933.555703037,0.264797719173704,0.264797719173704,0.264797719173704,0.264797719173704,0.000000000000000444089209850063,0.00000000000000167708850074628,0.000000000000000444089209850063,0.00000000000000167708850074628,"PASS","Recovered SFC span."
1936,"ME",2476,816556.811384773,0.303224462214825,0.303224462214825,0.303224462214825,0.303224462214825,-0.000000000000000111022302462516,-0.000000000000000366139003600111,-0.000000000000000111022302462516,-0.000000000000000366139003600111,"PASS","Recovered SFC span."
1937,"ME",3121,924639.763365942,0.33753685745016,0.33753685745016,0.33753685745016,0.33753685745016,0.000000000000000388578058618805,0.00000000000000115121667468917,0.000000000000000388578058618805,0.00000000000000115121667468917,"PASS","Recovered SFC span."
1938,"ME",2304,622350.239389684,0.370209546678965,0.370209546678964,0.370209546678964,0.370209546678964,0.000000000000000555111512312578,0.00000000000000149945218131816,0.000000000000000555111512312578,0.00000000000000149945218131816,"PASS","Recovered SFC span."
1939,"ME",2550,627081.679604101,0.406645590668492,0.406645590668492,0.406645590668492,0.406645590668492,0.00000000000000049960036108132,0.00000000000000122858915120663,0.00000000000000049960036108132,0.00000000000000122858915120663,"PASS","Recovered SFC span."
1940,"ME",3356,731978.08858634,0.458483669433521,0.458483669433521,0.458483669433521,0.458483669433521,-0.0000000000000000555111512312578,-0.000000000000000121075525546732,-0.0000000000000000555111512312578,-0.000000000000000121075525546732,"PASS","Recovered SFC span."
1941,"ME",4044,752127.196012379,0.537675013141453,0.537675013141453,0.537675013141453,0.537675013141453,-0.000000000000000111022302462516,-0.000000000000000206485887848591,-0.000000000000000111022302462516,-0.000000000000000206485887848591,"PASS","Recovered SFC span."
1942,"ME",3244,545029.688575011,0.595196934772763,0.595196934772763,0.595196934772763,0.595196934772763,-0.000000000000000333066907387547,-0.000000000000000559591099901593,-0.000000000000000333066907387547,-0.000000000000000559591099901593,"PASS","Recovered SFC span."
1943,"ME",2870,437108.518460738,0.656587524330709,0.656587524330709,0.656587524330709,0.656587524330709,0,0,0,0,"PASS","Recovered SFC span."
1944,"ME",3724,535584.445393993,0.695315189234166,0.695315189234166,0.695315189234166,0.695315189234166,-0.000000000000000222044604925031,-0.000000000000000319343814665685,-0.000000000000000222044604925031,-0.000000000000000319343814665685,"PASS","Recovered SFC span."
1945,"ME",5225,641872.549112937,0.814024529826195,0.814024529826195,0.814024529826195,0.814024529826195,0.000000000000000333066907387547,0.000000000000000409160774870827,0.000000000000000333066907387547,0.000000000000000409160774870827,"PASS","Recovered SFC span."
1946,"ME",6994,720316.318253301,0.970962315133966,0.970962315133967,0.970962315133967,0.970962315133967,-0.000000000000000666133814775094,-0.000000000000000686055271551075,-0.000000000000000666133814775094,-0.000000000000000686055271551075,"PASS","Recovered SFC span."
1947,"ME",9960,909126.49181145,1.09555711880693,1.09555711880693,1.09555711880693,1.09555711880693,-0.00000000000000466293670342566,-0.00000000000000425622418345803,-0.00000000000000466293670342566,-0.00000000000000425622418345803,"PASS","Recovered SFC span."
1948,"ME",10802,849952.046387453,1.27089522825572,1.27089522825572,1.27089522825572,1.27089522825572,0.00000000000000199840144432528,0.00000000000000157243602768739,0.00000000000000199840144432528,0.00000000000000157243602768739,"PASS","Recovered SFC span."
1949,"ME",9459,721556.966154316,1.31091520748717,1.31091520748717,1.31091520748717,1.31091520748717,0.00000000000000288657986402541,0.000000000000002201957722009,0.00000000000000288657986402541,0.000000000000002201957722009,"PASS","Recovered SFC span."
1950,"ME",10436,685879.765574565,1.52154947904867,1.52154947904867,1.52154947904867,1.52154947904867,-0.00000000000000488498130835069,-0.00000000000000321053069625114,-0.00000000000000488498130835069,-0.00000000000000321053069625114,"PASS","Recovered SFC span."
1951,"ME",12449,749015.128180555,1.66204920723565,1.66204920723565,1.66204920723565,1.66204920723565,-0.000000000000000222044604925031,-0.000000000000000133596889886515,-0.000000000000000222044604925031,-0.000000000000000133596889886515,"PASS","Recovered SFC span."
1952,"ME",13017,743131.44185588,1.75164167021269,1.75164167021269,1.75164167021269,1.75164167021269,0.00000000000000244249065417534,0.00000000000000139440086160931,0.00000000000000244249065417534,0.00000000000000139440086160931,"PASS","Recovered SFC span."
1953,"ME",14044,741157.559795182,1.89487374369912,1.89487374369912,1.89487374369912,1.89487374369912,-0.00000000000000133226762955019,-0.00000000000000070309044809992,-0.00000000000000133226762955019,-0.00000000000000070309044809992,"PASS","Recovered SFC span."
1954,"ME",13541,684449.366939466,1.97837862872881,1.97837862872881,1.97837862872881,1.97837862872881,-0.00000000000000421884749357559,-0.00000000000000213247728837749,-0.00000000000000421884749357559,-0.00000000000000213247728837749,"PASS","Recovered SFC span."
1955,"ME",15098,684266.419209608,2.20645052513897,2.20645052513897,2.20645052513897,2.20645052513897,-0.00000000000000310862446895044,-0.00000000000000140888020534911,-0.00000000000000310862446895044,-0.00000000000000140888020534911,"PASS","Recovered SFC span."
1956,"ME",18027,713994.058255907,2.52481092686332,2.52481092686332,2.52481092686332,2.52481092686332,0.000000000000000444089209850063,0.000000000000000175890085520888,0.000000000000000444089209850063,0.000000000000000175890085520888,"PASS","Recovered SFC span."
1957,"ME",20136,727860.077101958,2.76646578559073,2.76646578559073,2.76646578559073,2.76646578559073,0.0000000000000035527136788005,0.00000000000000128420662106323,0.0000000000000035527136788005,0.00000000000000128420662106323,"PASS","Recovered SFC span."
1958,"ME",17088,583375.549862805,2.92915944180702,2.92915944180703,2.92915944180703,2.92915944180703,-0.00000000000000532907051820075,-0.00000000000000181931732432878,-0.00000000000000532907051820075,-0.00000000000000181931732432878,"PASS","Recovered SFC span."
1959,"ME",19106,607522.836207516,3.14490235778953,3.14490235778953,3.14490235778953,3.14490235778953,0.000000000000000444089209850063,0.000000000000000141209220295857,0.000000000000000444089209850063,0.000000000000000141209220295857,"PASS","Recovered SFC span."
1960,"ME",20871,629191.930431859,3.31711183671328,3.31711183671328,3.31711183671328,3.31711183671328,0.00000000000000310862446895044,0.000000000000000937147923245959,0.00000000000000310862446895044,0.000000000000000937147923245959,"PASS","Recovered SFC span."
1961,"ME",20399,587212.198688362,3.47387197431603,3.47387197431603,3.47387197431603,3.47387197431603,0.00000000000000488498130835069,0.00000000000000140620648788086,0.00000000000000488498130835069,0.00000000000000140620648788086,"PASS","Recovered SFC span."
1962,"ME",22774,617635.367229758,3.68728884522057,3.68728884522057,3.68728884522057,3.68728884522057,0.00000000000000488498130835069,0.00000000000000132481655585039,0.00000000000000488498130835069,0.00000000000000132481655585039,"PASS","Recovered SFC span."
1963,"ME",24515,629408.971871452,3.89492382466497,3.89492382466497,3.89492382466497,3.89492382466497,-0.00000000000000399680288865056,-0.00000000000000102615688228366,-0.00000000000000399680288865056,-0.00000000000000102615688228366,"PASS","Recovered SFC span."
1964,"ME",27685,671692.288041208,4.12167900285637,4.12167900285637,4.12167900285637,4.12167900285637,0,0,0,0,"PASS","Recovered SFC span."
1965,"ME",33400,770523.220436779,4.33471686694489,4.33471686694489,4.33471686694489,4.33471686694489,-0.00000000000000177635683940025,-0.000000000000000409797662437,-0.00000000000000177635683940025,-0.000000000000000409797662437,"PASS","Recovered SFC span."
1966,"ME",39291,842107.997753453,4.66579109862621,4.66579109862621,4.66579109862621,4.66579109862621,-0.00000000000000177635683940025,-0.000000000000000380719325372985,-0.00000000000000177635683940025,-0.000000000000000380719325372985,"PASS","Recovered SFC span."
1967,"ME",39600,786408.187698791,5.03555286166063,5.03555286166064,5.03555286166064,5.03555286166064,-0.00000000000000621724893790088,-0.00000000000000123467057316335,-0.00000000000000621724893790088,-0.00000000000000123467057316335,"PASS","Recovered SFC span."
1968,"ME",43575,796975.867116018,5.46754322156365,5.46754322156365,5.46754322156365,5.46754322156365,0.00000000000000444089209850063,0.000000000000000812228073659486,0.00000000000000444089209850063,0.000000000000000812228073659486,"PASS","Recovered SFC span."
