"p","q_tag","r","best_BIC","best_AIC"
4,"E_only",0,-874.709864804436,-911.484787625458
4,"E_only",1,-781.590154863508,-830.623385291537
4,"E_only",2,-787.540451544771,-844.745887044139
4,"E_short",0,-814.064095786918,-881.484787625458
4,"E_short",1,-793.72323404819,-873.402233493737
4,"E_short",2,-789.849903770987,-877.701108287873
4,"K_only",0,-874.709864804436,-911.484787625458
4,"K_only",1,-786.879405282558,-835.912635710587
4,"K_only",2,-776.902496014537,-834.107931513904
4,"K_short",0,-814.064095786918,-881.484787625458
4,"K_short",1,-784.220042392207,-863.899041837755
4,"K_short",2,-777.071970891966,-864.923175408851
4,"Y_only",0,-874.709864804436,-911.484787625458
4,"Y_only",1,-801.805249045178,-850.838479473207
4,"Y_only",2,-788.681107465994,-845.886542965361
4,"Y_short",0,-814.064095786918,-881.484787625458
4,"Y_short",1,-786.962012103666,-866.641011549214
4,"Y_short",2,-788.885957662113,-876.737162178998
4,"sym",0,-777.676634376407,-863.484787625458
4,"sym",1,-764.768026543006,-862.834487399064
4,"sym",2,-761.226974918594,-867.465640845991
5,"E_only",0,-851.075591314791,-893.979667939316
5,"E_only",1,-770.098583551546,-825.260967783078
5,"E_only",2,-766.576752785076,-829.911342087947
5,"E_short",0,-778.300668493769,-857.979667939316
5,"E_short",1,-759.936498167451,-851.873805220005
5,"E_short",2,-750.067655568228,-850.177167692121
5,"K_only",0,-851.075591314791,-893.979667939316
5,"K_only",1,-765.221186347947,-820.38357057948
5,"K_only",2,-751.748959055561,-815.083548358432
5,"K_short",0,-778.300668493769,-857.979667939316
5,"K_short",1,-752.126172225364,-844.063479277919
5,"K_short",2,-741.390979912472,-841.500492036365
5,"Y_only",0,-851.075591314791,-893.979667939316
5,"Y_only",1,-776.595906388634,-831.758290620167
5,"Y_only",2,-761.819853869192,-825.154443172063
5,"Y_short",0,-778.300668493769,-857.979667939316
5,"Y_short",1,-754.775888286576,-846.713195339131
5,"Y_short",2,-754.891264505268,-855.000776629161
5,"sym",0,-729.784053279754,-833.979667939316
5,"sym",1,-717.220954132455,-833.674876399024
5,"sym",2,-715.091329616893,-839.7174569548
6,"E_only",0,-825.995705012174,-875.028935440203
6,"E_only",1,-708.617653702166,-769.909191737202
6,"E_only",2,-738.093313719487,-807.557056825862
6,"E_short",0,-741.091628387649,-833.028935440203
6,"E_short",1,-711.894075800412,-816.089690459974
6,"E_short",2,-710.916635038837,-823.284454769737
6,"K_only",0,-825.995705012174,-875.028935440203
6,"K_only",1,-732.05982416695,-793.351362201987
6,"K_only",2,-723.879489309946,-793.343232416321
6,"K_short",0,-741.091628387649,-833.028935440203
6,"K_short",1,-708.783268836778,-812.97888349634
6,"K_short",2,-703.647813479378,-816.015633210278
6,"Y_only",0,-825.995705012174,-875.028935440203
6,"Y_only",1,-743.072259402303,-804.363797437339
6,"Y_only",2,-733.982866697134,-803.446609803509
6,"Y_short",0,-741.091628387649,-833.028935440203
6,"Y_short",1,-704.348257345393,-808.543872004955
6,"Y_short",2,-718.044315757906,-830.412135488806
6,"sym",0,-680.44585937013,-803.028935440203
6,"sym",1,-665.599621672822,-800.441005349902
6,"sym",2,-669.293589144686,-812.307177893105
7,"E_only",0,-820.824033947295,-875.986418178828
7,"E_only",1,-628.187357714504,-695.608049553044
7,"E_only",2,-701.890087661294,-777.482984571172
7,"E_short",0,-723.790803519266,-827.986418178828
7,"E_short",1,-695.507418441901,-811.96134070847
7,"E_short",2,-691.720931625247,-816.347058963155
7,"K_only",0,-820.824033947295,-875.986418178828
7,"K_only",1,-711.617143333117,-779.037835171657
7,"K_only",2,-699.472121515147,-775.065018425025
7,"K_short",0,-723.790803519266,-827.986418178828
7,"K_short",1,-675.790396684043,-792.244318950613
7,"K_short",2,-668.841252797604,-793.467380135512
7,"Y_only",0,-820.824033947295,-875.986418178828
7,"Y_only",1,-718.742797269356,-786.163489107896
7,"Y_only",2,-710.975335142756,-786.568232052635
7,"Y_short",0,-723.790803519266,-827.986418178828
7,"Y_short",1,-705.453494309779,-821.907416576349
7,"Y_short",2,-705.489988313867,-830.116115651775
7,"sym",0,-651.015880698244,-791.986418178828
7,"sym",1,-654.34036175015,-807.569206837741
7,"sym",2,-656.639776435831,-818.040826594761
