"year","NFC_NET_INT","FIN_NET_INT_IMPLIED","full_attribution_transfer_proxy","matched_position_transfer_proxy","matched_proxy_valid","matched_proxy_reason"
1991,156685,-73295,156685,73295,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1992,131318,-71834,131318,71834,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1993,117538,-60895,117538,60895,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1994,116971,-67916,116971,67916,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1995,126463,-75929,126463,75929,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1996,119960,-73547,119960,73547,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1997,127945,-65034,127945,65034,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1998,148275,-52300,148275,52300,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
1999,158279,-62950,158279,62950,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2000,196220,-60413,196220,60413,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2001,224069,-96481,224069,96481,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2002,200347,-121864,200347,121864,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2003,174198,-115400,174198,115400,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2004,162335,-164931,162335,162335,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2005,174978,-150693,174978,150693,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2006,183070,-111738,183070,111738,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2007,261873,-148477,261873,148477,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2008,325645,-149132,325645,149132,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2009,301527,-184212,301527,184212,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2010,303977,-210756,303977,210756,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2011,301801,-206686,301801,206686,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2012,307917,-157327,307917,157327,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2013,301337,-172912,301337,172912,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2014,310655,-154552,310655,154552,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2015,324537,-106078,324537,106078,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2016,343885,-112312,343885,112312,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2017,351963,-83125,351963,83125,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2018,358281,-56098,358281,56098,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2019,372810,-108169,372810,108169,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2020,324369,-35390,324369,35390,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2021,326392,-76154,326392,76154,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2022,307810,-66842,307810,66842,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2023,218873,-50861,218873,50861,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2024,199330,-111105,199330,111105,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
2025,201022,-157199,201022,157199,TRUE,"NFC net-payment and implied-finance net-receipt positions overlap."
