"year","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS"
1965,82991,0.214648365262507,0.195836489474417,-500,84228,0.217847748663475,0.198755477527096,737
1966,89605,0.211217971383448,0.192661635382399,-1259,91926,0.21668906017962,0.197652067341805,1062
1967,87675,0.196547225136524,0.178501624685446,-1689,91716,0.205606219567966,0.186728885197039,2352
1968,93942,0.190892853151372,0.173289234123639,-2506,98208,0.19956148817664,0.181158471235596,1760
1969,91055,0.170212487545542,0.154159887446606,-3841,99546,0.186085028666284,0.168535502232275,4650
1970,77497,0.140820936068454,0.126602812814988,-7399,89956,0.163460367820353,0.146956432243636,5060
1971,89932,0.151578791239537,0.136070519667979,-7727,102574,0.172886658059471,0.15519834413138,4915
1972,104026,0.157743736561015,0.14193712119765,-8146,116460,0.176598499989385,0.158902554502512,4288
1973,114306,0.154838342625855,0.139362210561223,-11177,129050,0.174810492151476,0.157338138618497,3567
1974,107451,0.135407333476994,0.12078859775242,-13842,130527,0.164487189665536,0.146728958304996,9234
1975,127359,0.149477306523604,0.131903743481661,-13982,154598,0.181446875634515,0.160114753843684,13257
1976,158104,0.164301450721204,0.14540866065549,-11618,180811,0.187898532651619,0.166292347706446,11089
1977,187308,0.171517577282629,0.151971693742652,-9576,214980,0.196856774746512,0.174423274610777,18096
1978,217615,0.174424942329919,0.154678048745815,-3939,248223,0.198958171357487,0.176433836334042,26669
1979,217888,0.157775182240734,0.139282963266011,-8837,254014,0.183934430265539,0.162376186990805,27289
1980,201569,0.135254611006024,0.118404164520163,-21872,259716,0.174271770718912,0.152560443285023,36275
1981,242366,0.143390622688951,0.125245332354932,-31116,315280,0.186528620026623,0.162924454687799,41798
1982,226217,0.12955966197893,0.112068226685789,-38589,309630,0.177332199341941,0.153391146680934,44824
1983,273503,0.144973067638868,0.125895876276322,-29652,356159,0.188785727385775,0.163943172099386,53004
1984,340925,0.159937868530298,0.140023090410333,-32913,434916,0.204031790070318,0.178626625764906,61078
1985,352556,0.154994946428626,0.135520641416294,-30966,449649,0.19768014915839,0.172842671496714,66127
1986,306758,0.13015294640766,0.11332982608066,-57536,407309,0.172815269523069,0.15047776465842,43015
1987,326934,0.12953827123024,0.112925382011811,-77978,422051,0.167225669128919,0.145779485778374,17139
1988,352790,0.128629614599729,0.112262799133312,-103771,455540,0.16609295794881,0.144959311537143,-1021
1989,346560,0.119792644242186,0.10438092048334,-110515,467466,0.161585261522731,0.140796777973987,10391
1990,323573,0.107404883479545,0.0933203742932252,-133449,439591,0.145915203473889,0.12678065430655,-17431
1991,332628,0.108169280103959,0.093574220249996,-118203,416018,0.135287370787452,0.117033322390066,-34813
1992,370322,0.114014797336344,0.0989540036848357,-78748,429806,0.132328740890211,0.114848765419728,-19264
1993,424641,0.124832913197175,0.108358215125152,-64114,481284,0.141484415765762,0.122812152402368,-7471
1994,520408,0.142090882705561,0.123609855858017,-64403,569463,0.155484735703826,0.135261639610602,-15348
1995,584699,0.150548019416016,0.130681421973648,-52727,635233,0.163559489613791,0.141975874295298,-2193
1996,671800,0.162118868025154,0.14083252187275,-31008,718213,0.173319259542944,0.150562292396239,15405
1997,751646,0.168037007013931,0.146144953077431,-11645,814557,0.182101308757376,0.158376941464323,51266
1998,732928,0.153994005199752,0.133881674967659,-11417,828903,0.174159116437208,0.151413129291987,84558
1999,735933,0.146238128744588,0.126839928087623,-18664,831262,0.165181068625111,0.143270124185182,76665
2000,692740,0.128819978942209,0.111441252600065,-33399,828547,0.154074266092084,0.133288557782178,102408
2001,606719,0.114173498765245,0.0978169936347589,-58166,734307,0.138183243573731,0.118387100362703,69422
2002,713335,0.132492798506971,0.113254023948407,-17710,791818,0.147070005997452,0.125714530669012,60773
2003,853062,0.152539272431612,0.130738473091748,22935,911860,0.163053167248676,0.139749729882988,81733
2004,1015084,0.169548190627884,0.14584523466065,26471,1015084,0.169548190627884,0.14584523466065,26471
2005,1209131,0.187655208109427,0.161531203338538,51621,1233416,0.191424201484783,0.164775504636806,75906
2006,1391190,0.201329577817003,0.173263824714334,93354,1462522,0.211652568526282,0.182147769498672,164686
2007,1177911,0.168025426535816,0.143660682466633,-93857,1291307,0.18420102152343,0.157490714403669,19539
2008,901115,0.131510335524552,0.111128198196821,-316130,1077628,0.157270958590915,0.132896309534791,-139617
2009,989225,0.150941959614128,0.126542453011812,-96795,1106540,0.168842594952025,0.141549481620148,20520
2010,1276595,0.18325352505312,0.154983154044583,-82288,1369816,0.196635276398674,0.166300513585542,10933
2011,1350034,0.184974502249576,0.156561549637343,-93993,1445149,0.198006655351993,0.167591902794194,1122
2012,1548199,0.198947052576052,0.168759539193071,-24516,1698789,0.218298206172862,0.185174418034283,126074
2013,1574522,0.196588018823742,0.16649379540382,-59984,1702947,0.21262260984085,0.180073768039792,68441
2014,1750401,0.205393042784013,0.174229722713714,38968,1906504,0.223710257043895,0.189767752230824,195071
2015,1793073,0.201417005867702,0.170939568792224,54075,2011532,0.225956641278448,0.191765986488983,272534
2016,1749155,0.19318122957295,0.163711356686544,77361,1980728,0.218756754255381,0.185385324975216,308934
2017,1754696,0.186206450120392,0.157616348877716,46164,2023534,0.214735249204373,0.181764841835806,315002
2018,1915680,0.191514682312444,0.162396009138082,80539,2217863,0.221724571879189,0.188012663918302,382722
2019,1966361,0.188335675922888,0.159444725002668,104499,2231002,0.213682670504204,0.180903455861056,369140
2020,2056355,0.203054795383552,0.170012802498823,143777,2345334,0.231590029676825,0.193904654661172,432756
2021,2773697,0.236087951091941,0.200718453728836,217754,3023935,0.25738738527864,0.218826914899683,467992
2022,3042925,0.233448098827928,0.198590669806778,306219,3283893,0.251934759353037,0.214316984626236,547187
2023,3304475,0.241580354678759,0.204916889124148,426739,3472487,0.253863213090545,0.215335638358301,594751
2024,3484343,0.242342531636185,0.205431682736694,526582,3572568,0.248478744360822,0.210633297563203,614807
2025,3636892,0.240180616960901,0.203347875253528,603825,3680715,0.243074691125621,0.205798130564172,647648
