"year","CORP_NOS","NFC_NOS","FIN_NOS_IMPLIED","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","CORP_NOS_CLEAN_FULL","FIN_NOS_RESIDUAL_FULL","MATCHED_TRANSFER","CORP_NOS_CLEAN_MATCHED","FIN_NOS_RESIDUAL_MATCHED","full_reconciliation_error","matched_reconciliation_error"
2011,1651835,1444027,207808,1142226,1350034,-93993,206686,1445149,1122,0,0
2012,1856116,1572715,283401,1264798,1548199,-24516,157327,1698789,126074,0,0
2013,1875859,1634506,241353,1333169,1574522,-59984,172912,1702947,68441,0,0
2014,2061056,1711433,349623,1400778,1750401,38968,154552,1906504,195071,0,0
2015,2117610,1738998,378612,1414461,1793073,54075,106078,2011532,272534,0,0
2016,2093040,1671794,421246,1327909,1749155,77361,112312,1980728,308934,0,0
2017,2106659,1708532,398127,1356569,1754696,46164,83125,2023534,315002,0,0
2018,2273961,1835141,438820,1476860,1915680,80539,56098,2217863,382722,0,0
2019,2339171,1861862,477309,1489052,1966361,104499,108169,2231002,369140,0,0
2020,2380724,1912578,468146,1588209,2056355,143777,35390,2345334,432756,0,0
2021,3100089,2555943,544146,2229551,2773697,217754,76154,3023935,467992,0,0
2022,3350735,2736706,614029,2428896,3042925,306219,66842,3283893,547187,0,0
2023,3523348,2877736,645612,2658863,3304475,426739,50861,3472487,594751,0,0
2024,3683673,2957761,725912,2758431,3484343,526582,111105,3572568,614807,0,0
2025,3837914,3033067,804847,2832045,3636892,603825,157199,3680715,647648,0,0
