swing_id,component_family,n_years,total_abs_motion,total_signed_contribution,total_offsetting_abs,total_reinforcing_abs,mean_share_total_motion,mean_share_offsetting,motion_rank,offsetting_rank,net_rank
5,utilization_realization,8,0.2231463986001927,-0.10026979787560465,0.08183723842089553,0.14130916017929718,0.0856083447431138,0.12938724139407318,5,4,5
5,wedge,8,0.3185101093002771,-0.3185101093002771,0.19662405157319185,0.12188605772708527,0.14524444027871658,0.3807862007661714,3,1,2
6,distribution,3,0.2130815508007987,-0.05101792294377672,0,0.2130815508007987,0.29077074145876974,0,1,4,4
6,productive_capacity,3,0.13118574048457532,0.13118574048457532,0.08711218999479975,0.04407355048977557,0.22091579399912026,0.4860387957658222,3,1,1
6,relative_prices,3,0.13500067832874732,-0.058826024678346786,0,0.13500067832874732,0.17793770145742224,0,2,4,3
6,utilization_realization,3,0.08562632935032605,0.0054006747425388996,0.05509711737487784,0.03052921197544821,0.1323716251461811,0.2515601097654905,5,2,5
6,wedge,3,0.1057285124167997,-0.1057285124167997,0.03545286588161467,0.07027564653518503,0.1780041379385066,0.26240109446868726,4,3,2
7,distribution,2,0.7308294312628895,0.03873950940492088,0,0.7308294312628895,0.7048150986987132,0,1,4,4
7,productive_capacity,2,0.041057304922647475,0.041057304922647475,0.021289632182849516,0.01976767273979796,0.03952602499995066,0.5,4,2,3
7,relative_prices,2,0.12071653909400232,-0.09966156650212771,0,0.12071653909400232,0.11441727115153395,0,2,4,2
7,utilization_realization,2,0.1124115393980211,-0.1124115393980211,0.07793528330361006,0.03447625609441103,0.10911813931845765,0.4148187246679566,3,1,1
7,wedge,2,0.03337043480624935,-0.03337043480624935,0.0160036816816298,0.01736675312461955,0.03212346583134443,0.0851812753320434,5,3,5
8,distribution,2,0.46290734055298255,0.10882883290764889,0,0.46290734055298255,0.4670892814659223,0,1,5,3
8,productive_capacity,2,0.039550068631346136,0.039550068631346136,0.01975826086938781,0.019791807761958324,0.04076521487823993,0.5,4,4,4
8,relative_prices,2,0.27187796059288716,-0.27187796059288716,0.119673758168137,0.15220420242475013,0.28326468449889713,0.26328482419462246,2,1,1
8,utilization_realization,2,0.16998806782241266,-0.16998806782241266,0.0853155861054802,0.08467248171693245,0.17516462709599775,0.18769611176816114,3,2,2
8,wedge,2,0.03368569224906537,-0.03368569224906537,0.022281176414793435,0.011404515834271933,0.03371619206094285,0.04901906403721641,5,3,5
9,distribution,3,0.16349513926975057,0.0888844183583195,0.03730536045571553,0.12618977881403504,0.24720986359885827,0.24367819996102116,2,2,3
9,productive_capacity,3,0.05102044288234353,0.05102044288234353,0,0.05102044288234353,0.07982147447157041,0,4,4,4
9,relative_prices,3,0.18722058409286513,0.14075516599156201,0.023232709050651557,0.16398787504221357,0.3537968869980892,0.16451373532595573,1,3,2
9,utilization_realization,3,0.1540688242705671,0.1540688242705671,0,0.1540688242705671,0.2510267728150192,0,3,4,1
9,wedge,3,0.043461612640101066,-0.043461612640101066,0.043461612640101066,0,0.0681450021164629,0.591808064713023,5,1,5
