year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained,ME_share_repaired,ME_NRC_ratio_repaired,log_ME_NRC_ratio_repaired,d_k_Kcap,d_k_NRC,Q_MEshare_Kcap,Q_omega_MEshare_Kcap,Q_MEshare_NRC,Q_omega_MEshare_NRC,Q_ME_NRC_ratio_Kcap,Q_omega_ME_NRC_ratio_Kcap,Q_ME_NRC_ratio_NRC,Q_omega_ME_NRC_ratio_NRC,Q_log_ME_NRC_ratio_Kcap,Q_omega_log_ME_NRC_ratio_Kcap,Q_log_ME_NRC_ratio_NRC,Q_omega_log_ME_NRC_ratio_NRC
1939,12.94844560964936,51.3096743735124,266013.433314059,266064.742988433,3.937879318675938,12.491302087669368,12.49149495284151,0.1483319578080584,0.0786660577863695,0.0786790354066475,0.0001928465748494,0.9998071534251504,0.630537992484756,0.630053039748114,0.788533039522304,0.00021570455365147053,-3.481300547227683e-07,1.297520177822819e-05,0.00019284657484942733,0.00019288377182416768,-8.553422768993428,0.07867903540664756,0.07866605778636959,0.00021570455365147053,0.00013894574748580084,0.00021570658815444892,0.00013894726621523247,0.00021574282257607878,0.00013897043693048803,0.00021574485767183752,0.00013897195608273636,-10.602595685116098,-6.819017112319676,-10.602627038864668,-6.819046276510855
1940,13.069224169840544,60.688337892049,295300.266520473,295360.954858365,4.105751552622333,12.595747970272999,12.595953463154228,0.1678722339463951,0.1044458826036311,0.1044585103127175,0.0002054717690127,0.9997945282309872,0.607110693449235,0.607263654006099,0.8543980989128331,0.0002358490195791517,1.0072401940378727e-06,1.2625194163342084e-05,0.0002054717690127694,0.0002055139963371537,-8.489996417650666,0.10445851031271758,0.10444588260363119,0.0002358490195791517,0.00015164759859151848,0.00023584861887168457,0.00015164758182824453,0.00023589117404432947,0.0001516747380171561,0.00023589077345993013,0.00015167472138052722,-11.496073485640032,-7.382388810991732,-11.495996829254182,-7.382349870689587
1941,13.254517321782451,70.395986360145,337681.083922172,337751.479908532,4.2541362496089965,12.729857190360528,12.730065637481335,0.1483846969866631,0.1341092200875291,0.1341121743271074,0.0002084253972157,0.9997915746027842,0.594511097780444,0.594639411049961,0.935819034068548,0.0002634052852842914,2.7004324345855854e-06,2.9536282029858705e-06,0.00020842539721575528,0.0002084688474180855,-8.47572094075153,0.13411217432710743,0.13410922008752912,0.0002634052852842914,0.00016837730217263722,0.000263404277563992,0.00016837691688538172,0.00026345310294775836,0.00016840787978651532,0.00026345209522577714,0.0001684074945501681,-12.634685365240516,-8.073652258785518,-12.634583627371228,-8.073598091246572
1942,13.381110338079226,74.4882937974273,352064.125909297,352138.614203094,4.31064198280339,12.771568613866908,12.771780167414862,0.0565057331943936,0.0417114235063795,0.041714529933527,0.0002115311720811,0.9997884688279188,0.604405412159509,0.604140469603786,0.9606187850527244,0.0002720996527553553,2.8236416466715494e-06,3.105774865436861e-06,0.00021153117208119214,0.00021157592698501144,-8.460926631063518,0.04171452993352709,0.041711423506379575,0.0002720996527553553,0.000173546200122366,0.00027209799757674377,0.0001735454299139586,0.000272149282923588,0.0001735778552904421,0.00027214762760831973,0.0001735770850526989,-12.988246080131718,-8.283848027527526,-12.988118013052805,-8.28377820698126
1943,13.48757993765138,77.7312618111732,349583.290621392,349661.021883204,4.353257516368742,12.764497125915867,12.764719455252672,0.0426155335653515,-0.0070714879510411,-0.0070607121621897,0.0002223046234679,0.999777695376532,0.621900080256822,0.619827602868132,0.9563512524081964,0.00027060609203595937,2.8017126643061363e-06,1.0773451386783854e-05,0.000222304623467976,0.00022235405380218305,-8.411239609547124,-0.007060712162189731,-0.007071487951041178,0.00027060609203595937,0.00017264348394017425,0.000270602157442102,0.0001726413360408557,0.00027065540620269834,0.0001726749481152373,0.0002706514709899149,0.0001726727998950967,-12.928505912564374,-8.247740746926507,-12.928286672326596,-8.24761582082958
1944,13.504730434266516,80.4073418592451,346320.399251678,346400.806593537,4.387105488673086,12.755119634955571,12.755351784170989,0.0338479723043443,-0.0093774909602952,-0.0093676710816836,0.0002321222708744,0.9997678777291256,0.627959009724536,0.62530531575709,0.950525497010678,0.00026852361544337384,2.7007905153002364e-06,9.817647406508846e-06,0.00023212227087448484,0.0002321761641329463,-8.368014146282485,-0.009367671081683682,-0.009377490960295276,0.00026852361544337384,0.00017134839158011234,0.0002685174978450992,0.0001713448860701715,0.0002685724665630005,0.00017137956778613908,0.0002685663478603999,0.000171376061653506,-12.849712186512907,-8.198738922371366,-12.84941034892319,-8.198562628974638
1945,13.428879961620815,84.1568751894496,348720.378718208,348804.535593398,4.432682618897158,12.76202567293545,12.762266974353857,0.0455771302240721,0.0069060379798795,0.0069151901828679,0.0002412723075583,0.9997587276924416,0.638440192180252,0.63547276857004,0.9548679529899684,0.0002701287850921501,2.7686814142645847e-06,9.150036683899468e-06,0.0002412723075583843,0.00024133053393319065,-8.329343054038294,0.006915190182867903,0.006906037979879542,0.0002701287850921501,0.00017235637232319775,0.0002701205430637343,0.00017235153275820924,0.00027017800889390855,0.00017238778255832695,0.0002701697652679248,0.0001723829420609104,-12.90757859578738,-8.235076655435678,-12.907200172433585,-8.234852269318383
1946,13.397830652031807,98.1300746469518,383743.749378331,383841.879452978,4.586293890912618,12.857730289485954,12.857985974510518,0.1536112720154596,0.0957046165505026,0.0957190001566612,0.0002556523399343,0.9997443476600656,0.663415069811751,0.660202066025877,1.0159788098452889,0.0002932231291371291,3.6445137770442137e-06,1.4380032375963816e-05,0.0002556523399343481,0.00025571771476649087,-8.271436398573336,0.09571900015666124,0.09570461655050266,0.0002932231291371291,0.000187100729773551,0.0002932114167428644,0.000187093674587523,0.00029327792630926675,0.0001871356982723362,0.00029326621147992887,0.00018712864161918313,-13.704854984881756,-8.74408994650987,-13.704356755537912,-8.743789071433262
1947,13.46439726220545,115.768902979168,413306.628612868,413422.397515847,4.751595988308251,12.931945038631236,12.93222510356201,0.1653020973956334,0.0742147491452822,0.0742391290514916,0.0002800257162524,0.9997199742837476,0.644483720777999,0.644188764185941,1.0652301668277475,0.000312202536193831,4.71207485636802e-06,2.437337631807236e-05,0.0002800257162524205,0.0002801041526183827,-8.180349050322986,0.07423912905149166,0.07421474914528225,0.000312202536193831,0.00019969195443105852,0.00031218459101949644,0.00019968076432480536,0.0003122621867365688,0.00019973014272903924,0.0003122442375333288,0.0001997189500982887,-14.318919219116648,-9.151469413333711,-14.31821933292919,-9.151034756068118
1948,13.539171904972918,135.530662312505,444500.973896121,444636.504558433,4.9091979048491945,13.004707524926093,13.00501238366087,0.1576019165409432,0.0727624862948577,0.0727872800988613,0.0003048122700746,0.9996951877299254,0.624581372598025,0.623778780389284,1.1121403839311723,0.0003325848464375802,6.486146625386508e-06,2.478655382221021e-05,0.0003048122700746307,0.00030490520892352026,-8.0955096200769,0.07278728009886137,0.07276248629485771,0.0003325848464375802,0.00021282802157500153,0.0003325599583605209,0.00021281235688096732,0.00033265020615005724,0.00021286988933993833,0.00033262531209935663,0.00021285422086805614,-14.914344576748961,-9.535211363266155,-14.913441868590468,-9.534645990542014
1949,13.530015425747829,160.673380093393,474206.67241494,474367.345795034,5.079373609323179,13.069398523402132,13.069737291655418,0.1701757044739844,0.0646909984760384,0.0647249079945471,0.0003387108777989,0.999661289122201,0.622946489496739,0.620869516577869,1.1525663558076875,0.00035231379257376973,8.090454041030953e-06,3.389860772431757e-05,0.00033871087779894826,0.00033882564172947924,-7.990024914078954,0.06472490799454711,0.06469099847603843,0.00035231379257376973,0.00022515035383265528,0.00035227856845939667,0.00022512823344224842,0.00035238516774469024,0.00022519597874088353,0.0003523499345051643,0.0002251738526042532,-15.43832569207741,-9.86248020749344,-15.437148469085617,-9.86174337791792
1950,13.65173907964876,191.075648248835,499390.023001601,499581.09864985,5.252669413763962,13.121142678657884,13.1215252235512,0.1732958044407828,0.0517441552557524,0.0517879318957827,0.0003824717323478,0.9996175282676522,0.609475288313768,0.608547071813662,1.1848274661804616,0.0003698549284455825,9.845992829219768e-06,4.376085454887128e-05,0.00038247173234781954,0.0003826180729450064,-7.868473264893923,0.05178793189578279,0.05174415525575249,0.0003698549284455825,0.00023607754284578634,0.00036980487670703764,0.00023604618563895412,0.0003699322470031214,0.00023612687016584427,0.00036988218111544445,0.00023609550408311831,-15.852112558173339,-10.120247283127757,-15.850585558737048,-10.119292561544027
1951,13.706033804433458,223.385955819529,537159.144672408,537382.530628227,5.408901019034664,13.194049688379465,13.194465467430518,0.156231605270702,0.0729070097215807,0.0729402438793176,0.0004156926269232,0.9995843073730768,0.618138626346099,0.61656915566416,1.2292827423484851,0.00039775250987997756,1.3037920232381786e-05,3.322089457546252e-05,0.00041569262692328206,0.00041586549914506845,-7.785148669344801,0.07294024387931763,0.0729070097215807,0.00039775250987997756,0.0002530804293337711,0.00039768974701554996,0.0002530413250098267,0.00039784050255636474,0.00025313626226549155,0.0003977777206792985,0.0002530971461014664,-16.42604091707259,-10.470042435139327,-16.42425241555467,-10.468928334499
1952,13.74332258758078,256.192001218301,568759.0512566,569015.243257818,5.54592716812553,13.251212163417986,13.251662502306433,0.1370261490908664,0.0571624750385204,0.0571970348759141,0.0004502375011107,0.9995497624988892,0.63357057934292,0.630758818009814,1.2646384389177527,0.0004215288955597689,1.493805689802358e-05,3.4544874187424665e-05,0.00045023750111070673,0.00045044030622858267,-7.7052849952924545,0.0571970348759141,0.057162475038520455,0.0004215288955597689,0.00026777753171735235,0.0004214517664257491,0.00026772954704725653,0.00042162677601465464,0.0002678394766668915,0.0004215496218935603,0.00026779147646368537,-16.871328337027283,-10.745291789239317,-16.869270782037262,-10.744011376255335
1953,13.814745265202456,304.949333183403,612588.054654126,612893.00398731,5.720145642097684,13.325447973768766,13.325945654801579,0.1742184739721537,0.07423581035078,0.0742831524951466,0.0004975572101484,0.9995024427898516,0.644071883964771,0.640512658711947,1.3117020588795212,0.00045497395651380925,1.75041590552137e-05,4.731970903770164e-05,0.0004975572101484084,0.0004978048965639408,-7.605302331671083,0.07428315249514661,0.07423581035078008,0.00045497395651380925,0.000288967338362163,0.0004548755121710126,0.00028890584900289365,0.000455086901972193,0.0002890388280546962,0.0004549884230410927,0.00028897731707926014,-17.443701197351157,-11.107930393954879,-17.441278857646505,-11.106418864107912
1954,13.804742793102942,356.913269698581,661175.204736257,661532.118005955,5.877492810243664,13.401774143826962,13.402313814655459,0.1573471681459803,0.0763261700581967,0.0763681598538799,0.0005395252323869,0.999460474767613,0.642039314043351,0.639122132791917,1.3608886434715324,0.0004929714850748734,2.1117878159243983e-05,4.196802223852133e-05,0.0005395252323869297,0.0005398164769971279,-7.524281333583299,0.0763681598538799,0.07632617005819675,0.0004929714850748734,0.00031344047816849276,0.000492852148406482,0.0003133655326497172,0.0004931033458890322,0.00031352415070985587,0.000492983964232035,0.00031344917687637145,-18.0245041415533,-11.482009240439439,-18.02176245675763,-11.480292029398067
1955,13.917890235334688,426.252028320819,722052.935677697,722479.187706018,6.05503078711032,13.489853733300475,13.490443892610598,0.177537976866656,0.0880795894735122,0.0881300779551388,0.0005899852003685,0.9994100147996317,0.622858846487424,0.620572321079935,1.4174716182684368,0.0005405198858638979,2.4816523230747867e-05,5.045996798158832e-05,0.000589985200368518,0.00059033348838995,-7.434822946190155,0.08813007795513883,0.08807958947351224,0.0005405198858638979,0.0003439684207949364,0.0005403733093857241,0.0003438759862473734,0.0005406774140882575,0.0003440685728227381,0.0005405307779169798,0.00034397610051960036,-18.687619642038392,-11.9077554615024,-18.684498067702858,-11.905794346441443
1956,13.951835295565536,493.895186465906,785782.233501748,786276.128688214,6.202323321530077,13.574434976410517,13.575063318480499,0.1472925344197566,0.0845812431100423,0.0846194258699011,0.0006281447044435,0.9993718552955564,0.635535528362412,0.632565896030042,1.4701775762561915,0.0005904440947908205,2.9086416750763465e-05,3.815950407506919e-05,0.0006281447044435872,0.0006285395182134866,-7.37211165488044,0.08461942586990112,0.08458124311004234,0.0005904440947908205,0.0003750641559789565,0.0005902749910494207,0.00037495769012620616,0.000590631094947591,0.00037518266486058347,0.0005904619182144895,0.000375076152969109,-19.31675009118937,-12.299614927350694,-19.31334463479469,-12.297476993837837
1957,13.965258990676592,573.023439240968,837883.849044663,838456.872483904,6.350926622057805,13.63863476489903,13.639318424794897,0.1486033005277276,0.0641997884885121,0.0642551063143983,0.0006834262536884,0.9993165737463116,0.638957571161781,0.636319512651866,1.5110139791976955,0.0006308055995556695,3.153835974201175e-05,5.528154924481392e-05,0.0006834262536884011,0.0006838936445598239,-7.2877081428412245,0.06425510631439835,0.06419978848851216,0.0006308055995556695,0.00040071532623518687,0.000630601748214878,0.00040058677704849773,0.0006310179685131993,0.00040084995789100826,0.0006308140223404667,0.000400721348785347,-19.79044590933533,-12.60066544941915,-19.78663264375171,-12.59826833867793
1958,13.926631450747108,654.769049903866,882814.293672726,883469.06272263,6.484282577892202,13.690870144525809,13.691611553402845,0.1333559558343973,0.0522353796267793,0.0522931286079479,0.0007411341013866,0.9992588658986132,0.640702916019947,0.638462646643123,1.5444270696414806,0.0006665440965338451,3.442920490631741e-05,5.770784769827577e-05,0.0007411341013866769,0.0007416837885348056,-7.206587566633607,0.05229312860794799,0.05223537962677938,0.0006665440965338451,0.00042355070946133465,0.0006663007780231992,0.0004233969424276547,0.0006667809068223244,0.00042370095809061547,0.0006665374664883908,0.0004235471138916381,-20.171542968506113,-12.844170300723812,-20.167308845202193,-12.841504279755823
1959,14.033301409105135,763.655209530614,923746.864487183,924510.519696713,6.638116390875742,13.736193356908268,13.737019708540375,0.1538338129835397,0.0453232123824598,0.0454081551375296,0.0008260102976233,0.9991739897023766,0.628716570650273,0.627209980309345,1.5735202070491818,0.0007001976287873249,3.7049611807253646e-05,8.487619623668782e-05,0.0008260102976233647,0.0008266931546821068,-7.098076966032527,0.045408155137529604,0.04532321238245984,0.0007001976287873249,0.0004451126257105105,0.0006998913563042311,0.00044491852388310816,0.0007004593993551036,0.00044527886646352307,0.0007001529583567812,0.0004450846575551607,-20.498780814744006,-13.053832543040516,-20.493934544037522,-13.05077431744667
1960,14.066641191578196,885.900392347203,969774.776974673,970660.67736702,6.786604520297676,13.784819134833695,13.785732229316602,0.148488129421934,0.0486257779254266,0.0487125207762275,0.0009126777389914,0.9990873222610084,0.638652100649948,0.635886474211265,1.604146576059342,0.000740434672571681,4.118414527984047e-05,8.666744136804575e-05,0.0009126777389914105,0.0009135114805840527,-6.99821461453602,0.048712520776227564,0.04862577792542666,0.000740434672571681,0.0004704103218917157,0.0007400567496005805,0.00047017117221520837,0.0007407297068281209,0.00047059747607699055,0.0007403515561088237,0.0004703581820787747,-20.84454603642313,-13.271220867464745,-20.839084058285405,-13.267775536406207
1961,14.090288985320376,1006.73173475824,1013914.48075591,1014921.21249067,6.914464456788973,13.829329121071554,13.83032154428329,0.1278599364912969,0.044509986237859,0.0445893149666876,0.0009919309226847,0.9990080690773152,0.635335355670866,0.633416361922592,1.632623635729359,0.0007811303477386533,4.50485871203572e-05,7.92531836933851e-05,0.0009919309226847956,0.00099291582659682,-6.9148646642825815,0.04458931496668761,0.04450998623785907,0.0007811303477386533,0.0004964007003244704,0.0007806800232026885,0.0004961153112364722,0.0007814625579615684,0.0004966115970188284,0.0007810119395377462,0.0004963260213688884,-21.156591632075152,-13.470509442626474,-21.150574494467985,-13.466709557806581
1962,14.17163414993644,1177.97682950164,1057082.33597316,1058260.31280266,7.071553694664641,13.871023157725137,13.872136903483486,0.1570892378756685,0.0416940366535829,0.0418153592001964,0.0011131257737351,0.998886874226265,0.628948763920103,0.628060723321923,1.6591904118393208,0.0008226082955725002,4.836258746425524e-05,0.0001211948510503,0.0011131257737351267,0.0011143662034775968,-6.799469463060495,0.04181535920019641,0.041694036653582955,0.0008226082955725002,0.0005227531070639852,0.0008220376274509308,0.0005223912594412241,0.0008229816899062743,0.0005229901694800638,0.0008224106084057966,0.0005226280593784716,-21.445739181832874,-13.654215103993156,-21.43888311523515,-13.649882217924663
1963,14.231417625231522,1348.8447582032,1097406.44429993,1098755.28905813,7.2070037704182575,13.908460175924315,13.90968854167472,0.1354500757536163,0.0374370181991778,0.0375516381912337,0.001227611618015,0.9987723883819848,0.621930029689577,0.623085274875336,1.682808468262872,0.0008644079918891388,5.291365266153774e-05,0.0001144858442798,0.0012276116180150055,0.0012291205006215089,-6.701456405506058,0.03755163819123375,0.037437018199177885,0.0008644079918891388,0.0005490429743945707,0.0008637097373002267,0.0005486008814208815,0.0008648279663918038,0.0005493093333502964,0.0008641291562459362,0.000548866888475069,-21.701070399002063,-13.814805357421934,-21.6934349772685,-13.8099822969041
1964,14.299198256799162,1651.37963359648,1142818.90215222,1144470.28178581,7.409366359096621,13.94900848941217,13.950452451926502,0.2023625886783637,0.0405483134878554,0.0407639102517816,0.0014429205020681,0.998557079497932,0.619047357779893,0.619666202050873,1.7081607681760258,0.0009144502417099469,5.7580543342862165e-05,0.0002153088840531,0.001442920502068161,0.0014450055301732498,-6.539642130315549,0.04076391025178161,0.04054831348785548,0.0009144502417099469,0.0005801657523113592,0.0009134873180288326,0.0005795590536812987,0.0009149317241677639,0.0005804703649114586,0.000913967919619487,0.0005798631120596732,-21.97424796647234,-13.984702690069248,-21.965167732424156,-13.978981057385688
1965,14.379846047706932,2108.22574391432,1184618.66935368,1186726.89509759,7.653601993071035,13.984931482749506,13.98670956716787,0.244235633974414,0.0359229933373352,0.0362571152413675,0.0017765045627797,0.9982234954372204,0.61236559273945,0.61320930583774,1.7306056395669154,0.0009667663766375641,6.538702236446768e-05,0.0003335840607115,0.0017765045627797483,0.0017796661478115601,-6.3313294896784695,0.036257115241367543,0.035922993337335285,0.0009667663766375641,0.000612551917407557,0.0009653213416109316,0.0006116467690228977,0.0009673234561996687,0.0006129033281953215,0.0009658768436523133,0.0006119971943273915,-22.211356524828492,-14.131484116626625,-22.200091253100037,-14.124409842140443
1966,14.451122900904553,2656.04928858402,1219393.83412396,1222049.88341254,7.88459506787294,14.013864435959519,14.01604023900371,0.2309930748019049,0.0289329532100133,0.0293306718358401,0.0021734377005683,0.9978265622994316,0.620003181239775,0.620370250919177,1.748566733811116,0.0010188724489833296,7.517126697886622e-05,0.0003969331377886,0.002173437700568383,0.0021781718213231623,-6.12926936808658,0.02933067183584015,0.028932953210013324,0.0010188724489833296,0.0006444598832848963,0.0010167208650032132,0.0006431220686315375,0.0010195222599584835,0.0006448680795993784,0.0010173678410363898,0.000643528509461237,-22.39705867237483,-14.245201722281827,-22.383275312982082,-14.23658545755053
1967,14.47934375131303,3325.59961016234,1251286.30998354,1254611.9095937,8.109405270715165,14.03968262815839,14.042336847341394,0.2248102028422245,0.0258181921988711,0.0262966083376845,0.002650699857647,0.9973493001423528,0.628388720851657,0.627922601451223,1.7648707146362967,0.001076026488941534,8.560926223954212e-05,0.0004772621570786,0.002650699857647065,0.0026577447412543705,-5.930277357443225,0.026296608337684546,0.02581819219887116,0.001076026488941534,0.0006798955698796883,0.0010728350972887602,0.0006779130711614044,0.0010768007912359996,0.0006803809512081803,0.0010736042997614764,0.00067839529277245,-22.55823766834357,-14.34513321253148,-22.541521967565995,-14.334698886813108
1968,14.542228385456964,4222.45407557716,1299608.55997331,1303831.01404889,8.348171772501356,14.077573669376898,14.080817422617862,0.2387665017861913,0.0378910412185078,0.038480575276468,0.0032384979572351,0.9967615020427648,0.627992500156573,0.627513553497346,1.7890514741119123,0.0011780269443490451,0.0001039745846016,0.000587798099588,0.003238497957235154,0.003249019901549338,-5.729401896875541,0.03848057527646809,0.03789104121850784,0.0011780269443490451,0.0007439915055795006,0.001173272874852758,0.0007410270377300282,0.0011790723378174756,0.0007446472375440347,0.0011743090153006183,0.0007416770001538212,-22.786438152606998,-14.488531822935503,-22.76622635135406,-14.47590058711145
1969,14.581441548647952,5230.64995915863,1338380.98637691,1343611.63633607,8.562290824511184,14.106971222320212,14.11087179724847,0.2141190520098277,0.0293975529433137,0.0300543746306072,0.0038929775671057,0.9961070224328942,0.641990534144692,0.639045260076559,1.8079253959768296,0.0012753579751962466,0.0001216404888937,0.0006544796098706,0.0038929775671057987,0.003908192071166792,-5.544680397809029,0.030054374630607228,0.0293975529433137,0.0012753579751962466,0.0008051146629840512,0.001268476790007392,0.0008008143824326809,0.001276719599120938,0.0008059689853034382,0.001269822249870295,0.0008016585951292736,-22.958631743625006,-14.59666810666984,-22.93465674695098,-14.581673612344721
1970,14.572686442226964,6217.04736451688,1369218.28802709,1375435.33539161,8.735050372788955,14.129750542273397,14.134280846530746,0.1727595482777708,0.0227793199531856,0.0234090492822769,0.0045200579078817,0.9954799420921182,0.653676971146293,0.650208208427336,1.822953784029378,0.0013664888789194248,0.0001369612343355,0.0006270803407759,0.004520057907881794,0.004540581599647664,-5.394700169484443,0.02340904928227694,0.022779319953185606,0.0013664888789194248,0.0008636198405423829,0.001357156171579069,0.0008577457059755028,0.0013682066599194852,0.0008647028123328256,0.0013588482074979064,0.0008588124172193666,-23.088427440311794,-14.679995715315473,-23.06096079577083,-14.662759616111213
