spec_id,run_tag,spec,degree,window,ecdet,basis,eg_det,p,r,n_obs,eg_formula,adf_stat,adf_pval,adf_det,boot_pval,boot_B,gate_pass,notes
Q2_raw__full__none__EG_intercept,Q2_raw,Q2,2,full,none,raw,intercept,1,1,99,logY ~ logK + x1 + x2,-2.8154922011148518,0.060274130785584364,intercept,0.07190719071907191,9999,FALSE,ok
Q2_raw__full__none__EG_trend,Q2_raw,Q2,2,full,none,raw,trend,1,1,99,logY ~ logK + x1 + x2 + t_idx,-2.66787957089073,0.2524686207335388,trend,0.33873387338733874,9999,FALSE,ok
Q2_raw__post_fordism__const__EG_intercept,Q2_raw,Q2,2,post_fordism,const,raw,intercept,1,1,50,logY ~ logK + x1 + x2,-2.149275391843667,0.22743591009349795,intercept,0.32993299329932996,9999,FALSE,ok
Q2_raw__post_fordism__const__EG_trend,Q2_raw,Q2,2,post_fordism,const,raw,trend,1,1,50,logY ~ logK + x1 + x2 + t_idx,-2.5869112035900494,0.288007693098873,trend,0.18171817181718172,9999,FALSE,ok
Q2_raw__post_fordism__none__EG_intercept,Q2_raw,Q2,2,post_fordism,none,raw,intercept,1,1,50,logY ~ logK + x1 + x2,-2.149275391843667,0.22743591009349795,intercept,0.33223322332233224,9999,FALSE,ok
Q2_raw__post_fordism__none__EG_trend,Q2_raw,Q2,2,post_fordism,none,raw,trend,1,1,50,logY ~ logK + x1 + x2 + t_idx,-2.5869112035900494,0.288007693098873,trend,0.1853185318531853,9999,FALSE,ok
Q3_ortho__fordism__const__EG_intercept,Q3_ortho,Q3,3,fordism,const,ortho,intercept,1,1,49,logY ~ logK + x1 + x2 + x3,-2.52725705023231,0.11719794710997751,intercept,0.05540554055405541,9999,FALSE,ok
Q3_ortho__fordism__const__EG_trend,Q3_ortho,Q3,3,fordism,const,ortho,trend,1,1,49,logY ~ logK + x1 + x2 + x3 + t_idx,-1.9361796384845227,0.6162045908979219,trend,0.45344534453445345,9999,FALSE,ok
Q3_ortho__fordism__none__EG_intercept,Q3_ortho,Q3,3,fordism,none,ortho,intercept,1,1,49,logY ~ logK + x1 + x2 + x3,-2.52725705023231,0.11719794710997751,intercept,0.058205820582058206,9999,FALSE,ok
Q3_ortho__fordism__none__EG_trend,Q3_ortho,Q3,3,fordism,none,ortho,trend,1,1,49,logY ~ logK + x1 + x2 + x3 + t_idx,-1.9361796384845227,0.6162045908979219,trend,0.45324532453245325,9999,FALSE,ok
Q3_ortho__full__const__EG_intercept,Q3_ortho,Q3,3,full,const,ortho,intercept,1,1,99,logY ~ logK + x1 + x2 + x3,-2.823291396038231,0.05920049983296865,intercept,0.07870787078707871,9999,FALSE,ok
Q3_ortho__full__const__EG_trend,Q3_ortho,Q3,3,full,const,ortho,trend,1,1,99,logY ~ logK + x1 + x2 + x3 + t_idx,-3.2719773906830225,0.07791713915183626,trend,0.08810881088108811,9999,FALSE,ok
Q3_ortho__full__none__EG_intercept,Q3_ortho,Q3,3,full,none,ortho,intercept,1,1,99,logY ~ logK + x1 + x2 + x3,-2.823291396038231,0.05920049983296865,intercept,0.08290829082908291,9999,FALSE,ok
Q3_ortho__full__none__EG_trend,Q3_ortho,Q3,3,full,none,ortho,trend,1,1,99,logY ~ logK + x1 + x2 + x3 + t_idx,-3.2719773906830225,0.07791713915183626,trend,0.08690869086908691,9999,FALSE,ok
Q3_ortho__post_fordism__const__EG_intercept,Q3_ortho,Q3,3,post_fordism,const,ortho,intercept,1,1,50,logY ~ logK + x1 + x2 + x3,-2.3317188596351786,0.16753036022288076,intercept,0.25092509250925094,9999,FALSE,ok
Q3_ortho__post_fordism__const__EG_trend,Q3_ortho,Q3,3,post_fordism,const,ortho,trend,1,1,50,logY ~ logK + x1 + x2 + x3 + t_idx,-2.524104515367857,0.3155156729849089,trend,0.20982098209820982,9999,FALSE,ok
Q3_ortho__post_fordism__none__EG_intercept,Q3_ortho,Q3,3,post_fordism,none,ortho,intercept,1,1,50,logY ~ logK + x1 + x2 + x3,-2.3317188596351786,0.16753036022288076,intercept,0.2577257725772577,9999,FALSE,ok
Q3_ortho__post_fordism__none__EG_trend,Q3_ortho,Q3,3,post_fordism,none,ortho,trend,1,1,50,logY ~ logK + x1 + x2 + x3 + t_idx,-2.524104515367857,0.3155156729849089,trend,0.20912091209120912,9999,FALSE,ok
Q3_raw__fordism__const__EG_intercept,Q3_raw,Q3,3,fordism,const,raw,intercept,1,1,49,logY ~ logK + x1 + x2 + x3,-2.5272570502323473,0.11719794710996914,intercept,0.0575057505750575,9999,FALSE,ok
Q3_raw__fordism__const__EG_trend,Q3_raw,Q3,3,fordism,const,raw,trend,1,1,49,logY ~ logK + x1 + x2 + x3 + t_idx,-1.9361796384845178,0.6162045908979246,trend,0.45554555455545553,9999,FALSE,ok
Q3_raw__fordism__none__EG_intercept,Q3_raw,Q3,3,fordism,none,raw,intercept,1,1,49,logY ~ logK + x1 + x2 + x3,-2.5272570502323473,0.11719794710996914,intercept,0.056305630563056305,9999,FALSE,ok
Q3_raw__fordism__none__EG_trend,Q3_raw,Q3,3,fordism,none,raw,trend,1,1,49,logY ~ logK + x1 + x2 + x3 + t_idx,-1.9361796384845178,0.6162045908979246,trend,0.45734573457345734,9999,FALSE,ok
Q3_raw__full__const__EG_intercept,Q3_raw,Q3,3,full,const,raw,intercept,1,1,99,logY ~ logK + x1 + x2 + x3,-2.8232913960381034,0.05920049983298611,intercept,0.08620862086208621,9999,FALSE,ok
Q3_raw__full__const__EG_trend,Q3_raw,Q3,3,full,const,raw,trend,1,1,99,logY ~ logK + x1 + x2 + x3 + t_idx,-3.27197739068303,0.07791713915183503,trend,0.0891089108910891,9999,FALSE,ok
Q3_raw__full__none__EG_intercept,Q3_raw,Q3,3,full,none,raw,intercept,1,1,99,logY ~ logK + x1 + x2 + x3,-2.8232913960381034,0.05920049983298611,intercept,0.0812081208120812,9999,FALSE,ok
Q3_raw__full__none__EG_trend,Q3_raw,Q3,3,full,none,raw,trend,1,1,99,logY ~ logK + x1 + x2 + x3 + t_idx,-3.27197739068303,0.07791713915183503,trend,0.09060906090609061,9999,FALSE,ok
Q3_raw__post_fordism__const__EG_intercept,Q3_raw,Q3,3,post_fordism,const,raw,intercept,1,1,50,logY ~ logK + x1 + x2 + x3,-2.3317188596352274,0.16753036022286635,intercept,0.24552455245524551,9999,FALSE,ok
Q3_raw__post_fordism__const__EG_trend,Q3_raw,Q3,3,post_fordism,const,raw,trend,1,1,50,logY ~ logK + x1 + x2 + x3 + t_idx,-2.5241045153678603,0.3155156729849078,trend,0.21342134213421343,9999,FALSE,ok
Q3_raw__post_fordism__none__EG_intercept,Q3_raw,Q3,3,post_fordism,none,raw,intercept,1,1,50,logY ~ logK + x1 + x2 + x3,-2.3317188596352274,0.16753036022286635,intercept,0.25032503250325033,9999,FALSE,ok
Q3_raw__post_fordism__none__EG_trend,Q3_raw,Q3,3,post_fordism,none,raw,trend,1,1,50,logY ~ logK + x1 + x2 + x3 + t_idx,-2.5241045153678603,0.3155156729849078,trend,0.21162116211621163,9999,FALSE,ok
