"variable_id","source_variable_id","asset_scope","transformation_family","exact_formula","lag_order","unit","year_start","year_end","observation_count","first_fully_supported_year","support_rule","positivity_requirement","construction_status","authorization_source"
"DELTA_N_ME","N_ME_GPIM_2017","ME","first_difference","DELTA_N_ME = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_N_NRC","N_NRC_GPIM_2017","NRC","first_difference","DELTA_N_NRC = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_N_TOT","N_TOT_GPIM_2017","TOT","first_difference","DELTA_N_TOT = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_G_ME","G_ME_GPIM_2017","ME","log_growth","DLOG_G_ME = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_G_NRC","G_NRC_GPIM_2017","NRC","log_growth","DLOG_G_NRC = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_G_TOT","G_TOT_GPIM_2017","TOT","log_growth","DLOG_G_TOT = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_I_ME","I_ME_REAL_2017","ME","log_growth","DLOG_I_ME = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_I_NRC","I_NRC_REAL_2017","NRC","log_growth","DLOG_I_NRC = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_I_TOT","I_TOT_REAL_2017","TOT","log_growth","DLOG_I_TOT = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_N_ME","N_ME_GPIM_2017","ME","log_growth","DLOG_N_ME = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_N_NRC","N_NRC_GPIM_2017","NRC","log_growth","DLOG_N_NRC = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DLOG_N_TOT","N_TOT_GPIM_2017","TOT","log_growth","DLOG_N_TOT = log(X_t) - log(X_t_minus_1)",0,"log_difference",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"G_TOT_GPIM_2017","G_CORE_GPIM_2017","TOT","tot_alias","G_TOT_GPIM_2017 = G_CORE_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"S29E support status inherited exactly","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_G_ME","G_ME_GPIM_2017","ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_ME = GROWTH_ARITH_G_ME - DLOG_G_ME",0,"decimal_rate_gap",1902,2024,123,1926,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_G_NRC","G_NRC_GPIM_2017","NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_NRC = GROWTH_ARITH_G_NRC - DLOG_G_NRC",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_G_TOT","G_TOT_GPIM_2017","TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_TOT = GROWTH_ARITH_G_TOT - DLOG_G_TOT",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_I_ME","I_ME_REAL_2017","ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_ME = GROWTH_ARITH_I_ME - DLOG_I_ME",0,"decimal_rate_gap",1902,2024,123,1926,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_I_NRC","I_NRC_REAL_2017","NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_NRC = GROWTH_ARITH_I_NRC - DLOG_I_NRC",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_I_TOT","I_TOT_REAL_2017","TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_TOT = GROWTH_ARITH_I_TOT - DLOG_I_TOT",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_N_ME","N_ME_GPIM_2017","ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_ME = GROWTH_ARITH_N_ME - DLOG_N_ME",0,"decimal_rate_gap",1902,2024,123,1926,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_N_NRC","N_NRC_GPIM_2017","NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_NRC = GROWTH_ARITH_N_NRC - DLOG_N_NRC",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GAP_ARITH_LOG_N_TOT","N_TOT_GPIM_2017","TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_TOT = GROWTH_ARITH_N_TOT - DLOG_N_TOT",0,"decimal_rate_gap",1902,2024,123,1932,"same as paired arithmetic and log growth","strictly_positive_current_and_lag","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROSS_ACCUMULATION_NET_FLOW_ME","I_ME_REAL_2017; RET_ME_GPIM_2017","ME","gross_stock_flow_net_change","I_ME_REAL_2017 - RET_ME_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1925,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROSS_ACCUMULATION_NET_FLOW_NRC","I_NRC_REAL_2017; RET_NRC_GPIM_2017","NRC","gross_stock_flow_net_change","I_NRC_REAL_2017 - RET_NRC_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROSS_ACCUMULATION_NET_FLOW_TOT","I_TOT_REAL_2017; RET_TOT_GPIM_2017","TOT","gross_stock_flow_net_change","I_TOT_REAL_2017 - RET_TOT_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_G_ME","G_ME_GPIM_2017","ME","arithmetic_growth","GROWTH_ARITH_G_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_G_NRC","G_NRC_GPIM_2017","NRC","arithmetic_growth","GROWTH_ARITH_G_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_G_TOT","G_TOT_GPIM_2017","TOT","arithmetic_growth","GROWTH_ARITH_G_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_I_ME","I_ME_REAL_2017","ME","arithmetic_growth","GROWTH_ARITH_I_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_I_NRC","I_NRC_REAL_2017","NRC","arithmetic_growth","GROWTH_ARITH_I_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_I_TOT","I_TOT_REAL_2017","TOT","arithmetic_growth","GROWTH_ARITH_I_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_N_ME","N_ME_GPIM_2017","ME","arithmetic_growth","GROWTH_ARITH_N_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_N_NRC","N_NRC_GPIM_2017","NRC","arithmetic_growth","GROWTH_ARITH_N_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"GROWTH_ARITH_N_TOT","N_TOT_GPIM_2017","TOT","arithmetic_growth","GROWTH_ARITH_N_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","lagged_denominator_positive","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"I_TOT_REAL_2017","I_CORE_REAL_2017","TOT","tot_alias","I_TOT_REAL_2017 = I_CORE_REAL_2017",0,"millions_2017_dollars",1901,2024,124,1931,"S29E support status inherited exactly","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"INV_RATE_G_ME","I_ME_REAL_2017","ME","investment_rate_diagnostic","I_ME_REAL_2017 / lag1(G_ME_GPIM_2017)",0,"decimal_rate",1902,2024,123,1926,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"INV_RATE_G_NRC","I_NRC_REAL_2017","NRC","investment_rate_diagnostic","I_NRC_REAL_2017 / lag1(G_NRC_GPIM_2017)",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"INV_RATE_G_TOT","I_TOT_REAL_2017","TOT","investment_rate_diagnostic","I_TOT_REAL_2017 / lag1(G_TOT_GPIM_2017)",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_GROSS_ME","G_ME_GPIM_2017","ME","level_alias","K_GROSS_ME = G_ME_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1925,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_GROSS_NRC","G_NRC_GPIM_2017","NRC","level_alias","K_GROSS_NRC = G_NRC_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_GROSS_TOT","G_TOT_GPIM_2017","TOT","level_alias","K_GROSS_TOT = G_TOT_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_NET_ME","N_ME_GPIM_2017","ME","level_alias","K_NET_ME = N_ME_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1925,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_NET_NRC","N_NRC_GPIM_2017","NRC","level_alias","K_NET_NRC = N_NRC_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"K_NET_TOT","N_TOT_GPIM_2017","TOT","level_alias","K_NET_TOT = N_TOT_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"level support inherited from source","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_G_ME","DLOG_G_ME","ME","lag1","L1_DLOG_G_ME = lag1(DLOG_G_ME)",1,"log_difference",1903,2024,122,1927,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_G_NRC","DLOG_G_NRC","NRC","lag1","L1_DLOG_G_NRC = lag1(DLOG_G_NRC)",1,"log_difference",1903,2024,122,1933,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_G_TOT","DLOG_G_TOT","TOT","lag1","L1_DLOG_G_TOT = lag1(DLOG_G_TOT)",1,"log_difference",1903,2024,122,1933,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_N_ME","DLOG_N_ME","ME","lag1","L1_DLOG_N_ME = lag1(DLOG_N_ME)",1,"log_difference",1903,2024,122,1927,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_N_NRC","DLOG_N_NRC","NRC","lag1","L1_DLOG_N_NRC = lag1(DLOG_N_NRC)",1,"log_difference",1903,2024,122,1933,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_DLOG_N_TOT","DLOG_N_TOT","TOT","lag1","L1_DLOG_N_TOT = lag1(DLOG_N_TOT)",1,"log_difference",1903,2024,122,1933,"fully_supported iff lagged dlog observation is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_G_ME","LOG_G_ME_GPIM_2017","ME","lag1","L1_LOG_G_ME = lag1(LOG_G_ME_GPIM_2017)",1,"natural_log",1902,2024,123,1926,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_G_NRC","LOG_G_NRC_GPIM_2017","NRC","lag1","L1_LOG_G_NRC = lag1(LOG_G_NRC_GPIM_2017)",1,"natural_log",1902,2024,123,1932,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_G_TOT","LOG_G_TOT_GPIM_2017","TOT","lag1","L1_LOG_G_TOT = lag1(LOG_G_TOT_GPIM_2017)",1,"natural_log",1902,2024,123,1932,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_N_ME","LOG_N_ME_GPIM_2017","ME","lag1","L1_LOG_N_ME = lag1(LOG_N_ME_GPIM_2017)",1,"natural_log",1902,2024,123,1926,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_N_NRC","LOG_N_NRC_GPIM_2017","NRC","lag1","L1_LOG_N_NRC = lag1(LOG_N_NRC_GPIM_2017)",1,"natural_log",1902,2024,123,1932,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"L1_LOG_N_TOT","LOG_N_TOT_GPIM_2017","TOT","lag1","L1_LOG_N_TOT = lag1(LOG_N_TOT_GPIM_2017)",1,"natural_log",1902,2024,123,1932,"fully_supported iff source observation at t-1 is fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_G_ME_GPIM_2017","G_ME_GPIM_2017","ME","log_gross","LOG_G_ME_GPIM_2017 = log(G_ME_GPIM_2017)",0,"natural_log",1901,2024,124,1925,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_G_NRC_GPIM_2017","G_NRC_GPIM_2017","NRC","log_gross","LOG_G_NRC_GPIM_2017 = log(G_NRC_GPIM_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_G_TOT_GPIM_2017","G_TOT_GPIM_2017","TOT","log_gross","LOG_G_TOT_GPIM_2017 = log(G_TOT_GPIM_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_I_ME_REAL_2017","I_ME_REAL_2017","ME","log_investment","LOG_I_ME_REAL_2017 = log(I_ME_REAL_2017)",0,"natural_log",1901,2024,124,1925,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_I_NRC_REAL_2017","I_NRC_REAL_2017","NRC","log_investment","LOG_I_NRC_REAL_2017 = log(I_NRC_REAL_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_I_TOT_REAL_2017","I_TOT_REAL_2017","TOT","log_investment","LOG_I_TOT_REAL_2017 = log(I_TOT_REAL_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_N_ME_GPIM_2017","N_ME_GPIM_2017","ME","log_net","LOG_N_ME_GPIM_2017 = log(N_ME_GPIM_2017)",0,"natural_log",1901,2024,124,1925,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_N_NRC_GPIM_2017","N_NRC_GPIM_2017","NRC","log_net","LOG_N_NRC_GPIM_2017 = log(N_NRC_GPIM_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"LOG_N_TOT_GPIM_2017","N_TOT_GPIM_2017","TOT","log_net","LOG_N_TOT_GPIM_2017 = log(N_TOT_GPIM_2017)",0,"natural_log",1901,2024,124,1931,"log support inherited from positive source","strictly_positive_complete_series","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"N_TOT_GPIM_2017","N_CORE_GPIM_2017","TOT","tot_alias","N_TOT_GPIM_2017 = N_CORE_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"S29E support status inherited exactly","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"NET_ACCUMULATION_NET_FLOW_ME","I_ME_REAL_2017; CFC_ME_GPIM_2017","ME","net_stock_flow_net_change","I_ME_REAL_2017 - CFC_ME_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1925,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"NET_ACCUMULATION_NET_FLOW_NRC","I_NRC_REAL_2017; CFC_NRC_GPIM_2017","NRC","net_stock_flow_net_change","I_NRC_REAL_2017 - CFC_NRC_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"NET_ACCUMULATION_NET_FLOW_TOT","I_TOT_REAL_2017; CFC_TOT_GPIM_2017","TOT","net_stock_flow_net_change","I_TOT_REAL_2017 - CFC_TOT_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"fully_supported iff current source flows are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
