"current_path","match_type","matched_text","proposed_action","immutable_release_status","label_status"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 58:     output_dir, ""us_s30i_admissibility_recommendations.csv""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 60:   checks = file.path(output_dir, ""us_s30i_validation_checks.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 62:     validation_dir, ""US_S30I_EXPANDED_INTEGRATION_ORDER_AUDIT_VALIDATION.md""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 65:     results_dir, ""US_S30I_ADVISOR_INTEGRATION_AUDIT_TABLES.md""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 151:   abort(paste(""Missing S30I inputs:"", paste(missing_inputs, collapse = ""\n"")))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 231:   aggregate_q_status <- ""constructed_for_S30I_integration_audit""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 334:     ""candidate_only"", ifelse(startsWith(name, ""Delta_""), ""S30I"", ""S20""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 366:     ifelse(file.exists(s21_path), ""S21"", ""S30I""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 381:     ""mechanization_bias_candidate"", ""candidate_only"", ""S30I"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 880:     `Status entering S30I` = paste(","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 917:   ""# U.S. S30I Advisor Integration Audit Tables"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 922:     ""S30I audits integration-order admissibility and I(2) risk for the"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 949:   ""**S30I does not estimate coefficients. It only audits integration-order admissibility and I(2) risk before S32 model choice.**"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1063:       ] %in% c(""canonical_S21_output"", ""constructed_for_S30I_integration_audit""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1106:     ""All outputs are S30I audit artifacts.""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1123:       ""candidates; no estimator is run in S30I.""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1149:       ""Missing optional S21; aggregate q variants constructed for S30I"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1165:   ""# U.S. S30I Expanded Integration-Order Audit Validation"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1170:     ""S30I audits integration order, I(2) risk, and historical-window"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1211:     ""S30I fetched no BEA data, modified no provider or upstream output,"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1234:     ""S30I fetched no BEA data, modified no provider or upstream output,"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1247:     ""S30I validation failed:"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_expanded_integration_order_audit.R","content","line 1251: message(""S30I expanded integration-order audit passed."")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 2: # US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 3: # Chapter 2 - US S30I I2-risk and rolling integration-order audit","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 6: #   Audit existing S30I I2-risk classifications and add bounded rolling","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 10: #   - Reads existing S30I outputs; does not overwrite original S30I CSV/MD files.","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 23: RUN_TAG <- ""S30I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 24: S30I_TAG <- ""S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 27: s30i_dir <- file.path(REPO, ""output/US"", S30I_TAG)","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 28: csv_dir <- file.path(s30i_dir, ""csv"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 29: md_dir <- file.path(s30i_dir, ""md"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 30: logs_dir <- file.path(s30i_dir, ""logs"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 31: audit_dir <- file.path(s30i_dir, ""audit"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 33: tests_path <- file.path(csv_dir, ""S30I_integration_order_tests_long.csv"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 34: classification_path <- file.path(csv_dir, ""S30I_integration_order_classification.csv"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 35: ledger_path <- file.path(csv_dir, ""S30I_variable_construction_ledger.csv"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 36: report_path <- file.path(md_dir, ""S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B.md"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 37: validation_path <- file.path(md_dir, ""S30I_VALIDATION_REPORT.md"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 47: i2_log_path <- file.path(logs_dir, ""S30I_i2_risk_audit_log.txt"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 48: rolling_log_path <- file.path(logs_dir, ""S30I_rolling_integration_order_audit_log.txt"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 368: log_i2(""Read existing S30I outputs."")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 408: write_csv_base(trace, file.path(csv_dir, ""S30I_i2_risk_test_trace.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 505: write_csv_base(i2_audit, file.path(csv_dir, ""S30I_i2_risk_audit_capital_variables.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 525:     ""Were existing S30I outputs readable?"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 536:     ""codes/US_S30I_integration_order_precheck_B1_E2B.R:435-480""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 564:     ifelse(nrow(likely_artifact) > 0L, ""Write corrected classification output with suffix _corrected."", ""Do not patch original S30I outputs.""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 569: write_csv_base(rule_diagnostics, file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 579:   write_csv_base(corrected_out, file.path(csv_dir, ""S30I_integration_order_classification_corrected.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 583:   ""# S30I I2-Risk Audit"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 593:       ""Exact code location: `codes/US_S30I_integration_order_precheck_B1_E2B.R:435-480`."",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 600:       ""Exact code location inspected: `codes/US_S30I_integration_order_precheck_B1_E2B.R:435-480`."",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 607:   ""The original S30I pass produced I2-risk, deterministic-sensitive, and fragile classifications. This audit separates genuine first-difference nonstationarity from deterministic sensitivity, short-window weakness, failed-test handling, and mixed ADF/PP/KPSS evidence."",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 609:   ""## 3. Target variables and original S30I windows"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 635:   ""The B1 question is whether k_t and omega_k_t can be treated as admissible long-run regressors alongside y_t. If k_t is genuinely I2-risk, B1 cannot be read as a clean I(1) cointegrating-regression design without redesign. If the I2-risk call is an artifact of deterministic sensitivity or failed-test handling, B1 remains admissible for review but must carry the S30I caveat."",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 646: writeLines(i2_report, file.path(md_dir, ""S30I_I2_RISK_AUDIT.md""), useBytes = TRUE)","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 651:     ""Existing S30I outputs found"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 656:     ""All original S30I windows attempted"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 668:     file.exists(file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 671:     s30i_dir,","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 677:     ""See S30I_i2_risk_rule_diagnostics.csv"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 678:     file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 683:   ""# S30I I2-Risk Audit Validation"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 688: ), file.path(md_dir, ""S30I_I2_RISK_AUDIT_VALIDATION.md""), useBytes = TRUE)","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 800: write_csv_base(rolling_windows, file.path(csv_dir, ""S30I_rolling_integration_order_windows.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 869: write_csv_base(rolling_stability, file.path(csv_dir, ""S30I_rolling_integration_order_stability.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 872:   ""# S30I Rolling Integration-Order Audit"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 916:   ""The B1 question is whether k_t and omega_k_t can be treated as admissible long-run regressors alongside y_t. If k_t is genuinely I2-risk, B1 cannot be read as a clean I(1) cointegrating-regression design without redesign. If the I2-risk call is an artifact of deterministic sensitivity or failed-test handling, B1 remains admissible for review but must carry the S30I caveat."",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 925: writeLines(rolling_report, file.path(md_dir, ""S30I_ROLLING_INTEGRATION_ORDER_AUDIT.md""), useBytes = TRUE)","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 934:   file.path(csv_dir, ""S30I_i2_risk_audit_capital_variables.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 935:   file.path(csv_dir, ""S30I_i2_risk_test_trace.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 936:   file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 937:   file.path(md_dir, ""S30I_I2_RISK_AUDIT.md""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 938:   file.path(md_dir, ""S30I_I2_RISK_AUDIT_VALIDATION.md""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 940:   file.path(csv_dir, ""S30I_rolling_integration_order_windows.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 941:   file.path(csv_dir, ""S30I_rolling_integration_order_stability.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 942:   file.path(md_dir, ""S30I_ROLLING_INTEGRATION_ORDER_AUDIT.md""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 949:     ""Existing S30I outputs were found"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 954:     ""All original S30I windows were attempted"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 959:     ""Original S30I outputs were not overwritten"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 973:     file.exists(file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv"")),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 974:     all(file.exists(c(file.path(csv_dir, ""S30I_rolling_integration_order_windows.csv""), file.path(csv_dir, ""S30I_rolling_integration_order_stability.csv"")))),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 981:     s30i_dir,","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 988:     file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 989:     file.path(csv_dir, ""S30I_i2_risk_rule_diagnostics.csv""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 990:     paste(file.path(csv_dir, c(""S30I_rolling_integration_order_windows.csv"", ""S30I_rolling_integration_order_stability.csv"")), collapse = "" | ""),","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 999:   ""# S30I I2-Risk and Rolling Audit Validation"",","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 1004: ), file.path(md_dir, ""S30I_I2_RISK_AND_ROLLING_AUDIT_VALIDATION.md""), useBytes = TRUE)","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 1013: cat(""\nFinal S30I I2-risk and rolling audit summary\n"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","content","line 1023: cat(""S30I I2-risk and rolling-window audit implemented. Original S30I outputs preserved. S31 VIF screen left untouched. S32 model-choice outputs left untouched. S40 remains parked.\n"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 2: # US_S30I_integration_order_precheck_B1_E2B.R","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 3: # Chapter 2 - US S30I integration-order precheck for S32 B1/E2B","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 23: RUN_TAG <- ""S30I_INTEGRATION_ORDER_PRECHECK_B1_E2B""","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 45: LOG_PATH <- file.path(logs_dir, ""S30I_execution_log.txt"")","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 629: write_csv_base(input_audit, file.path(audit_dir, ""S30I_input_columns_audit.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 740: write_csv_base(ledger, file.path(csv_dir, ""S30I_variable_construction_ledger.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 820: write_csv_base(tests_long, file.path(csv_dir, ""S30I_integration_order_tests_long.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","content","line 821: write_csv_base(classification, file.path(csv_dir, ""S30I_integration_order_classification.csv""))","Replace active S30I/s30i taxonomy with S31I/s31i","live_tracked","obsolete_label"
