"asset_family","asset_label","metadata_only","age","mean_life_years","weibull_alpha","weibull_lambda","survival_probability","retirement_mass_from_prior_age"
"ME","Machinery and Equipment",FALSE,25,14,1.7,15.6907663323043,0.109973991566265,0.0175423598901897
"ME","Machinery and Equipment",FALSE,26,14,1.7,15.6907663323043,0.0944470983231632,0.0155268932431015
"ME","Machinery and Equipment",FALSE,27,14,1.7,15.6907663323043,0.0807761468017092,0.013670951521454
"ME","Machinery and Equipment",FALSE,28,14,1.7,15.6907663323043,0.0688008563991927,0.0119752904025165
"ME","Machinery and Equipment",FALSE,29,14,1.7,15.6907663323043,0.0583633371123286,0.0104375192868641
"ME","Machinery and Equipment",FALSE,30,14,1.7,15.6907663323043,0.04931061634017,0.0090527207721585
"ME","Machinery and Equipment",FALSE,31,14,1.7,15.6907663323043,0.0414965947912414,0.0078140215489286
"ME","Machinery and Equipment",FALSE,32,14,1.7,15.6907663323043,0.0347834876238654,0.0067131071673761
"ME","Machinery and Equipment",FALSE,33,14,1.7,15.6907663323043,0.0290428112553659,0.00574067636849946
"ME","Machinery and Equipment",FALSE,34,14,1.7,15.6907663323043,0.0241559778015257,0.00488683345384017
"ME","Machinery and Equipment",FALSE,35,14,1.7,15.6907663323043,0.0200145583375581,0.00414141946396763
"ME","Machinery and Equipment",FALSE,36,14,1.7,15.6907663323043,0.0165202735866864,0.00349428475087168
"ME","Machinery and Equipment",FALSE,37,14,1.7,15.6907663323043,0.0135847666981313,0.00293550688855511
"ME","Machinery and Equipment",FALSE,38,14,1.7,15.6907663323043,0.0111292078891868,0.00245555880894449
"ME","Machinery and Equipment",FALSE,39,14,1.7,15.6907663323043,0.00908377526309651,0.0020454326260903
"ME","Machinery and Equipment",FALSE,40,14,1.7,15.6907663323043,0.00738705038798929,0.00169672487510721
"ME","Machinery and Equipment",FALSE,41,14,1.7,15.6907663323043,0.00598536148840564,0.00140168889958365
"ME","Machinery and Equipment",FALSE,42,14,1.7,15.6907663323043,0.00483210156132329,0.00115325992708235
"ME","Machinery and Equipment",FALSE,43,14,1.7,15.6907663323043,0.00388704353321759,0.000945058028105703
"ME","Machinery and Equipment",FALSE,44,14,1.7,15.6907663323043,0.00311566982755435,0.000771373705663238
"ME","Machinery and Equipment",FALSE,45,14,1.7,15.6907663323043,0.00248852947707224,0.000627140350482116
"ME","Machinery and Equipment",FALSE,46,14,1.7,15.6907663323043,0.00198063222244916,0.000507897254623073
"ME","Machinery and Equipment",FALSE,47,14,1.7,15.6907663323043,0.00157088589142783,0.000409746331021332
"ME","Machinery and Equipment",FALSE,48,14,1.7,15.6907663323043,0.00124158073211429,0.000329305159313543
"ME","Machinery and Equipment",FALSE,49,14,1.7,15.6907663323043,0.000977922247472108,0.000263658484642181
"ME","Machinery and Equipment",FALSE,50,14,1.7,15.6907663323043,0.000767612401104848,0.00021030984636726
"ME","Machinery and Equipment",FALSE,51,14,1.7,15.6907663323043,0.000600477787169171,0.000167134613935677
"ME","Machinery and Equipment",FALSE,52,14,1.7,15.6907663323043,0.000468142426924287,0.000132335360244885
"ME","Machinery and Equipment",FALSE,53,14,1.7,15.6907663323043,0.00036374221830566,0.000104400208618626
"ME","Machinery and Equipment",FALSE,54,14,1.7,15.6907663323043,0.000281677672463382,8.20645458422781e-05
"ME","Machinery and Equipment",FALSE,55,14,1.7,15.6907663323043,0.000217401375494602,6.42762969687798e-05
"ME","Machinery and Equipment",FALSE,56,14,1.7,15.6907663323043,0.000167236572252407,5.01648032421954e-05
"ME","Machinery and Equipment",FALSE,57,14,1.7,15.6907663323043,0.000128223344833903,3.90132274185034e-05
"ME","Machinery and Equipment",FALSE,58,14,1.7,15.6907663323043,9.79890190858771e-05,3.02343257480262e-05
