"year","asset_family","asset_label","real_investment_2017_dollars_millions","mean_life_years","weibull_alpha","weibull_lambda","gross_surviving_stock_2017_dollars_millions","stock_index_1947_100","stock_index_first_valid_100"
1916,"ME","Machinery and Equipment",1349542.02733969,14,1.7,15.6907663323043,8826311.06916364,69.315643883948,2164.19941628786
1917,"ME","Machinery and Equipment",2018880.10209109,14,1.7,15.6907663323043,10425525.8231035,81.8747526111857,2556.32468922178
1918,"ME","Machinery and Equipment",2589700.88445485,14,1.7,15.6907663323043,12543567.2332507,98.5083612577402,3075.66554947411
1919,"ME","Machinery and Equipment",2602015.5460033,14,1.7,15.6907663323043,14606215.0192491,114.706947311634,3581.42396875994
1920,"ME","Machinery and Equipment",2870764.92450198,14,1.7,15.6907663323043,16856132.0688934,132.376214546779,4133.10055565796
1921,"ME","Machinery and Equipment",2134782.79901774,14,1.7,15.6907663323043,18276109.8717559,143.527722230458,4481.27717304834
1922,"ME","Machinery and Equipment",2180419.48593261,14,1.7,15.6907663323043,19644228.9240349,154.271967734101,4816.73809564134
1923,"ME","Machinery and Equipment",3038823.83504562,14,1.7,15.6907663323043,21773818.4080871,170.996266836959,5338.91052783902
1924,"ME","Machinery and Equipment",2163758.47324941,14,1.7,15.6907663323043,22924084.5364408,180.029648586136,5620.95421110055
1925,"ME","Machinery and Equipment",2246139.39977877,14,1.7,15.6907663323043,24052476.282028,188.891244306682,5897.63432559092
1926,"ME","Machinery and Equipment",1889365.79527979,14,1.7,15.6907663323043,24724371.3816499,194.167836201961,6062.38208612348
1927,"ME","Machinery and Equipment",1590939.18186412,14,1.7,15.6907663323043,25005338.0798857,196.374351182631,6131.2747366944
1928,"ME","Machinery and Equipment",1612305.71958189,14,1.7,15.6907663323043,25226424.8083618,198.110610965277,6185.48490048396
1929,"ME","Machinery and Equipment",1768765.68542665,14,1.7,15.6907663323043,25533750.6275001,200.524131955961,6260.84077149025
1930,"ME","Machinery and Equipment",1467294.24202991,14,1.7,15.6907663323043,25477750.6735687,200.084347675325,6247.10965928939
1931,"ME","Machinery and Equipment",989748.757718043,14,1.7,15.6907663323043,24892499.3361589,195.488194994027,6103.60683088477
1932,"ME","Machinery and Equipment",623868.773501061,14,1.7,15.6907663323043,23904638.0764576,187.730226942863,5861.38459955096
1933,"ME","Machinery and Equipment",543835.045414787,14,1.7,15.6907663323043,22817975.460959,179.196342482225,5594.93641075099
1934,"ME","Machinery and Equipment",637240.124604497,14,1.7,15.6907663323043,21822896.8863757,171.381694712407,5350.94450366792
1935,"ME","Machinery and Equipment",703933.555703038,14,1.7,15.6907663323043,20906039.0303339,164.181337491412,5126.13220991168
1936,"ME","Machinery and Equipment",816556.811384773,14,1.7,15.6907663323043,20123438.8259278,158.035345508234,4934.23970892339
1937,"ME","Machinery and Equipment",924639.763365943,14,1.7,15.6907663323043,19477696.3960829,152.964138300926,4775.90454729226
1938,"ME","Machinery and Equipment",622350.239389685,14,1.7,15.6907663323043,18562834.2150571,145.779453708919,4551.58159032362
1939,"ME","Machinery and Equipment",627081.679604102,14,1.7,15.6907663323043,17691702.2212726,138.938195273327,4337.98121552551
1940,"ME","Machinery and Equipment",731978.08858634,14,1.7,15.6907663323043,16970000.1029942,133.27045405858,4161.02084206115
1941,"ME","Machinery and Equipment",752127.196012379,14,1.7,15.6907663323043,16315692.8172006,128.131984492149,4000.58558945208
1942,"ME","Machinery and Equipment",545029.688575011,14,1.7,15.6907663323043,15502513.435581,121.745845142604,3801.19511598611
1943,"ME","Machinery and Equipment",437108.518460738,14,1.7,15.6907663323043,14631684.7290732,114.906968512128,3587.66910681392
1944,"ME","Machinery and Equipment",535584.445393993,14,1.7,15.6907663323043,13912339.0108366,109.2577328072,3411.28651942068
1945,"ME","Machinery and Equipment",641872.549112937,14,1.7,15.6907663323043,13353054.7557829,104.865507340702,3274.1507841354
1946,"ME","Machinery and Equipment",720316.3182533,14,1.7,15.6907663323043,12924365.1982642,101.49888084489,3169.03669027665
1947,"ME","Machinery and Equipment",909126.491811446,14,1.7,15.6907663323043,12733505.1290025,100,3122.23806203298
1948,"ME","Machinery and Equipment",849952.046387454,14,1.7,15.6907663323043,12527259.862526,98.3802946291135,3071.66700445037
1949,"ME","Machinery and Equipment",721556.966154317,14,1.7,15.6907663323043,12231352.8939517,96.0564492654339,2999.11102000277
1950,"ME","Machinery and Equipment",685879.765574563,14,1.7,15.6907663323043,11935292.6676306,93.7314003231216,2926.517456965
1951,"ME","Machinery and Equipment",749015.128180555,14,1.7,15.6907663323043,11735414.4919014,92.161697608086,2877.5076013354
1952,"ME","Machinery and Equipment",743131.441855881,14,1.7,15.6907663323043,11559528.7413295,90.7804145380273,2834.38065557761
1953,"ME","Machinery and Equipment",741157.559795181,14,1.7,15.6907663323043,11408224.7329104,89.59217919445,2797.28111941391
1954,"ME","Machinery and Equipment",684449.366939465,14,1.7,15.6907663323043,11223717.5177801,88.1431892010342,2752.04020232443
1955,"ME","Machinery and Equipment",684266.419209607,14,1.7,15.6907663323043,11060200.56877,86.8590420054784,2711.94606981226
1956,"ME","Machinery and Equipment",713994.058255907,14,1.7,15.6907663323043,10945571.3729057,85.9588248641412,2683.83914758448
1957,"ME","Machinery and Equipment",727860.077101959,14,1.7,15.6907663323043,10861724.1262067,85.3003475175696,2663.27991723996
1958,"ME","Machinery and Equipment",583375.549862804,14,1.7,15.6907663323043,10648002.5453379,83.6219284279033,2610.87567758197
1959,"ME","Machinery and Equipment",607522.836207516,14,1.7,15.6907663323043,10472276.6707986,82.2419009118426,2567.78793320899
1960,"ME","Machinery and Equipment",629191.93043186,14,1.7,15.6907663323043,10331615.2826692,81.137245228239,2533.29795300111
1961,"ME","Machinery and Equipment",587212.198688363,14,1.7,15.6907663323043,10161434.6494099,79.8007661399193,2491.56989421449
1962,"ME","Machinery and Equipment",617635.367229759,14,1.7,15.6907663323043,10033569.2849584,78.7966014330603,2460.21748153143
1963,"ME","Machinery and Equipment",629408.971871451,14,1.7,15.6907663323043,9928696.53306681,77.9730045457215,2434.50282603722
1964,"ME","Machinery and Equipment",671692.288041208,14,1.7,15.6907663323043,9876419.85593956,77.5624602643344,2421.68465622225
1965,"ME","Machinery and Equipment",770523.220436779,14,1.7,15.6907663323043,9932045.27504085,77.9993032116435,2435.32393299444
1966,"ME","Machinery and Equipment",842107.997753453,14,1.7,15.6907663323043,10066170.0456049,79.0526248949129,2468.21114350513
1967,"ME","Machinery and Equipment",786408.18769879,14,1.7,15.6907663323043,10148682.8000941,79.7006220775685,2488.4431581829
1968,"ME","Machinery and Equipment",796975.867116019,14,1.7,15.6907663323043,10243821.9467598,80.4477780703753,2511.77114697308
1969,"ME","Machinery and Equipment",821332.224519679,14,1.7,15.6907663323043,10363851.5703401,81.3904063754986,2541.20224669913
1970,"ME","Machinery and Equipment",753978.432204574,14,1.7,15.6907663323043,10415465.8584761,81.7957487192841,2553.85799963834
1971,"ME","Machinery and Equipment",719629.354492161,14,1.7,15.6907663323043,10430879.9109002,81.9167998538148,2557.63750423518
1972,"ME","Machinery and Equipment",777121.83200943,14,1.7,15.6907663323043,10501878.5397815,82.4743731862316,2575.04627104364
1973,"ME","Machinery and Equipment",865755.110073952,14,1.7,15.6907663323043,10659104.9807505,83.7091191526888,2613.59797957779
1974,"ME","Machinery and Equipment",791899.469592467,14,1.7,15.6907663323043,10738621.6272329,84.3335870087653,2633.09535266537
1975,"ME","Machinery and Equipment",686368.248458814,14,1.7,15.6907663323043,10708018.8074723,84.0932539704497,2625.59158306744
1976,"ME","Machinery and Equipment",696920.907214641,14,1.7,15.6907663323043,10684176.3210785,83.9060118391412,2619.74543797556
1977,"ME","Machinery and Equipment",774555.915097964,14,1.7,15.6907663323043,10735119.1558015,84.3060810597278,2632.2365514552
1978,"ME","Machinery and Equipment",830803.114517424,14,1.7,15.6907663323043,10839424.4393051,85.1252214491719,2657.81206447591
1979,"ME","Machinery and Equipment",843208.296671081,14,1.7,15.6907663323043,10952474.0075938,86.0130333057143,2685.53166418011
1980,"ME","Machinery and Equipment",753710.628878874,14,1.7,15.6907663323043,10971547.1906427,86.1628206804843,2690.2083826073
1981,"ME","Machinery and Equipment",746553.271421577,14,1.7,15.6907663323043,10979223.6029994,86.2231058280449,2692.09062843019
1982,"ME","Machinery and Equipment",668207.772573798,14,1.7,15.6907663323043,10904986.9290957,85.6401031657645,2673.88789740581
1983,"ME","Machinery and Equipment",653087.843590388,14,1.7,15.6907663323043,10813331.883055,84.9203088505925,2651.41420532916
1984,"ME","Machinery and Equipment",728536.316722283,14,1.7,15.6907663323043,10796326.3815071,84.7867595931367,2647.24447958131
1985,"ME","Machinery and Equipment",716084.373531875,14,1.7,15.6907663323043,10766620.3053892,84.5534689491468,2639.9605902995
1986,"ME","Machinery and Equipment",667783.475049415,14,1.7,15.6907663323043,10688662.5336801,83.9412433999423,2620.84545117674
1987,"ME","Machinery and Equipment",623836.230081967,14,1.7,15.6907663323043,10567639.9999579,82.990817476395,2591.17089124032
1988,"ME","Machinery and Equipment",626550.360792775,14,1.7,15.6907663323043,10451491.1027358,82.0786656686612,2562.69134031573
1989,"ME","Machinery and Equipment",629302.760825473,14,1.7,15.6907663323043,10341388.2359651,81.2139951348592,2535.69426779818
1990,"ME","Machinery and Equipment",604986.535206934,14,1.7,15.6907663323043,10211092.184257,80.1907415186072,2503.74585392043
1991,"ME","Machinery and Equipment",568466.855079603,14,1.7,15.6907663323043,10049262.6346971,78.9198459724052,2464.06546944823
1992,"ME","Machinery and Equipment",583048.390469939,14,1.7,15.6907663323043,9908097.34256666,77.8112329809287,2429.45193266771
1993,"ME","Machinery and Equipment",617606.161347977,14,1.7,15.6907663323043,9808393.6264361,77.0282300675874,2405.00471768054
1994,"ME","Machinery and Equipment",659252.769878015,14,1.7,15.6907663323043,9757434.42506786,76.6280323148714,2392.50959112185
1995,"ME","Machinery and Equipment",707334.878621849,14,1.7,15.6907663323043,9761234.58129093,76.6578760710452,2393.44138423624
1996,"ME","Machinery and Equipment",733193.688060889,14,1.7,15.6907663323043,9796579.60851144,76.935451073862,2402.10793662488
1997,"ME","Machinery and Equipment",778862.286520404,14,1.7,15.6907663323043,9882009.08586305,77.6063541479655,2423.05512776389
1998,"ME","Machinery and Equipment",805717.902304993,14,1.7,15.6907663323043,9997118.76905092,78.5103446990487,2451.27986482699
1999,"ME","Machinery and Equipment",855289.291528526,14,1.7,15.6907663323043,10162856.3617756,79.8119312696401,2491.9184961443
2000,"ME","Machinery and Equipment",904245.971526633,14,1.7,15.6907663323043,10376582.8938677,81.4903892427348,2544.32394983549
2001,"ME","Machinery and Equipment",814166.792277658,14,1.7,15.6907663323043,10496951.7316483,82.4356814977827,2573.83822442005
2002,"ME","Machinery and Equipment",709120.579986128,14,1.7,15.6907663323043,10507779.7268039,82.5207169616697,2576.49323403975
2003,"ME","Machinery and Equipment",714853.742657335,14,1.7,15.6907663323043,10520202.7702346,82.6182788136887,2579.53934731751
2004,"ME","Machinery and Equipment",732017.466090264,14,1.7,15.6907663323043,10546211.2724117,82.8225313106527,2585.91659652038
2005,"ME","Machinery and Equipment",795201.783223789,14,1.7,15.6907663323043,10632023.6211977,83.4964411879151,2606.95766721206
2006,"ME","Machinery and Equipment",833111.22603878,14,1.7,15.6907663323043,10751919.4055983,84.4380184141849,2636.3559497541
2007,"ME","Machinery and Equipment",837378.086267004,14,1.7,15.6907663323043,10871383.6808127,85.3762068705768,2665.64842683316
2008,"ME","Machinery and Equipment",772365.465714313,14,1.7,15.6907663323043,10920374.7928736,85.7609486330735,2677.66098058237
2009,"ME","Machinery and Equipment",589899.624802582,14,1.7,15.6907663323043,10781516.4925732,84.6704531340446,2643.61311504693
2010,"ME","Machinery and Equipment",671220.175896981,14,1.7,15.6907663323043,10720664.72487,84.192566117966,2628.69234473741
2011,"ME","Machinery and Equipment",734467.200027038,14,1.7,15.6907663323043,10721367.0343749,84.1980815632244,2628.86455006856
2012,"ME","Machinery and Equipment",780879.807389388,14,1.7,15.6907663323043,10767106.2010627,84.5572848322728,2640.07973125486
2013,"ME","Machinery and Equipment",772289.295524182,14,1.7,15.6907663323043,10802589.8212958,84.8359482472052,2648.78026646084
2014,"ME","Machinery and Equipment",824978.164306554,14,1.7,15.6907663323043,10888888.2575509,85.5136755138203,2669.94052513587
2015,"ME","Machinery and Equipment",825253.753697722,14,1.7,15.6907663323043,10973057.6855207,86.1746830456594,2690.57875388786
2016,"ME","Machinery and Equipment",784095.656265363,14,1.7,15.6907663323043,11013063.8677366,86.4888634838858,2700.38821511362
2017,"ME","Machinery and Equipment",802342,14,1.7,15.6907663323043,11068277.7181548,86.9224742600145,2713.92657580699
2018,"ME","Machinery and Equipment",821543.30347076,14,1.7,15.6907663323043,11139642.1046686,87.4829199958178,2731.42502588728
2019,"ME","Machinery and Equipment",778964.465600922,14,1.7,15.6907663323043,11165108.1286153,87.682912250022,2737.66926016916
2020,"ME","Machinery and Equipment",672730.883680669,14,1.7,15.6907663323043,11081164.2912746,87.0236763484355,2717.08634593124
2021,"ME","Machinery and Equipment",678588.098183124,14,1.7,15.6907663323043,11001207.7606606,86.3957539515464,2697.48111385554
2022,"ME","Machinery and Equipment",682740.675751875,14,1.7,15.6907663323043,10924931.082211,85.7967305273064,2678.77817650343
2023,"ME","Machinery and Equipment",693847.638197878,14,1.7,15.6907663323043,10860288.1884353,85.2890706715102,2662.9278272601
2024,"ME","Machinery and Equipment",699141.486471138,14,1.7,15.6907663323043,10802178.2134766,84.8327157686766,2648.67934078587
1901,"NRC","Nonresidential Structures",1315562.44125393,30,1.6,33.4606966397767,1315562.44125393,2.36263891009896,100
1902,"NRC","Nonresidential Structures",1680703.51963804,30,1.6,33.4606966397767,2991489.94268354,5.37246299842459,227.392470997591
1903,"NRC","Nonresidential Structures",1879751.54431674,30,1.6,33.4606966397767,4855491.01993933,8.72005132680014,369.081000466334
1904,"NRC","Nonresidential Structures",1738704.26855104,30,1.6,33.4606966397767,6562010.44172888,11.7848159174619,498.79885864439
1905,"NRC","Nonresidential Structures",1720249.484806,30,1.6,33.4606966397767,8229725.3836785,14.7798909433557,625.567067408395
1906,"NRC","Nonresidential Structures",1954888.87813586,30,1.6,33.4606966397767,10108712.1670826,18.1543923328914,768.394707091781
1907,"NRC","Nonresidential Structures",2152618.70397563,30,1.6,33.4606966397767,12158565.4429482,21.8357554956597,924.210441228409
1908,"NRC","Nonresidential Structures",1886342.5385114,30,1.6,33.4606966397767,13911375.0832931,24.9836534048826,1057.44696314327
1909,"NRC","Nonresidential Structures",2169755.28888174,30,1.6,33.4606966397767,15914438.1060257,28.5809852292678,1209.70602435692
1910,"NRC","Nonresidential Structures",2549396.5544941,30,1.6,33.4606966397767,18261182.5022142,32.795539741182,1388.08937755995
1911,"NRC","Nonresidential Structures",2363530.51820471,30,1.6,33.4606966397767,20382009.3818824,36.604365495368,1549.30003645097
1912,"NRC","Nonresidential Structures",2363530.51820471,30,1.6,33.4606966397767,22459871.2029585,40.3360296371355,1707.24478737405
1913,"NRC","Nonresidential Structures",2381985.30194976,30,1.6,33.4606966397767,24511101.0900212,44.0198650772177,1863.16516201682
1914,"NRC","Nonresidential Structures",1894251.73154499,30,1.6,33.4606966397767,26027587.5670138,46.743346566828,1978.43802398353
1915,"NRC","Nonresidential Structures",1531747.05083875,30,1.6,33.4606966397767,27134696.565685,48.7316207193556,2062.59282834356
1916,"NRC","Nonresidential Structures",2031344.4107939,30,1.6,33.4606966397767,28696308.535572,51.5361437787207,2181.2958196207
1917,"NRC","Nonresidential Structures",2297620.57625812,30,1.6,33.4606966397767,30478797.7086593,54.7373436192636,2316.78837529053
1918,"NRC","Nonresidential Structures",2322666.35419783,30,1.6,33.4606966397767,32239214.0402851,57.8989025028605,2450.60310550948
1919,"NRC","Nonresidential Structures",2682534.63722621,30,1.6,33.4606966397767,34310999.873211,61.6196546836516,2608.08600164257
1920,"NRC","Nonresidential Structures",4176053.92173594,30,1.6,33.4606966397767,37825624.4143495,67.931623188444,2875.24356337628
1921,"NRC","Nonresidential Structures",2831491.1060255,30,1.6,33.4606966397767,39937689.0132314,71.7247126272127,3035.78817400448
1922,"NRC","Nonresidential Structures",3092494.476134,30,1.6,33.4606966397767,42250853.3921552,75.8789602674015,3211.61900547144
1923,"NRC","Nonresidential Structures",4000733.47615801,30,1.6,33.4606966397767,45411653.643146,81.5554902638975,3451.88128051618
1924,"NRC","Nonresidential Structures",4123325.96817866,30,1.6,33.4606966397767,48629908.7903183,87.3352043959673,3696.51088122938
1925,"NRC","Nonresidential Structures",4042915.83900382,30,1.6,33.4606966397767,51697929.021454,92.8451093216073,3929.72065789428
1926,"NRC","Nonresidential Structures",4723106.43989263,30,1.6,33.4606966397767,55373204.6934241,99.4455936738818,4209.0898126162
1927,"NRC","Nonresidential Structures",4662469.29330177,30,1.6,33.4606966397767,58910148.7181816,105.797646084081,4477.94394783962
1928,"NRC","Nonresidential Structures",4611059.53858343,30,1.6,33.4606966397767,62313872.3245394,111.910445886983,4736.67158399147
1929,"NRC","Nonresidential Structures",5130429.88112256,30,1.6,33.4606966397767,66152417.4112601,118.804148303276,5028.45135561995
1930,"NRC","Nonresidential Structures",4277555.23233369,30,1.6,33.4606966397767,69049543.5925571,124.007141964963,5248.6709431095
1931,"NRC","Nonresidential Structures",1662325.92711273,30,1.6,33.4606966397767,69242413.1782558,124.353519433229,5263.33156123378
1932,"NRC","Nonresidential Structures",922678.830451554,30,1.6,33.4606966397767,68616683.9402773,123.229762628933,5215.76793229786
1933,"NRC","Nonresidential Structures",747212.600603993,30,1.6,33.4606966397767,67749146.3565613,121.671738481249,5149.82369761075
1934,"NRC","Nonresidential Structures",809696.399517645,30,1.6,33.4606966397767,66888182.3014813,120.125519835184,5084.37913731611
1935,"NRC","Nonresidential Structures",879553.172721427,30,1.6,33.4606966397767,66049443.912552,118.619216606286,5020.62401915312
1936,"NRC","Nonresidential Structures",982448.283009582,30,1.6,33.4606966397767,65272776.3823844,117.224387391463,4961.58710035607
1937,"NRC","Nonresidential Structures",1323246.96596268,30,1.6,33.4606966397767,64801797.9958177,116.378550031697,4925.7865657864
1938,"NRC","Nonresidential Structures",1006325.88457423,30,1.6,33.4606966397767,63982771.9584702,114.907648519507,4863.52984488406
1939,"NRC","Nonresidential Structures",1016577.04564775,30,1.6,33.4606966397767,63147658.9739737,113.407856210432,4800.05030500752
1940,"NRC","Nonresidential Structures",1086464.60711352,30,1.6,33.4606966397767,62360919.4092668,111.994938473194,4740.24777948414
1941,"NRC","Nonresidential Structures",1141634.11191763,30,1.6,33.4606966397767,61611895.0247698,110.649754010693,4683.31210231605
1942,"NRC","Nonresidential Structures",764916.326350151,30,1.6,33.4606966397767,60472224.909743,108.603002846322,4596.6822260526
1943,"NRC","Nonresidential Structures",600686.162688696,30,1.6,33.4606966397767,59159074.4064886,106.244695572934,4496.86556497471
1944,"NRC","Nonresidential Structures",763146.421975162,30,1.6,33.4606966397767,58004262.5155503,104.170751059304,4409.08471514765
1945,"NRC","Nonresidential Structures",949145.970939907,30,1.6,33.4606966397767,57035248.8917428,102.430484523691,4335.42697048872
1946,"NRC","Nonresidential Structures",1270709.81994302,30,1.6,33.4606966397767,56390257.7390844,101.272134949278,4286.39918340448
1947,"NRC","Nonresidential Structures",1203631.90027052,30,1.6,33.4606966397767,55681908.7178593,100,4232.55536732912
1948,"NRC","Nonresidential Structures",1360057.65190762,30,1.6,33.4606966397767,55135135.2486322,99.0180410804565,4190.99341237502
1949,"NRC","Nonresidential Structures",1246789.34030331,30,1.6,33.4606966397767,54481309.8493024,97.8438259459813,4141.2941066768
1950,"NRC","Nonresidential Structures",1180941.31733319,30,1.6,33.4606966397767,53769215.8672002,96.5649653636144,4087.16562445717
1951,"NRC","Nonresidential Structures",1336012.6099132,30,1.6,33.4606966397767,53221445.5922215,95.5812162652236,4045.52789919218
1952,"NRC","Nonresidential Structures",1305486.77925096,30,1.6,33.4606966397767,52653339.8075069,94.56094631077,4002.34440847371
1953,"NRC","Nonresidential Structures",1353534.32594272,30,1.6,33.4606966397767,52144302.6879527,93.6467586845278,3963.65091103173
1954,"NRC","Nonresidential Structures",1243307.13986863,30,1.6,33.4606966397767,51536737.2875664,92.5556225967459,3917.46797198346
1955,"NRC","Nonresidential Structures",1169046.68938925,30,1.6,33.4606966397767,50867584.350774,91.353880500973,3866.60357240737
1956,"NRC","Nonresidential Structures",1302710.15330791,30,1.6,33.4606966397767,50345977.6309536,90.4171189354466,3826.9546204866
1957,"NRC","Nonresidential Structures",1238558.80392322,30,1.6,33.4606966397767,49774635.9176625,89.3910375268762,3783.52515675499
1958,"NRC","Nonresidential Structures",1026892.5522191,30,1.6,33.4606966397767,49006587.1339139,88.0116868518834,3725.14337572629
1959,"NRC","Nonresidential Structures",955232.856966438,30,1.6,33.4606966397767,48183157.749539,86.5328773007467,3662.55194269708
1960,"NRC","Nonresidential Structures",975484.045018201,30,1.6,33.4606966397767,47397721.8958502,85.1223009182656,3602.8485163101
1961,"NRC","Nonresidential Structures",903442.678004972,30,1.6,33.4606966397767,46559043.8936061,83.6161061387481,3539.0979883272
1962,"NRC","Nonresidential Structures",891753.588110886,30,1.6,33.4606966397767,45728521.9774889,82.1245590002954,3475.96742986237
1963,"NRC","Nonresidential Structures",864206.819239678,30,1.6,33.4606966397767,44891233.0300825,80.6208588458178,3412.3224882655
1964,"NRC","Nonresidential Structures",936420.196672638,30,1.6,33.4606966397767,44147753.2654266,79.2856320517382,3355.80827492666
1965,"NRC","Nonresidential Structures",1069138.98671071,30,1.6,33.4606966397767,43558975.5511269,78.2282370596178,3311.0534464338
1966,"NRC","Nonresidential Structures",1149035.34963595,30,1.6,33.4606966397767,43071810.763565,77.3533302922683,3274.02253309323
1967,"NRC","Nonresidential Structures",1101430.86190111,30,1.6,33.4606966397767,42558142.2132223,76.43082500793,3234.97698616707
1968,"NRC","Nonresidential Structures",1073177.01869809,30,1.6,33.4606966397767,42036943.3101317,75.4947958467683,3195.35903366656
1969,"NRC","Nonresidential Structures",1095248.0511199,30,1.6,33.4606966397767,41558344.6217721,74.6352730692991,3158.97925621537
1970,"NRC","Nonresidential Structures",1061775.70569671,30,1.6,33.4606966397767,41066484.7573617,73.7519343409113,3121.59145545529
1971,"NRC","Nonresidential Structures",984802.960492267,30,1.6,33.4606966397767,40517601.2020545,72.7661858851814,3079.86910628393
1972,"NRC","Nonresidential Structures",1012977.05622027,30,1.6,33.4606966397767,40016841.8737304,71.8668644720785,3041.8048295441
1973,"NRC","Nonresidential Structures",1030141.75491432,30,1.6,33.4606966397767,39553037.7970691,71.0339115662946,3006.54963662303
1974,"NRC","Nonresidential Structures",971611.711990977,30,1.6,33.4606966397767,39050142.1553922,70.1307535150414,2968.32297204924
1975,"NRC","Nonresidential Structures",899319.740917144,30,1.6,33.4606966397767,38494213.9539895,69.1323534705681,2926.06513737947
1976,"NRC","Nonresidential Structures",866962.204519434,30,1.6,33.4606966397767,37925256.3435306,68.1105537091018,2882.81689673217
1977,"NRC","Nonresidential Structures",872009.574390906,30,1.6,33.4606966397767,37380775.1407876,67.1327115063464,2841.42918409544
1978,"NRC","Nonresidential Structures",972283.527379101,30,1.6,33.4606966397767,36955949.8796905,66.3697612575506,2809.13689238998
1979,"NRC","Nonresidential Structures",1039765.98971352,30,1.6,33.4606966397767,36617468.7414807,65.7618777528294,2783.4078864838
1980,"NRC","Nonresidential Structures",1058126.92988288,30,1.6,33.4606966397767,36315374.8842483,65.2193427280998,2760.44479117497
1981,"NRC","Nonresidential Structures",1093473.17348218,30,1.6,33.4606966397767,36065810.5905655,64.7711463579873,2741.47463165559
1982,"NRC","Nonresidential Structures",1069725.80569749,30,1.6,33.4606966397767,35808794.0179501,64.3095663250224,2721.93800119582
1983,"NRC","Nonresidential Structures",902545.851621605,30,1.6,33.4606966397767,35400139.8855792,63.5756580561058,2690.87492736852
1984,"NRC","Nonresidential Structures",988258.819381866,30,1.6,33.4606966397767,35092663.9859177,63.0234573382398,2667.50272624605
1985,"NRC","Nonresidential Structures",1028590.06369231,30,1.6,33.4606966397767,34840617.8786268,62.5708038407313,2648.34391634185
1986,"NRC","Nonresidential Structures",855288.876086094,30,1.6,33.4606966397767,34429676.3892046,61.832787671953,2617.10697337847
1987,"NRC","Nonresidential Structures",785915.776801676,30,1.6,33.4606966397767,33963733.2478787,60.9959931868953,2581.68918348764
1988,"NRC","Nonresidential Structures",750175.17951311,30,1.6,33.4606966397767,33476700.7728472,60.1213240416631,2544.66832763475
1989,"NRC","Nonresidential Structures",749235.337855631,30,1.6,33.4606966397767,33003620.5751036,59.2717120067367,2508.708027849
1990,"NRC","Nonresidential Structures",836243.962112101,30,1.6,33.4606966397767,32632542.6978673,58.6052875148671,2480.50124224917
1991,"NRC","Nonresidential Structures",736524.602202586,30,1.6,33.4606966397767,32176410.9257291,57.7861134192926,2445.82924509916
1992,"NRC","Nonresidential Structures",651835.649455369,30,1.6,33.4606966397767,31650215.1994185,56.8411103861227,2405.83146849731
1993,"NRC","Nonresidential Structures",638511.888689039,30,1.6,33.4606966397767,31125644.7980403,55.8990262991058,2365.95723790752
1994,"NRC","Nonresidential Structures",618636.393986536,30,1.6,33.4606966397767,30596418.0745633,54.9485798513043,2325.72906576751
1995,"NRC","Nonresidential Structures",676175.332211857,30,1.6,33.4606966397767,30140146.0161427,54.1291538134282,2291.04640502009
1996,"NRC","Nonresidential Structures",696330.666077329,30,1.6,33.4606966397767,29719342.4072863,53.3734261120151,2259.05981163154
1997,"NRC","Nonresidential Structures",692501.965460027,30,1.6,33.4606966397767,29309759.3409788,52.6378495562923,2227.92612664148
1998,"NRC","Nonresidential Structures",713324.225394806,30,1.6,33.4606966397767,28935804.1653493,51.966257679792,2199.50062862612
