"year","I_ME_real_2017_dollars_millions","K_ME_gross_surviving_2017_dollars_millions","I_NRC_real_2017_dollars_millions","K_NRC_gross_surviving_2017_dollars_millions","K_core_ME_NRC_gross_surviving_2017_dollars_millions","core_stock_index_1947_100","core_stock_index_first_valid_100","log_K_core_ME_NRC_gross_surviving"
1936,816556.811384773,20123438.8259278,982448.283009582,65272776.3823844,85396215.2083122,124.820139799869,4955.11548021477,18.2628123393729
1937,924639.763365943,19477696.3960829,1323246.96596268,64801797.9958177,84279494.3919005,123.18787485602,4890.31775362957,18.2496491477354
1938,622350.239389685,18562834.2150571,1006325.88457423,63982771.9584702,82545606.1735272,120.653521673192,4789.70888787521,18.2288615006695
1939,627081.679604102,17691702.2212726,1016577.04564775,63147658.9739737,80839361.1952463,118.159573478856,4690.70402115723,18.207974548381
1940,731978.08858634,16970000.1029942,1086464.60711352,62360919.4092668,79330919.512261,115.954746235742,4603.17669086363,18.1891385161887
1941,752127.196012379,16315692.8172006,1141634.11191763,61611895.0247698,77927587.8419704,113.903553980394,4521.7483691708,18.1712905924595
1942,545029.688575011,15502513.435581,764916.326350151,60472224.909743,75974738.345324,111.04915409177,4408.43427500682,18.1459114528036
1943,437108.518460738,14631684.7290732,600686.162688696,59159074.4064886,73790759.1355617,107.856921396006,4281.70887898825,18.1167440667654
1944,535584.445393993,13912339.0108366,763146.421975162,58004262.5155503,71916601.5263869,105.117542206734,4172.96088168028,18.0910176934848
1945,641872.549112937,13353054.7557829,949145.970939907,57035248.8917428,70388303.6475256,102.883691977775,4084.2813955994,18.0695376659549
1946,720316.3182533,12924365.1982642,1270709.81994302,56390257.7390844,69314622.9373487,101.314336989176,4021.98107122521,18.0541664510978
1947,909126.491811446,12733505.1290025,1203631.90027052,55681908.7178593,68415413.8468618,100,3969.80446277304,18.0411087058439
1948,849952.046387454,12527259.862526,1360057.65190762,55135135.2486322,67662395.1111582,98.8993434470935,3926.11054981596,18.0300411199093
1949,721556.966154317,12231352.8939517,1246789.34030331,54481309.8493024,66712662.7432541,97.5111586587505,3871.00232813678,18.015905339093
1950,685879.765574563,11935292.6676306,1180941.31733319,53769215.8672002,65704508.5348308,96.0375810660168,3812.50417909801,18.0006781041572
1951,749015.128180555,11735414.4919014,1336012.6099132,53221445.5922215,64956860.0841229,94.9447740380839,3769.12187693364,17.989233916506
1952,743131.441855881,11559528.7413295,1305486.77925096,52653339.8075069,64212868.5488364,93.8573121732008,3725.95176729056,17.9777141932598
1953,741157.559795181,11408224.7329104,1353534.32594272,52144302.6879527,63552527.4208631,92.8921186724332,3687.63547262269,17.9673773253968
1954,684449.366939465,11223717.5177801,1243307.13986863,51536737.2875664,62760454.8053465,91.7343786676886,3641.67545824703,17.954835732542
1955,684266.419209607,11060200.56877,1169046.68938925,50867584.350774,61927784.9195441,90.5172993006527,3593.35978721894,17.9414795047878
1956,713994.058255907,10945571.3729057,1302710.15330791,50345977.6309536,61291549.0038593,89.587339398475,3556.44219752029,17.9311525284964
1957,727860.077101959,10861724.1262067,1238558.80392322,49774635.9176625,60636360.0438692,88.6296766100036,3518.42485740524,17.920405271835
1958,583375.549862804,10648002.5453379,1026892.5522191,49006587.1339139,59654589.6792517,87.1946631979456,3461.45763093197,17.9040816470394
1959,607522.836207516,10472276.6707986,955232.856966438,48183157.749539,58655434.4203376,85.7342390000439,3403.48164594825,17.8871907872595
1960,629191.93043186,10331615.2826692,975484.045018201,47397721.8958502,57729337.1785193,84.3806007045989,3349.74485248587,17.8712760455667
1961,587212.198688363,10161434.6494099,903442.678004972,46559043.8936061,56720478.543016,82.9059934797394,3291.20582906503,17.8536458770887
1962,617635.367229759,10033569.2849584,891753.588110886,45728521.9774889,55762091.2624473,81.5051581610876,3235.59540606909,17.83660482842
1963,629408.971871451,9928696.53306681,864206.819239678,44891233.0300825,54819929.5631493,80.1280391080523,3180.92647244399,17.819564363963
1964,671692.288041208,9876419.85593956,936420.196672638,44147753.2654266,54024173.1213662,78.9649146057811,3134.75270404522,17.8049421547587
1965,770523.220436779,9932045.27504085,1069138.98671071,43558975.5511269,53491020.8261678,78.1856277971216,3103.81654153726,17.7950243627555
1966,842107.997753453,10066170.0456049,1149035.34963595,43071810.763565,53137980.8091699,77.6696037067198,3083.3313941675,17.7884025000048
1967,786408.18769879,10148682.8000941,1101430.86190111,42558142.2132223,52706825.0133164,77.0394009912637,3058.31357864481,17.7802555120203
1968,796975.867116019,10243821.9467598,1073177.01869809,42036943.3101317,52280765.2568915,76.4166469473014,3033.59146081549,17.7721390842737
1969,821332.224519679,10363851.5703401,1095248.0511199,41558344.6217721,51922196.1921122,75.8925412748839,3012.78549044222,17.7652569290054
1970,753978.432204574,10415465.8584761,1061775.70569671,41066484.7573617,51481950.6158378,75.2490524007833,2987.24024040072,17.7567418307249
1971,719629.354492161,10430879.9109002,984802.960492267,40517601.2020545,50948481.1129547,74.4693019426816,2956.28567191651,17.7463255058629
1972,777121.83200943,10501878.5397815,1012977.05622027,40016841.8737304,50518720.4135118,73.84113838234,2931.34880686455,17.7378545268105
1973,865755.110073952,10659104.9807505,1030141.75491432,39553037.7970691,50212142.7778195,73.3930264460758,2913.55963922052,17.7317674434161
1974,791899.469592467,10738621.6272329,971611.711990977,39050142.1553922,49788763.7826252,72.7741907606819,2888.99307256452,17.7232998896824
1975,686368.248458814,10708018.8074723,899319.740917144,38494213.9539895,49202232.7614619,71.916882461011,2854.95960942446,17.7114495617634
1976,696920.907214641,10684176.3210785,866962.204519434,37925256.3435306,48609432.6646091,71.0504109109307,2820.56238316071,17.6993281577873
1977,774555.915097964,10735119.1558015,872009.574390906,37380775.1407876,48115894.2965891,70.3290261523371,2791.9248188203,17.6891231232483
1978,830803.114517424,10839424.4393051,972283.527379101,36955949.8796905,47795374.3189955,69.8605352676499,2773.3266467723,17.6824394212099
1979,843208.296671081,10952474.0075938,1039765.98971352,36617468.7414807,47569942.7490744,69.5310312023443,2760.24597968278,17.6777116648987
1980,753710.628878874,10971547.1906427,1058126.92988288,36315374.8842483,47286922.074891,69.1173515090271,2743.82370475589,17.6717443263291
1981,746553.271421577,10979223.6029994,1093473.17348218,36065810.5905655,47045034.1935649,68.7637939293454,2729.78816017921,17.6666158752495
1982,668207.772573798,10904986.9290957,1069725.80569749,35808794.0179501,46713780.9470458,68.2796146663791,2710.56719019016,17.6595497743329
1983,653087.843590388,10813331.883055,902545.851621605,35400139.8855792,46213471.7686342,67.5483332923725,2681.53674956941,17.6487819102696
1984,728536.316722283,10796326.3815071,988258.819381866,35092663.9859177,45888990.3674248,67.0740521575164,2662.70871591181,17.6417357849833
1985,716084.373531875,10766620.3053892,1028590.06369231,34840617.8786268,45607238.184016,66.6622265650564,2646.36004516349,17.6355769939936
1986,667783.475049415,10688662.5336801,855288.876086094,34429676.3892046,45118338.9228848,65.9476225984334,2617.99166500533,17.624799349824
1987,623836.230081967,10567639.9999579,785915.776801676,33963733.2478787,44531373.2478366,65.0896789830341,2583.93298107314,17.6117045155342
1988,626550.360792775,10451491.1027358,750175.17951311,33476700.7728472,43928191.875583,64.2080335491503,2548.93338129298,17.5980668558876
1989,629302.760825473,10341388.2359651,749235.337855631,33003620.5751036,43345008.8110687,63.3556188201834,2515.09418334112,17.5847021175625
1990,604986.535206934,10211092.184257,836243.962112101,32632542.6978673,42843634.8821243,62.6227811440616,2486.00196056955,17.5730676477998
1991,568466.855079603,10049262.6346971,736524.602202586,32176410.9257291,42225673.5604262,61.7195324652167,2450.14475420683,17.5585389722284
1992,583048.390469939,9908097.34256666,651835.649455369,31650215.1994185,41558312.5419851,60.7440782789205,2411.42113038694,17.5426081204351
1993,617606.161347977,9808393.6264361,638511.888689039,31125644.7980403,40934038.4244764,59.8316024457608,2375.19762404044,17.5274725102145
1994,659252.769878015,9757434.42506786,618636.393986536,30596418.0745633,40353852.4996311,58.9835685127295,2341.53233512113,17.513197425189
1995,707334.878621849,9761234.58129093,676175.332211857,30140146.0161427,39901380.5974337,58.3222089202694,2315.27765250467,17.5019214827009
1996,733193.688060889,9796579.60851144,696330.666077329,29719342.4072863,39515922.0157977,57.7587999456505,2292.91141788659,17.4922142376603
1997,778862.286520404,9882009.08586305,692501.965460027,29309759.3409788,39191768.4268418,57.2849979604991,2274.10240553534,17.4839772935987
1998,805717.902304993,9997118.76905092,713324.225394806,28935804.1653493,38932922.9344002,56.9066541372476,2259.08289555528,17.4773507985662
1999,855289.291528526,10162856.3617756,685086.942237853,28548103.4134209,38710959.7751965,56.5822197054095,2246.2034830014,17.4716333162324
2000,904245.971526633,10376582.8938677,718370.171369101,28207950.2665258,38584533.1603936,56.3974271159999,2238.86757854014,17.4683620588086
2001,814166.792277658,10496951.7316483,698218.508920697,27861573.1557791,38358524.8874274,56.0670801075435,2225.7534482558,17.4624873527935
2002,709120.579986128,10507779.7268039,528129.98015902,27358734.0595269,37866513.7863308,55.3479276922736,2197.20450358027,17.4495777382423
2003,714853.742657335,10520202.7702346,497032.040490094,26838760.0587064,37358962.8289411,54.6060613074179,2167.75385872646,17.4360834094016
2004,732017.466090264,10546211.2724117,470664.090527347,26306821.8211341,36853033.0935458,53.8665645961539,2138.39728528064,17.4224484823995
2005,795201.783223789,10632023.6211977,484165.08641228,25803123.6922065,36435147.3134043,53.2557581175482,2114.14946243404,17.4110444522622
2006,833111.22603878,10751919.4055983,520463.894899728,25350626.5644572,36102545.9700555,52.7696083968241,2094.85026912498,17.4018739463026
2007,837378.086267004,10871383.6808127,578383.105782125,24970875.9063327,35842259.5871453,52.3891584831646,2079.74715147391,17.3946381906
2008,772365.465714313,10920374.7928736,600054.710517087,24627282.7372296,35547657.5301033,51.9585507582716,2062.65286679406,17.386384819781
2009,589899.624802582,10781516.4925732,480147.853963077,24177838.3060693,34959354.7986425,51.0986528224387,2028.51660016208,17.3696966531649
2010,671220.175896981,10720664.72487,396559.90391071,23658907.9019827,34379572.6268527,50.2512090386627,1994.87473901424,17.3529731269765
2011,734467.200027038,10721367.0343749,403764.151915936,23161671.6963719,33883038.7307468,49.5254458397185,1966.06335915339,17.3384251147163
2012,780879.807389388,10767106.2010627,456067.896407867,22731468.8290067,33498575.0300694,48.9634910417281,1943.754852504,17.3270134594748
2013,772289.295524182,10802589.8212958,435648.832669549,22295474.7302806,33098064.5515764,48.3780813277863,1920.51523155444,17.3149853658756
2014,824978.164306554,10888888.2575509,472820.424836534,21911177.496975,32800065.7545259,47.9425087275569,1903.22385103191,17.3059410780635
2015,825253.753697722,10973057.6855207,438837.709509998,21507192.3335625,32480250.0190832,47.4750472046922,1884.66654263548,17.29614277086
2016,784095.656265363,11013063.8677366,395759.456556774,21074272.682426,32087336.5501626,46.9007417275668,1861.86773817461,17.2839720102697
2017,802342,11068277.7181548,386432,20646189.5907832,31714467.308938,46.3557340746726,1840.23200004756,17.2722835167224
2018,821543.30347076,11139642.1046686,399993.954298247,20245843.9503118,31385486.0549804,45.8748756899028,1821.14286242935,17.26185611647
2019,778964.465600922,11165108.1286153,387441.95852595,19847009.4009735,31012117.5295888,45.3291382538517,1799.47815333797,17.2498885741238
2020,672730.883680669,11081164.2912746,336732.565455598,19411408.2111809,30492572.5024555,44.5697406299534,1769.33155257426,17.2329936874111
2021,678588.098183124,11001207.7606606,296152.440236021,18949213.5891463,29950421.3498069,43.7773005610208,1737.87323135297,17.2150539508677
2022,682740.675751875,10924931.082211,312656.646821552,18517668.4188097,29442599.5010207,43.0350382253388,1708.40686802558,17.1979531461953
2023,693847.638197878,10860288.1884353,370030.141836663,18157660.4226698,29017948.6111052,42.4143434636787,1683.766499677,17.1834251141245
2024,699141.486471138,10802178.2134766,360036.225770161,17801539.4569229,28603717.6703995,41.8088791137402,1659.73074889264,17.1690472558178
