"year","asset_block","sfc_implicit_price_index_2017_100","faat402_quantity_index","bea_qadj_implied_price_index_2017_100","nfc_output_price_index_2017_100","sfc_vs_bea_qadj_percent_gap","sfc_vs_output_price_percent_gap","faat402_role","output_price_role"
1961,"ME",3.47387197431603,10.906,27.0715921707213,22.064609846692,-87.1678327879321,-84.2559102632996,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1962,"ME",3.68728884522057,11.342,27.1777374775958,22.1887904613023,-86.4326865021041,-83.3821998920974,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1963,"ME",3.89492382466497,11.839,27.2287587838678,22.2879837967468,-85.6955513265166,-82.5245573570747,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1964,"ME",4.12167900285637,12.488,27.4359644004644,22.4730509942696,-84.977094507432,-81.6594595726795,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1965,"ME",4.33471686694489,13.436,27.5967700600952,22.7916616191173,-84.292665926101,-80.9811283644673,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1966,"ME",4.66579109862621,14.648,28.3657597882126,23.3071246460874,-83.5513269044707,-79.9812668037133,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1967,"ME",5.03555286166064,15.661,29.2678963140086,23.848497314675,-82.7949613882893,-78.885240460991,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1968,"ME",5.46754322156365,16.725,30.3869095103316,24.7037999188698,-82.0069124841252,-77.8676023950983,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1969,"ME",5.90662323377982,17.876,31.4522513384583,25.7845667774371,-81.2203483616529,-77.0924084753348,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1970,"ME",6.45177606178546,18.781,32.8890619256837,26.8679129894018,-80.3832165345307,-75.987059120184,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1971,"ME",6.92884464603134,19.54,33.8388558747227,27.8886631875981,-79.5239984718067,-75.1553360610252,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1972,"ME",7.40321499541939,20.55,34.6788295552029,28.7727871410475,-78.6520621071288,-74.2700804092145,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1973,"ME",7.98874868830889,21.969,35.9910115163904,30.3967472976184,-77.8034893943706,-73.7184093742332,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1974,"ME",9.76980070965512,23.318,41.8085145109575,33.3192168354291,-76.6320310014972,-70.6781802288142,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1975,"ME",11.3959234238519,24.037,46.5898744793123,36.564601274966,-75.5399138735345,-68.8334535958575,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1976,"ME",12.7426224526579,24.85,49.823671919347,38.1759508658635,-74.4245617358647,-66.6213357790855,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1977,"ME",14.291156757353,26.11,53.4758925161428,40.1963854813893,-73.2755152183034,-64.4466620911233,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1978,"ME",16.0382162357921,27.715,57.4614399424701,42.9101816703935,-72.0887324580633,-62.6237512602798,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1979,"ME",18.2693885494454,29.439,62.6103115435575,46.5000841622648,-70.8204797276315,-60.7110634774481,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1980,"ME",21.3587275848104,30.715,69.76084893866,50.1426389511658,-69.3829305265609,-57.40406162984,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1981,"ME",23.9208649718923,31.919,74.6120625624866,54.4801467041507,-67.9396813995607,-56.092509989387,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1982,"ME",25.8883549548797,32.563,77.4182449774498,57.0049067846147,-66.5603954695429,-54.585742850707,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1983,"ME",27.2834660373431,33.167,78.2606729081034,58.1485792256125,-65.1377057933294,-53.0797374575823,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1984,"ME",28.8235459482314,34.404,79.3258587838003,59.246578350406,-63.6643757910156,-51.3498555515589,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1985,"ME",30.6058906046278,35.585,80.988240523129,60.1674361670248,-62.209463488854,-49.1321343331534,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1986,"ME",32.701767587741,36.447,83.2586392505246,60.544929840148,-60.7226734881631,-45.9876034639385,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1987,"ME",34.8660416807503,37.026,85.3423767230142,61.6153140025412,-59.1456870319994,-43.4133506496253,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1988,"ME",37.5139836648723,37.736,88.1616603568123,63.2290995175162,-57.4486420593217,-40.6697486582425,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1989,"ME",40.1218643421816,38.54,90.7578474049679,65.1453566499875,-55.7924019912515,-38.4117818899233,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1990,"ME",43.1312078558487,39.297,93.9008141491703,66.9767472414208,-54.0672695474922,-35.6027134307071,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1991,"ME",45.4156645533622,39.791,95.18500516878,68.7113619970468,-52.2869547857542,-33.9037049573924,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1992,"ME",47.6907242254597,40.519,96.1876761818365,69.1332931616639,-50.4190909703406,-31.0162701002281,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1993,"ME",50.1355101970137,41.75,97.1835280487251,70.0270069439918,-48.4115145810748,-28.4054647129036,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1994,"ME",52.8223795046679,43.456,98.6058179669783,71.020647035344,-46.4307678859706,-25.6239112009491,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1995,"ME",55.4884273153212,45.654,100.208635060439,71.9202021994151,-44.627099968127,-22.8472312112431,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1996,"ME",57.2334441544116,48.056,100.258816185367,72.522827352412,-42.9143028692921,-21.0821664793959,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1997,"ME",58.0870338479469,50.785,99.2325824648586,72.8995575119067,-41.4637486951251,-20.3190858346986,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1998,"ME",58.6550204045369,53.679,97.8838802876524,73.1168552638486,-40.076935822153,-19.7790711965454,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1999,"ME",59.5718904757276,56.998,97.1308438649742,73.7944346804504,-38.6684104602848,-19.273193522398,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2000,"ME",60.6952109582979,60.635,96.9596525816738,75.0767451317777,-37.4015795826296,-19.1557773958325,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2001,"ME",61.2066231055583,62.871,95.8958491396793,76.3535085523944,-36.1738556416489,-19.8378381478595,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2002,"ME",61.7821584036625,63.84,94.639126975154,76.5907687937524,-34.7181653314676,-19.3347196056581,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2003,"ME",62.2965193333916,65.017,93.1297519653452,77.4565840709758,-33.1078221312423,-19.5723383872604,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2004,"ME",65.5660584935848,66.644,95.3975830670576,78.9527909591575,-31.270734136423,-16.9553632024202,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2005,"ME",67.6048534273354,68.962,96.1182030228615,81.6233712792512,-29.6648800110675,-17.1746371562569,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2006,"ME",70.9684351285501,72.073,98.267460139758,83.91778185401,-27.780330307085,-15.4309926208341,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2007,"ME",72.9542616434327,75.008,98.5957194475032,85.7490754703761,-26.0066643336612,-14.9212265633856,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2008,"ME",76.6875302292563,77.079,100.83553085797,87.5086386636431,-23.9479084636613,-12.3657602262331,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2009,"ME",78.44792241644,76.504,100.003240952868,88.7351298078863,-21.554619961354,-11.593162047228,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2010,"ME",81.6009440222882,77.673,100.557508012101,89.75774662321,-18.8514655589232,-9.08757506487198,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2011,"ME",85.689054593157,80.059,102.105153263817,91.8681579860306,-16.0776397134867,-6.72605560874883,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2012,"ME",88.862715290316,83.184,102.5832513093,93.7832090937156,-13.3750254976957,-5.24666819460472,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2013,"ME",91.0829664578685,86.111,101.970247290636,95.0612816965969,-10.6769191230228,-4.18500063088333,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2014,"ME",93.476171050928,89.962,101.577532997223,96.6797903860191,-7.97554509077961,-3.31363909902971,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2015,"ME",94.8262272656852,93.662,100.138591609904,97.5522579281645,-5.30501204262367,-2.79443112888954,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2016,"ME",96.9552622725813,96.659,99.5248347744758,98.2351929695706,-2.58184051017737,-1.30292480555899,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2017,"ME",100,100,100,100,0,0,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2018,"ME",103.902739684419,103.8,101.145382996973,101.987974503904,2.72613203464682,1.8774421100421,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2019,"ME",106.940693290466,106.675,101.304872947221,103.779603647263,5.56322729527663,3.04596426668542,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2020,"ME",111.038458040315,107.566,101.975258769494,105.202094930837,8.88764527806505,5.54776320121297,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2021,"ME",122.25545986162,109.274,108.347205715356,110.302899069124,12.8367446621584,10.83612569875,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2022,"ME",133.804976390773,111.239,114.540761949298,118.453404583424,16.8186540002259,12.9600089261571,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2023,"ME",141.122048428844,113.563,116.98735665809,122.623002567546,20.6301710374483,15.0861139214953,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
2024,"ME",147.176933412101,116.061,118.665050693049,125.159593432685,24.0271946563301,17.5914121926716,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1931,"NRC",0.116764105542846,24.692,2.80482629326866,11.0935078353711,-95.8370289873897,-98.9474555093336,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1932,"NRC",0.114232598084447,24.49,2.67854901069972,9.48400466069822,-95.7352806452996,-98.7955235981924,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1933,"NRC",0.119377001843782,24.219,2.72527813093111,9.4485091057661,-95.6196396804829,-98.7365519733592,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1934,"NRC",0.12523212411517,24.01,2.77595584305553,10.4523000106236,-95.4886845758567,-98.8018701722311,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1935,"NRC",0.129497571644909,23.832,2.78792482781484,10.6590217659965,-95.355055116518,-98.7850895280276,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1936,"NRC",0.148710117903046,23.784,3.09860682833269,10.7303838841298,-95.2007425871754,-98.614121176755,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1937,"NRC",0.156433383430738,23.876,3.15651785898206,11.277218790517,-95.0441153695488,-98.6128372044863,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1938,"NRC",0.159391706462826,23.816,3.10921220252146,10.696770660833,-94.8735661614358,-98.5099081627836,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1939,"NRC",0.165555577632349,23.787,3.12242084694809,10.5770580913554,-94.6978454940126,-98.4347672462189,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1940,"NRC",0.18049368448457,23.84,3.28131307553894,10.7731310796332,-94.4993458310916,-98.3245940001065,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1941,"NRC",0.207772348008742,23.984,3.6259888344191,11.6850845188402,-94.2699120847671,-98.2219011965746,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1942,"NRC",0.232443724725271,23.87,3.9016055848102,12.9750035898853,-94.0423571867381,-98.2085267020159,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1943,"NRC",0.243388326685607,23.633,3.93088648901911,13.836507669906,-93.8083094649131,-98.2409699579398,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1944,"NRC",0.256962483677061,23.533,3.98764649055742,14.0875319802149,-93.5560365171402,-98.175958116454,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1945,"NRC",0.287100202016506,23.614,4.28516130840356,14.2161091173518,-93.3001308152979,-97.9804586497857,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1946,"NRC",0.35539191789692,24.045,5.09238418637843,15.301416851283,-93.0211094668082,-97.6773920915231,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1947,"NRC",0.434767473246916,24.432,5.96609244835793,17.3618845751693,-92.7126929894192,-97.4958509177701,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1948,"NRC",0.47034770849806,24.901,6.1883834946852,18.4615242645236,-92.3995061246283,-97.4522812864272,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1949,"NRC",0.490379553494791,25.299,6.18655337147674,18.1324353881236,-92.0734611980283,-97.2955670708416,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1950,"NRC",0.560823802401639,25.751,6.74540452820537,18.2423645598726,-91.68583885434,-96.9257066398329,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1951,"NRC",0.625218649735851,26.347,7.10364900590838,19.8195253167735,-91.1986269420711,-96.8454408481382,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1952,"NRC",0.678903849572898,26.964,7.35595728890403,19.9797711843638,-90.7706934269863,-96.6020439207822,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1953,"NRC",0.718341590135002,27.649,7.41471586437342,19.9195384469119,-90.3119471699985,-96.3937839621662,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1954,"NRC",0.76191953671246,28.275,7.43692238919043,19.8287660847679,-89.7549080541716,-96.1575040350204,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1955,"NRC",0.867287858733593,28.942,7.97448210163444,19.9833183487332,-89.124210855576,-95.6599407385782,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1956,"NRC",0.976349187707125,29.806,8.46650815624828,20.6999844684456,-88.4681007838328,-95.2833337184603,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1957,"NRC",1.07294057883293,30.642,8.72656285990464,21.3441270311362,-87.7048891292275,-94.9731344024155,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1958,"NRC",1.13371160155382,31.257,8.64789837335242,21.6770914427353,-86.8903223348781,-94.7700012958437,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1959,"NRC",1.22472755356771,31.841,8.75440318144366,21.8490389093135,-86.0101536542923,-94.3945930132165,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1960,"NRC",1.29627953061642,32.524,8.62985889963057,21.9750162974396,-84.9791341238278,-94.1011214141058,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1961,"NRC",1.38492461166763,33.183,8.64486696663302,22.064609846692,-83.9798042351249,-93.7233215484421,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
1962,"NRC",1.43918680800465,33.857,8.65673274278941,22.1887904613023,-83.3749423625973,-93.5139014877146,"FAAt402_VALIDATION_ONLY","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY"
