"year","K_real_ME","K_real_NRC","K_real_capacity","K_current_ME","K_current_NRC","K_current_capacity","pKN_ME","pKN_NRC","pKN_capacity"
1960,597.06376493783,818675.292184046,819272.355948984,2970,10710,13680,497.434306754364,1.30821097231701,1.66977439195469
1961,670.825251868871,811145.188697935,811816.013949804,3020,11482,14502,450.191758820423,1.41552956979639,1.7863653525929
1962,789.861080828855,826112.240182708,826902.101263537,3213,12328,15541,406.780391892253,1.49229116824046,1.87942441750393
1963,898.977224008499,846628.411701274,847527.388925282,3319,13147,16466,369.197340195198,1.55286543875624,1.94282806846867
1964,1131.63823413618,878070.722024331,879202.360258467,3742,14417,18159,330.671047258879,1.64189508184063,2.06539481930663
1965,1497.63290322412,903965.286117809,905462.919021033,4302,15619,19921,287.253304246895,1.72783183600752,2.20009009552132
1966,1920.351352566,922303.834104633,924224.185457199,4989,16992,21981,259.79620829978,1.84234298629971,2.37831906434328
1967,2426.07243800214,936703.030631925,939129.103069927,5915,18290,24205,243.809702766789,1.95259323412897,2.57738791406592
1968,3112.34509503616,965948.259943891,969060.605038927,7161,20741,27902,230.083740116769,2.1472164566252,2.87928328268789
1969,3847.12331881115,988934.617246378,992781.740565189,8601,23183,31784,223.569646388614,2.3442399118914,3.20150932489002
1970,4494.50311146242,1003766.75819929,1008261.26131075,9789,25735,35524,217.799381983626,2.56384262477145,3.52329315457566
1971,5373.8397275173,1017867.02856535,1023240.86829287,11044,29454,40498,205.514130677327,2.89369821139745,3.95781689872933
1972,6264.89688450385,1024055.20375101,1030320.10063551,12733,32720,45453,203.243568645079,3.19514025026679,4.41154161429678
1973,7674.59514459498,1043810.0172179,1051484.61236249,15470,37161,52631,201.574150929579,3.56013061639765,5.0053989740989
1974,9117.77106686565,1078122.38341985,1087240.15448672,20665,45046,65711,226.645304520723,4.17818985049843,6.04383490885893
1975,10445.4165243908,1109421.98146443,1119867.39798882,25210,48954,74164,241.349877634202,4.41256805957468,6.62256979113702
1976,11909.1404472553,1129594.39206989,1141503.53251715,29759,53650,83409,249.883693384929,4.74949241751197,7.30694190810548
1977,13498.2907305088,1142121.50157627,1155619.79230678,34631,60663,95294,256.558409441628,5.31143139467012,8.2461377552023
1978,15987.7629933278,1162718.71716533,1178706.48015865,41934,69679,111613,262.288101327874,5.99276497155523,9.4691088815408
1979,18807.3030901014,1197458.36151854,1216265.66460864,51819,83106,134925,275.525947296894,6.94019956523667,11.0933823033979
1980,21855.9203693883,1246259.94312347,1268115.86349285,63485,98681,162166,290.470494616726,7.9181715295028,12.7879482205463
1981,24806.7823931394,1317507.46132935,1342314.24372249,75265,114853,190118,303.404926955844,8.71744588710827,14.1634494969499
1982,27589.2287624256,1390429.73360455,1418018.96236697,84752,130250,215002,307.192349339702,9.36760749946998,15.1621385683811
1983,31762.5947583731,1441164.16036177,1472926.75512014,93703,142678,236381,295.010532712535,9.90019068779676,16.0483879580774
1984,37589.342291345,1512683.4652049,1550272.80749625,106596,159979,266575,283.580380773366,10.5758411247214,17.1953606301416
1985,43820.6820460706,1613872.32043148,1657693.00247755,120609,180670,301279,275.233050624813,11.1948137230396,18.1745956307782
1986,51249.7547309642,1696653.60469564,1747903.35942661,138965,203108,342073,271.152517176906,11.9710941253937,19.5704755732156
1987,58886.3153634371,1758084.27313411,1816970.58849755,155696,224140,379836,264.400988649177,12.7491044328853,20.9049063537174
1988,67304.7108725884,1812010.93260477,1879315.64347736,176873,245423,422296,262.794383493944,13.5442339548804,22.4707329748297
1989,76404.5096646248,1877055.2593499,1953459.76901452,197516,269955,467471,258.513536526823,14.3818355189765,23.9304134855989
1990,82770.5035766731,1934637.623101,2017408.12667767,214172,292069,506241,258.754013501447,15.0968324254879,25.093633425265
1991,86490.1020309665,1954182.98334846,2040673.08537943,220298,303155,523453,254.708914461825,15.5131327303111,25.6509973964141
1992,89987.7456717693,1959931.40667716,2049919.15234893,224927,319096,544023,249.952922279465,16.2809779420286,26.5387539492288
1993,96707.2619254307,1945021.29746974,2041728.55939517,236398,336834,573232,244.446999422114,17.3177538178212,28.0758182747765
1994,105299.56656593,1935669.9732963,2040969.53986223,252811,359985,612796,240.087407996793,18.5974368030813,30.0247499059376
1995,114789.871154472,1917871.05074958,2032660.92190405,268252,375533,643785,233.689608065694,19.580722064355,31.6720311323223
