"year","asset","I_current","K_current_anchor","K_quantity_index","pKN_guardian","K_real_guardian","K_current_reconstructed","I_real_guardian","consumption_of_fixed_capital_real","depletion_rate_guardian","coherence_residual_current","coherence_residual_real","current_anchor_residual","price_status","first_complete_vintage_year","L","alpha","d_parameter"
1942,"ME",103,710,0.359,1479.9317815726,47.9751843186679,710,6.9597802603138,6.70017943148554,0.140419102973188,-0.000000000000341060513164848,-0.000000000000028421709430404,-0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1943,"ME",98,715,0.329,1502.1763118121,47.5976085082505,715,6.52386801931266,6.90144382973008,0.143854451582474,0.000000000000113686837721616,0.000000000000014210854715202,-0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1944,"ME",89,659,0.297,1404.31186222552,46.9268983426255,659,6.33762360014213,7.00833376576718,0.147241300254662,0.000000000000113686837721616,0.000000000000007105427357601,0.000000000000113686837721616,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1945,"ME",99,608,0.278,1275.44258423713,47.6697271609179,608,7.76201149495209,7.01918267665964,0.149576957450091,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1946,"ME",227,729,0.311,1239.01081141432,58.8372589879062,729,18.3210669276471,7.15353510065874,0.150064527881829,0,0.000000000000007105427357601,0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1947,"ME",285,925,0.349,1271.8934184627,72.7262195536811,925,22.4075379165396,8.51857735076475,0.144782022434385,0.000000000000227373675443232,0.000000000000014210854715202,0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1948,"ME",320,1116,0.384,1275.33500548032,87.5064195058059,1116,25.0914464532777,10.3112465011528,0.141781692550949,-0.000000000000227373675443232,-0.000000000000028421709430404,-0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1949,"ME",359,1225,0.419,1151.67918309904,106.36642721141,1225,31.1718754031805,12.3118676975766,0.140696737074927,-0.000000000000227373675443232,-0.000000000000014210854715202,-0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1950,"ME",411,1419,0.459,1101.90842795405,128.776581066242,1419,37.2989251714064,14.8887713165736,0.139976228467102,-0.000000000000454747350886464,-0.000000000000028421709430404,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1951,"ME",429,1609,0.491,1065.02297379406,151.076553237914,1609,40.2808212175668,17.9808490458957,0.139628253033417,0.000000000000682121026329696,0.000000000000056843418860808,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1952,"ME",417,1705,0.511,991.56283010223,171.950777927427,1705,42.0548236925145,21.1805990030007,0.140197790782569,-0.000000000000454747350886464,-0.000000000000056843418860808,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1953,"ME",539,1879,0.557,906.458685214904,207.290197628205,1879,59.4621695165526,24.1227498157754,0.14028869253477,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1954,"ME",513,1933,0.583,796.315600049526,242.742952653418,1933,64.4216941082273,28.9689390830142,0.139750646265352,0.000000000000454747350886464,0.000000000000085265128291212,0.000000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1955,"ME",619,2159,0.636,737.911281939462,292.582598049656,2159,83.8854229702349,34.0457775739965,0.140254442824572,-0.00000000000136424205265939,-0.000000000000170530256582424,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1956,"ME",611,2427,0.67,721.229293058301,336.508794548339,2427,84.716470320987,40.7902738223036,0.139414558809068,0.000000000000454747350886464,0.000000000000056843418860808,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1957,"ME",670,2629,0.704,675.83001226844,389.003144618526,2629,99.137355228,46.6430051578139,0.138608576992521,0.000000000000454747350886464,0.000000000000056843418860808,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1958,"ME",646,2705,0.708,614.559111389715,440.152940517492,2705,105.11600723634,53.9662113373736,0.138729498935787,0,-0.000000000000113686837721616,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1959,"ME",753,2850,0.734,553.50909320048,514.896690047283,2850,136.041125475651,61.2973759458596,0.139263811060291,-0.000000000000909494701772928,-0.000000000000113686837721616,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1960,"ME",765,2970,0.769,497.434306754364,597.06376493783,2970,153.789151574896,71.6220766843487,0.139099897258558,0.000000000000454747350886464,0.000000000000113686837721616,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1961,"ME",709,3020,0.786,450.191758820423,670.825251868871,3020,157.488444892394,83.7269579613531,0.140231182795143,0.00000000000181898940354586,0.000000000000227373675443232,0.00000000000227373675443232,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1962,"ME",869,3213,0.841,406.780391892253,789.861080828855,3213,213.62878283233,94.5929538723454,0.141009828727849,-0.00000000000136424205265939,-0.000000000000227373675443232,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1963,"ME",812,3319,0.873,369.197340195198,898.977224008499,3319,219.936579058422,110.820435878778,0.140303704750823,0.000000000000454747350886464,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1964,"ME",1188,3742,0.996,330.671047258879,1131.63823413618,3742,359.269434033615,126.60842390593,0.140836075180402,0,0.000000000000227373675443232,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1965,"ME",1503,4302,1.182,287.253304246895,1497.63290322412,4302,523.231579159892,157.236910071954,0.138946268629725,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1966,"ME",1630,4989,1.39,259.79620829978,1920.351352566,4989,627.414853614467,204.696404272591,0.136679959309066,0.000000000000909494701772928,0.000000000000227373675443232,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1967,"ME",1869,5915,1.632,243.809702766789,2426.07243800214,5915,766.581468575823,260.860383139684,0.135839924704986,-0.00000000000181898940354586,-0.000000000000454747350886464,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1968,"ME",2338,7161,1.965,230.083740116769,3112.34509503616,7161,1016.15177100887,329.879113974851,0.135972491508335,0.00000000000181898940354586,0.000000000000454747350886464,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1969,"ME",2585,8601,2.31,223.569646388614,3847.12331881115,8601,1156.23924882302,421.461025048034,0.135415904142576,-0.00000000000181898940354586,-0.00000000000136424205265939,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1970,"ME",2549,9789,2.592,217.799381983626,4494.50311146242,9789,1170.34308214503,522.963289493764,0.135936190799148,0.00000000000545696821063757,0.00000000000272848410531878,0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1971,"ME",3072,11044,2.975,205.514130677327,5373.8397275173,11044,1494.78772572737,615.451109672496,0.13693418258025,-0.00000000000363797880709171,-0.00000000000181898940354586,0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1972,"ME",3310,12733,3.373,203.243568645079,6264.89688450385,12733,1628.58781808747,737.530661100914,0.13724463298083,0.00000000000181898940354586,0.000000000000909494701772928,0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1973,"ME",4582,15470,4.007,201.574150929579,7674.59514459498,15470,2273.10891742303,863.410657331895,0.137817217625326,-0.00000000000545696821063757,-0.00000000000181898940354586,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1974,"ME",5661,20665,4.761,226.645304520723,9117.77106686565,20665,2497.73539847696,1054.5594762063,0.137409134467373,0.00000000000363797880709171,0.00000000000181898940354586,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1975,"ME",6233,25210,5.409,241.349877634202,10445.4165243908,25210,2582.55776265482,1254.91230512962,0.137633671203923,0.00000000000363797880709171,-0.00000000000181898940354586,0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1976,"ME",7269,29759,6.132,249.883693384929,11909.1404472553,29759,2908.95332205715,1445.22939919271,0.138360150197744,-0.00000000000363797880709171,0,-0.00000000000727595761418343,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1977,"ME",8330,34631,6.873,256.558409441628,13498.2907305088,34631,3246.82399541272,1657.67371215924,0.139193396828341,0.00000000000727595761418343,0.00000000000181898940354586,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1978,"ME",11472,41934,8.062,262.288101327874,15987.7629933278,41934,4373.81640338285,1884.3441405638,0.139598722400076,0.00000000000727595761418343,0.00000000000181898940354586,0.00000000000727595761418343,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1979,"ME",13913,51819,9.401,275.525947296894,18807.3030901014,51819,5049.61515838941,2230.07506161579,0.139486372330292,-0.0000000000218278728425503,-0.00000000000363797880709171,0.00000000000727595761418343,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1980,"ME",16484,63485,10.855,290.470494616726,21855.9203693883,63485,5674.93095012991,2626.313670843,0.139643289538162,0.0000000000291038304567337,0.00000000000727595761418343,0.0000000000218278728425503,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1981,"ME",18222,75265,12.208,303.404926955844,24806.7823931394,75265,6005.83523241595,3054.97320866485,0.139777833970501,0.0000000000145519152283669,0.00000000000727595761418343,0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1982,"ME",19249,84752,13.363,307.192349339702,27589.2287624256,84752,6266.10657504165,3483.6602057555,0.140431763803392,-0.0000000000291038304567337,-0.00000000000363797880709171,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1983,"ME",23834,93703,14.998,295.010532712535,31762.5947583731,93703,8079.03357919238,3905.66758324491,0.141564942495389,0,-0.00000000000363797880709171,0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1984,"ME",29247,106596,17.233,283.580380773366,37589.342291345,106596,10313.477935335,4486.73040236302,0.141258308286676,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1985,"ME",31654,120609,19.482,275.233050624813,43820.6820460706,120609,11500.7990240058,5269.45926928024,0.140184928707666,-0.0000000000145519152283669,-0.00000000000727595761418343,-0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1986,"ME",36812,138965,22.082,271.152517176906,51249.7547309642,138965,13576.1232767694,6147.05059187573,0.140277382844317,0,0,-0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1987,"ME",39156,155696,24.569,264.400988649177,58886.3153634371,155696,14809.3243523966,7172.76371992374,0.139957035064405,0.0000000000291038304567337,0.0000000000145519152283669,-0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1988,"ME",43894,176873,27.219,262.794383493944,67304.7108725884,176873,16702.7922805708,8284.39677141952,0.140684583850926,-0.0000000000291038304567337,-0.0000000000145519152283669,-0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1989,"ME",48024,197516,29.929,258.513536526823,76404.5096646248,197516,18576.9769139409,9477.1781219044,0.140810026505355,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1990,"ME",44323,214172,31.648,258.754013501447,82770.5035766731,214172,17129.3961396862,10763.402227638,0.140873912742633,0.0000000000582076609134674,0.0000000000291038304567337,0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1991,"ME",39444,220298,32.391,254.708914461825,86490.1020309665,220298,15485.9126479108,11766.3141936173,0.142155885069828,0.0000000000582076609134674,0.0000000000145519152283669,0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1992,"ME",39857,224927,33.077,249.952922279465,89987.7456717693,224927,15945.8027681857,12448.1591273829,0.14392582312975,0,0.0000000000145519152283669,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1993,"ME",48521,236398,34.887,244.446999422114,96707.2619254307,236398,19849.2925315943,13129.7762779329,0.145906269569457,-0.0000000000582076609134674,-0.0000000000291038304567337,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1994,"ME",54567,252811,37.177,240.087407996793,105299.56656593,252811,22727.9724727291,14135.6678322295,0.146169662451298,-0.0000000000582076609134674,-0.0000000000145519152283669,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1995,"ME",58101,268252,39.492,233.689608065694,114789.871154472,268252,24862.466277776,15372.1616892345,0.145985042394354,0.000000000116415321826935,0.0000000000291038304567337,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1996,"ME",64435,281885,42.489,221.726030643582,127132.118489561,281885,29060.6383981939,16718.3910631044,0.145643434346281,0,0.0000000000291038304567337,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1997,"ME",65838,290196,45.403,206.383064483595,140610.374560587,290196,31900.873341879,18422.6172708536,0.144909228995238,-0.0000000000582076609134674,-0.0000000000291038304567337,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1998,"ME",82801,312107,50.646,190.773724809999,163600.621789422,312107,43402.7275414712,20412.4803126357,0.145170513743566,-0.0000000000582076609134674,-0.0000000000582076609134674,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1999,"ME",89023,339650,56.237,179.003413893995,189744.984529255,339650,49732.5710518118,23588.2083119788,0.144181654409237,0.0000000000582076609134674,0.0000000000291038304567337,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2000,"ME",85914,362277,60.48,169.991982015765,213114.169094401,362277,50540.0307598228,27170.8461946775,0.143196650294007,0.000000000116415321826935,0.0000000000582076609134674,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2001,"ME",79235,368120,63.03,158.275090353719,232582.397632698,368120,50061.5730642911,30593.3445259933,0.143553779910531,-0.000000000174622982740402,-0.0000000000873114913702011,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2002,"ME",80577,378193,65.986,149.526725359015,252926.691928788,378193,53888.0255730432,33543.7312769538,0.14422300061558,0.000000000116415321826935,0.0000000000291038304567337,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2003,"ME",78275,386251,68.333,142.399607166907,271244.428046262,386251,54968.5505159111,36650.8143984367,0.144906866566522,-0.0000000000582076609134674,-0.0000000000582076609134674,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2004,"ME",86926,411937,71.524,140.263865814416,293687.1856541,411937,61973.1956589679,39530.4380511303,0.145737327530976,0.0000000000582076609134674,0.0000000000582076609134674,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2005,"ME",90548,429193,74.666,134.904066352598,318146.822111514,429193,67120.2895866274,42660.6531292131,0.145258816908199,0.0000000000582076609134674,0.0000000000582076609134674,0.000000000174622982740402,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2006,"ME",94601,451522,78.146,131.182500284444,344193.775100308,451522,72114.0394449533,46067.0864561598,0.144798197732784,-0.0000000000582076609134674,-0.0000000000582076609134674,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2007,"ME",98767,468196,81.791,125.51370367626,373023.810378209,468196,78690.2123888811,49860.1771109798,0.144860775289876,-0.0000000000582076609134674,-0.0000000000582076609134674,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2008,"ME",78728,471175,81.714,123.115327817247,382710.267156511,471175,63946.5462146714,54260.0894363696,0.145460123259572,-0.0000000000582076609134674,0,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2009,"ME",49795,442598,77.218,120.362518692189,367720.786179198,442598,41370.8524389924,56360.3334163056,0.147266321949123,0.0000000000582076609134674,0,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2010,"ME",70253,439981,76.713,118.361926111755,371725.109968707,439981,59354.3906455768,55350.0668560679,0.150521996407064,0,0.0000000000582076609134674,0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2011,"ME",78815,450692,77.464,117.941517675417,382131.76231998,450692,66825.4924588171,56418.8401075442,0.151775703589929,0.000000000174622982740402,0.0000000000582076609134674,0.000000000174622982740402,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2012,"ME",89524,465560,79.626,116.048520594333,401177.02286567,465560,77143.5943702772,58098.3338245866,0.152037437222865,-0.000000000116415321826935,-0.0000000000582076609134674,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2013,"ME",98595,483177,82.877,113.189543105721,426874.238328452,483177,87106.1029974393,61408.8875346573,0.153071796325732,-0.000000000116415321826935,-0.000000000116415321826935,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2014,"ME",108643,508720,87.182,110.611667747341,459915.314867162,508720,98220.198838483,65179.1222997732,0.152689285151057,0,-0.0000000000582076609134674,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2015,"ME",117409,534557,92.228,106.858533214686,500247.36810306,534557,109873.30301841,69541.2497825118,0.151204466419209,0,0.0000000000582076609134674,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2016,"ME",119343,558538,96.809,103.242553510209,540995.91787486,558538,115594.77748504,74846.22771324,0.149618433770191,-0.000000000116415321826935,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2017,"ME",116048,576353,100,100,576353,576353,116048,80690.9178748604,0.149152544795218,0,-0.000000000116415321826935,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2018,"ME",121217,600056,103.348,97.61760858168,614700.573716588,600056,124175.342708353,85827.7689917651,0.14891528107213,0.000000000116415321826935,0,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2019,"ME",125493,619937,106.88,94.5549758041037,655636.569866369,619937,132719.615158057,91783.6190082764,0.149314353902968,0.000000000116415321826935,0.00000000023283064365387,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2020,"ME",102015,620002,106.082,92.8827364433585,667510.480139749,620002,109832.035431267,97958.1251578862,0.149409184386789,-0.00000000023283064365387,-0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2021,"ME",107788,661410,105.664,97.6818490574952,677106.34716865,661410,110345.986526685,100750.119497784,0.150934138856803,0.000000000116415321826935,0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2022,"ME",96337,677969,102.454,101.340551795235,669000.699117839,677969,95062.6361248306,103168.284175641,0.152366440821363,-0.00000000023283064365387,-0.00000000023283064365387,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2023,"ME",111241,681447,101.526,100.539863025381,677787.873878416,681447,110643.675704947,101856.50094437,0.152251710766043,0.000000000116415321826935,0.00000000023283064365387,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
2024,"ME",127749,696613,102.827,98.7705525034979,705284.097682181,696613,129339.157028079,101842.933224314,0.150257827189429,0,-0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1915,14,1.7,0.11
1931,"NRC",92,2375,9.701,0.117835040957445,2015529.48995683,2375,78075.2476109592,82004.1641075865,,,,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1932,"NRC",43,2176,9.671,0.11070579658198,1965570.06695545,2176,38841.687903991,88801.1109053639,0.0440584528025269,0.000000000000454747350886464,0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1933,"NRC",13,2389,9.496,0.12673907583996,1884975.08299391,2389,10257.2942984181,90852.2782599588,0.0462218466730537,-0.000000000000454747350886464,0,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1934,"NRC",25,2379,9.376,0.131169473197606,1813684.19191259,2379,19059.3126514564,90350.2037327782,0.047931776153388,0.000000000000909494701772928,0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1935,"NRC",30,2409,9.289,0.137762192817914,1748665.54511373,2409,21776.6568507314,86795.3036495926,0.047855797628177,-0.00000000000136424205265939,-0.000000000698491930961609,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1936,"NRC",43,2566,9.254,0.152019815860885,1687937.84249034,2566,28285.7861368217,89013.4887602153,0.0509036670899958,0,0.00000000023283064365387,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1937,"NRC",65,2776,9.285,0.169716582433293,1635668.1004292,2776,38299.1450028451,90568.8870639803,0.0536565297513311,0.000000000000909494701772928,0,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1938,"NRC",38,2727,9.204,0.173970314784099,1567508.80366243,2727,21842.8069450577,90002.1037118254,0.0550246738248479,0.000000000000454747350886464,0.00000000023283064365387,0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
