"regime","start_year","end_year","omega_min","omega_mean","omega_max","alpha_hat","alpha_se","alpha_p","beta2_hat","beta2_se","beta2_p","theta_at_omega_min","theta_at_omega_mean","theta_at_omega_max","delta_theta_obs","model_id","spec_id","estimator","intercept_flag"
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.02187071475132,0.909869707320758,0.261396871361988,-0.102375975869319,1.43939995285623,0.943299015534402,0.959475087341968,0.957047151526953,0.953952949572934,-0.00552213776903399,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.87702752785042,8.55005627426477,0.918299774192093,0.115942630337891,13.5126548375886,0.99315399522132,0.950118207596895,0.950879980989826,0.95286613817913,0.00274793058223455,"B1_no_intercept__IM","B1_no_intercept","IM",FALSE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.20593596689889,0.0392492064500607,2.63047723546686e-207,-0.582609215588143,0.0628233747388768,1.79688514778101e-20,0.859568322562575,0.839034399019793,0.811081807024367,-0.0484865155382088,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.00124833246474,0.0528361420485623,4.41037241255755e-80,-0.240061577620369,0.0797627458495551,0.00261509715561038,0.854936733231508,0.849243462938705,0.841987864188604,-0.0129488690429038,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,1.06343747922115,0.0526998190943214,1.49295554087246e-90,-0.340121012981466,0.0797875285085647,2.01850200967527e-05,0.849023885511683,0.84678920153642,0.840962752772943,-0.00806113273873976,"B2_with_intercept__D_fixed","B2_with_intercept","D_fixed",TRUE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,0.398596876777769,0.0114932223946945,1.52178589464557e-263,0.710652565853114,0.0187101412408961,1.1348028900215e-315,0.821087713843593,0.846134494880139,0.880230387448096,0.059142673604503,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,0.596415893384015,0.0114050809490389,0,0.36389553510308,0.0177881271396495,5.18150569244281e-93,0.818201229557058,0.826831330467926,0.83782967520861,0.0196284456515518,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.485199551327506,0.0114636165313623,0,0.539521296162684,0.0177348523190249,2.8521954489245e-203,0.825315849873671,0.828860645839905,0.838102924525779,0.0127870746521073,"B2_with_intercept__D_auto","B2_with_intercept","D_auto",TRUE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.20333785608297,NA,NA,-0.47431208687652,NA,NA,0.921354056623482,0.904637039681846,0.881880358379484,-0.0394736982439979,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,1.03455201111458,NA,NA,-0.197878352958408,NA,NA,0.913950044894198,0.909257186671511,0.903276529772441,-0.0106735151217573,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,-3.49650190394593,NA,NA,6.95798870264031,NA,NA,0.889840914585689,0.935556719432768,1.05475066254558,0.164909747959888,"B2_with_intercept__FM","B2_with_intercept","FM",TRUE
"Pre-1945",1929,1944,0.594511097780444,0.629755860467648,0.677734147194899,1.1879393344541,0.719517690015745,0.0987341398248106,-0.563022635415307,1.09339983242669,0.606603048504817,0.853216129398108,0.833372530225371,0.806359668789483,-0.0468564606086247,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"Fordist_1945_1973",1945,1973,0.609475288313768,0.633191163004079,0.663415069811751,0.93803738006651,1.13222443823946,0.407392678280538,-0.145751106680478,1.37452843407454,0.915552860189069,0.849205682300374,0.845749067318366,0.84134389945294,-0.00786178284743422,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
"Aftermath_1974_1978",1974,1978,0.630403843120234,0.636974104556521,0.654104621464026,0.743565685816389,8.57592491210333,0.930906918068732,0.160060435197051,13.5144604593073,0.990550361606686,0.844468399296107,0.845520038200958,0.848261956192324,0.00379355689621619,"B2_with_intercept__IM","B2_with_intercept","IM",TRUE
