year,Y_real,X_real,M_real,NX_real,I_ME_real,I_NRC_real,INV_real,I_real,G_real,C_real,P_Y,P_C,P_G,P_K_fbkf,P_X,P_M,P_K,Kn_ME,Kn_NRC,Kn_cc_ME,Kn_cc_NRC,Kn_cc,P_K_rel,Y_nom,period,in_investment_window
1881,1169526.5428144478,169766.21297009708,110448.92597659609,59317.286993500995,3394.709934363883,93473.59097146099,-1648.5630041747806,95219.73790165009,90439.50807456906,924550.0098447276,,,,,,,,,,,,,,,pre_fordist,False
1882,1278085.5079531504,211935.9774415152,147802.38992778986,64133.58751372533,4982.767587616614,102042.45446106397,4625.469481908306,111650.6915305889,97721.9070137101,1004579.3218951261,,,,,,,,,,,,,,,pre_fordist,False
1883,1349590.127306913,237464.28414064273,166917.1065415548,70547.17759908794,4404.769557965722,117403.7614976966,2112.7779677617223,123921.30902342404,128300.8337484497,1026820.8069359513,,,,,,,,,,,,,,,pre_fordist,False
1884,1381579.6982055276,216475.23178542015,164616.7519091817,51858.479876238445,7501.80587707045,115924.4802650665,9438.55448839357,132864.84063053053,97649.1895550897,1099207.188143669,,,,,,,,,,,,,,,pre_fordist,False
1885,1356731.1589218492,197364.63052131416,126150.23721100304,71214.39331031112,4774.719952197108,122848.13858205563,-10691.096969141874,116931.76156511086,107390.92348456629,1061194.080561861,,,,,,,,,,,,,,,pre_fordist,False
1886,1408140.6622885866,213418.6959643125,138755.65870612682,74663.03725818568,2836.32306934269,139803.65121762583,158.86504631074686,142798.83933327926,117200.82842116832,1073477.9572759534,,,,,,,,,,,,,,,pre_fordist,False
1887,1485951.9163368992,258383.44073542661,153212.78525727382,105170.6554781528,5735.067364096436,145153.08540281397,-5675.397622186483,145212.75514472392,115412.97046263347,1120155.535251389,,,,,,,,,,,,,,,pre_fordist,False
1888,1524662.5129346866,260005.06874427767,191784.06547013918,68221.0032741385,12899.861037014023,140616.86844492942,3928.548113290423,157445.27759523387,116787.27647080214,1182208.9555945122,,,,,,,,,,,,,,,pre_fordist,False
1889,1601555.6664536635,267188.7631766322,220222.35089744063,46966.41227919154,5609.479056729157,160406.1356519752,7377.895033298283,173393.50974200264,130317.70305094516,1250878.0413815242,,,,,,,,,,,,,,,pre_fordist,False
1890,1748733.5497860208,292172.113763525,234007.66343998848,58164.4503235365,16490.891885016652,201163.68842138338,-5177.951360951865,212476.62894544814,173922.80618306898,1304169.664333967,,,,,,,,,,,,,,,pre_fordist,False
1891,1651101.424741921,293611.3769939739,221615.76571429518,71995.61127967873,12694.118605782192,193214.1089677061,-8348.520207619022,197559.70736586925,163573.68964483985,1217972.4164515333,,,,,,,,,,,,,,,pre_fordist,False
1892,1693398.6119113408,281307.587591564,270443.4668044055,10864.120787158492,5978.00082401914,207128.41161471914,19064.896268735032,232171.3087074733,156959.66556432462,1293403.5168523844,,,,,,,,,,,,,,,pre_fordist,False
1893,1740270.8990571147,323038.8777130612,248768.46299826118,74270.41471480005,12485.179238571101,212486.6041100278,-1085.9943332025664,223885.78901539635,143543.86104399155,1298570.8342829267,,,,,,,,,,,,,,,pre_fordist,False
1894,1768348.6486034663,335862.55482631776,213457.7278900346,122404.82693628315,10321.52421513385,229407.281776228,-18799.57616397645,220929.2298273854,133883.71585230864,1291130.8759874892,,,,,,,,,,,,,,,pre_fordist,False
1895,1881718.0203570977,367801.96588147874,271037.3200519125,96764.64582956623,8627.068600060189,244554.68560083187,10958.927441090766,264140.6816419828,186853.50623449308,1333959.1866510557,,,,,,,,,,,,,,,pre_fordist,False
1896,1984164.6927623716,413195.732568593,285974.9930269583,127220.73954163468,9764.165330037085,268819.1764045716,3455.4777898363063,282038.819524445,226952.29672313965,1347952.8369731524,,,,,,,,,,,,,,,pre_fordist,False
1897,1908292.9632570061,325697.33087030664,263296.0560085914,62401.27486171527,6764.358778784435,245849.34924506405,7270.118448127832,259883.8264719763,227750.49541585363,1358257.3665074608,,,,,,,,,,,,,,,pre_fordist,False
1898,1963520.866777998,413192.33689488727,237090.0239458395,176102.31294904777,7838.004263783141,249847.0540622429,-12167.762381088487,245517.29594493756,205930.26302572596,1335970.9948582866,,,,,,,,,,,,,,,pre_fordist,False
1899,1982523.7279349046,388938.8737117445,247001.31470479094,141937.55900695355,12023.899762839555,243065.0120588655,-15853.168398365047,239235.74342334,214786.84462118088,1386563.5808834303,,,,,,,,,,,,,,,pre_fordist,False
1900,2038666.995236581,376624.5930668296,308950.11347562517,67674.47959120444,12431.791590710221,259440.9041230236,1061.7021319250841,272934.3978456589,201046.12606637555,1497011.991733342,,,,,,,,215216.7278144904,319688.24058410776,,,,,,pre_fordist,False
1901,2044650.0174701086,333193.20585314627,367730.22404628596,-34537.018193139695,18175.81502593396,264100.2977972391,24383.14469612302,306659.2575192961,220013.8834832111,1552513.894660741,,,,,,,,438434.4959677383,590216.4956591867,,,,,,pre_fordist,False
1902,2110985.2894221153,377087.28274623415,358274.70477658795,18812.577969646198,29392.389531338937,257435.43399483248,-8114.130580035757,278713.69294613565,234270.08588236757,1579188.932623966,,,,,,,,664075.6821648811,865113.3939438452,,,,,,pre_fordist,False
1903,2235648.054357602,382367.682421398,376344.58405069634,6023.098370701657,26194.231806096792,262460.0675643087,-7973.768824960341,280680.53054544516,244175.0388581369,1704769.386583318,,,,,,,,888764.8024978759,1141757.2977726096,,,,,,pre_fordist,False
1904,2366883.4234038997,410827.8511781521,419250.4540710212,-8422.602892869094,24199.31913247146,263317.08356164244,-20007.929081259474,267508.47361285443,239298.92029828404,1868498.6323856302,,,,,,,,1108724.4828267489,1417316.4746115836,,,,,,pre_fordist,False
1905,2474682.906958334,455999.26297303167,545396.9173533896,-89397.65438035788,21384.465631893992,291217.0737232709,14374.617907027572,326976.1572621925,250500.88816994525,1986603.5159065542,,,,,,,,1466878.3844782864,1642011.467859415,,,,,,pre_fordist,False
1906,2654811.142687558,394625.42039523256,659008.6718360531,-264383.2514408206,79545.39861751652,315746.2696456264,-16951.013485637963,378340.65477750497,257653.8586297804,2283199.880721093,,,,,,,,1916059.067886404,1926127.0549927745,,,,,,pre_fordist,False
1907,2872281.966699408,416688.57506582094,854196.3211289748,-437507.74606315384,92590.95541239105,378395.12234852195,51668.96829201521,522655.0460529282,286698.79337093467,2500435.873338699,,,,,,,,2445681.006986727,2264626.2102139383,,,,,,pre_fordist,False
1908,3013242.2739663576,535030.0509849582,802266.3527501153,-267236.30176515714,108621.19480784434,418542.713019667,14831.579701523095,541995.4875290344,283983.98524026765,2454499.1029622126,,,,,,,,3029776.047695366,2643478.8816812485,,,,,,pre_fordist,False
1909,3018599.0876371036,525070.2871061137,683788.0678288724,-158717.78072275862,57606.60800786343,435205.76702722954,-32094.707356265488,460717.6676788275,280430.3598652696,2436168.840815765,,,,,,,,3557667.541248564,2997554.8281367617,,,,,,pre_fordist,False
1910,3208578.5925527643,569897.5320106255,732957.3230139344,-163059.79100330896,60068.42886290035,481212.4934589696,-12585.524858465793,528695.3974634041,320629.69178826985,2522313.2943043993,,,,,,,,4124221.4884812655,3386391.772402583,,,,,,pre_fordist,False
1911,3320627.2850127798,523665.1025797658,830889.785529978,-307224.6829502122,74274.01070002069,501121.6805251719,12661.647020515287,588057.3382457079,364776.10722890357,2675018.522488381,,,,,,,,4709031.79945924,3799611.342763338,,,,,,pre_fordist,False
1912,3514863.100536471,570145.2863044419,868672.2809206757,-298526.99461623386,88479.59253714101,566212.2154536484,5704.723081529363,660396.5310723188,375130.9596792879,2777862.6044010986,,,,,,,,5362452.129546999,4269606.414403973,,,,,,pre_fordist,False
1913,3639054.956855598,606400.4908792004,859729.74612943,-253329.25525022962,83605.70311687728,557202.6216263324,14015.645945934122,654823.9706891438,355377.0302307701,2882183.2111859135,,,,,,,,5970541.05937747,4729339.84541107,,,,,,pre_fordist,False
1914,3069430.8951081703,460441.3550860019,683447.1439296916,-223005.78884368972,54906.61873635521,499171.1120519915,36461.18611100158,590538.9168993483,305673.3379406701,2396224.4291118416,,,,,,,,6443630.631773463,5126317.656211078,,,,,,pre_fordist,False
1915,2705620.7977669975,506196.1613319854,413115.30413140124,93080.85720058414,25428.46426882135,367167.79362071614,-72867.24636441284,319729.01152512466,251909.4065108624,2040901.5225304263,,,,,,,,6690321.0139462855,5406708.334078116,,,,,,pre_fordist,False
1916,3000727.3504828736,653221.5176774292,576832.8808241093,76388.63685331994,47068.64506721267,334440.48681567307,632.5663473361433,382141.69823022187,238596.38939681964,2303600.626002512,,,,,,,,6736598.7780676745,5769846.937562317,,,,,,pre_fordist,False
1917,3096270.297909822,698668.2854799278,736931.9652865544,-38263.679806626635,101832.2624137236,335844.7322952887,29345.54479891481,467022.53950792714,220738.04823253522,2446773.389975986,,,,,,,,6791050.940276939,6185916.171190832,,,,,,pre_fordist,False
1918,3183364.5031280313,883631.3401993029,765767.9754435751,117863.36475572782,110133.18398633217,348287.7294410884,33022.70967724683,491443.62310466735,216146.2394226659,2357911.2758449703,,,,,,,,6826977.690753123,6620736.930218646,,,,,,pre_fordist,False
1919,2862136.7727876273,325425.9929070419,566860.4764253743,-241434.48351833236,125315.08294915187,336914.4184435392,-13331.134570103233,448898.3668225878,226364.93775554595,2428307.951727826,,,,,,,,6833232.655876078,7057803.663804612,,,,,,pre_fordist,False
1920,3014723.29825359,655511.228615644,514085.9664892925,141425.26212635153,107445.37954035672,366665.1181547726,-25586.406514010727,448524.0911811186,236310.70266699255,2188463.2422791272,,,,,,,,7024657.174780058,7380207.109412974,,,,,,pre_fordist,False
1921,2784015.250498198,417112.0160264071,515966.11397195933,-98854.09794555226,86371.15064178758,357058.25469868537,14301.139509413444,457730.5448498864,276766.89437602396,2148371.90921784,,,,,,,,7354423.806226255,7556814.269382029,,,,,,pre_fordist,False
1922,2795460.292540422,470848.87518727384,497893.3603897853,-27044.48520251148,90883.43180649236,335096.6329830216,-32152.695642220016,393827.3691472939,290201.5000566686,2138475.908538971,,,,,,,,7639438.027090732,7718951.037005535,,,,,,pre_fordist,False
1923,3193418.3832870666,673243.161826417,703014.4277064471,-29771.265880030114,120764.3769554862,380961.73876507586,29509.113496659713,531235.2292172217,312969.2537168848,2378985.16623299,,,,,,,,7778486.269170758,8062906.780232462,,,,,,pre_fordist,False
1924,3508299.325508568,775951.4727236339,781280.6848892624,-5329.21216562856,146305.4193035313,368178.8946799255,-39449.85491388507,475034.45906957175,344701.7734415638,2693892.3051630612,,,,,,,,7983914.775520829,8370556.673691721,,,,,,pre_fordist,False
1925,3655890.473888711,724036.852736575,964051.1944416926,-240014.3417051176,153961.4282881939,474375.3789049454,-43722.092693262326,584614.7144998771,373527.2144547389,2937762.8866392127,,,,,,,,8031188.622218793,8924321.17092755,,,,,,pre_fordist,False
1926,3628822.054280333,693761.1767754243,1298301.151336656,-604539.9745612317,204320.12854258335,420952.05639271124,192592.83376514117,817865.0187004358,416132.8076713005,2999364.2024698285,,,,,,,,8066423.788936983,9466235.247656891,,,,,,pre_fordist,False
1927,3708732.2177632162,768244.4710199683,903249.351807356,-135004.88078738772,149941.9975488045,481058.5300965144,-101259.0431983696,529741.4844469493,443649.97322622495,2870345.6408774294,,,,,,,,8083692.835770486,10020282.178137025,,,,,,pre_fordist,False
1928,4166144.103727921,910865.3315663992,967197.9105889422,-56332.57902254304,88100.61808369208,503563.0596384043,-70170.12339187946,521493.55433021684,456099.4838971236,3244883.6445231233,,,,,,,,8055584.977211746,10534398.204638988,,,,,,pre_fordist,False
1929,4359248.177905941,949893.9073836951,1243141.7237774336,-293247.8163937385,276265.6756580944,513591.88236932945,70351.70813746602,860209.2661648899,446195.30594256,3346091.42219223,,,,,,,,8190210.471255503,11340558.952573411,,,,,,pre_fordist,False
1930,4174087.2904357333,622671.9633415396,1126463.166532588,-503791.20319104835,253801.37246469382,546251.2020164606,87949.07591929726,888001.6504004517,470168.1247622915,3319708.7184640383,,,,,,,,8324162.579440497,12258829.35387652,,,,,,pre_fordist,False
1931,3593283.4709406565,538885.3457342414,583620.6589026458,-44735.31316840439,125193.6888542667,559301.6471787543,293.81047919563736,684789.1465122167,402387.2868011304,2550842.3507957137,,,,,,,,8344695.185735948,13061718.824206166,,,,,,pre_fordist,False
1932,2938088.7446062607,258938.41533096787,211408.59151629556,47529.8238146723,16702.40296972916,466864.4445462296,-56843.80701319928,426723.0405027595,312180.4956175691,2151655.3846712597,,,,,,,,7995133.194485517,13533409.126994576,,,,,,pre_fordist,False
1933,3093509.657358266,398571.89072626317,210080.97914081762,188490.91158544554,12678.942576231204,506335.2234627458,-18778.442462123032,500235.7235768539,306839.12760398496,2097943.8945919815,,,,,,,,7615477.559655915,14041160.694097634,,,,,,pre_fordist,False
1934,3535501.6524094115,637862.3922045012,312007.46211782325,325854.93008667795,22774.679703440157,501853.852534247,1415.8596744308454,526044.391912118,381070.3203036701,2302532.0101069454,,,,,,,,7314163.83015172,14260753.538979612,,,,,,pre_fordist,False
1935,3847985.8221308007,649490.1512879689,420842.5492173743,228647.60207059456,40629.42573238251,531449.9080142967,8277.01072616327,580356.3444728424,457169.8188675874,2581812.0567197762,,,,,,,,7122979.91064687,14621180.55681521,,,,,,pre_fordist,False
1936,4049570.1486049797,674482.6257904076,472973.66571071005,201508.9600796976,54273.58366777421,535332.980579072,7865.346560141076,597471.9108069873,481134.1739073124,2769455.103810983,,,,,,,,6974285.56245463,15085777.054301132,,,,,,pre_fordist,False
1937,4441881.758491351,886997.3194972686,530652.4534465295,356344.8660507392,57812.61056152852,546387.781888737,-10959.27802787768,593241.1144223878,508169.9358705164,2984125.842147708,,,,,,,,6825401.389629302,15535114.534031948,,,,,,pre_fordist,False
1938,4547159.2057407275,817919.2757189097,603490.8097896136,214428.4659292961,101870.36565901758,576421.3749048365,37799.559026238836,716091.299590093,575150.5231148417,3041488.9171064966,,,,,,,,6725026.402131322,16153519.087127509,,,,,,pre_fordist,False
1939,4652165.373641137,746263.0498163522,518149.1108878412,228113.938928511,79565.56453480279,601327.0403772804,-33064.18051271514,647828.4243993681,593749.3442474755,3182473.6660657823,,,,,,,,6611922.702430557,16551467.907250138,,,,,,pre_fordist,False
1940,4894315.689626395,771963.9059361276,582012.7645909144,189951.14134521328,85435.38731761066,596470.0,8650.101646941945,690555.4889645526,652961.7734489533,3360847.2858676757,4.12723683574689e-07,3.489514062261055e-07,1.8284934859325731e-07,4.106141485425522e-07,5.674360873623183e-07,4.852035545905777e-07,4.1625758640271597e-07,6512977.92798287,16930932.446071506,0.02711076472596311,0.07047629075549157,0.09758705548145469,1.0085623940875383,0.0202,fordist,True
1941,4902179.7360683745,859455.0208712626,578138.0746753257,281316.946195937,81536.57192469586,590749.0,8528.072429221822,680813.6443539177,750948.969234439,3189100.176284081,4.309575664330651e-07,3.48434543725939e-07,2.780766577582533e-07,4.011077679262411e-07,6.818119769227775e-07,6.023355506771599e-07,4.066205510866737e-07,6409346.273440642,17294128.2931318,0.02606171913811752,0.07032147977116888,0.0963831989092864,0.943528047209327,0.02112631449273512,fordist,True
1942,5063603.332230072,879238.9435260267,538340.2364646503,340898.7070613764,67028.2419176009,467716.0,6783.334072047321,541527.5759896482,707482.578990056,3473694.470188991,5.662248515998676e-07,4.6665579054716666e-07,3.6523215074470095e-07,5.409462068765662e-07,7.397678937373978e-07,7.431828596097205e-07,5.483809148987689e-07,6240896.930218607,17456164.529938243,0.03422388768382198,0.09572627475550971,0.1299501624393317,0.9684861294048104,0.02867138045352567,fordist,True
1943,5208526.473803688,842325.7344371426,473842.0720374444,368483.6623996982,67266.70795273315,506838.0,7282.629191879416,581387.3371446126,783575.5930228153,3475079.8812365616,7.014720372603225e-07,5.863211380452305e-07,4.690163303586822e-07,6.767477131398997e-07,7.519550132684068e-07,8.83441284016628e-07,6.86048862843749e-07,6093246.01308522,17557066.304421257,0.04180264498304322,0.12045005373020506,0.1622526987132483,0.9780131301073518,0.03653635676703397,fordist,True
1944,5307107.913129927,903555.6264630908,486883.67046351905,416671.9559995717,52088.1369046341,593541.0,8189.9303984399885,653819.067303074,787439.2721556494,3449177.6176716313,7.290678576445457e-07,5.875161317141402e-07,4.6645261384224033e-07,8.16765049704976e-07,8.109812591965427e-07,1.0223443844129144e-06,8.279905830206795e-07,5913729.000700173,17756402.625144936,0.04896511923116036,0.14702134161943678,0.19598646085059715,1.135683838395689,0.038692417965140516,fordist,True
1945,5765048.188974463,955760.7035231846,519109.13972343673,436651.5637997479,64565.38731761066,617340.0,8650.10164694197,690555.4889645526,960124.2645092597,3677716.8717009034,8.290812509467699e-07,7.09111469295913e-07,4.6501148923017565e-07,8.160549480297646e-07,8.113513076100568e-07,1.0337821219057825e-06,8.272707217824021e-07,5800332.645070968,18164673.009930108,0.047984453738658894,0.15027102151866198,0.19825547525732087,0.9978162222794205,0.04779693364283358,fordist,True
1946,6258938.391410903,919567.6847642914,541096.3116515432,378471.37311274814,97988.8837273088,846442.0,11980.288313732599,956411.1720410414,1012069.2839618064,3911986.562295307,9.738731882834545e-07,8.290214332255965e-07,5.584688620342361e-07,9.457556083191429e-07,9.268994331173263e-07,1.2067933763171829e-06,9.587539743652107e-07,5865094.5954950005,18523361.63057537,0.0562318275345875,0.17759346581918187,0.23382529335376936,0.9844751718189378,0.06095412286513053,fordist,True
1947,5585719.844217188,832615.9424691773,582855.646741784,249760.29572739336,166934.85797132712,871124.0,13167.97726482572,1051226.8352361529,966993.027412076,3317739.6858415655,1.2425054014417376e-06,1.0701617488200502e-06,7.379029446860255e-07,1.0789819026779192e-06,1.3311344058169646e-06,1.6649612005061829e-06,1.0938113169628806e-06,6171179.763731091,19128798.556568258,0.06750106264581383,0.20923296341077574,0.2767340260565896,0.8803272128182942,0.06940287077380157,fordist,True
1948,6512764.533265854,922501.7055220734,580107.239655693,342394.4658663805,159160.3024981656,762653.0,11693.379923978238,933506.6824221439,968924.8669784928,4267938.517998837,1.4112576125052057e-06,1.19412262890785e-06,8.280198415982925e-07,1.3531201743294873e-06,1.5601440462546389e-06,1.762662541211703e-06,1.3717173163136756e-06,6430245.861604895,19557326.61965972,0.08820479596517787,0.26827123584989643,0.3564760318150743,0.9719822264615885,0.0919118852602535,fordist,True
1949,6372124.488415103,723684.7085203483,624738.0881728947,98946.62034745363,194642.2731350009,859572.0,13372.911828935845,1067587.1849639367,1005844.4675811293,4199746.215522584,1.6870213544282428e-06,1.438262368186682e-06,1.0136965242647459e-06,1.4817948791355559e-06,1.7379122704068091e-06,2.0120915984761773e-06,1.5021605127884442e-06,6824745.17358655,20205753.520042174,0.10251862709605232,0.30352285068943463,0.40604147778548694,0.8904217536105519,0.10749910085031422,fordist,True
1950,6686124.62849127,825253.9703811486,596816.9958279894,228436.9745531592,177958.32990605346,795332.0,12346.375966893043,985636.7058729465,1016576.9096167794,4455474.038448385,1.9732531312036785e-06,1.6839862154349916e-06,1.1970772354252167e-06,1.74500643303491e-06,2.256840062790878e-06,2.392853808446025e-06,1.7689896187224293e-06,7159441.49775327,20633654.398809064,0.12664977685376097,0.3650072042779962,0.49165698113175715,0.8964838776884904,0.13193416358788432,fordist,True
1951,6977024.132144125,811843.8741175963,722268.2972900824,89575.57682751387,223595.01058570322,884079.0,14051.058931991458,1121725.0695176946,1065624.1697197002,4700099.316079216,2.4847346878907033e-06,2.053353247880205e-06,1.475387504155788e-06,2.5552419224341026e-06,3.194762625707468e-06,3.5836103246208257e-06,2.590360899844224e-06,7644396.843989766,21252970.869287275,0.1980174668756368,0.5505286474533007,0.7485461143289375,1.042510056493471,0.17336053879389038,fordist,True
1952,7426608.858644058,860422.5743024562,740648.9882724957,119773.58602996054,230257.73687772267,928673.0,14701.260412668344,1173631.997290391,1225537.5560508873,4907665.719272819,2.972789325835826e-06,2.5456005501097872e-06,1.8385565763882334e-06,2.5496288585020555e-06,4.293777930469399e-06,3.643478636491588e-06,2.5846706905492655e-06,8159119.350564993,21930965.456715614,0.21088636646098696,0.5668432363142123,0.7777296027751992,0.8694429396952178,0.22077743542134842,fordist,True
1953,7986500.879432823,663539.4656232869,735366.9174923102,-71827.45186902327,187035.26231345176,983498.0,14848.440690529416,1185381.7030039812,1433210.3094407173,5439736.318857147,3.720981687106757e-06,3.1636881542642585e-06,2.3017653962341046e-06,3.2186911565225248e-06,5.000186216703958e-06,3.818574045947572e-06,3.2629285107329613e-06,8568687.089411363,22574543.419252843,0.2795901340358977,0.7365912133945924,1.0161813474304902,0.8768999111280351,0.2971762351643154,fordist,True
1954,7727829.923252009,772167.5004948492,723020.8142910338,49146.68620381539,155607.7107846071,978429.0,14385.474879789399,1148422.1856643965,1348638.6661997938,5181622.385184003,6.295629789620509e-06,5.494660779860028e-06,3.86472473138965e-06,4.946800386570976e-06,6.1731562131715605e-06,5.117131729476555e-06,5.0147886930804726e-06,8868648.241796251,23097043.225285128,0.4447439692586786,1.158267912097508,1.6030118813561864,0.796550759917342,0.4865155627394612,fordist,True
1955,8018659.212204488,864440.5839850277,845842.1178349766,18598.4661500511,204887.08428022778,1108181.0,16656.52245842875,1329724.6067386565,1440723.0188656722,5229613.120450108,1.0703748106413e-05,9.681992434903798e-06,6.094604102151855e-06,7.749220199578279e-06,1.2253775121650107e-05,1.0242824064333716e-05,7.855724670542737e-06,9340744.595703175,23692078.61816771,0.7337831776170418,1.8611844649717815,2.5949676425888235,0.7339227897035516,0.8582970835860495,fordist,True
1956,8153260.7928230055,800682.9209600316,823209.1245422151,-22526.203582183574,287848.73590008373,963021.0,15867.52438660455,1266737.2602866883,1387168.133107778,5521881.603010722,1.5852795042458104e-05,1.4521981010814067e-05,1.0562857756532872e-05,1.2942421755912315e-05,2.616456024359507e-05,1.728329734224864e-05,1.3120301045261627e-05,9949874.774817465,24408144.539971687,1.3054535240825986,3.202422043206874,4.507875567289473,0.8276332981106415,1.2925197227633256,fordist,True
1957,8989939.162489288,815897.1730719275,955705.0146012476,-139807.8415293201,463816.31385917775,966966.0,18149.750214195345,1448932.064073373,1475603.455481535,6205211.484463699,2.140439429056974e-05,1.926012525495192e-05,1.368421085795803e-05,2.026190061089095e-05,3.631721302167962e-05,3.4587393070140116e-05,2.0540378051164853e-05,10894614.316112695,25386636.97374604,2.237794967745876,5.2145112088842325,7.452306176630108,0.9596336982174939,1.9242420248215504,fordist,True
1958,9483618.720824603,823985.4052797997,891160.8967501206,-67175.49147032085,477406.7326300344,930758.0,17862.841824440984,1426027.5744544754,1638843.8988437734,6485922.738996675,2.6675715573672908e-05,2.4288049574675225e-05,1.715819992828575e-05,2.5823152837613974e-05,3.684268876169499e-05,3.2966433907003985e-05,2.6178063546146185e-05,11816480.6340745,26339595.596504472,3.09332580930608,6.8951960730508635,9.988521882356943,0.9813443794543277,2.529823156058768,fordist,True
