window,spec,basis,det_tag,DSR,DLR,include,LRinclude,p,r,m,status,PIC_star,logdet_Sigma,logLik_ML,Cn,T_eff,df_LR,df_SR,d_det,k_total,PIC_obs,BIC_obs,comparable_p,computed_comparable,r0_path,fail_code,fail_msg,runtime_sec,src_file,common_p_max,n_ties,BIC_obs_min
full,Q3,ortho,SR_none__LR_const,none,const,none,const,1,1,6,computed,-35.85289168803079,-36.37167334538684,938.203930927237,4.574710978503383,97,11,0,0,12,-1792.935296099026,-1821.5113301124336,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-1821.5113301124336
full,Q3,ortho,SR_none__LR_none,none,none,none,none,1,1,6,computed,-35.84934931012214,-36.368130967478194,938.0321255972784,4.574710978503383,97,11,0,0,11,-1799.547732585396,-1825.742430431019,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-1825.742430431019
full,Q3,raw,SR_const__LR_none,const,none,const,none,1,1,6,computed,-43.93604289844369,-44.73779636890304,1343.9608975577987,4.574710978503383,97,11,6,1,17,-2569.668993628713,-2610.15170848104,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-2610.15170848104
full,Q3,raw,SR_none__LR_const,none,const,none,const,1,1,6,computed,-44.062495914572295,-44.58127757192835,1336.3697358585966,4.574710978503383,97,11,0,0,12,-2589.2669059617456,-2617.8429399751526,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-2617.8429399751526
full,Q3,raw,SR_none__LR_none,none,none,none,none,1,1,6,computed,-44.05895353665391,-44.57773519400996,1336.1979305734767,4.574710978503383,97,11,0,0,11,-2595.879342537793,-2622.074040383416,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-2622.074040383416
fordism,Q1,raw,SR_const__LR_none,const,none,const,none,1,1,4,computed,-24.525431898668856,-25.426530273537168,330.7630171856451,3.8501476017100584,47,7,4,1,11,-604.431324133943,-619.1744107524795,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_const__LR_none_unrestricted.csv,7,1,-619.1744107524795
fordism,Q1,raw,SR_none__LR_const,none,const,none,const,1,1,4,computed,-24.720889280322016,-25.294315518874576,327.65597045108126,3.8501476017100584,47,7,0,0,8,-613.7885152750009,-624.510760088482,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_const_unrestricted.csv,7,1,-624.510760088482
fordism,Q1,raw,SR_none__LR_none,none,none,none,none,1,1,4,computed,-24.398722533803276,-24.972148772355837,320.08505190788395,3.8501476017100584,47,7,0,0,7,-603.8371063920015,-613.2190706037975,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_none_unrestricted.csv,7,1,-613.2190706037975
fordism,Q2,ortho,SR_const__LR_none,const,none,const,none,1,2,5,computed,-33.79828087542151,-35.518559591079196,501.2355950872545,3.8501476017100584,47,16,5,1,21,-893.4721979032099,-921.6180905385978,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_const__LR_none_unrestricted.csv,7,1,-921.6180905385978
fordism,Q2,ortho,SR_none__LR_const,none,const,none,const,1,2,5,computed,-34.0653175077421,-35.3760060530051,497.88558694261496,3.8501476017100584,47,16,0,0,18,-902.3434662241164,-926.4685170544489,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_const_unrestricted.csv,7,1,-926.4685170544489
fordism,Q2,ortho,SR_none__LR_none,none,none,none,none,7,4,5,computed,-172.48722197171233,-188.2472595230916,2814.097802019197,3.713572066704308,41,24,150,0,174,-4780.43538944245,-4982.034064431844,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_none_unrestricted.csv,7,1,-4982.034064431844
fordism,Q2,raw,SR_const__LR_none,const,none,const,none,1,2,5,computed,-33.84493975944897,-35.565218475106654,502.332078861926,3.8501476017100584,47,16,5,1,21,-895.6651654525529,-923.8110580879408,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_const__LR_none_unrestricted.csv,7,1,-923.8110580879408
fordism,Q2,raw,SR_none__LR_const,none,const,none,const,1,2,5,computed,-34.111976391769026,-35.422664937032025,498.98207071729064,3.8501476017100584,47,16,0,0,18,-904.5364337734676,-928.6614846038002,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_const_unrestricted.csv,7,1,-928.6614846038002
fordism,Q2,raw,SR_none__LR_none,none,none,none,none,1,1,5,computed,-33.83977546878519,-34.577037775495626,479.1098324211078,3.8501476017100584,47,9,0,0,9,-911.5058110116588,-923.5683364268252,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_none_unrestricted.csv,7,1,-923.5683364268252
fordism,Q3,ortho,SR_const__LR_none,const,none,const,none,5,5,6,computed,-46.73404600676229,-62.91595348125784,986.6068587915552,3.7612001156935624,43,35,150,1,185,-1051.431784627022,-1277.391696179801,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_const__LR_none_unrestricted.csv,7,1,-1277.391696179801
fordism,Q3,ortho,SR_none__LR_const,none,const,none,const,5,5,6,computed,-46.905271932139925,-62.56236078584104,979.0045970542972,3.7612001156935624,43,35,144,0,184,-1041.2098661955115,-1265.9483728209789,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-1265.9483728209789
fordism,Q3,ortho,SR_none__LR_none,none,none,none,none,5,5,6,computed,-44.47009426476246,-60.12718311846357,926.648293971122,3.7612001156935624,43,35,144,0,179,-961.410285244191,-1180.0417672330966,TRUE,TRUE,NA,NA,NA,0.01999999999679858,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-1180.0417672330966
fordism,Q3,raw,SR_const__LR_none,const,none,const,none,5,5,6,computed,-54.94365023345178,-71.12555770794734,1163.1133448984003,3.7612001156935624,43,35,150,1,185,-1404.4447568407122,-1630.4046683934916,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-1630.4046683934916
fordism,Q3,raw,SR_none__LR_const,none,const,none,const,5,5,6,computed,-55.114876158493985,-70.7719650121951,1155.5104638883286,3.7612001156935624,43,35,144,0,184,-1394.2215998635745,-1618.9601064890417,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-1618.9601064890417
fordism,Q3,raw,SR_none__LR_none,none,none,none,none,5,5,6,computed,-52.67969849117544,-68.33678734487656,1103.154809089829,3.7612001156935624,43,35,144,0,179,-1314.4233154816052,-1533.054797470511,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-1533.054797470511
post_fordism,Q1,raw,SR_const__LR_none,const,none,const,none,1,1,4,computed,-27.656972301288288,-28.54412253295468,412.6227424156213,3.871201010907891,48,7,4,1,11,-767.6063492890768,-782.6622737112558,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_const__LR_none_unrestricted.csv,7,1,-782.6622737112558
post_fordism,Q1,raw,SR_none__LR_const,none,const,none,const,1,2,4,computed,-27.84603321348339,-28.813833466210365,419.0958048136414,3.871201010907891,48,12,0,0,14,-764.8327098463444,-783.9947954745724,TRUE,TRUE,NA,NA,NA,0.01000000000203726,APPX_grid_pic_table_Q1_raw_SR_none__LR_const_unrestricted.csv,7,1,-783.9947954745724
post_fordism,Q1,raw,SR_none__LR_none,none,none,none,none,1,1,4,computed,-27.640508776490332,-28.2050589239144,404.4852157986501,3.871201010907891,48,7,0,0,7,-772.290981706831,-781.8720245209449,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q1_raw_SR_none__LR_none_unrestricted.csv,7,1,-781.8720245209449
post_fordism,Q2,ortho,SR_const__LR_none,const,none,const,none,6,4,5,computed,-38.821426628390114,-52.291771228781016,819.2012967762155,3.7612001156935624,43,24,130,1,154,-871.0814169295247,-1059.1777757356224,TRUE,TRUE,NA,NA,NA,0.01000000000203726,APPX_grid_pic_table_Q2_ortho_SR_const__LR_none_unrestricted.csv,7,1,-1059.1777757356224
post_fordism,Q2,ortho,SR_none__LR_const,none,const,none,const,6,4,5,computed,-39.078252494421605,-52.11124824415046,815.3200499863383,3.7612001156935624,43,24,125,0,153,-868.3015283927763,-1055.1764822715616,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_const_unrestricted.csv,7,1,-1055.1764822715616
post_fordism,Q2,ortho,SR_none__LR_none,none,none,none,none,1,1,5,computed,-36.08544488179007,-36.811295071335294,542.9258337429325,3.871201010907891,48,9,0,0,9,-1038.692374769547,-1051.0108583876938,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_ortho_SR_none__LR_none_unrestricted.csv,7,1,-1051.0108583876938
post_fordism,Q2,raw,SR_const__LR_none,const,none,const,none,6,4,5,computed,-38.868085512401464,-52.338430112792366,820.2044627858985,3.7612001156935624,43,24,130,1,154,-873.0877489488907,-1061.1841077549884,TRUE,TRUE,NA,NA,NA,0.01000000000203726,APPX_grid_pic_table_Q2_raw_SR_const__LR_none_unrestricted.csv,7,1,-1061.1841077549884
post_fordism,Q2,raw,SR_none__LR_const,none,const,none,const,6,4,5,computed,-39.124911378450754,-52.15790712817961,816.3232221801122,3.7612001156935624,43,24,125,0,153,-870.3078727803241,-1057.1828266591094,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_const_unrestricted.csv,7,1,-1057.1828266591094
post_fordism,Q2,raw,SR_none__LR_none,none,none,none,none,1,1,5,computed,-36.1321037658174,-36.857953955362625,544.0456469596112,3.871201010907891,48,9,0,0,9,-1040.9320012029048,-1053.2504848210513,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q2_raw_SR_none__LR_none_unrestricted.csv,7,1,-1053.2504848210513
post_fordism,Q3,ortho,SR_const__LR_none,const,none,const,none,5,5,6,computed,-48.415754589144086,-64.32655191357314,1040.5843687397833,3.784189633918261,44,35,150,1,185,-1149.4865803791547,-1381.0936552046885,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_const__LR_none_unrestricted.csv,7,1,-1381.0936552046885
post_fordism,Q3,ortho,SR_none__LR_const,none,const,none,const,5,5,6,computed,-48.746260167890846,-64.14103163314923,1036.5029257549795,3.784189633918261,44,35,144,0,184,-1146.359814177658,-1376.7149588689997,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_const_unrestricted.csv,7,1,-1376.7149588689997
post_fordism,Q3,ortho,SR_none__LR_none,none,none,none,none,5,5,6,computed,-45.03618101350346,-60.43095247876184,954.8811824073904,3.784189633918261,44,35,144,0,179,-1008.2969263230308,-1232.3924203434117,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_ortho_SR_none__LR_none_unrestricted.csv,7,1,-1232.3924203434117
post_fordism,Q3,raw,SR_const__LR_none,const,none,const,none,5,5,6,computed,-56.62535881498397,-72.53615613941302,1221.1954712208126,3.784189633918261,44,35,150,1,185,-1510.7087853412131,-1742.315860166747,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_const__LR_none_unrestricted.csv,7,1,-1742.315860166747
post_fordism,Q3,raw,SR_none__LR_const,none,const,none,const,5,5,6,computed,-56.95586439452479,-72.35063585978317,1217.1140081201636,3.784189633918261,44,35,144,0,184,-1507.5819789080256,-1737.9371235993672,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_const_unrestricted.csv,7,1,-1737.9371235993672
post_fordism,Q3,raw,SR_none__LR_none,none,none,none,none,5,5,6,computed,-53.245785239949576,-68.64055670520796,1135.4925026709257,3.784189633918261,44,35,144,0,179,-1369.5195668501017,-1593.6150608704825,TRUE,TRUE,NA,NA,NA,0,APPX_grid_pic_table_Q3_raw_SR_none__LR_none_unrestricted.csv,7,1,-1593.6150608704825
