window,spec,basis,det_tag,ic_primary,p_IC,r_IC,IC_min,deltaIC_2nd,IC_min_slice,A2_IC_slice,IC_min_spec,deltaIC_winner_to_spec,p_BIC,r_BIC,BIC_min,deltaBIC_2nd,BIC_min_slice,BIC_min_spec,deltaBIC_winner_to_spec,A2_BIC_slice,common_p_max,computed_share,total,A2_IC_spec,A2_BIC_spec
full,Q3,ortho,SR_none__LR_none,PIC_star,1,1,-35.84934931012214,0.139841099496536,-35.84934931012214,11,-44.062495914572295,8.213146604450152,1,1,-1825.742430431019,13.564586651456011,-1825.742430431019,-2622.074040383416,796.331609952397,1,7,0.9761904761904762,42,33,1
full,Q3,raw,SR_const__LR_none,PIC_star,1,1,-43.93604289844369,0.03395005199053713,-43.93604289844369,11,-44.062495914572295,0.1264530161286075,1,1,-2610.15170848104,3.293155043848401,-2610.15170848104,-2622.074040383416,11.9223319023763,1,7,1,42,33,1
full,Q3,raw,SR_none__LR_const,PIC_star,1,1,-44.062495914572295,0.03336975702895728,-44.062495914572295,11,-44.062495914572295,0,1,1,-2617.8429399751526,7.811577419469359,-2617.8429399751526,-2622.074040383416,4.231100408263501,1,7,0.9761904761904762,42,33,1
full,Q3,raw,SR_none__LR_none,PIC_star,1,1,-44.05895353665391,0.13984109949673496,-44.05895353665391,11,-44.062495914572295,0.003542377918385853,1,1,-2622.074040383416,13.564586660134864,-2622.074040383416,-2622.074040383416,0,1,7,0.9761904761904762,42,33,1
fordism,Q1,raw,SR_const__LR_none,PIC_star,7,2,-25.002874006768053,0.03635189938207617,-25.002874006768053,19,-25.192574664324887,0.18970065755683407,1,1,-619.1744107524795,2.62645106337186,-619.1744107524795,-624.510760088482,5.336349336002513,1,7,1,28,39,1
fordism,Q1,raw,SR_none__LR_const,PIC_star,7,3,-25.192574664324887,0.4716853840028712,-25.192574664324887,16,-25.192574664324887,0,1,1,-624.510760088482,3.9493126759444976,-624.510760088482,-624.510760088482,0,1,7,0.9642857142857143,28,39,1
fordism,Q1,raw,SR_none__LR_none,PIC_star,1,1,-24.398722533803276,0.16364770350877578,-24.398722533803276,16,-25.192574664324887,0.7938521305216106,1,1,-613.2190706037975,7.691442064912053,-613.2190706037975,-624.510760088482,11.291689484684525,1,7,0.9642857142857143,28,39,1
fordism,Q2,ortho,SR_const__LR_none,PIC_star,7,1,-70.2102978513582,34.40606942186244,-70.2102978513582,1,-191.47865529252107,121.26835744116286,1,2,-921.6180905385978,4.3143882187125655,-921.6180905385978,-4982.034064431844,4060.4159738932462,1,7,0.9142857142857143,35,1,1
fordism,Q2,ortho,SR_none__LR_const,PIC_star,7,1,-68.09440375905629,32.07759833926082,-68.09440375905629,1,-191.47865529252107,123.38425153346478,1,2,-926.4685170544489,5.403329610468063,-926.4685170544489,-4982.034064431844,4055.565547377395,1,7,0.8857142857142857,35,1,1
fordism,Q2,ortho,SR_none__LR_none,PIC_star,7,4,-172.48722197171233,31.001358582128944,-172.48722197171233,1,-191.47865529252107,18.99143332080874,7,4,-4982.034064431844,964.8798557556465,-4982.034064431844,-4982.034064431844,0,1,7,0.9714285714285714,35,1,1
fordism,Q2,raw,SR_const__LR_none,PIC_star,7,4,-174.8638924062655,35.568728556567436,-174.8638924062655,1,-191.47865529252107,16.614762886255562,1,2,-923.8110580879408,4.314388218711542,-923.8110580879408,-4982.034064431844,4058.2230063439033,1,7,1,35,1,1
fordism,Q2,raw,SR_none__LR_const,PIC_star,7,4,-191.47865529252107,44.67526266691564,-191.47865529252107,1,-191.47865529252107,0,1,2,-928.6614846038002,5.403329610387573,-928.6614846038002,-4982.034064431844,4053.372579828044,1,7,0.9714285714285714,35,1,1
fordism,Q2,raw,SR_none__LR_none,PIC_star,7,2,-101.42613427278717,35.631009456116374,-101.42613427278717,1,-191.47865529252107,90.0525210197339,1,1,-923.5683364268252,9.252298831937651,-923.5683364268252,-4982.034064431844,4058.4657280050187,1,7,0.9142857142857143,35,1,1
fordism,Q3,ortho,SR_const__LR_none,PIC_star,7,0,-69.92243426165194,23.188388254889652,-69.92243426165194,1,-214.88062070276015,144.9581864411082,5,5,-1277.391696179801,22.269722212957276,-1277.391696179801,-1630.4046683934916,353.01297221369055,1,7,0.7619047619047619,42,1,1
fordism,Q3,ortho,SR_none__LR_const,PIC_star,5,5,-46.905271932139925,0.5918004859831143,-46.905271932139925,4,-214.88062070276015,167.97534877062023,5,5,-1265.9483728209789,21.686220396747785,-1265.9483728209789,-1630.4046683934916,364.4562955725128,1,7,0.7380952380952381,42,1,1
fordism,Q3,ortho,SR_none__LR_none,PIC_star,6,5,-208.38003962824473,34.56788673305314,-208.38003962824473,1,-214.88062070276015,6.5005810745154236,5,5,-1180.0417672330966,7.3609782879332215,-1180.0417672330966,-1630.4046683934916,450.36290116039504,1,7,0.8571428571428571,42,1,1
fordism,Q3,raw,SR_const__LR_none,PIC_star,7,0,-74.75295237169729,19.809302138245513,-74.75295237169729,1,-214.88062070276015,140.12766833106286,5,5,-1630.4046683934916,22.26972243164596,-1630.4046683934916,-1630.4046683934916,0,1,7,0.7619047619047619,42,1,1
fordism,Q3,raw,SR_none__LR_const,PIC_star,5,5,-55.114876158493985,0.5918004859755399,-55.114876158493985,4,-214.88062070276015,159.76574454426617,5,5,-1618.9601064890417,21.686195794843343,-1618.9601064890417,-1630.4046683934916,11.444561904449984,1,7,0.7380952380952381,42,1,1
fordism,Q3,raw,SR_none__LR_none,PIC_star,6,5,-214.88062070276015,37.967370384295805,-214.88062070276015,1,-214.88062070276015,0,5,5,-1533.054797470511,7.360978641221664,-1533.054797470511,-1630.4046683934916,97.3498709229807,1,7,0.8571428571428571,42,1,1
post_fordism,Q1,raw,SR_const__LR_none,PIC_star,1,1,-27.656972301288288,0.0768955401746716,-27.656972301288288,15,-27.846488251855774,0.18951595056748616,1,1,-782.6622737112558,3.690985928382588,-782.6622737112558,-783.9947954745724,1.3325217633165494,1,7,1,28,35,3
post_fordism,Q1,raw,SR_none__LR_const,PIC_star,1,3,-27.846488251855774,4.5503837238314304e-4,-27.846488251855774,12,-27.846488251855774,0,1,2,-783.9947954745724,1.917296970788243,-783.9947954745724,-783.9947954745724,0,2,7,0.9642857142857143,28,35,3
post_fordism,Q1,raw,SR_none__LR_none,PIC_star,1,1,-27.640508776490332,0.022154643949161112,-27.640508776490332,11,-27.846488251855774,0.20597947536544225,1,1,-781.8720245209449,1.0634229095633145,-781.8720245209449,-783.9947954745724,2.1227709536274233,2,7,0.9642857142857143,28,35,3
post_fordism,Q2,ortho,SR_const__LR_none,PIC_star,7,4,-178.82135218631993,43.96693218020101,-178.82135218631993,1,-178.82135218631993,0,6,4,-1059.1777757356224,0.8425255486392871,-1059.1777757356224,-1061.1841077549884,2.0063320193660275,2,7,1,35,1,2
post_fordism,Q2,ortho,SR_none__LR_const,PIC_star,7,4,-174.06323448421696,38.00848275769408,-174.06323448421696,1,-178.82135218631993,4.758117702102965,6,4,-1055.1764822715616,2.8466021439603537,-1055.1764822715616,-1061.1841077549884,6.007625483426864,1,7,0.9714285714285714,35,1,2
post_fordism,Q2,ortho,SR_none__LR_none,PIC_star,7,4,-135.46232206438967,1.6520185412589967,-135.46232206438967,2,-178.82135218631993,43.35903012193026,1,1,-1051.0108583876938,6.458353825295262,-1051.0108583876938,-1061.1841077549884,10.173249367294602,1,7,0.9714285714285714,35,1,2
post_fordism,Q2,raw,SR_const__LR_none,PIC_star,7,1,-74.39757323538863,35.52948772298717,-74.39757323538863,1,-178.82135218631993,104.4237789509313,6,4,-1061.1841077549884,0.8425255487079539,-1061.1841077549884,-1061.1841077549884,0,2,7,0.9142857142857143,35,1,2
post_fordism,Q2,raw,SR_none__LR_const,PIC_star,7,1,-68.5986555085696,29.473744130118853,-68.5986555085696,1,-178.82135218631993,110.22269667775032,6,4,-1057.1828266591094,2.613320098118038,-1057.1828266591094,-1061.1841077549884,4.001281095878994,1,7,0.8857142857142857,35,1,2
post_fordism,Q2,raw,SR_none__LR_none,PIC_star,7,4,-136.59405429610425,6.262508036874891,-136.59405429610425,1,-178.82135218631993,42.22729789021568,1,1,-1053.2504848210513,6.458353825311178,-1053.2504848210513,-1061.1841077549884,7.9336229339371585,1,7,0.9714285714285714,35,1,2
post_fordism,Q3,ortho,SR_const__LR_none,PIC_star,6,5,-213.47861349113495,38.438303274393775,-213.47861349113495,1,-238.93389335046172,25.455279859326765,5,5,-1381.0936552046885,1.8333420175592892,-1381.0936552046885,-1742.315860166747,361.2222049620584,2,7,0.8809523809523809,42,1,2
post_fordism,Q3,ortho,SR_none__LR_const,PIC_star,6,5,-227.64216063144053,39.8190835096631,-227.64216063144053,1,-238.93389335046172,11.291732719021184,5,5,-1376.7149588689997,0.29912382966017503,-1376.7149588689997,-1742.315860166747,365.6009012977472,2,7,0.8571428571428571,42,1,2
post_fordism,Q3,ortho,SR_none__LR_none,PIC_star,6,5,-220.68038607729537,37.861489601660054,-220.68038607729537,1,-238.93389335046172,18.25350727316635,5,5,-1232.3924203434117,1.7961509171018406,-1232.3924203434117,-1742.315860166747,509.92343982333523,2,7,0.8571428571428571,42,1,2
post_fordism,Q3,raw,SR_const__LR_none,PIC_star,6,4,-178.36205840999952,34.21607748961068,-178.36205840999952,1,-238.93389335046172,60.571834940462196,5,5,-1742.315860166747,1.8333418737370266,-1742.315860166747,-1742.315860166747,0,2,7,0.8571428571428571,42,1,2
post_fordism,Q3,raw,SR_none__LR_const,PIC_star,6,5,-238.93389335046172,51.8151266675556,-238.93389335046172,1,-238.93389335046172,0,5,5,-1737.9371235993672,0.2991240655430829,-1737.9371235993672,-1742.315860166747,4.378736567379747,2,7,0.8571428571428571,42,1,2
post_fordism,Q3,raw,SR_none__LR_none,PIC_star,6,5,-224.4406511127703,45.84657896026499,-224.4406511127703,1,-238.93389335046172,14.493242237691419,5,5,-1593.6150608704825,1.796143153587309,-1593.6150608704825,-1742.315860166747,148.70079929626445,2,7,0.8571428571428571,42,1,2
