"p","q_tag","r","best_BIC","best_AIC"
7,"K_short",2,-689.881750134034,-816.550928739776
7,"Y_only",0,-821.739959063412,-883.031497098449
7,"Y_only",1,-724.967341330878,-796.474135705087
7,"Y_only",2,-714.955392654726,-792.591340832439
7,"Y_short",0,-724.706728635383,-835.031497098449
7,"Y_short",1,-717.3500479032,-837.890072705439
7,"Y_short",2,-719.373490769884,-846.042669375626
7,"sym",0,-651.931805814361,-799.031497098449
7,"sym",1,-669.153461413253,-826.468409036513
7,"sym",2,-672.477547074003,-835.921648500767
